Te Quiero,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
41,No Me Importa,6fQk3H6U4vjv5Yndw3D42l,Jary Franco,01agtJ7Ob6B8N8jC8QvAJ6,No Me Importa,0mWRdrL4aCnqkh8JXy7Vwj,58,https://p.scdn.co/mp3-preview/c94bf0e76e78388acdc4cf768b3d489afd6d37d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Tiene Que Existir,6Hc7T09nwRTTm4X6iTJbKN,Nabález,64J3ISAKbfg1CuP4CVCMlF,Tiene Que Existir,7rZehTzCB1s3QlUFGMFUGo,59,not available
43,Vas A Quedarte,2b3JxLi8KAiOsD8ehnOxDZ,Aitana,7eLcDZDYHXZCebtQmVFL25,Tráiler,1ayrDfnBGwEtBHjS4u5gHw,68,not available
44,Me Dediqué a Perderte,1HpIBHs03kKCxlrPthWXmL,Alejandro Fernandez,6sq1yF0OZEWA4xoXVKW1L9,Alejandro Fernandez 15 Años De Exitos,1XIDdkj7xuSoDDyYseS7o3,11,not available
45,Una y Otra Vez,0bK3jxkbq5cDKWr68KtO8G,Manuel Medrano,0i5iO6icb7kxg48thi9gBM,Manuel Medrano,3XeEBV0owMhwHmyLfaMxwg,71,https://p.scdn.co/mp3-preview/b6b6d1d819b5ef45938ac8ef6232214790ba9c54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Quién Diría,4N8442HkjSJAbohpXWuVAW,Johan Sotelo,4EgDDojMyrVB4MxP7nAevd,Quién Diría,72wxN0TQ0FhQOJHC7rIV1c,57,https://p.scdn.co/mp3-preview/ca4abaf633b6381fddfc502bcaf23c4d915624f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,"Te Quiero, Te Quiero",2fn9C9byd7IWlyOEv7IQw3,Gerónimo Rauch,4u906EKZ3K68xEq6H96OSq,"Te Quiero, Te Quiero",4TSyBqHrKF0wLGTjxVV1dA,0,not available
48,Curo tus labios - Acústico,6nsuCg6JFynR5IzP4rYK7Y,Pablo Alborán,5M9Bb4adKAgrOFOhc05Y50,Curo tus labios (Acústico),0oRwUae6pHf2fHvPnCgIqL,50,https://p.scdn.co/mp3-preview/630d930548da23367f0ad21b871092319eba83de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Más Que Suerte,5KUaLrnJZrdUMbggfu7I4m,Beatriz Luengo,23cijmutocNvhM5xkcyyFF,Más Que Suerte,11ltZUM4iFO3N7ZOmVJ5zZ,63,https://p.scdn.co/mp3-preview/bb590838f4272a9cfe5fe667515d514f83ea8d1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Quédate,5XXxxfDWGvI6OaXPEniklV,Manuel Medrano,0i5iO6icb7kxg48thi9gBM,Manuel Medrano,3XeEBV0owMhwHmyLfaMxwg,70,https://p.scdn.co/mp3-preview/921c9465ca69fe54e3b4625a52a4142cf4ba2aae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Déjalo Ir,0f6Jf9cdZOpCWREUCZ5FCw,Raquel Sofía,0J9JLJmiTXJFvvyHS3Qzn4,2:00 AM,6fi3lhTQuBdlZ2MoyiB9yi,51,https://p.scdn.co/mp3-preview/3dad8a1e5d3e85c456f4ad5f36422e4c095f53c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Eso y Más,53MFBdQBmcu12EKQShFzKC,Joss Favela,0EocQPg9ycs21gcvaVm9hh,Eso y Más,5DT55J5XWcnb9exg178idb,59,https://p.scdn.co/mp3-preview/0a26d910812476fe51a386403455eed1b2211ee4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Te Prometo,37MZQ2hDkRS0NZLgbV46DF,Layl,3QVCBQQXBRKUDpCpa5smak,No Vuelvas,0JCajXtO2AswwHljvKnoj0,49,not available
54,Te necesito,6fM4uVlC2brb5Di9O1vvry,Luis Miguel,2nszmSgqreHSdJA3zWPyrW,Grandes Éxitos,0NwQIWxyE13WaqiiHC9kIA,64,https://p.scdn.co/mp3-preview/1e482347e09cc3a27c6d72c88a36fce4d3c3401a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Colgando en tus manos (con Marta Sánchez),3UI9I3e1g1y5T3SMfdgfGO,Carlos Baute,3smfreCkyJt7bShaTYpG77,De mi puño y letra - Edicion Coleccionista,1cz8fhax6HNiCSE1uuV2Vs,75,https://p.scdn.co/mp3-preview/d516cf9159df2722a3f7f8d4cb117d39c2442b2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Tenemos Historia,4v00NVNPRrqj7wMXT0VMrK,Raquel Sofía,0J9JLJmiTXJFvvyHS3Qzn4,2:00 AM,6fi3lhTQuBdlZ2MoyiB9yi,56,https://p.scdn.co/mp3-preview/63064857429466bdba343415112483c6ce0ad54d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Pienso en Ti,0l75C1fGFNyRXLvnpjrbNb,Joss Favela,0EocQPg9ycs21gcvaVm9hh,Pienso en Ti,3rvuoO5JjvWDbvDrBEdAFP,23,not available
58,Todo Me Recuerda a Ti,6gigvFhDskC4ebqGM59Ic6,Tommy Torres,264nbMzGPSkDZqTY8nXwCG,Todo Me Recuerda a Ti,0KHNRGaM6cuAxwBzZJJZ3r,53,https://p.scdn.co/mp3-preview/9d1328ed05b4be09f427eb5d4ff76d19ed87302a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Aquí Esperándote,0PLTgxpVyCeACKza2OgaFY,Il Divo,3KNZ9AOjBajjmr6ZR2VGfl,Aquí Esperándote,3u2oHSj8SYuWwwKzdGsdvw,32,not available
60,Carmín (feat. Juan Luis Guerra),7feNblkR0A56vttsAGTyzK,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,Golden,6bm9EpUNvQ9xMglBJGRmgS,66,https://p.scdn.co/mp3-preview/399ab2ddd1c4768d262d8e2fb8f032d6e63ab118?cid=fa83a2fec7c440b7a2795d600d6b2c7e
