Punk Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
16,El 4k Se Llevó a Mi Chica,18b2UvdOlTpR3IMru5Pfya,Lendakaris Muertos,6x6bFaWdzVQM6e7ke2ysMc,Podrán Cortar la Droga Pero No la Primavera,6YVmHQN5rdkLupIaszQxK2,41,https://p.scdn.co/mp3-preview/8c1991bf3b0069cfd378a6399fcd07cf89e71833?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Las Drogas,12UZTr5xsKm79TzQkmYRUf,Segismundo Toxicómano,0sKBEhvr6hz7Wpptw0fY8U,"Un, Dos, Tres, Fuego",6KqECOoCoekQjpDd0oIYxS,42,https://p.scdn.co/mp3-preview/9a307ce3187699a772e77217e5de8e2f34a60cc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,A Ras del Suelo,7MofeVnACbDDBOrp0n1O2M,Envidia Kotxina,0ecMaXEm4sV6sndUYsyvmU,Kontratiempos,4czEvvHdq60prvX7rBwCh3,38,https://p.scdn.co/mp3-preview/bb1615aecfaab3340295ed27a69cbdaaa2d68159?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Señoras y Señores,4euTdoEAmjtP1xYkVGjzVu,Sonotones,1R7Qi5gy56OoJ8yG6cfJWU,Señoras y Señores,0zqCWWalUfOKbP9SlNzxqI,28,https://p.scdn.co/mp3-preview/da4b2ef1a2e5e1630c18d9c72e45d0d9d957551a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Somos Revolución,4alCPx4T5VHqAsihn76W4I,ALADEMOSKA,1ekttoTgjC4AhaG3r4eaMT,Revolución,4AQDaOXwk4lKN9DwTVbhjf,39,https://p.scdn.co/mp3-preview/a9d4d269e307098f5b826b6519d3a513241ee5f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,La Última Patada,0QobiDnqGnnbbW8Duu9j90,Gatillazo,3XrunnoiCGkRTanrnsPRam,Siglo XXI,2fwFXVTTeMyJj7IbIoFQZy,41,https://p.scdn.co/mp3-preview/adf759eeccbca5dbf2af06bff6db9f4828531aca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Tiempos Salvajes,3v1MxdLiIbC3oWLNVO9J2C,RADIOCRIMEN,6mA005uHpxR9wUsPYb79dK,3er Grado,3DRz1egfDO17AbHeU1J12f,31,https://p.scdn.co/mp3-preview/ce44e7ca1f80785d2a89fff95f3a6d8babd419e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,La Vida Sigue Igual,4jyuKmz9LEpVe1gF7nbFNB,Tijuana in blue,35LHJRKlkpHkACfkoyqqT4,A Bocajarro + Sopla Sopla,2QoZ36rmjP1gyQIQ2aAB9r,33,https://p.scdn.co/mp3-preview/d65a68df1a6446d016695ea255e0deb985bcc1a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Mil Historias,7mElnVvJoNpmTDSPvOJMUB,Kaos Etíliko,5y9aHzw345UfAGA1Db5BPy,Porsupuestón,4fhyGd8qDAkvZXmDvLYixi,39,https://p.scdn.co/mp3-preview/71a46bb14872d3b448708395b3ae3fcbe3e39968?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Loko Kuerdo,5NWWzmogzsKzCqtCSKO0cL,Txapelpunk,1zOX25BGYZ4nt7XcACV3jG,¡Vaya Full!,0Jy2KdVM6PIaMtl9tLYCVw,36,https://p.scdn.co/mp3-preview/5553aa5ddc9dfb24db61c2814d3f59290d415e04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,La bandera de la libertad,3IgV2zcmA7VPOxWP9crH3T,Banda Jachís,4SmWLsvGKAetIfP8PgKrPc,Intereses Creados,2MBwsEBoSb0UTTM1ZvemJ5,24,https://p.scdn.co/mp3-preview/facdefd6e3599921b5d615345eba60517848332c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Tauronecios,1FC4NTCmzg2GXDRqi3ksa2,Malos Vicios,3CC52A7QKNPvnXnjykRo4x,El Fin de la Diplomacia,3lXpwdqn6RohA8C6LlAv2F,0,not available
28,Prefiero Caminar,0SUYFrnEmh4QZOdThDoJ5B,Disidencia,1ym8Cw2gG6nn8hgk4Vjkht,Bienvenidos a Occidente,1F2GuNExWo3absC9LEqEcY,31,https://p.scdn.co/mp3-preview/4f7b4b35c58fdf265129fa7cc18f382df7eac9a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Adios Reina Mia,52hHIF5rYiUi0AtPyvMrY2,Eskorbuto,3AXQ8iTveAp1uA5NlbK8qb,Demasiados Enemigos,06jJMaPtFcbDkuzuIeKywk,43,https://p.scdn.co/mp3-preview/250aa8960f3e9e21aaa64846053b5c819441c053?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Mariposas Kamikazes,4HSnwhyfKJ2s7h8isj5v10,Carroña,7d5zlC95WTo4JJFWNKsiP1,Mariposas Kamikazes,7m5SLI8OdiS4NBhaD2inwm,31,https://p.scdn.co/mp3-preview/a37039db3becd798da6500e9eeb60ce456bea068?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Ke La Kalle Nunka Kalle,0g65dXS4wAvOQ1d9g62jz2,A Palo Seko,6YkQm6IPzRBNSimTxeVm5Y,Kañaversario,756tJcduFKUpoP4exp3DKD,24,https://p.scdn.co/mp3-preview/ee4c611bd9edab7d77e1be3e6b42606903329618?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Jarama,749QVthAEMdMPQdZBLQ98S,Boikot,0wppCmJl3glHZZScLcs4gn,Jarama,0Xturr8pgzoF9M6gb0UPlh,47,https://p.scdn.co/mp3-preview/a9f2b0db1bebdf45f0c617990be1c8f3da1ce8bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Gernika,2U24O0XkSyQ36T8yMnaeDp,M.C.D.,2sKHlDMJUO4uCZLsEmcun3,Jódete,1AQXxv2pGU4QSh6v34FufL,32,https://p.scdn.co/mp3-preview/ad5b69e005898e087ff04ff68e9381daf521120c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Cenizas del Capitalismo,2NenHGIv1vW5Q1ncqVp5zZ,No Konforme,26yvJIyoBOe4vGLB2tlwub,Cenizas del Capitalismo,4X7lJZHbRFUQc5yQSL08Ii,0,not available
35,Cómo Convertirse en Nada,7bZfAk1tgSGyIfpQZfOj3A,Gatillazo,3XrunnoiCGkRTanrnsPRam,Cómo Convertirse en Nada,0W02GXYGmc4BrcAEH1mlJq,42,https://p.scdn.co/mp3-preview/ba184fd4197a31167f86b81ee0c522d0fcc2260c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Ante la Muerte,38QGYGRhXCPecNslTifxfV,Kaos Urbano,0u5LMlVeRfZZuh2Nxowii4,Ante la Muerte,7vDR2G7v27naFB98tQJqMZ,36,https://p.scdn.co/mp3-preview/a29836f63a808f89b1ca72e0265e31342bf5cf5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,"Ni Descanso, Ni Paz!",0b5PjlQGnxkjNThxUmCSGP,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,"Ni Descanso, Ni Paz!",0jndA7RswPbdGEYEe4Tq3Z,42,https://p.scdn.co/mp3-preview/0b58ea22fc67bfd92fd72fd6240d5653de23f3dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Nos Engañan,0WFeE2O8RI03RheJ4PPbDr,Parabellum,0JbJ9sG3cB719QmmkIRTPQ,Envenenado,5GO7H2fSWsSs8QA7ahTcsK,33,https://p.scdn.co/mp3-preview/26783c17d7d6d0e5058631ecd301a2eec5a959b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Tenemos a la Pasma,2yGO1zOQ3psTV42DxtzF85,Lendakaris Muertos,6x6bFaWdzVQM6e7ke2ysMc,Cicatriz en la Matrix,51o67b23wyqqkYGN738zMG,38,https://p.scdn.co/mp3-preview/21ab2af7008d4038f276ed585e30804885ffc6dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,"No Olvidamos, 3 de Marzo",4l7gui5pGuOs7sHLkGqeCX,Soziedad Alkoholika,2S5OOMthdyp3Qu4IbTGAQ3,"No Olvidamos, 3 de Marzo - Single",0p3A6vidvVSIaA8lXxATVE,26,https://p.scdn.co/mp3-preview/03181fb7973da8ba34aa466f5cbac8661f312ced?cid=fa83a2fec7c440b7a2795d600d6b2c7e
