Deutschtrap,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
34,Diamonds (feat. Capital Bra),2QpxC2yag7Ec7Ut1dovXKb,Summer Cem,3drqpTL4sQOckmAfF9i1wg,Diamonds (feat. Capital Bra),178ijvdr9h0bZSioIxRFKv,77,https://p.scdn.co/mp3-preview/7f15579652b84812ddf03606106fdf5c77051fdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Trance,5eA0fLfQRw9WuX34ZRPvAT,Qzeng,2741XFBjSCs37MjhGaGkKT,Trance,6N63t6SqAxXZ97XYNAuyif,70,https://p.scdn.co/mp3-preview/7a071c90967fa334582377ab619b4f14ce21a383?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Benzema,7KPGeiXWDsGEvFK62wzU8E,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Benzema,7pjEBAT8UkN8Mi74eQTH1e,66,not available
37,Shot,7yosVOH7pRWrKANBDbsBqI,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,Shot,6hxq1kiwx8mLh3Es8kGIRu,71,https://p.scdn.co/mp3-preview/2abd1d3ad0470d09206d37237f0d3cf1ee77abf4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Fragen,26pr9oLIVAc1L62F2exIRT,Azet,39KEQQAG9JhIt71g9NEVhh,Fragen,5Ah9rpT5z7ZTuPvWuEeVBI,60,https://p.scdn.co/mp3-preview/a18cb71875f6ab6d0bbb958b3540fee7c3b50846?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Penthouse,43aHoeHvYOBBvzZdopsA4e,Eno,3GBBxBdoolb0B5YizZq9bF,Penthouse,6Ah2mGhUI07DTQR4zHbjzS,59,not available
40,Nautilus,7IkZpSOJKGXCGhqAvHs7FG,Shindy,5j21TGkrNEAJe3gG9VlS34,Nautilus,4241ujVBEoKy1aWRWFyV5z,68,https://p.scdn.co/mp3-preview/6e3f8560058213ada5babe2588146312e1e51a31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,04:30,4SCM1b1vS70TtNQmO7Lo7B,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,WAVE,4xPKZiJA8wUMx4n58xhZ5C,74,https://p.scdn.co/mp3-preview/bc77c8a8ed5f1002bbaa9dbcb5512e6d9b5bc71a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,UP IN SMOKE,01vR5Z7AHinp9D2wu2BNQS,RIN,18ISxWwWjV6rPLoVCXf1dz,UP IN SMOKE,6Zq6DgJmYHyHtZbM9DhOPJ,81,https://p.scdn.co/mp3-preview/e7e2971fd976911743aa10a3f0937dd44e4745c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,a miLLy,6kpOQJOBX0TjGkJk7oX7Pw,Dardan,3pjq2pDV9RR6VY55wBjVnp,a miLLy,0pCo0T1ha6fB6b9LW5saxU,64,not available
44,Blei (feat. Veysel),5kLUig6aFQQzY1n2TKzzYD,Kontra K,4lDiJcOJ2GLCK6p9q5BgfK,Blei (feat. Veysel),4gpCK7bUjxTDFKsYaMpOfs,32,not available
45,Im Film,7FGhMXAnM4rHN8zN2eBhXI,Luciano,3CJKkU0XuElRT1z8rEtIYg,Im Film,5g6YyZIVeDZ7TXJOhm660F,69,not available
46,Jaja,45Eeag93rb22gAMAqbjYrJ,Fero47,4A7HeXSd4HtQuf6IR5XZ1b,Jaja,6nIzOCgMQCENqTbEQ2FGmt,43,https://p.scdn.co/mp3-preview/0342b40e01ef1b20f028fc401c81f8df866e2542?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,G Klasse (feat. Lil Lano & M.O.030),6Xt6kg1kGrZCi4gJhijxeT,King Khalil,08ao8gzTHBtNf5Laf9jjwR,B-TK,0X2obFl6NXMEDvlplTX6jS,60,https://p.scdn.co/mp3-preview/0ff00c366626ad7ea6252480c06f219841513b47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Du weißt,2e5o25udr5nhMuklOTZUME,Trettmann,6QzzeKV0VcnT2vJMYDPuL4,Du weißt,2wYg9CCGsBpMs4LARk8Fi8,66,not available
49,Shirinbae,4Eudc7cdrFkbMeYxUwxt9e,Fler,75ctWsRuGXmxMxnFPkuEwA,Shirinbae,6RUv9MZtqIFGqTKocc0HMx,70,not available
50,FULU$ (feat. Musiye & Blueface),6kUyJHjBWQgmZo4WWW4KXt,Farid Bang,2JwyRtuXf2l6sTnSnGVIa1,FULU$ (feat. Musiye & Blueface),6v96pXabTzKSIdIK4FZz20,71,https://p.scdn.co/mp3-preview/af30443d0cbfab289e2349e8c25b14ad3218935f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
