Main Stage,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Never Change,1SG6r7daFfpzPcU15luVqB,Don Diablo,1l2ekx5skC4gJH8djERwh1,Never Change,3YlCbpHzM8GyLYE43TXijW,72,https://p.scdn.co/mp3-preview/66faba393fe9a352998f3d5ada5f1b397ce9f49a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Never Be Alone (feat. Aloe Blacc),3GT2CBmJWIEdCpHiB31WYK,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Never Be Alone (feat. Aloe Blacc),2bSuTiPTy8EhtwWbbmiPdK,74,https://p.scdn.co/mp3-preview/731cea22023a0298bbd39ccf70b7168c4dbbeb67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Stickup,6Lupi2Ra2GlQIAXQozaQ9R,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,Stickup,5aZOH1SrMJrwuCKOYnNtrN,54,https://p.scdn.co/mp3-preview/9066e8d805c36d328904ca43d264fe37c1110997?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Push It,3xgBtYE6kcKWopzO4BhND4,Mike Candys,24Sxfn1uAoJmuR9N72drt9,Push It,2q6bOGwBgw7s3GOjFgxex4,48,https://p.scdn.co/mp3-preview/9275e78317a6a1c5c809c9c4c6e567287ccca911?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,That Saturday,3taZBDXfh29RZ1ySKtNLF6,Neptunica,5dGsIOepO9ufQlXjW8KrPL,That Saturday,4VXu2dAcDCZkDJTKzXvQ2d,55,https://p.scdn.co/mp3-preview/3b199fedb24813b382817ca827504f6838b2cb84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Club Bizarre,3UpFynePyIpc1pUZU6gPBc,John Christian,4I4ZRmxuOEADKSea0rNq3h,Club Bizarre,0tZp3xyJZumpoPJqlzZkkj,59,https://p.scdn.co/mp3-preview/9a571fc0581339146670e20795eeabab65c344e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,I Wanna Dance,1CW7tYkpJ95c7bQkRf6CcK,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,I Wanna Dance,3niF8tyjfJw8pmfc6VYKGa,71,not available
27,Only Go Higher,1vr7KgtXj4QDiseldZSYrP,Jerome,4xcDVatLFh6qlcm41er3LV,Only Go Higher,3AjVMZTIv7fWAo0Vss4PQb,55,https://p.scdn.co/mp3-preview/55ce64712f21a9799abae3f82e7d0dd0a0714460?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Acordeão,4P7F3kb2Ze1YleD6lUYwJo,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Acordeão,3s0VDNOSXqUsCg1IPIvD6B,63,https://p.scdn.co/mp3-preview/9db6555e3767816b0599f51cad4f2b0ba93ddae1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Over & Done,1II3Mk8OvHgSaJDBMrn8lW,Klaas,25sJFKMqDENdsTF7zRXoif,Over & Done,3Ff5V7tvMVJRoHmqx7GWR4,57,https://p.scdn.co/mp3-preview/89590fa61b6076c198f55e06c745092bf317c867?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Heart Beating,2uxRRlQ8GTWH47dOi4yxRu,Nora En Pure,24DO0PijjITGIEWsO8XaPs,Heart Beating,6DhdVQGik0aHlTDTsjbiIK,58,https://p.scdn.co/mp3-preview/dacea30cf3ae521979a403a55fbdcad00ee0a3b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Again,6TVPUN9evg6LFbqWdCjdPH,Bodybangers,7koJQAjVzXoUpH6pXrihXA,Again,3LEeKSYJOAQSxhCd8XDWZ1,59,https://p.scdn.co/mp3-preview/b688e343b2c296feaededfbc29acf51535ede657?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Rubber Bands,46eI4JcWjax7ARjZ35CdMB,Timmy Trumpet,0CbeG1224FS58EUx4tPevZ,Rubber Bands,4GbdP3Nctzr2IfObBIm3aJ,61,https://p.scdn.co/mp3-preview/689f3664fef1126da504bf7070bba28c8d1ef47f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Khaleesi,0uvUzG3kHn48Jqx6o0eUdb,3 Are Legend,6w0JXd2nT27GXVTbsuQ2II,Khaleesi,61zEoycntJJmmfDY5LURcy,57,https://p.scdn.co/mp3-preview/e296d1fd0043b4ec2c7943042180b395cab40e4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Keep It Lit,3SrKuiIFJCAiqj6jPXUEOj,Blaze U,2qY02HUpBMVIy3oGX8URf1,Keep It Lit,7g0179phhhjBCygPtgT32x,50,https://p.scdn.co/mp3-preview/1f7d3e4a50aa413cfe85195ef0973a4b8c428760?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Turn Up,04ahbsJ3AfLwTOXeIimwdH,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,Turn Up,6srYr3daX69zSZHiZTgkrh,53,not available
