Covers Unplugged,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
43,Me & Magdalena,7CAKy2TEByPCrt4A0SJb5v,The Last Dinosaur,69sFt37arbuC0hGSFAoWqZ,Me & Magdalena,5QzJTvNNz2iY3GGFKVqsxO,49,https://p.scdn.co/mp3-preview/712b675c6213957476956ebd4e7f3a8c44c3b786?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Teenage Dirtbag - Recorded at Spotify Studios NYC,0P9RpXoU2UnYmjzrEMlupy,Amy Shark,2DORQjKJVYZMx9uu82UGtT,Spotify Singles,6vJ831b419D1qjX1clMjk6,56,https://p.scdn.co/mp3-preview/98fda7c33dea56494377e8ab826f36eb9ce6613e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Without You - Acoustic,04gk0AL1K1okgiAzBNwmfV,Linn Brikell,0PNyNiPpI6zQnbQyXDPQzu,Without You (Acoustic),12Np842rdMCgCRfzOJZxiA,58,https://p.scdn.co/mp3-preview/2b5501fce07fe835fbd1492e20f42ef239768c83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,What a Wonderful World - Recorded at Sound Stage Studios Nashville,60WpbrUWeXDBQlSrs8haWi,Phil Wickham,5d1JhBfyb58upMXCZOdbQu,Spotify Singles,4vL7Dk1tzpksoDl6ZKJ8H9,47,https://p.scdn.co/mp3-preview/3f1b88abfaec8b57a7093752fe547d338499411d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Youngblood,4WTBFVYpbupeihjkQY1N43,Angus & Julia Stone,4tvKz56Tr39bkhcQUTO0Xr,Youngblood,1eLRzXOF8Az4xvx5CSGZbD,54,https://p.scdn.co/mp3-preview/56ac9d314321f26d3ab5e4dcd815fc239ecac7f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Love on Top,3baRJUI4Ppwp3X3IbRyTPj,Sophie Rose,7zVoS1SW2Btj5qRbtlKuyp,Turn Her Up,4C9Di0BnbpWK8NfgDfoukF,48,https://p.scdn.co/mp3-preview/e24a8d8e8b57abaa6410b74f4091f2f9a85332af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Young Blood,21p4Uy5InzgMtt0pkG8GAB,Graeme James,09b4q9Vfmuvxb8LuOrhp7W,Play One We All Know,1Jd4UQffKhLShgcaAMYST0,41,https://p.scdn.co/mp3-preview/5a20d7cc392cbfc2d180972292f32bf9b210f130?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Dancing in the Dark,0aLBrgdmfl1DADg3ZO6y0N,Eddie Berman,7FfxvcUIbQ1VxrApeoq8ql,Blood & Rust,3i0G8lTtnie5oGe4xJuicR,64,https://p.scdn.co/mp3-preview/e8a16b1691e209363ad64c53656f2653691e6f2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,The Scientist,4Fmh543L8tFPlhaVdVRU5i,Bipolar Sunshine,0CjWKoS55T7DOt0HJuwF1H,The Scientist,4ixbvaPuQUHU9YVE8zw2kP,14,not available
52,SOS - Acoustic Version,01QL8Rr5E3972MrUsNhjIC,May Raya,30I99Rrr7vPR38I9Wx8oQ9,SOS (Acoustic Version),6L8kWvvlJUsOBpko43Ko0V,58,https://p.scdn.co/mp3-preview/aafb327bcfac551ceee0e1964227547b25c6b85d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
