Electronic Circus,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
27,Heater - Tube & Berger Remix,62dWJq7A2vjDGGAKzW6tgZ,Samim,3iI5B3NF2FdRcRocAKOAPM,Heater (Tube & Berger Remix),5jLT0itmjIzyrbGsnT6rch,52,https://p.scdn.co/mp3-preview/330d236ccff45ac44f8dd1bf71e250d562fb3665?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Acid Riot,3qp5F8HWEmcBPqinLU3Psq,Niconé,70s3JhU9Ai0cIowagibjNI,Acid Riot,2SwxDXmxkkAKujgEEdwkS9,40,https://p.scdn.co/mp3-preview/3f6f9afcbe5a165811150b180f6e757f49c01361?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Gordon,5qhFsYfA45vudFMyLjsm2S,DJ Tennis,6vJvFV1A2CpT8s5B1oUN6t,Gordon,4whx8LR7NJXnQvGq9HbQ2i,43,https://p.scdn.co/mp3-preview/2e03b6ecdd18ae4a46047db8ff5725d92b96fe3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Blackbirds,5KjzIDngJb6ANncJHicSn9,Neal Porter,7bS2JIZHmEpz0cHlSvXlhr,Blackbirds,2MaMxWKN29oNMypwe2JpvX,38,https://p.scdn.co/mp3-preview/383ee8ba19585430050d779f30806978899787f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Bepsi,65bJU7LAL1CivwWE8t5HLK,Butch,5kLzaeSHrmS7okc5XNE6lv,Hijacking,4AcuZiQbSNpRNEYe93e1Nd,40,https://p.scdn.co/mp3-preview/d4d5aed3938df7743e85a48aa683c3f98822d7d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Can't Think Right Now,5OVW2b2uV2b5xgpFFGi72G,Dalfie,3LfZvsjHCnxUyPFmEJlofo,Can't Think Right Now,5GGt9Mhz9kRyjVcyFn2wTs,38,https://p.scdn.co/mp3-preview/a54f58e2944a40fb08b1cbfbd673ee06527db0b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,You Are In Trouble,4UCBOukc7kUnoaLEe4mmMy,Bait & Switch,73dTmD2EJuqqd9QuEtYPLD,Secret Romance,4XrClr2kRuBY1dPrWMK2n2,35,https://p.scdn.co/mp3-preview/4e8e464474139b35c60c8c4bcc5acc34e9cac088?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,New Love - Club Mix,6yZC5KpHGx9P7desCuxeI7,Catz 'n Dogz,5tYqFEuFELxnJZgGmmsfSh,New Love,3i9XxJoV63LVyHI9QU9BL4,43,https://p.scdn.co/mp3-preview/9608c8fc21f28ca3295e17cd87a47de72aa88fd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Flares,3CjtbmCJMrbOEUWh8S32J2,Daniel Rateuke,27NerKeEGofbhhDMEhagyq,Flares EP,302FxMeg6eREhIiBBbNkd9,31,https://p.scdn.co/mp3-preview/8146fc55e17032dd27638483d35b372fd1e93d20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,002,7CRRhZCgFXSqX2Ef6v2tMh,Ben Remember,4QDXiDOwAxmzwZOaqP2ePc,002,0JAIJQzjjKWs9gCxvu2Uwb,38,https://p.scdn.co/mp3-preview/e90b9e4f749339331796fa9c54f9d412f984f3a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Paradiesvogel,4cakjwAhq3M3kSYGs4noT2,Tocadisco,2iwhenp5euZtZLmtK6cgbe,Paradiesvogel EP,4mNvGFRQZL5ouaBsIPjWoz,37,https://p.scdn.co/mp3-preview/586990a4e5488f31196db1ae83e4e6f62ab0d8f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Ritual,0y7HQDEEWcIxSBvGdGRh99,Gabriel Evoke,0EP5pCt1Fzhd8RkNndHy4g,Ritual,3wziTtMKc0vcUNpV2Q6yP7,36,https://p.scdn.co/mp3-preview/3a1ebfb44569df8e7df09a3591824887b1bba793?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Puzzled,3I9MgUOamBgRWsS1Sa7KKc,Ian Pooley,1m4GViPjIy4T8Pd0Iz6hRS,Puzzled,5VWywU91b9VLWT2p4mHdWF,37,https://p.scdn.co/mp3-preview/0fd33ea96799eb72b0303674459134a0b253547a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Get 'Em,7llJM11Q09SuQ0VsrEhAAh,Joyce Muniz,2V5PoybhNfFnNEs0NKv44L,39 Degrees,6tuRLwO92MyhP9E98UBj1t,33,https://p.scdn.co/mp3-preview/b7646bfeeeba20198c08e0cf227dd630d48e0b8e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Try This Demo,0OfaMLxT6CnFSiH1t9bmRL,Krawall,2V8sY06p4tWk20R2pOzRed,Please Help Me,6HPdbReczXdx8eMglFbd6p,41,https://p.scdn.co/mp3-preview/85d43c7d28bd2f99c9627ad970e9da52772747c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Airwolf,5hWjIPTtvTwcwExBbyZgm3,HOSH,3qoTlYFOahAlAh9ee3qnbs,Express / Airwolf,4kidfquEVMY8dROCRVIlps,43,https://p.scdn.co/mp3-preview/9e4b5c61c8a1e049849103606d8db4c88d91a48b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Heartbreak,5O9u9QFHt8f7plErVAxpV7,Hidden Face,1Itil4naIwgkm48BNTjZ2A,Heartbreak/Nightmare,6BwD0YcHajAGSDnfloY0Ut,45,https://p.scdn.co/mp3-preview/7ca2fc2907979286c2bd4c52fd8e58ac843dca8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Closer,1Oajj3OHEg15WQSEEkveKE,Anja Schneider,0f14r70OISSfJoyqYaHbgV,Closer,6U2Yfq5FuP1CESesZbMj73,38,https://p.scdn.co/mp3-preview/9c210e51f22e3915a0c30730d2b6bf78c1f25ceb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Alter Ego,2m1NjIVTEX9F2lMA0Wighm,Sascha Braemer,3egW8Pgmbjm5vS4EPXZond,Universal Language,2Rxot7EIugOPytXlbVm3ET,35,https://p.scdn.co/mp3-preview/3d981c22c5320c78ac8cf1e103a66f072b67c8d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Trondheim,0kUn9sPNCe0hnkrsqHwypW,Robin Hirte,0q4jQ2ducUDvYaE5vTZQqz,Trondheim,0CMYVcplx4el6Vjx5m8ocA,39,https://p.scdn.co/mp3-preview/083bd6900a1e4100f8d34eaaff820427c5ae04b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Assembly,76pU17NzmantizUgs699WH,Lexer,2vDXLZ9mI3CdTPPIzFUKlY,Assembly / Anwar EP,6GfeGCTUnlNz1DUUiP6CYk,39,https://p.scdn.co/mp3-preview/3aa48560161896f6904e3427cced766fac90504a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,We're from Uptown,6MbCznBWdXutCkDSroVq0D,Westbam/ML,0bIvvfPnM3YeHeORD57sAE,We're from Uptown,68GnyYYF6pRYmgpP47UR8m,42,https://p.scdn.co/mp3-preview/871955bf63b49c30d84951cfcfbe4b3c4ffc8f9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Mommy's Wrap - Original Mix,1QDHDeEtbCIiuOo91iI0nn,Andreas Henneberg,32fCH0Z7B8ydcz40ybZdqg,Mommy's Wrap EP,5HX7BCnQ4KwJ05qym62PRE,38,https://p.scdn.co/mp3-preview/c9401e29a08038d217d66f6b0aaf7e7f36b82680?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Black Powder,2dr1CekIXY9e5y1cZgzsDs,Meerkats,5Tp2QVmXiCmQHEphdWAPFd,Exchange Of Energy,4O5GM9XfjG9unEXwZ4iMF9,35,https://p.scdn.co/mp3-preview/ed4f62ee914aa833d5f4fec3f321a09a905d8976?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Soulmates,4ghhIzwqhaCW4fAwdKVm8N,Florian Kruse,7GhGgxIAhzJxZXvF1bEYZ8,Soulmates,5BVsHCBE69NfA4Et65KAOg,39,https://p.scdn.co/mp3-preview/9f35ff0e16bec50027f93a5605b4dabb1dfe93f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Evolution,18v0KGMLHoHlM4k7gEY0zA,Huxley,6fJvW51nWhRImJyos6O7sT,Evolution,7qi9p0UAWEbvkXkN1gbMYS,40,https://p.scdn.co/mp3-preview/13b74884d22eb8086601c97f76ea30a248d2f7ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Phaeton,3YBjtUm8Q6cqd5kaKRGEJN,Tim Engelhardt,74HdscE6G74tt01dbVZULE,Phaeton / Silhouettes,4jiIwobxyTYe4oGjheDxQj,47,https://p.scdn.co/mp3-preview/c285627e6b5a6446143b6742bb94569d1d5f64dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Inversion,5pI8RoOzSisXWdu1F42sjs,Charly Beck,7tC6LW6toF4vjT314raJ83,Inversion EP,26HgarHEeWHFj8vs4T3OTe,37,https://p.scdn.co/mp3-preview/0d0dec4e2b5fe0e259ce0389667c48a01932024d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Morning Star,0DDynXxeeos8SnZ0TY0R0X,Marcus Meinhardt,4yVEkQ8vCUQtJFRioN4Zhj,Morning Star,69JsRzXXSPmGvQ8FAmqU5j,35,https://p.scdn.co/mp3-preview/45c43d1ef702647ea04a92ce12b600ecd19a1782?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,All Time High,5IqmMl7hPmpeCSpjwaiOPz,Niconé,70s3JhU9Ai0cIowagibjNI,All Time High,5PEGN9C4WWwWeKKgFF0k6B,20,not available
57,Inside My Head - Original Mix,4THGsijwlOOjPFhezjIhB0,Audiojack,3Uvzk4iffO4mvchgRNJjbs,Inside My Head,2im2huSGqv8wtypeVcxssM,50,https://p.scdn.co/mp3-preview/178b10d8cdaf746a92f7f734978324e2287b87f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Inner,1KjmJNDREONdxfCzxIKqRW,Niklas Ibach,2LyxhWXFqUt5Zbe0KSW38j,Inner,6Ee1nfmnIsG9Bhw4UHVtO0,39,https://p.scdn.co/mp3-preview/6397c09a61eb8e6379a507b653fd3a08e8032346?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Babayani - Original Mix,60CSfCIS9cRfVWIp9K35eq,Stereo Express,3j2zB13syOvCyrkJIomEA2,Babayani,2XwLiXas3AEoyFqCpwtnRe,37,https://p.scdn.co/mp3-preview/e56081507e2bc21fe2df776d7b1813ac8758d813?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Facts Matter,5hN5JIoD4cILg0Zcvgbsii,David Mayer,7Mf7RKErlQ5maEdHTXNexf,Facts Matter EP,0WKa0Yz9jqXgLuV8EQRVau,36,https://p.scdn.co/mp3-preview/df1cd65728fa51a57c34206e8ced4f736496e147?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Fever,7Mlivo2VBJXGwFHo5IvYGk,Giolì,3nk8RAVtSa3Bw623V8p95q,Fever,4ED4SOPjSI3SK8kdIdNBWi,47,https://p.scdn.co/mp3-preview/17e3aeca37555b19cab617ab6ce0afc795a833be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Same Little Thing - Michael Mayer Mix,0RB3AJ670j3qxfe0N8vSfH,Weval,12tZvy2xFpWSkuJ3FsfisZ,The Weight Remixe,3aP4znLRZsWXvP0DqbgMvM,46,https://p.scdn.co/mp3-preview/c5038cdeba424b2331e9319528acd7e25b4d0065?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Riffles,4RrsuLKV1UI5yCk8QBqNkg,Mila Dietrich,6gFqC88ulyEMiqeVp5b71Q,Riffles,1KFVybM84C8GpE8X1kJnft,36,https://p.scdn.co/mp3-preview/6accaef1e87348e922b6787f6682548e59e996a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Don't Say,3NVRs4c3qc8J2V3BK5s6Nv,Eli & Fur,5CkVLGKUJkIc1pmSk10QP4,Into The Night EP,4gjmHnSJB3PihgqgOVfuxU,43,https://p.scdn.co/mp3-preview/3f1fad6755b24ea873eebe034f0f2f954bef7c3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Oktoberfest,2bnwIW2drksMVptwWxp7xx,Nico Stojan,1SuKmGtjsRRJcGhTspfUnd,Oktoberfest,3i8STW6m0fl5cnhE6NOhXL,35,https://p.scdn.co/mp3-preview/fe35b39a6b4bd08cfb3450be7f1b75f3fa9e7b51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Melodic Lollipop,00X5RHZ1avuylrHJd7wbV2,Dirty Doering,4N6XVXvfjBPNFCdS56TCea,Isko Lollipop,1wXYwNm9jEdio3Ly9CMN3x,36,https://p.scdn.co/mp3-preview/5d204241a668991539a61b2fe04cc3bcd1fa52d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Montserrat - Artbat Edit,2LVr6WQ6W7B3i8CeWFjcLP,WhoMadeWho,50Lr1puweM1hFsF1LpIZLM,Montserrat (Artbat Edit),0xP3As4wwckI15pJ616PFC,49,https://p.scdn.co/mp3-preview/0234eaea8637a035d21fe872574aec1c28def6c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Red October,0Kr7EzFVSxyNfTKHWc9tip,Mononoid,5T7igWTq82Gw1tJy01E6MH,Wind Mee,0TsUfbLytsMLQGCe1yYMuO,30,https://p.scdn.co/mp3-preview/ce92987ed009bd6b53d06592e3d2530a7207982f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Scrarab - Original Mix,1tT4xtghxdCzhQRbKBe8eB,Martin Waslewski,3qk4AowZhFKoYHocPk6l06,Scrarab,04wpXnwHzhTFOEpnn6NRNA,34,https://p.scdn.co/mp3-preview/f20d2f7d16be9fc0aa9f08cac62f4d57de91e0f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Tears,11XdtbC7flzHfAuBsoXJlG,La Fleur,5bt7DkWw4iHzjzRF2d9scU,Speicher 108,5jsKBF8CA5tinnaiQRT0MA,37,https://p.scdn.co/mp3-preview/5c24b027e5a731c19a99781b5870d45c683c1662?cid=fa83a2fec7c440b7a2795d600d6b2c7e
