Techno Bunker,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
39,Apache,1YZAAESXXSvHJzLdCvIgBl,Dense & Pika,3tlt5onLwIKTuaOAyI6ytC,Apache,6yRbmuP1wekwqhrW5P2jL9,50,https://p.scdn.co/mp3-preview/c425853705f8b0847315670c01f72ff0e2851b14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Mover,2cGR0kT799BDZzf4hyektK,Metodi Hristov,7MFugZiuQp41w92SA0zsG1,Mover,3V1FTDGPdPN73besKR0hLG,50,https://p.scdn.co/mp3-preview/c7ff9adeef60149699515d3b9260039cbd680022?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Contrast,3NXW0IffkGQ3OPCsctz5Yp,MOTVS,11jBSslmTEkEGXxpFfy91F,Contrast,3Gs9leWyOGuQjdOakymJRg,49,https://p.scdn.co/mp3-preview/eccaa9e322e4b040a6c6e037dc396b14919527dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,The Vision,6z3H6Mk3MWMpQXpfMAs0u6,DJ Boris,0CwEv3FWLZi5UomNNYUn0u,The Vision,2PJqOxAEfY2jYEpOEog8cd,51,https://p.scdn.co/mp3-preview/517e7e1b917d4edac741ee2d967c72ab8249ae97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Alien Body Double - Original Mix,7FrzWs2YG9lzYI0RkfnZrH,Dave Sinner,6ZR2XILLJ6y4cP6ttuBaRC,Between Now and Never,5HKYMwRGQnxBrtlB8zSntF,51,https://p.scdn.co/mp3-preview/704b6dbf90e6f4af7b445142b1f2b2fb6ba39ecf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Berlin,6b8J6KpSQbXnVmkGibFXBt,I Am Bam,3rQwQXvPL2H1TgO7R8MLpp,Berlin,1XFA9RSPrBf6KVuzA7Kshl,49,https://p.scdn.co/mp3-preview/5a353e30ffb7cf8273ef0c20983787ffc4034365?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Arrival,4wMbYmTzMzhjaJRyrsAnVn,Cosmic Boys,2jvTYwyzxK1FVYGEoKfZLQ,Arrival,68ycO3Ap3uxsWOP7kFSwel,49,https://p.scdn.co/mp3-preview/a541e7662277c913460f1d34e4a2626505fe9e9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Comatose,7HEVBrwnkGuIBtfer2V25t,Eats Everything,4W991QdgKWX4TO864ypInA,Comatose,42wCLafaAzvudUNBYUkVX0,52,https://p.scdn.co/mp3-preview/0980501c71ba874c0442ab14126d182dd48179ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Recluse,7nYvJSM0yp9tUpAJgrYoGq,Tiger Stripes,5L56gAwU2WofuHHOpLC0BU,Into Desolation,2w9yhbMoQwYQnmg85JhQKW,51,https://p.scdn.co/mp3-preview/abdfadcd802b09a808f75f9c5d273a4d44515b6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Synergy - T78 Remix,4a9vqREY422Hr8NKySHxHB,Filterheadz,6XqUjMGrl5jFwwyQ6hheit,Synergy,4VKa0Xq9dbdP8wMO15DAsu,49,https://p.scdn.co/mp3-preview/5ae62a0672d7a742d1578cdc62bb812b253765b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Nimbus,77DdPcZAgdV7fvLf2peo7o,Victor Ruiz,0xgdNNa5mIbnJKp8AG8S4z,Nimbus,3qVdBz6lLgs6kdTiYDIMgY,53,https://p.scdn.co/mp3-preview/51e1e2bc4479694ad20c4c15172535f237792818?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Together,2BDE6wo2p7N24w4mNfNQSR,A.S.H,2ES9p7AUwZWCR0xfGsCKTC,Together,2Rd4yCMLrYv7yQwx65OOlP,49,https://p.scdn.co/mp3-preview/e79f17d1cfda17684d98dedd1cafeda4e4ef7e7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
