Top of the Morning,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Crazy to Love You,4p1QpM8dtPMXHwCQotLAW7,Decco,3eii93RK8M9F3wEJDe7YJG,Crazy to Love You,6zsIVgXBMVV8PtUVOuEP63,61,https://p.scdn.co/mp3-preview/3a3e8429ec5d8b719f8e75823c41c01b8b52f7c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Blind,0DsrOQommL60LaaGBskyua,Corey Harper,24Bq9F6DJfzTaqgmoxT5vm,Barely Put Together,3i9ItZZVQMqVj5WOLkVoal,55,https://p.scdn.co/mp3-preview/a4aa6c0330593e7a13c7520f7f5b55d7d0669ef3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Small Steps,306e44d25ZdX7nIlu6wy4D,Tom Gregory,6Rmg5JiRphFMlhkwGNl9Fu,Small Steps,437Z6zQZRubtLwGxczf3ce,66,https://p.scdn.co/mp3-preview/4ac5a66f1d890177b270d3ebb51883d6eb439494?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,River,3mRLHiSHYtC8Hk7bzZdUs1,Bishop Briggs,0yb46jwm7gqbZXVXZQ8Z1e,Church Of Scars,1TTxcgs3zEngN0EB56yXzY,77,not available
14,Birds,6Tvzf3VEi16JMhAgOwdt2y,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Origins (Deluxe),3JfSxDfmwS5OeHPwLSkrfr,78,not available
15,Left Me Yet,6k2t5GhwOIKep31iyJ8S0L,Daya,6Dd3NScHWwnW6obMFbl1BH,Left Me Yet,5Wb43vZwNAsAV97dHAIXYl,69,not available
16,Little Help,3uQp3pxHqAcNTREQeZrbkv,The BossHoss,1sICjVlCMOCah0snHXWUz0,Little Help,3eiL5eXnglxjhuRxG8ZoNW,68,not available
17,194 Länder - Single Version,6kga9ZYARzHBprnLOENrMQ,Mark Forster,7qXzy6c5RWT0XlVQcOBIDG,194 Länder,0L0xCOeLaNEErHE74qOfED,65,https://p.scdn.co/mp3-preview/225b9d321c72372c20f1941186a148ea36235191?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Trampled Flowers,1ER9KfCGOWUmurZjoOpEXZ,Willa Amai,0iP3BGoRpnHIZRVnEQLlHF,Trampled Flowers,0On3yACgwWXA82GbhtjHaI,53,not available
19,Better,5Pwu8NkDhEkObPp8TvHMUn,Lena,5slpk6nu2IwwKx0EHe3GcL,Better,2lcmzK4IDOwd8Sh1FoFWYw,77,not available
20,Hoch,4SWu9u2dLzmYa8dMieyayQ,Tim Bendzko,3xDVmZmDpaF1uuez2N7mKl,Hoch,3zB1yfRc2e0vMayXMi48dS,77,https://p.scdn.co/mp3-preview/ee56a859c14ab29aa75e5bb5ae0efff2e0826a44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Torn,2GdxQw8NwoeH8tKySg6nym,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Torn,6a6Dy4LaFvh43Ed5lomDEd,80,https://p.scdn.co/mp3-preview/1ff3cfa3fc477d266958ba7a0dbbdd0e287f9b93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Welcome to the Rumble,0dY3oIXaViX6a5t7IRibbo,Malik Harris,7B6Uk58O2DVfg1xZPKEp4n,Welcome to the Rumble,4UZEsitf1oG416MkWIBHjJ,32,https://p.scdn.co/mp3-preview/56b7239e007aa399ce163bdcc20ce7de9986a7af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Castles,23zzZpPotrX7adSotiOvtP,Freya Ridings,5pDjmC5mRl7vDJhsjVwNfk,Castles,7jWoG1j20gL7p51DFyhPXb,62,not available
24,Let Us Love,2Ln8KzONjBfBYoap9lNh7W,Topic,0u6GtibW46tFX7koQ6uNJZ,Let Us Love,2znIiVu8XHg4Drlcctgmzs,61,not available
25,Ich wünsch dir,6Ubu6f6HM3s04qZuGIccsx,Sarah Connor,7e52Ytzjj1q71DUj2cSlch,HERZ KRAFT WERKE (Deluxe Version),0KY05MDHUSPohPlzHrwTQI,62,not available
26,Another Place,4ENLZqdPMDub5us6YLSAKa,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,Doom Days,2QzbL1DICo4xZnWr8Sw4fF,71,not available
27,So Close,7FjZU7XFs7P9jHI9Z0yRhK,NOTD,5jAMCwdNHWr7JThxtMuEyy,So Close (feat. Georgia Ku),4ZIaWbFnkMozASM1CA59K6,82,not available
28,Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,89,https://p.scdn.co/mp3-preview/f94d8d0c1b37773ff493e7d83930545e3425ccd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,False Confidence,7nDFTHHwfe32a8qdp9XqPy,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Busyhead,3DNQrMjvVGiueVrj1qquJd,76,not available
30,Let it Be Me,12PJCkZit47Sr3K705SZIm,Justin Jesso,1QDrz3DMMaz3TB1cm0PGDu,Let it Be Me,2TrHCst807agFlmPDgR7Ta,61,https://p.scdn.co/mp3-preview/8d9acb0bc4c62ca4e71e1e4c454910c306e723a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Sunshine,7bQ8aRXRtHgLekOviz5Rjc,Lisa Pac,2S0EVJD6SOdp3uHsSkZObE,Sunshine,0gepTTWWsIrYgSWUtX4X2N,53,https://p.scdn.co/mp3-preview/6805ede00a63d823fe391fbaf8e92f297f7ff123?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Wild Stare,2SClPoLfPJmwrr3EyfgRTS,Giant Rooks,5wD0owYApRtYmjPWavWKvb,Wild Stare,1dNicYsMG4Beogrx8blBYZ,68,not available
33,Undrunk,5SHhPFh68OhUmuRPymKX9d,FLETCHER,5qa31A9HySw3T7MKWI9bGg,Undrunk,5Skgz8BwS0Lfw2zlQSy1EB,58,not available
34,Shadow (feat. IRO) - From Songland,09Hjv8GEDhzPxqiJCw8dSB,Macklemore,3JhNCzhSMTxs9WLGJJxWOY,Shadow (feat. IRO) [From Songland],2TZgCoAnwX3YJmOfyC2SF3,74,https://p.scdn.co/mp3-preview/8ae7e8df31d6b38bf26d5449e98842e29dacb619?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Pyramiden,7BQPDR1Zze52cysgBnUC3X,Sido,4Yttlv9ndGjCDCVLqM7ACq,Ich & keine Maske,3jdqYXotnRgQwG3HTniNdH,67,not available
36,Either You Love Me Or You Don't,20dLwdByS6il74d9UR7hcU,Plested,2nJYGgfTf2846LtVB3AES8,Either You Love Me Or You Don't,38qOBmaEvLag7aq1CYVR7w,60,https://p.scdn.co/mp3-preview/efcadc2c66c5f85a9b0d336274371ff3d491906e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,"Auf das, was da noch kommt",11jlReU0TW0xxJK8fPlCzt,LOTTE,3gqabzO7zvHVzAIT0Nxqa3,"Auf das, was da noch kommt",4aa3eHaZiGupkhzMbNBNy7,65,https://p.scdn.co/mp3-preview/c4701776765b660c75b2ac40125be7a9a0a71f59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,In This Together,4vSVqPMIHi0Brmv3uS0UJF,Emily Roberts,3RBqLTttwN1orqQozYfmJo,In This Together,2BNNsGMV8N48uqoqWSuW4T,55,https://p.scdn.co/mp3-preview/f75afa2f8a2824e25e501074b5537527463df286?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,All I Need,5Rl46WM2MJ8OJe9IXBKLuM,Michael Schulte,21aa4pj9BvbFB2iT8kRpnq,All I Need,3muljzkKxfsdIto5bi1DGh,60,https://p.scdn.co/mp3-preview/d7d3e0c7ef6b54824770df580a9f83d3d8062cbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Grund genug,2nVZMVp0CS0oBXaekiAfKM,Madeline Juno,6u8KyY2rfBGDtDejRJ9JaQ,Grund genug,3fbJQ9OiKVTGpGKZiuba8w,64,https://p.scdn.co/mp3-preview/fc3d5af98ff99822bdeabcfc8f1ca3a742a3ffcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Shadows,49yEzGIhEiJunHvwcc0y8J,Stefanie Heinzmann,0bm9qSmVJmT9CEukIhhZY5,All We Need Is Love,3dgndujJ33jYeq5xc0QO5B,60,https://p.scdn.co/mp3-preview/701be75b12a154768549363646144f76359a9e5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Let's Be Lovers Tonight - Deepend Single Mix,78Nbhzs7Eqp8jPZBq4Hafn,Rea Garvey,0bmxU94V20pNJ2Vie9kFYv,Let's Be Lovers Tonight,1qtqJK0hCugOCTiPOrJJA6,54,not available
43,Zu dir,4ij2vmffYpMjCTDd38vvEV,LEA,5Yo5iU2nf4H41waPl4ZnS1,Zwischen meinen Zeilen (Deluxe),3BRzzOrxdksgbL4Iw7dNHd,65,https://p.scdn.co/mp3-preview/67f00ab3fa1e72e08586c575dc5f2695c6081f6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Breach,0NVQ9k3wKmuK6T02lLMl6y,88,not available
45,Du,0YiWQeLMT6Dz4dAyHE9AzP,JORIS,7BKePXVmQRgnkbGcrFX1G4,Schrei es raus (Deluxe),1vdVYpHHI7gjnxf0VwyG2Z,62,https://p.scdn.co/mp3-preview/4db7c5309417b2bfdb216403f621498aadc488d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Can We Pretend (feat. Cash Cash),68t9p1qXaslaaxk4xhTd4m,P!nk,1KCSPY1glIKqW2TotWuXOR,Hurts 2B Human,6JKkXVEljQJ1wKbRG5MywC,69,https://p.scdn.co/mp3-preview/5e10fb922b2432b3dff86ebcd51f7491a2429302?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Hallo Hometown,5CDuAQHZ5yTbYstwN1j7tg,Bosse,2e4uIDIIBXR0MmZe0AJGhR,Alles ist jetzt,1xAUqAqWBUwPGRv7YJvP39,57,not available
48,Masochistic,56o8wi8BFSpeW1m8TRcQUJ,Blithe,604wNNLUmrAmNOSEU8GfK4,Masochistic,4gqoXId2ShFtzrx2YUUmA8,55,https://p.scdn.co/mp3-preview/b169bac19cc9cbb54449a23a0c6aa1d4cee95c49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,2x,2pu5rVWy3zPlgypJzL3Mlw,Mathea,3r5Kc95Oz8lDc8BL9ChO7n,2x,1qLxyLC4GgVjEiiOBtckaJ,69,https://p.scdn.co/mp3-preview/037ef58f9ada140a58b40880012b41d36fd9b8ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Hold My Girl,42bbDWZ8WmXTH7PkYAlGLu,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,Staying at Tamara's,2NaulYO6lGXTyIzWTJvRJj,77,https://p.scdn.co/mp3-preview/17379b03a90eb6c1414e07193696d70032509e00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Gute Zeiten (feat. MoTrip),5xVFxECn1b49rP3VmYG42b,Xavier Naidoo,47RPLpnGhBRTjQrRBOev9s,Hin Und Weg,7hZNhSNxc6NzxqrFbxyMAS,63,https://p.scdn.co/mp3-preview/590fe511adf277a26379d26f365f9c372a5bddae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Arcade,1Xi84slp6FryDSCbzq4UCD,Duncan Laurence,3klZnJvYGIbWritVwQD434,Arcade,7BISGeB7QwhqRIadxuLHfG,76,not available
53,Gloria,2ZR7DiAXXAOUr85ZBreWt4,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,Gloria,65DRJr6ua9iSz4w1jsmann,63,not available
54,So kann es weitergehen,2tPTs7vff8879Tm6BkPxxB,Philipp Dittberner,7oaSITFPadI3fnIxbv7hTa,So kann es weitergehen,59atZZltlw6qteBrxMpcqh,60,https://p.scdn.co/mp3-preview/72119fc84d0ca0bb820fb1b1135c5d8391e2a230?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Nothing - Single Edit,13aquneAiVFMVpWbQbhAEo,Son Mieux,1BCBAzjX8J0qpvNTPRDCLc,Nothing,4Z0VmQdmZ9xO9pFmtfGu52,53,not available
56,3 Nights,1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,"Don't Forget About Me, Demos",1DNx0H5ZX1ax3yyRwtgT4S,89,https://p.scdn.co/mp3-preview/4541d9fdce0a1a70103690863356bee8ca05d02b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Bittersweet Symphony (feat. Emily Roberts),6sYJuVcEu4gFHmeTLdHzRz,GAMPER & DADONI,6HQ6vf4AloXyVNdyJhrX1J,Bittersweet Symphony (feat. Emily Roberts),4kFCmKMq1c6gl8eema7wkg,76,https://p.scdn.co/mp3-preview/defa3f2ed5154790750164c170a2e4971c75316b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Power Over Me,0OGNtqKkjI7FCE9HZ4Khgo,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Power Over Me,7ohVCsxjU81BfXDGj6W8Ba,78,not available
59,I Found Out,4Rtn67FOp190QwbWeTD6TN,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,I Found Out,1fWvu6l54on5kRfgaAkedM,52,https://p.scdn.co/mp3-preview/27c4b70bddf6f2faaa0b88c880f6ca4139dd692d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Sail The Sea,1p6hQDMeGLtmCttGgovmCL,Adam's Wedding,1scYhm6PrjbjIpaSb64rL9,Sail The Sea,35elSQQVyw1XgjJ4W1sygl,51,https://p.scdn.co/mp3-preview/90368227afd8f9289e8ea738b7590570a2ac2630?cid=fa83a2fec7c440b7a2795d600d6b2c7e
