Deutschrap Brandneu,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,AHU,6ucvQUu7B6hims4gCzfevW,King Khalil,08ao8gzTHBtNf5Laf9jjwR,AHU,1xY1JALyu2Wxdf3cm6JXYk,52,https://p.scdn.co/mp3-preview/7a929a90a6ed03f892719e83c127a47c902e887d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,MANN IM SPIEGEL,7kt0h8RqGwaoglUYFuwgXn,Fard,7iZ5x5fwRwROoX3iRWpVgN,MANN IM SPIEGEL,5cC4cCOOw9woL5ntbnHatS,53,not available
14,Highspeed,6TuGkIbjoI6yXIkgdJ1q0u,Data Luv,2gtmbs0Uas9TBSMqkA4zjE,GOAT,548jXn74UGelAyvcRO1GQM,54,https://p.scdn.co/mp3-preview/e36d3348db2b7e6f89571182e7f418b8222f5ac3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Hakuna Matata,0m7efS7TCdIEBMRxvp9WFz,Remoe,2Q570lQPWiuP2dCOP69jO3,Hakuna Matata,2AvoyuMs70mGU0ZBNBSbnu,53,https://p.scdn.co/mp3-preview/fa62ce100868213d3fb530e37d35f18836b21caf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,TBT,49Pmw9fJiPlnrMAM5TJ3YE,Majoe,1a71mkqZC54WhePSbnq7RK,TBT,3KIoXkJuIVXqvQV9Dm2GkF,51,https://p.scdn.co/mp3-preview/e5c80e99b06feb696466726fa8bad45aae91ac25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Pink Panther,2r4wcCaKHrsNrirk1BkkdL,Gringo,5Sjj30aHCmKcM9SdVX7PBK,Pink Panther,0cZ7ABrRzW3CRPDI9ZhyAl,56,https://p.scdn.co/mp3-preview/21595eedd0401d7022911dd430ba2e175c0750f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,George,4ZYayp77xEg2RFgiVo6xMl,Ali Bumaye,6hMNiBKUQFKpnZ7GTvLVZf,George,7H22buj97n6iWEyMhATHVi,52,https://p.scdn.co/mp3-preview/3093c2ca12e3af799b758e77eaee8108d8ebc41d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,MONEYHONEYDRIP,7uj8AUQSUg8ZAzabYLwt8f,Jamule,4sVieJlKgpZ2k9ESNS5IdN,MONEYHONEYDRIP,7kaO0wgFXhAX9h1pfxZHmn,75,not available
20,Biturbo,6mh1ErQFwTq8aCZMbPoKWj,Bausa,13bDjug9N0pyv3ZUINjkDV,Biturbo,5Hc7qKx9kTHzGMjneg7tJm,71,https://p.scdn.co/mp3-preview/542050122aadbcc725c23abc8d7aa92eae68a2fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Bunte Farben,7emD4r5AwM5a5jU9NZ51FO,Eno,3GBBxBdoolb0B5YizZq9bF,Bunte Farben,3pQtiNNA2RoCUn4up5uwEo,70,not available
22,Keiner kann was machen,3sJReCcPq9Ff3Xs4B7g5j7,Fler,75ctWsRuGXmxMxnFPkuEwA,Keiner kann was machen,1deDNR6Fv1qKEEf3VjWMkN,67,not available
23,QDH Family,2lx8Ir3TlI7bcZa3yE7x5X,MERO,5wyWp867LWGjFmYZXVSFnZ,UNIKAT,3BtNr9u1bGdzAZx2wiKzfk,71,https://p.scdn.co/mp3-preview/3cf406640c174e61368efde0b55ebd81d589d2fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,9 mm,0f9FAdm6qg2b7vvOhO15bU,Kalazh44,5sRQkVexJlax2iISuqL8cV,Nix gibts Balazh,5xzGE5PRmApLZHQYqcrtxT,64,https://p.scdn.co/mp3-preview/3f3168ee24318490efbb261a5cdbd323f4223a75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Bullets (feat. Kollegah),4hlgquvF9ttbq61cPUl3E9,Asche,4422XPmmt7lJGKjYbYSI6B,Bullets (feat. Kollegah),7GlEmST3n9NUKZsSeZ1q6t,64,https://p.scdn.co/mp3-preview/09e47760fa1fdc187f239c3889e4d97a5539f523?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Fabergé,7lnQCEtaDJeMZN75siSxLc,RIN,18ISxWwWjV6rPLoVCXf1dz,Fabergé,49FJWzYuQkOYACQ1cMyb6v,80,https://p.scdn.co/mp3-preview/929ff42e551bcd18cf41de389396432de2e04c6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Flous Money Money,0XT9vawuR13ONOjmPt1OV3,Bato,5g3TY29rk8El8lvejImgso,Flous Money Money,7HIzOiJcjxN43h0Y0GJEkz,62,https://p.scdn.co/mp3-preview/85e62920de33a9d6c71ff6cb202fed7cd30483c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Kein Ende (feat. Ardian Bujupi),3wneKl0jkJWUdOcEhlwZCg,Payy,5p4B4WSKIGvSfhc90GMxw9,Kein Ende (feat. Ardian Bujupi),0DmSm3Jgyfce6Ip2fyEo9p,63,not available
29,TELEGRAM,5W1wYgVo9QoKlLZYecrZgE,Fard,7iZ5x5fwRwROoX3iRWpVgN,TELEGRAM,5Y1lzQabbczDDDmPMdWbub,64,not available
30,Bentayga,6hnj36hD8C8U1aYPKfTqd0,Seyed,5iJuniDT0LFzXnMoLI1YFV,Bentayga,4ArVTVV8bNXRcRN9jtcJcN,61,not available
31,Benza,3XS9HFYqoqV02GWu8unKAf,Maestro,36qY2GiiA6O32e7iWGlrqF,Benza,7rlMlRi3JyjINoFQerSI67,63,https://p.scdn.co/mp3-preview/ac09297be20b1299bcbcd8a2c9fdf1e3bca7d701?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Goyard,2ATTezQJAZe5Itf6eFZ3tO,Lil Lano,6NG0bF3tpQuQOixbzFPLIv,Goyard,5BEnVoYQxJzMABSJKDYR6E,65,not available
33,Keine Tränen,5bpusgJgok2kSXDESoHxA5,PA Sports,2qMezKrAKRh2Z2uR3fCqHt,Keine Tränen,1DLxFm14DNC1kbje6bcX7F,62,not available
34,Kaputt wie ich,3pMnV4EmPHAWhlVzjqZUaj,Tarek K.I.Z,0HXAyc6kXXdnrE8wdVwS5E,Kaputt wie ich,3N5StRv71njY4DEiWMXQGK,65,https://p.scdn.co/mp3-preview/44110c05ddc14f0e4781d54fca57233b310f5561?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Wie viel ist dein Outfit wert,5vBtKER4hxht4q46YrpMgG,KUMMER,2TiXt00aPsggbxZxL1RaG7,Wie viel ist dein Outfit wert,1uhDVWOHqI6lESnlRKlHzU,58,not available
36,Patte Schnell,4YaEZb3AHFSPXb2h2RfzuH,Mois,68LM3gnzfl4W5fkfLIxbQJ,Patte Schnell,3CIQiMkHwbKDAaSDO8LJeW,55,https://p.scdn.co/mp3-preview/07d3ead739504c4625f50c8d6493db75e81d973a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,The New,6meUJQ7EIsIktoVUVIqst2,Monet192,60uPSVM3svOL8kZ3Wkb3Zw,The New,2pmGtXuWyuCKaSJZqksVJA,42,https://p.scdn.co/mp3-preview/1a54f8237a759c098da6b052ee939696602b6557?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Lawine,1ogOCIZu1XeY7uLiyzI9rM,Yung Kafa & Kücük Efendi,5mPOOZTRDsRf0iIXixzfgn,Lawine,6znGIg8uv2VRtioKFA9Kn5,50,https://p.scdn.co/mp3-preview/05b192800d19817afdbdb050723602bbb0ce31ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Frau wie sie (feat. Tommy),2zYw4ia44bLBkn8iKwp1cn,Doezis,1sR2x7dMTEngDSxU14ZoKr,Frau wie sie (feat. Tommy),6O6CKlOMlr0G4Sv0SVBXE6,40,https://p.scdn.co/mp3-preview/315c5c831b15af660e87108b19db41b48050d8d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Alles so gewollt,5eTG2jqUTOaP6wmb40Ej1W,Azero,1ClEKlqNYU7inZeZECZil5,Alles so gewollt,4gZsA6mHSw0lnKboW16gni,49,not available
41,Alles scheint,5aEiYmoZCSHGJyW4hLzCvA,BEKA,1f7QsihhMxdhr7kLkS8Q1x,Alles scheint,4nel6LUb7SJ6hF9wSJRCco,43,https://p.scdn.co/mp3-preview/881a8594262890223292f2028426b79601697d33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Schnurri,2y2usz5YMlB64Sx8HdWgbP,Plusmacher,1tkiSPJsPAkFYVLBEgDABY,Schnurri,3T6jI3pQb66gwQW7mIYFFK,40,https://p.scdn.co/mp3-preview/7bf2052b5695d5a8ddcff95b933f1175233559b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Moulin Rouge,4G4bMQitCVMNSTW5pbQk89,Flavio,0CwCsL8RGhMAN5X5vyiQev,Moulin Rouge,2AkfGqNp0rp8fYSoaeBHIu,39,https://p.scdn.co/mp3-preview/88ca0364a8dc8e4e82433748fe000e423dcc9078?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,not available,not available,not available,not available,not available,not available,0,not available
45,Roof,2fm2S8VRzxZYthjySofb8m,Finity,4L0lXiZj9QwPAw5z767fVX,Press Start Button,0ov3NsKQPtUpNXHGK6Hrsk,35,https://p.scdn.co/mp3-preview/8540578efb97e9d13a27d3a3c4f0ec5ec58e9a3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Ich glaube nicht,4I5dIlbkr89ZTEVnHKBiI5,Enemy,6nef6002aZx63N9P9KSmCF,Ich glaube nicht,3yZQygzxj7kObMonSVFfZm,63,https://p.scdn.co/mp3-preview/6086378545edde416ed63ea26393196a030aed44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Sie liebt es,0vUmK3r7a0IRci5t4rFG6l,Remoe,2Q570lQPWiuP2dCOP69jO3,Sie liebt es,4z0fN0d9akw37GPeNgFLWK,61,https://p.scdn.co/mp3-preview/2e11a1ce07c1cf9be33d59a32c729b36222f0480?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Fuego,1ni4vHCGWKkG4IQnKzn2aY,Florentina,7adCbfW9aRcBxWhuuSNXTo,Fuego,2F4l2hS1nP4m5MzAI3iitq,41,https://p.scdn.co/mp3-preview/18ca757f2243ef6e1109e7d1aac70b17388164fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,SCHMUCK MIT KRONE,5iUWyHOacltmqVgSUbvnoY,Ramo,3eSn9mqkLzdmxzHJ9KDPmC,SCHMUCK MIT KRONE,6cg9kPMTooQSvppjbdjy27,25,https://p.scdn.co/mp3-preview/65900aeeaf14028d45c5a7fcb362f836bfefb586?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Sie Is Geladen (feat. Nura),4Qt7LInzG4ruqcIrowldhg,Seeed,5ISjkNS17JpCwiFtW80lpV,BAM BAM,4Dz7LOUDNEwFDYFGu7iiIq,65,https://p.scdn.co/mp3-preview/6eac438325e5999ed8ed408fd4fa27175c431b39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Phänomen,3oMUtW4cwxv8kRJqn10Kfy,Luqe,60DyqM3ZxtTK7M5kIFUDbz,Phänomen,4TZxrLnJ589NxJqQIeGkIW,53,https://p.scdn.co/mp3-preview/9c817bae4d482910b54fce1e83790c08a1199db2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,iPhone,0P40Ywc5GX7TEn7hq6LrOs,Seko,7GptaEPiZgRi49gxszWHAt,iPhone,4qgb1pdYdBwoxsYIltxxj3,49,https://p.scdn.co/mp3-preview/f612825868edf68b1d2735f8ae936d57f511e86b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,E.W.I.N.,6WBA0UbGrRi2shYjOtXCGd,Nullzweizwei,0TVANDORspsd2X7Gg9rhcW,E.W.I.N.,7h9wOEnd1bOxxFlMSXK7oX,51,https://p.scdn.co/mp3-preview/df57b3cbfe14553084d1e5b3f3a2ee226ac434dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,1990,7m3h6vrPPS5dfo6dDVMgOr,FiNCH ASOZiAL,1ZyqnbV7Brg5LgyS4EZCUD,1990,0VcponkEzmzxXqeX2DPEEV,61,https://p.scdn.co/mp3-preview/7adc0cbf62a3924b952fdef39ba56701e73eda0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Vice City,4PuCIV3HclNGiEj3lfiN3l,Casar,7IENU7K9Qq8bd9U4pc5rbt,Vice City,4ADeEUwJNX1I4w1jEslqqD,58,not available
56,Heimweg,46qU1V3tZy1ctP4k8JDPwf,Prinz Pi,3OYM3jjPVR60kOqmamRRgk,Heimweg,3WfvJM8Er3XkSY3Pspgkg3,57,https://p.scdn.co/mp3-preview/2e84ce7c9f8b6432d052414e6bb5f31d927c0218?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Was bleibt?,3dsL8dN8TvlyJaXhCzFxaU,TAICU,5aoCTzkn0qtpBVbeuCXgYT,Was bleibt?,47eDvRWUWpvD1ygVFmQck8,30,https://p.scdn.co/mp3-preview/b33cfb5e909e474b8f40917abb2ffa5be1384cbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Geist,4kykPQyPS0GmI6ScgAUdyO,OG Keemo,4gJT0OnBISFA5CPMNYBGIE,Geist,5EI4DWdBmx1lnhHAiUQZPN,56,https://p.scdn.co/mp3-preview/fe377c9b4103cc33e873a767a813f69abf3a4d65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Hochhaus Original,1FMKOAYzajPoK66XgIeXF7,9cigK & Abycc,1ArsDcEH9O94z7bn7PRdfk,Hochhaus Original,6vx2PsHm1TLmKjRMQOTKoH,42,not available
60,LA Lights,0r2Z0TPNwLt1rZMAAEvmD6,Olson,3JtuxOs4xRaE4r0S50WcSI,LA Lights,4gNIZuRVaE4G9Cc7EuzrY7,44,https://p.scdn.co/mp3-preview/9c82468df0be64b68f522a28e27971441e6bcc7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Skydive,1OSqBgHc9S0N3cb3O8UUkJ,badchieff,6GoNVmYCl0yUm4pEp80vn6,Skydive,7mBFcjDx09Fhp1frDIpqbD,49,not available
62,2013,56ncbMTMksCII3Zz81ugad,Antilopen Gang,1HORQCHE3Q4m0tAKiRsIAB,2013,2mlQVE66eTSCUkX0VdVDzJ,45,https://p.scdn.co/mp3-preview/97fa2f0edcc2bc73bc59099c8e4f4b2655ff4054?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Siebzehn,6z6mdqk31uzOE9KSb9QwVd,Max Herre,7IpWQKu80qQvyer3LO6SW3,Siebzehn,2btBFD5ZzpV9rsMiyBTLZY,47,not available
64,Spring,7bJX34JRRY0j8gGnfo9tvv,Yassin,04D2woeEnCEpk3Y01gTHy3,Spring,5UmabFbvYtsYIGdrNsM84l,35,https://p.scdn.co/mp3-preview/92703b5692a3c4095cc484fc78d6927f74ec77d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Burj Khalifa - Tour RMX,7icmpHtL4yjpDglqFXlWYu,Fatoni,4riceIF5JCEKaSIwwLqIYt,Burj Khalifa (Tour RMX),50QHDhEVE0q3Nj4GIdSn6r,39,not available
66,Der Apfel fällt,5BVCjjl9nOai9SJ5Mdqqql,Fiva,1yyVo8VBUjIsROi57j7UIh,Der Apfel fällt,1MDipUjImzSmGza9MA3r0f,33,https://p.scdn.co/mp3-preview/ae80e91529099c2f46c47e3b4cb6cb2122b9efd6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Olles In Ollem,4xN0pJyJlnSmxFxTfBhGnw,Hunney Pimp,57pOR8C6ibFncfFaLWcbI1,Olles In Ollem,0Kmu6uWJvOew3WHbuDHB6z,28,https://p.scdn.co/mp3-preview/5ea016c96932898f82e6a8f41ae47a428251033f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Lavalampe Lazer,6TZ9rDgRUr6bZjuH9KXDLR,Goldroger,3sAbVxYjczgrSmGrxcu7bM,Lavalampe Lazer,4srQfzxJ7WO7AwfyX1cbgq,41,not available
