Herbstgefühle,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,Not Your Lover,2vJRBz4DNxvJ7mvtGzajoy,Morningsiders,5hPR4Atp3QY2ztiAcz1inl,Not Your Lover,2gdJJOQneF4ZPWbJoOh7Zc,26,not available
13,Bonfire,0s5lCsDwY8zg0aduY5YsTd,Huck Finn,79Dwa28k2POaRW90JDq61g,Bonfire,4Yv6SDgxYVzHBukkUqkWas,58,https://p.scdn.co/mp3-preview/d57965339334414b0a320b12ec04222b15ed8c5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Ozean,7ED8m8m3QJvDCnYFOi6VXB,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m,Ozean,4AFH1ZeMsq5MSwgOqYfZVv,68,not available
15,My Shirt Your Dress,5VsFPWB1Ie7wTdQXKfZmcU,HUNGER,5VUb62L7ets9FgFFJYfAmI,My Shirt Your Dress,1OiMlXT0Gs7xG8h6bxfTO2,53,not available
16,I Don't Wanna Be with You,45rWprL1OSo47vSkTFNOOF,AROMA,7lFu1iBajAyYrfZiaCNpNP,I Don't Wanna Be with You,0gML1MvghNhwcIYsT9OFE1,51,https://p.scdn.co/mp3-preview/4278ea74dfc125684bd8170a4979f9e4bc62b30d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Better Lover,7Bq0eTBJ1SbvXL0fAfwVCa,FYE & FENNEK,4yJLNbBTCi2Oj9FzG0q1SJ,Better Lover,03OD7fzEKFYC4Wv1JLPQ3p,55,https://p.scdn.co/mp3-preview/71c2bcb12e98d4799c3dba71cdb40b015328214b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Look At The Earth,7FiP4nYebzGWVmxLCgzOqX,lilly among clouds,5sFnsFoXAwaCZWKycRJTJ8,Look At The Earth,3dWtFsH8YI7z8v3ck10CYS,54,https://p.scdn.co/mp3-preview/38de4da2add2eb933d382418511867a85218a512?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Go,1Ap1pyWQXwrJavKOlnG5an,Moglii,0lIIsJafIVVi3ruN2vFzpS,Go,0cPRlsNbuX34tgqqb2wKji,54,https://p.scdn.co/mp3-preview/26b30c525efe916e220711ab47fa9122a6f93b6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,The Game,3SizzG7euVFFLsSkpiT6rf,Milky Chance,1hzfo8twXdOegF3xireCYs,The Game,4xJaIRW1d18t8UB8KCiovM,66,not available
21,Smiling Face,083YqmGxSLpgr8Hr6HeFNx,Cinemagraph,7zMxkD6FhVkm8hBRy7jyJP,Smiling Face,75E23gvtdp9zPvRpKXWcIA,56,https://p.scdn.co/mp3-preview/5b803ad91439dfaabfe13632a3d85c109a21b6e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Some Time Soon,3LRt7zAyNwuNOCfRSaWIxv,Northern Lite,243v6y74lia0v8jy6FH5iF,"Evolution, Pt. 2",5iC2qAliwbnhnF3V25drPG,53,https://p.scdn.co/mp3-preview/d9430d42563969f3211cecaa1e30e0524479fb50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Anyway,7wfYj7Lj0aKQDIXZLOup5X,Pish,031RVClqaUebiDDv8bSDvh,Anyway,5WOtouY5DiFdFlfCP55uwC,53,https://p.scdn.co/mp3-preview/1eb3802bb68b1e245ea8816311ce563191d2198c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,After the Rain,2bfRqfLDOUaevaaavWwOpR,Kyson,1ysHnRqLx1sIFxUlahQftx,After the Rain,00toJetaPC0OUoW7NkSuqW,52,https://p.scdn.co/mp3-preview/54d906a426c3b13618360c26e8b92db53f187f8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Purple Rain/Million Reasons,1uCnaPBW138VlE7al0FH6K,Julie Mintz,6FjcHEzer1cAfRqv4v7Iom,Purple Rain/Million Reasons,1kOz5Xpw01EC9xjZLnB6aX,50,https://p.scdn.co/mp3-preview/e551e49813ac322d6b6958eb9ea592b9dc7179ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Get Over It - Single Edit,5MzA7vCAvRQ8zGyvMaU81H,In My Days,4wiNbKLUkpCERlQvChYEXR,Get Over It,0LiJY7HvmhXvwvEBCNWGQl,52,https://p.scdn.co/mp3-preview/847f1248f77e56213ca5aca86b4f30b20f153e5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,True Love,13R9ERwZ40c1yCkyuyma7o,LissA,6aAestjbtEbALwyIYPg8Na,True Love,5JYdrgtTRjNDf8JMhVzXSX,50,https://p.scdn.co/mp3-preview/c5b9ec6774d655aa4439a095d61bf6bddb00236b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Girl Like Me,1ifAQArqbtu9CJjOQcNKFa,lilly among clouds,5sFnsFoXAwaCZWKycRJTJ8,Girl Like Me,1bezZAHd2tDB88mDqw1Fhg,49,https://p.scdn.co/mp3-preview/247f22d116b306cb2180a6fb0a676a1115dc0ab6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Fool,4NgfxzTUZw3s953GcTvDxC,Mick Flannery,5tIXFM4sGNRR4Oo3hLbFdf,Mick Flannery,48rcrRY3lVDZ23cpE6kwls,54,https://p.scdn.co/mp3-preview/021dc766c344c7bb8b283527b203add86d8db75a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Pour,3Xd4vanJOhWu5hSC6PY12S,Greta Stanley,3lkwqHO5vO9jUlmJd0N5aC,Sun In My Eyes,5VuP0y60u6U6KNtGjLNa8B,51,https://p.scdn.co/mp3-preview/276cf1a4f37a0d9c82fe9de04c3e325d5d193d6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Shutdown,6XHVakakafZF5xs8nauMzq,Sultans Court,1Oq0fBU6CVhqp4JicuSWuZ,Shutdown,0fT56kIlMKh5ZGyok1YcmD,52,https://p.scdn.co/mp3-preview/da3da9ac51bd2dfd246c97726270b9eaa476e664?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Language,0xltgSEYJ05PZMT4Kt7Vyt,LIONLION,39vMeaxc9e74z7v6HdSYC6,Language,0EbvMjElhOWJDv37Rw9FmY,51,https://p.scdn.co/mp3-preview/86d69f583b27a1c7f540e16a2c8322374cbc341a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Die Wahrheit (liebt die Fantasie),3QRQ4E4k38dIm6UO1gSLcJ,Yukno,01JZtu3hMY7lmY36RCqzIl,Die Wahrheit (liebt die Fantasie),1ljBkPk7StgOwQtT3jSEnV,55,https://p.scdn.co/mp3-preview/f7b55eace3576efe3a45bc6b91cd0ed6edae2136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,One Thousand,7dTEB0SDVVgKYf0IHM9Dqm,Kafka Tamura,1MNMJJ5gOHtCoKFrNxWBFp,One Thousand,2fwxPL1EagS1reCdqdVpum,46,https://p.scdn.co/mp3-preview/c8141784123a48a92908b610cd64393107f6deeb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Salve!,5iQT1HBFht0XvCQtgmRHrj,Wallis Bird,0aogyPVqx5tlIkR0BHAehX,Salve!,3wLJaU0qILRI0phU3pY7D0,52,not available
36,Indiigo,0JU5OEfpNja6gdHjKvNWNk,Moglii,0lIIsJafIVVi3ruN2vFzpS,Indiigo,2j2bMVY5gtXQ8KymYO8niZ,51,https://p.scdn.co/mp3-preview/88a20fd5260fb3ca007b769020176a7ab9b0ca65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Saddest Generation,2iuFqKxeH6pC9bscb7cw7p,IDER,2LOwKJMjuv7VsprtYaFzl0,Emotional Education,1hmaSfia4BoTi6fmndmQ2r,53,https://p.scdn.co/mp3-preview/1c755256d286e952554fee4b5547076fe3fecabb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Fünf Jahre nicht gesungen,4UpQZNmNikaCAufrdEITO1,Thees Uhlmann,4nBVmMKK89dAUaanGPBgpY,Fünf Jahre nicht gesungen,4Kt4QQEH1z7FNHn8RMRbBI,56,https://p.scdn.co/mp3-preview/51d9dfcc9ca36b90b8fd93c065be2a029b0a70c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Moral,7AJjiGfsRJVKGVnFwhKnmy,Sofie Winterson,5pKrorYHoVt088MOxEhNLg,Moral,4BEDb0c2dChgLGN434drYn,51,https://p.scdn.co/mp3-preview/3fb614ff4faa927ebe127e696e5bdc9090cb6248?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Wild Roses,0HTgKWcWxaxDnjBelfB8bR,Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,Wild Roses,44YsHguNWMiuOwrWcSxftj,42,not available
41,Will We Talk?,6XVQ2jSrYEanva8mFZHr3y,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,Will We Talk?,2aKEf2wZfAHOkHTLMECWBp,68,not available
42,Open (feat. Cailin Russo),1P48tbboGkgiE6HPwguSOO,Grady,6FmiNnTXQJTmOMAx4kB38R,Open (feat. Cailin Russo),0oS7wSnaV0S4PUss03i6jF,56,https://p.scdn.co/mp3-preview/577e4fed7db47c13b485e2eec5a168999974d455?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Missing Home,29j2Y1N3vpyvm385G4TFSS,flora cash,6GpcBKNmZDIrRzYkPJu7Wd,Missing Home,7mb7CpPeL9DJCQGAEIbkHS,63,https://p.scdn.co/mp3-preview/1644b4a1a658681d3c9b3966ab581629134f50f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Ruining My Brain,7KG14h3Y3o77BmAQVhu6wm,ÄTNA,4ORnI4BzjKFbUply6fRvkX,Ruining My Brain,5m9arKrnuHle4D5kr1IT1r,52,https://p.scdn.co/mp3-preview/46a0b6fe150d1b464bab17e69e235ba5962cf3ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Snurrebassen - Edit,7vNQDsUH74kYbqEIQVraEf,COMA,5t9SPy7c5n665XZCoAuR52,Snurrebassen,6VHOYQq6piFtssSDtYWOgF,51,https://p.scdn.co/mp3-preview/ff1dacc33340af1076b825d9f09c7c7a210f725e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Summernighttalks,355OVcb5tXAuOA7ZhZOg6K,FINE.,4asOB3NDvX82XNePNZpqQj,Summernighttalks,7rsA2scxwXRri83T8THxrI,50,https://p.scdn.co/mp3-preview/d60220098469b79515b786e5e8447f94d2373ac9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Closeness,2VibwaezvH1i9x6Z4FOPxL,lilly among clouds,5sFnsFoXAwaCZWKycRJTJ8,Green Flash,1uEn0kd38INXpyqrIVLqFP,44,https://p.scdn.co/mp3-preview/4e97bd31ed505c44103d6eeff01c435a9ea64ed6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Good Girl,1CTqWDvUgUjnyFopfLzqhJ,Kat Edwards,08i7j3DXn5p7I5PrdVd5bV,Good Girl,5rcVn6xqo2aPlzmBUCkBQV,49,https://p.scdn.co/mp3-preview/14e4def4aa4857bd8b989a74624c804791c147d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Take Me Home,3ih3XlBmmQrqwZQj17Gh0I,Harlequin Gold,0gCgdNAS3rxAlWw1qVXX5F,Take Me Home,6Ttji1x0qeOIlLbHf1q5ll,50,https://p.scdn.co/mp3-preview/7fb8ea280788b3b400d6d9bdb911795e8b0d2b55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,The Cold Will Keep You Here,5eCRswJKZoUjESAa6M6DUP,Elkvilla,3i8HbRFV4MShCZTOrdYZWz,The Cold Will Keep You Here,7xneRhFLDR8UfoQmwZX9CM,46,https://p.scdn.co/mp3-preview/0f78b9ba613568d8a2652de1331517c1be28f73d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Elephant,11TO3HIJ1R5EnrMx5ogr15,Benjamin Francis Leftwich,7D5oTJSXSHf51auG0106CQ,Elephant,6nseJF7CmDV2rbp6Aj3Q7g,51,not available
52,Easy Way Out,6lqYL6GVrd4QwKs8rg1eUI,Ilgen-Nur,4FjRuMCcbAdiYBr47QE3xX,Easy Way Out,1eVVODyUGWCHTXGm081PkF,50,https://p.scdn.co/mp3-preview/badb7f6c06a121dbf3f3ef48e844894b600242b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,The Subway Song,3MIMKvXfK4bqkJ2wteG5Jq,Delacey,1thbOfXak53dM1Xabq3pmb,The Subway Song,1duvX5yMywtvx6k1JAC3iX,64,https://p.scdn.co/mp3-preview/efddc52e78fc489bff565b01e4ffb11a73d4189f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Mr. Refrigerator,76QT6aZtqoqT2AociOMJQz,Bilderbuch,2ErWLckuGFl84nGmg5fwyG,Mr. Refrigerator,35dHj9rSNfIGvkxQmfbO4W,58,not available
55,Post Love Doubts,3n6c7AV8lT4LqWkZ1OIxlN,Bartleby Delicate,6DT2ylaVtF44fewRp3Nxfa,Post Love Doubts,7tbnUN8kYPjqxWqT6K5ZMC,50,https://p.scdn.co/mp3-preview/cb5010479204c4b864f00b02c9cd6b8b910033dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Cats & Diamonds,7DMAfPONP5qqprniIco8Mr,Ankathie Koi,44CqVKXxjtGbtR3H1xpdNl,Cats & Diamonds,7bFz5uoPEvNa2zsoMmflhs,49,https://p.scdn.co/mp3-preview/0848842b2253a86ae9db6ade29eaa0e1853984bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Bad Lieutenant,68xwEFbMGQ2yet7YiuA4Kg,Kate Nash,5vBKu1igxFo6g1sHADkIdg,Bad Lieutenant,0D3F58REntXQ5apUoQimOV,50,https://p.scdn.co/mp3-preview/65e9255cd785ebc27f80deb75689a9836a8fce41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Break My Broken Heart,2UfDeOnKQgquiKyStdgCDj,Winona Oak,3XC57xz74X3xUi1hv4mge1,Break My Broken Heart,44KkghWRHAWdnTlDRAGjK3,59,https://p.scdn.co/mp3-preview/8c1b85769ed47f9e56f2ac4a5873a4a5fe6bb090?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Lover,4OokwwidFumc82Tyo16OWL,G Flip,4SdIXLzfabqU61iK7SnKAU,About Us,5fRL840VnEPTjU1NKc8yVu,53,not available
60,Perfume,1569kTdk8iQzPc74s989VG,People Club,6qhU2FHDtigwAIOd7M3pFj,Perfume,5ZD6VziJ68axvletLqseWx,49,https://p.scdn.co/mp3-preview/b57f5123edc0e59c4b5fd85d14b7fc154ae6e9ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Slowdown,5C38U4FL15Mic9xhGYACZa,Kyson,1ysHnRqLx1sIFxUlahQftx,Slowdown,6zsvSw6s3yllDhg9T1aLqr,39,https://p.scdn.co/mp3-preview/3c350655203f6d8c95c07d39bb00ec3f2870912f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Ballerina,4Wpo4BRif2rRzuYZloOxRq,Raffaella,0tYrHjgdca0ZLPkR4P0eW4,Ballerina,1Ss9RPC2yfmajguQ4nSXHs,49,https://p.scdn.co/mp3-preview/a075d96c943c4acbbea96f6d661eeca85b9a3870?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Dead Ringer,6oqtPaLChBFaThOuvYRV77,Yoke Lore,7FU0xCgmSYQEiBeevUqQ4S,Dead Ringer,0FcB154u2zLvAdiRxPuUR4,47,https://p.scdn.co/mp3-preview/f2972adda0bb50dc5eb430111d840cfd60bdc95f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,1%,0J8Kyv57ugdsJLJ2ZRPdcM,Oscar Scheller,6BToM88XrzNI6VL5GxazUq,1%,5IrELdwRKJwh1AdJEg3JVK,56,https://p.scdn.co/mp3-preview/218b05fee2d10dfb44fd72dc37a61e9d2a0db8ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Not How It's Supposed To Go,0Ue6Bvzrf13VCxFyDcvvpc,Ashe,6P5NO5hzJbuOqSdyPB7SJM,Moral of the Story: Chapter 2,1Er8k3y3jJywWRXLtINF78,51,https://p.scdn.co/mp3-preview/e9e3e7f1a98f126dcb2c582035e2003b742c6e54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Daydreaming,02dfEkxZ3MLk5E9XLQs9cd,Milky Chance,1hzfo8twXdOegF3xireCYs,Daydreaming,5u7KUekoQXPbzxNQj2IVb9,65,not available
67,Your Ways,22qrdu0cZlfLy3p3ByNHg8,Xul Zolar,1S6FcQ3JmgGus1A3VPMCjd,Nightfalls EP,2WBk61Xt5j4SwuaZ6a7HiW,44,https://p.scdn.co/mp3-preview/b3c86fa3d20dd815da3256cf0d9472f0e2235a69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Open Heart,472jORopmKbdiXAuVdc7vW,Kate Davis,4jXKRg7GZPm3mKGgKwUEco,Open Heart,0VIfuvuUhT0FlfTi60a8HI,44,https://p.scdn.co/mp3-preview/83a30256cb48c08696d87f0ca25de3df3c9559c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Balance,43jPlRCT75IxgddX4mQzkb,Tender Games,0ZkJ54ZnjZt0ZuoQpXbR8U,Balance,7rc4ofLnR99v1K4T1xk2Bh,46,https://p.scdn.co/mp3-preview/3a83ed344a8ad7691fde3dabda70fc8ef1043668?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,You Should Let Me Know,0eVh3lWmjt7WTyTVc97kSj,Hoodie Allen,382aq8Pij5V2nE2JMHMoxl,Whatever USA,17T8CV4M48fbpx0npYM3HY,57,https://p.scdn.co/mp3-preview/66ccf5cabc7c603723e16bffacb9f2057e57c69e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
