Party Deluxe,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
31,Show Me Love - EDX Remix / Radio Edit,4bAmAVdks2Y84VNVVLXFwN,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Show Me Love (Remixes 2),3Lyu7NctI2QfKiO6eLHjsb,64,not available
32,Du trägst keine Liebe in dir,21aT5lIYHjyBIFrXNbNY5U,Echt,6zjMMh0ijUZ0dr6w2Pfe9P,Freischwimmer,0gsQ4zndeWzFIQbASQ9L3w,58,not available
33,Wenn jetzt Sommer wär,5la3Ns6Kijy768nRHOvpCL,Pohlmann.,1dV2H8r14HI6oAV7lkN8mL,Zwischen Heimweh Und Fernsucht,6Y8BAhxj2qE4FK5scJXM2D,52,not available
34,Wovon sollen wir träumen,1uKubXaFxoYl5KYiLAa0aw,Frida Gold,1Q229kIsASlkUb3VBeQmIL,Juwel,20sE5FmTHfaWBF5KEC4Wra,51,https://p.scdn.co/mp3-preview/bc1daa754aa989ab3d2e4aeea2d4fcfe0a8a2603?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Yeah! (feat. Lil Jon & Ludacris),5rb9QrpfcKFHM1EUbSIurX,Usher,23zg3TcAtWQy7J6upgbUnj,Confessions (Expanded Edition),1RM6MGv6bcl6NrAG8PGoZk,81,https://p.scdn.co/mp3-preview/8a5e4f8dce6b1a957e235185a4677841fcaafe90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,The Way to Your Heart,0DUtmZD5TK6JwChuMql5ac,Soulsister,051LEaPnq5bbqCtEEowPgZ,The Way To Your Heart - The Very Best Of Soulsister,1chn17MZkrLmxv1vvkW7AN,55,https://p.scdn.co/mp3-preview/97e198a98da846949f1fddee74dd930b2b45dee5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,7CajNmpbOovFoOoasH2HaY,One Kiss (with Dua Lipa),7GEzhoTiqcPYkOprWQu581,85,https://p.scdn.co/mp3-preview/34b3b95afb8e1d34363f01b194b4a729100d3710?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Levels - Radio Edit,0JhKJg5ejeQ8jq89UQtnw8,Avicii,1vCWHaC5f2uS3yhpwWbIA6,Levels,4mkvtXQd6rD7zuAHhexEvb,23,not available
39,I Promised Myself,5jVJAojK3LFKETjI2gYb8O,Nick Kamen,05GsKvp0yKuCyWQMsPAAmB,Move Until We Fly,0z5UEm9rbS75WTaSdGwP8N,62,https://p.scdn.co/mp3-preview/28043c7a56ec09b2ec7a84c5e3f43968c99f04b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,When Love Takes Over (feat. Kelly Rowland),619bJQ9uDi8dnXzLebFI7y,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,When Love Takes Over,27255AeNTU1KuApN9KjmjM,65,https://p.scdn.co/mp3-preview/f9877d70c57311941dca4782fbaa41efce514c67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Sleeping in My Car,2TiIXOtfaPnfGuAerof0UH,Roxette,2SHhfs4BiDxGQ3oxqf0UHY,Crash! Boom! Bang! (2009 Version),52YascebxQ8Sn4ZYCvnFBs,55,https://p.scdn.co/mp3-preview/932cefd44615f91c2c762d89c80b3d2ce6824a2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,2 Times - Original,4IiKITgHYaHrF1zUlcTyVH,Ann Lee,1EN7GOzx8aDpiIbVVmQaaC,2 Times,0pAY6od68ZZOgxNWwSOHlv,60,https://p.scdn.co/mp3-preview/d3c84481412e012c523e264a924222da4ecc2c88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Still,2TSoLv5tMkqikfpM5irrqZ,Jupiter Jones,0V9oHfk0CZIiedKP4TSTBL,Jupiter Jones,61xPv4JRySw7lQyvsmU83G,57,https://p.scdn.co/mp3-preview/e1f42b63122976057f3a49ad6dcb2fb9f1a7e0b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Wake Me Up - Radio Edit,6g1NlCpW7fgqDnWbCCDrHl,Avicii,1vCWHaC5f2uS3yhpwWbIA6,True,02h9kO2oLKnLtycgbElKsw,27,not available
45,Tanz der Moleküle - Single Version,1mp5PVgUpnHflPu9URvsCk,Mia.,0ZSqrPwtvermKlwdjEAmjn,Tanz Der Moleküle,4bicy8AMKXCjoRTxiETIs3,51,https://p.scdn.co/mp3-preview/f1268fa84fdd3fbceafda1132a37e19bbe0af156?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Lovin' Each Day,7rNvdRoID7ie2OC51menxz,Ronan Keating,3nlHsNqwCSvT988ZfSW1Yh,Destination,43x0Ar4CvF23VMIL7OLXln,48,not available
47,It's Raining Men,5TgD3Wh5ZUZnUU4tmVvJbx,The Weather Girls,19xz1vcuKNjniGEftTOSSH,80s 100 Hits,0pvhletDH7CphbKErUtPCF,63,https://p.scdn.co/mp3-preview/14f845ed905fdee623bd308df4220a076b6b6ae5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Fast Car,6OZh916QF8XNunWaP97WEZ,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Fast Car,5jfuIbTeaLhBZxsCVv3QyM,23,not available
49,Dished (Male Stripper),09k2AILtAhprlB7VZmw5n3,Purple Disco Machine,2WBJQGf1bT1kxuoqziH5g4,Dished (Male Stripper),71jfjJyYtaOJBfNTIfvF3C,53,https://p.scdn.co/mp3-preview/cb8ca7553289291cd9ccc9157c326e148b3da44d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Easy,0r1kH7SIkkPP9W7mUknObF,Cro,3utZ2yeQk0Z3BCOBWP7Vlu,Raop,2tz9Cz7Op68xAwbYGxrwya,58,https://p.scdn.co/mp3-preview/0df14fd825e12e3fc9412d74d54bca9605ee37d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,When the Rain Begins to Fall,030RDC2ayPOUM32F9IH7eE,Jermaine Jackson,1VDurPMbOKrNU8mcMP4X1P,Greatest Hits,5Qc9yw34BRN9n8pi5YKZ2D,58,https://p.scdn.co/mp3-preview/c7ec7b4c590f6be6d23b0adfe5d47f9e24bcb61f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,No Vacancy,6XOYVSmNDjKUNMXooU4s4z,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,No Vacancy,7GxsxPFTZANnpsAONtZlHQ,14,not available
53,Tears Don't Lie - Long Version,77DBnoXYTP9HNMunNaUqch,Mark 'Oh,3eLW10XmpXVzwszGQ9gDXX,90s Charthits,070WMuqRUg4LdGqpzQzp1Q,51,https://p.scdn.co/mp3-preview/9a96a3bb76bf8c0aae5efa0460e11f1ce9d287a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Dancing in the Moonlight,3Fzlg5r1IjhLk2qRw667od,Toploader,6xeFne1rkxMhKSW3ipvkdV,Onka's Big Moka,2ww2PXKiHk7rNv26rjVJ5z,70,https://p.scdn.co/mp3-preview/d4a0e1cd08839a722f4f2af160aabac07371ecd2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,My Feelings For You - Radio Edit,6KAtHNic0deGhGNMaq9oMI,Avicii,1vCWHaC5f2uS3yhpwWbIA6,My Feelings For You,14rJNtduujBWANcLzJ36fZ,8,not available
56,Sandstorm - Radio Edit,2kWB9IV8EHDOU9EjgxWFrF,Darude,0LhHRmSd1EYM5QdNeNnCoQ,Sandstorm,0SHWgw0LPDs37Go6oPdaqp,58,https://p.scdn.co/mp3-preview/bcbb539099c5dfe1af434e2f07ce213f7a0c42cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Just Dance,1dzQoRqT5ucxXVaAhTcT0J,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,The Fame,1qwlxZTNLe1jq3b0iidlue,73,not available
58,Don't Stop Me Now - Remastered,7hQJA50XrCWABAu5v6QZ4i,Queen,1dfeR4HaWDbWqFHLkxsg1d,Jazz (Deluxe Remastered Version),21HMAUrbbYSj9NiPPlGumy,78,not available
59,Bungalow,0xCXcq4y44uHJtJ7zZDF3d,Bilderbuch,2ErWLckuGFl84nGmg5fwyG,Magic Life,4umed49HvB2X8x3Kkjf1HO,58,not available
