Deutschpop Klassiker,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Freiheit,6To9fZuSGJApjIP9CZJJda,Westernhagen,6El2bDJ8PlTKVYyEPWxfAS,Westernhagen,21J3fzLfqYwtBkl8PJfO1T,52,https://p.scdn.co/mp3-preview/91ae31ba581628ea582569c45a16b6f0a49d6865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Geile Zeit,3hT1h7FiFFxoLqiTMJM7Ew,Juli,7g13nmmxq4XN0hd64Jzkol,Es ist Juli,4TSdsloInMbjQjj1Zf5KOD,59,not available
12,"Musik nur, wenn sie laut ist - Remastered 2016",0TMPECnOfA2NZ03dVAdHik,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Gemischte Gefühle (Remastered 2016),2wL5SnrrX0cwiyFnvrKoxA,53,not available
13,Tage wie diese,2lYsCjTvXIHOqT8xSbK2jq,Die Toten Hosen,2F8GvYuY0lfZNYu45dY6gJ,"""Ballast der Republik"" plus Jubiläums-Album ""Die Geister, die wir riefen""",1SD6ODpbAOYA94wEOkA2Ke,61,https://p.scdn.co/mp3-preview/9c00b654180c22dda542768f3bd2b63c094003e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Cello (feat. Clueso) - MTV Unplugged Radio Atmo-Version,62BukCU8nVt44KQXm0LUff,Udo Lindenberg,7iWcRnQMinCoV2u5ICgsW0,Cello (feat. Clueso) [MTV Unplugged],3zeDDuoex1QDkZXmZ48yxp,56,https://p.scdn.co/mp3-preview/46b9b0db6c905114a8b235d866099c8b69cfad5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Ein Kompliment,3ptJBraFGtaeprD4BHmTfV,Sportfreunde Stiller,5PwcOudItUhq3ciF9QwaXZ,Die gute Seite,4WaGL4WxoBSHdsJmjEthay,18,not available
16,Bilder von Dir,23t7gG7rKSddYrU3zaMv0S,Laith Al-Deen,40Ei4l9b5mvGHXEuR0xeN3,Ich will nur wissen...,3fxiIZkq5A1OWNuKI6o2Uj,51,https://p.scdn.co/mp3-preview/68cff4ea2ec9df9b1f7e46c8b6acc2bb41aa493b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Bochum - Remastered 2016,6WDe2acDWMoxYZhpZZNpvY,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Bochum (Remastered 2016),72LIvYBtZFIjlcF0ejvRCn,55,not available
18,So soll es bleiben - Single Edit,3S7XvA0CBXErmB1RYlQizH,Ich + Ich,3oCrmkKTKBi7DUgmtyGkId,Vom selben Stern,3N60Xk5cRWtXPC2El0KoLm,52,not available
19,Gib mir Sonne,56XFCaPdmR3ER232chOSxU,Rosenstolz,2nacZFQ7nlwSw4RpsZlbpP,Die Suche geht weiter (Special Version),4V88ZBw9ks3O7ljK3wc2aT,39,not available
20,Willenlos,46vOwVfosQJ4bFdY1ryVnU,Westernhagen,6El2bDJ8PlTKVYyEPWxfAS,Affentheater,4xLlrSBcPPc0l0s0w2Dj3P,55,https://p.scdn.co/mp3-preview/bac38663c9f8221f8dc22d98564cb503f0823c50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Über sieben Brücken musst du geh'n,0hBgAs2GmvrG5yAxtBtSkF,Peter Maffay,5W3s4beu23rOlseCbVOp4l,Heute vor dreissig Jahren,1kHb0XFl3FWdKhHYixG6ls,54,https://p.scdn.co/mp3-preview/8ec38ca665e24aaf1141d25cfee6f150932dfd80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Der Weg - Remastered 2016,7py0pONdy9D0DxNnT3elik,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Mensch (Remastered 2016),1mV4V5e2s7PoP6RR9DR1cg,56,not available
23,Ich lass für dich das Licht an,55VQvOY6dT63vHmYlWJDpG,Revolverheld,5FYfIAuN8mV5KgVtugwfc0,Immer in Bewegung,2GJf3Mf41uZ05U6ygryyD0,61,https://p.scdn.co/mp3-preview/bd0ebe14e46d5626204bcfc520b961c026efdcc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Geboren um zu leben,1VU8t2MpJRLG5iFEIxqq7z,Unheilig,6f1kv0aUPG9I0Rp3dmLCPi,Grosse Freiheit,5s0uk5TWJnDWCIBtkdZ2ku,59,not available
25,Still,2TSoLv5tMkqikfpM5irrqZ,Jupiter Jones,0V9oHfk0CZIiedKP4TSTBL,Jupiter Jones,61xPv4JRySw7lQyvsmU83G,57,https://p.scdn.co/mp3-preview/e1f42b63122976057f3a49ad6dcb2fb9f1a7e0b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Und wenn ein Lied - Radio Edit,4lUelqeMNvuaxio1hdyyGS,Söhne Mannheims,7xCzwxwDwXTTCtjcWBoNow,Und wenn ein Lied,6wv9QYCQiJg2ptgRKihjvj,55,https://p.scdn.co/mp3-preview/d0c0d735d9e06e53148dfd32e34094b09b463f2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Weil ich dich liebe [Remastered],6J4IzVtA7Uk6heQqcKGwy8,Westernhagen,6El2bDJ8PlTKVYyEPWxfAS,Halleluja (Remastered),12hxaOkQlSGpmhcj1EwL48,50,https://p.scdn.co/mp3-preview/768c92fcadf8d5de4724c3a0252cd9ff11ed718e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Du trägst keine Liebe in dir,21aT5lIYHjyBIFrXNbNY5U,Echt,6zjMMh0ijUZ0dr6w2Pfe9P,Freischwimmer,0gsQ4zndeWzFIQbASQ9L3w,58,not available
29,Nur ein Wort,4hYinIaRxdaoEFSQni6K6I,Wir Sind Helden,3jiOHVFdVQjbSDVeC7RgY7,Von Hier An Blind,4JG9iU4O51GLseXEWAkZkw,59,not available
30,Ich kenne nichts (das so schön ist wie du),6u7AYdi0SFO22wWuEl1NoY,Xavier Naidoo,47RPLpnGhBRTjQrRBOev9s,Danke fürs Zuhören - Liedersammlung 1998 - 2012,48L8Z51yNzAtZhEJWZ8tyU,14,not available
31,Liebe ist alles,6EatiOQBv70o94sr2oTHLB,Rosenstolz,2nacZFQ7nlwSw4RpsZlbpP,Herz,4gwELuwP3oak0NW6Pvt00O,48,not available
32,Flugzeuge im Bauch - Remastered 2016,1OkNX7XwRwzfWE7Oqp8Rri,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Bochum (Remastered 2016),72LIvYBtZFIjlcF0ejvRCn,51,not available
33,Weinst Du,2RjnnOuAvosOSAZhZQ50kO,Echt,6zjMMh0ijUZ0dr6w2Pfe9P,Freischwimmer,0gsQ4zndeWzFIQbASQ9L3w,52,not available
34,Denkmal,58zHoX9U5VlSXLUUmWTfe2,Wir Sind Helden,3jiOHVFdVQjbSDVeC7RgY7,Die Reklamation,3q6f8bwF1ZWxTGvS0veYi3,58,not available
35,Allein Allein,4HyJ1VGNu3IszMV0sTsqKP,Polarkreis 18,6nh7a948rPsV1552dw0pKd,The Colour Of Snow,1BaZpjZZz3r2xg1ibDU3to,52,not available
36,Das Beste,6KNXoPzCvfsLIjkYV0QRK3,Silbermond,3GbUWWI1rMwAIPbUVPvnPA,Laut gedacht,07alCIB6VJmVOpR0pWtPoS,30,https://p.scdn.co/mp3-preview/74687f77962245bfc8e47b812f1b33d2f4012365?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Halt mich - Remastered 2016,03tZRj3FfeNTu9WFKyG6Wg,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Ö (Remastered 2016),7JXayc3rAXyCblxM9chx4C,51,not available
38,Schönste Zeit,5Qvkl0KUsDd4ChMDwbP14f,Bosse,2e4uIDIIBXR0MmZe0AJGhR,Kraniche,1fau6FbHsb555e6S5PKSOs,44,not available
39,Und es war Sommer,4i6mkvKRIO07bHANBNRDWe,Peter Maffay,5W3s4beu23rOlseCbVOp4l,Und es war Sommer,4i7jCNYlETCsfAhpF3sbCh,51,https://p.scdn.co/mp3-preview/2805b5bb2805f0af5f4962c5134a5f8ede01d251?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Sie sieht mich nicht,7p6BWCHdkHNkh4TXpqJ1lC,Xavier Naidoo,47RPLpnGhBRTjQrRBOev9s,Nicht von dieser Welt,5XilkR7C1PSamUTVhXtV8p,10,not available
41,Nur geträumt,4P9dqMYFWpGF9ozj59s4ML,Nena,6Tz0QRoe083BcOo2YbG9lV,The Essential Nena,1l3ZXgWaCVMquVKoSOeUkG,3,not available
42,Lied 1 - Stück vom Himmel,5MDgIJMfN3VsxVBLjpDPIP,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,12,5CxqJtkNy59k2tx8wlxYjI,51,not available
43,Frauen regier'n die Welt,1mPCxdc4hpJ8r2qPnyMYcW,Roger Cicero,2pR1RkvFKvb2KWSjrbCIP2,Glück ist leicht - Das Beste von 2006 - 2016,2LcNBTn0zVLELyyB5mN22D,37,https://p.scdn.co/mp3-preview/0ce8771dfc9fb17b51f6a55572727b655f35667e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Pflaster,0gIQb6fbCPllnyeJcSUHqa,Ich + Ich,3oCrmkKTKBi7DUgmtyGkId,Gute Reise (Neue Version),0BurnOb1XVuy5yB9G65zG6,49,not available
45,36Grad,5gDzYP14jAqWR4ckuFTVBu,2raumwohnung,6BHpFo1cbGCGLWh28wa43x,36Grad,74P4cfmDHCAiOaplqaFMBy,49,https://p.scdn.co/mp3-preview/e93c7cb3af3196ebfb536de4c2f0dd834aa241a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Das kann uns keiner nehmen,4xONI8LFfRPm7OSBKsFYqj,Revolverheld,5FYfIAuN8mV5KgVtugwfc0,Immer in Bewegung,2GJf3Mf41uZ05U6ygryyD0,55,https://p.scdn.co/mp3-preview/a48a62b4e82f906d7ffa943415499b9cf0f1083a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Mensch - Remastered 2016,5HxfEtCF7YE4f9jxz51OIi,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Mensch (Remastered 2016),1mV4V5e2s7PoP6RR9DR1cg,52,not available
48,Auf uns,6dXt4t5jgySnVTeTpT4C0l,Andreas Bourani,6quRLJ5SiWHgcVMoE9TEJj,Hey,6DXLgOP56mhoi6jvy60D8l,61,not available
