THIS IS BURGER RECORDS!!!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Only a Shadow,7ywFYGPvsy0dMIfhYeOBu1,The Cleaners From Venus,7ppwXAQNWfPDGu22hCk5Yr,Midnight Cleaners,0pXcoQl03lzinsgDPLsys6,43,not available
11,Club With Me,5rQxEk9gOA2bjvLJ7ws7yR,Seth Bogart,570tN1EYQdffsoMSSPPSsr,Seth Bogart,4jGOX2xM2Bs9v923CP9TVW,7,https://p.scdn.co/mp3-preview/d3454d72a62f2a794c3cd053546a6aab3e516dbe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,I Can Reed,1juIOahSoUIbsbxjhNipA2,Personal and The Pizzas,6n3rWrvpxMqigIXacIDB99,Raw Pie,4VhdpaalbFI6NmYEZSLfzM,11,https://p.scdn.co/mp3-preview/95dcc7905602d819dc8bd71ba0002dfd315df994?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Heaven Can Wait,3xiqvJJ3OCA8gGZqvNheK5,Apache,6pil7q9v19qZD6K2Hc57Il,Radical Sabbatical,1gNUYP5HsAwGIKgIwSCwZH,2,https://p.scdn.co/mp3-preview/cb1951ad55a0fe4502e752722ce7cb95c5fc6afe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Dolphin Patrol,40wkRfYO3P10uKklJrcWLy,The Pizazz,3eNVXTSKpnYM8SdaYOp7SQ,Get Out Of My House,4IwRmAw2jYaz9hwqLLFYzd,0,not available
15,Doom Generation,4ST4B8FLdNN7TF38HpmhIA,Cosmonauts,5fdHAaz0jnb4l2VEoHh5rb,A-OK!,4gmag5fWhUOu2jgPfEk5ND,5,not available
16,Bachelor's Life,3WK6F2T6LEZwUFt9eg6weO,Cum Stain,404N6Ct8NCf678KsIwO4Q3,"Hurry Up And Kill Yourself, Trust Me, Your Mother Won't Miss You",38T1DkUvRWL1Qi9gWH5GiA,1,not available
17,Grow Down,51Ta0HkCg5WkmYDYjd3BtS,Mmoss,728pTszDKtxAil9XWAwP12,i,0Ea5tVftkP9RrWkMbVhtKX,3,https://p.scdn.co/mp3-preview/a8c46a308706daf3d1baefd53357af8f503b1c01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Dreamphone,4lCwgdxmXCXDNve2XrIWnE,Peach Kelli Pop,5xrA0STCpXYDPnfiyU8A3t,Peach Kelli Pop,6lbxVoJLOUnuHw2fRoD1wF,32,https://p.scdn.co/mp3-preview/52754e4b3de35d81ea7af6cefa2f1b181ee81add?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Forget Me,0LRJo7iEbwJzpeVLE2BRdd,Summer Twins,2Tfo5n4B74gg8c3n8hjDf1,Forget Me,25O1OgG1pF95KRcr1Stj4K,12,not available
20,No Feelin',7dqopYUBxBsFp7ijypKPf8,together PANGEA,29q1axQPERERxUzqufXMqB,Living Dummy,3saoeCU4gzjMKCLKczIhn6,30,https://p.scdn.co/mp3-preview/b4470e05baaf5f6edf9336aa8e58e3ca5534e345?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Cats & Dogs,0MdU37wBdijqqeb8Da1QM9,The Tough Shits,1Xg6nD4z4jMY4o9TEyZAoA,The Tough Shits,5PUqSJQhngeDWVZlN0Xm04,5,https://p.scdn.co/mp3-preview/0ed6b5299bda1f6f2dc72cf5da25a5965416adab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Hits,6YfbTCYxl2UxVPlvjztIwJ,Dwarves,4D9H6CaKzDTaN1EbAHypYg,The Dwarves Are Young and Good Looking,364UlWSaqzofyeqtHz2cBs,19,https://p.scdn.co/mp3-preview/00e579cb5fafd4f0614360ef710184c259f23e79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,B$G P$MP$N,2xTLLcii5MT9eHAc1IzLk2,Natural Child,7epIIT85VR8OEggqKO3RSt,Hard In Heaven,2kWFEQB3tNG5KDxUciuX2f,31,https://p.scdn.co/mp3-preview/ddb97339e563a2d0e198ce76836471e6a91f2823?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,When It Comes To You,6nIsaRhL5Lb6ul3tCeD0ev,Dead Ghosts,3p0vuGnsU3JN0ZVBLiJwmp,S/T,1GLKyQZamb9AHNUjBTVHOm,41,https://p.scdn.co/mp3-preview/9887ec2a2e116a4d304480755d122a1fb4f89414?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,I'm A Woman,6KzyPsoQpJm6zetf3TU5T2,The Garden,4UVlSeEFDPmlkYKaRMRoOz,The Life and Times of a Paperclip,1Gedw8BSGLD38u4kzhWVqD,32,https://p.scdn.co/mp3-preview/07b77be08669559f7a0cbd9f2b7bffb207d00965?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Meet The Golden Ones,38LBKblIxwsdEDviO6Lz8Y,Burnt Ones,7sqdc4Jd2KZXOjpt19pwo2,Meet the Golden Ones,5z56UlZWotgFnRH7jdMpRf,4,https://p.scdn.co/mp3-preview/9f92de32b069b31f6609d6580c3a7123664f99cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Flowers On The Wall,2mp4L0XjHDtJOl6cUFrvIu,Tomorrows Tulips,4mCKYeRm9x5hj3iPX6Sths,Experimental Jelly,65Raeh47rxSHXrv1nlisEJ,27,not available
28,58th St,4RJeI0YENK2iR5dksYiqn8,Gap Dream,1yZc7JDNtiB3ztNtCupSKq,Gap Dream,3qXQ5YfMsarbC0opKYE6lv,14,not available
29,Shine Your Light,3isw4hDYfVtVtth7YgcYpZ,Gap Dream,1yZc7JDNtiB3ztNtCupSKq,Shine Your Light,1xNdJUTSuC6ZuSyeuTll9q,18,https://p.scdn.co/mp3-preview/f5573810ee14e2a1c6d24045fa4ae2a781e0acf2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Nothing Cool (Happens On Dates),0fASPTUQLdmuFSGxGMr9z2,Lust-Cats Of The Gutters,2l8mdYttPc8q6KtPKKHUNJ,Lust-Cats Of The Gutters,3N4xrGYgm2RV6scmHDqDUT,0,not available
31,I Didn't Know,3HQNBLkOCF7Yq5teTTn7QX,Part Time,5M0HAqHXyOh3q7WQnvce8o,Spell #6,0OFoMFVZT8Xl8zCPp5QYsy,30,https://p.scdn.co/mp3-preview/8dc6070b2bdf2daf78bf28b9ca73adf154c16235?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Callejon,4zGXO3wcjke1VBRBp0bZdj,Davila 666,0PQK6BLKbviconz1bx1rlH,Davila 666,2SadmcWtefsXenmvK8tfua,21,https://p.scdn.co/mp3-preview/19809c7842d0b30e85d454c524d0812518393b62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,All Knowing (71),4ePE36mqBDhgDVE5s8zGT8,The Sufis,252Qg4E3R9CHhd7qeeiMpD,After Hours,7EASGaQIk995EHTbWukxVI,5,not available
34,Higher,3aLkZBAwVrANhubhNr0Exv,The Memories,4sGXRKVt3jXcqjUCRuK67C,The Memories,4SzorCcujYJtLaGvo6LVQJ,27,https://p.scdn.co/mp3-preview/f4c857c612e34968a2947bb46d5b00d712722507?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Abracadaver,6YLAyV21ooRNNHvgad5Ay4,BRANES,1DLO8ypn2riMrK9cimHwT7,Perfection Condition,43Ebeb4NqbQbeJSl4thkDN,2,https://p.scdn.co/mp3-preview/94bda02a347383cd449b1d06022de28597c186a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Kamikaze,2mRobXhwZ3GsdZaPGn4g0W,Teenage Burritos,1F17fY26ppVoHBFLSn7FGW,Something to Cry About,38a2unek51GN0Y4v3RzveL,2,https://p.scdn.co/mp3-preview/13bcfed873b34391f3709d053aba43f91290407c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Me 'n' My Cutaway,3bRf3ezrDmOsbxjnHziMiU,Seth Pettersen,3KZ9mFfZobwNmnrg16k5vp,Sweet Reaper,0TYqGfAA6ScphY9s00pzGD,2,https://p.scdn.co/mp3-preview/da5d0060b15466bb844f3cf22dff2ee92cf5e946?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Eye Know You,1QF4K4nLwtIsa38sfrPrhp,Seth Pettersen,3KZ9mFfZobwNmnrg16k5vp,Natural Machine,5rlWnzKOmy0SC82lEcqpZK,4,https://p.scdn.co/mp3-preview/03077731a928c9094549375447c60e2521788fef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Crushin,66e7ZqWaP2kMJElPn0v6hN,Pookie and the Poodlez,7tCxGQO578hjhbz1WhsEDM,Pookie and the Poodlez,6vkPcC8ySuRR8DDdDdCnbC,11,https://p.scdn.co/mp3-preview/9946e684c9f481e648f33636f9c6bc4b0af14b5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Bong Rip,5Ub8mv1SoDc0DARvCYStC3,White Fang,5ii71trup0DRxQFq8meJn4,Chunks,4uvqrTHEKMXBe6gPnuulx2,8,not available
41,Paradise,4PcFXj3vufC1bB6uL15sTZ,Pipsqueak,6nmHf9r6CIM990i41UpA7y,Pipsqueak,1IzmhFlqbCx0jl8U4P9Zb2,0,not available
42,If Not For You,0Yiia5HGIsaPngAR7wbpcZ,The Hound Of Love,5XVwGdW8o2ovdzkDySPEfW,Careful Houndy,55H29cON620JbByu8vWn0D,2,not available
43,Tropicana,3Ugi3glKBnWYjTBsWEvRxR,Yacht Club,6cpHE7YSuXObn65nUedt5V,Tropicana,746iut7zRwmxEvSem37Bqq,5,https://p.scdn.co/mp3-preview/e9325175a0edb669b80c600a3ff3c1167a35a295?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Call Me in the Day,2e4FIYnMspHDbSieYW09EL,La Luz,6QRlkjrHz5A62mqeNZz7t3,Damp Face,77s4Yfb3IqSXyZEVfNZ4gU,20,https://p.scdn.co/mp3-preview/dbff9c4d44546b00883179a7d3ca40f005efe5de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Teenage Girl,5VbwuBST8mWTJxz4qGw0Gi,Cherry Glazerr,3pIGm1omCcHIb1juBNHspg,Haxel Princess,6ZAwYbiz9BH9XtmoxzIt5R,37,https://p.scdn.co/mp3-preview/0786896e983e3d31482d2bd9a9bbed62da8247f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Magic Woman,2j1NXJ5VPWrdTYvChV5smq,Unkle Funkle,3ZvSA3MnbawstRQEfvh5lN,Supernatural,75Qel6KrzNeW9L6QqNr9uJ,9,https://p.scdn.co/mp3-preview/70b6465fcfe3d088c98a0df92414caf0df92692f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Tele4Me,3UbemiLAimnuLn2vA9xA7B,Haunted Tiger,4aNNLqTZz0gpuDETOkxGsc,Kking Kkong,4SAesjzBouexERnb6eISdm,0,not available
48,Al,0MVcpG03EZGnpd0haKsMvx,White Night,5Ca01X8PiallVuDYD70Xdg,Weird Night,5svkWw3e0ygn5kw1AQSQQa,8,https://p.scdn.co/mp3-preview/94b9b1a415fc783552de244212885b70fde68025?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,A Silver Song,1BP0dgODUDaf3RDtZbcXOd,Conspiracy Of Owls,0qoKN7ITffvddj6PVhmDSK,Conspiracy Of Owls,4Apf5HPUimeotZoI2Em70S,30,not available
50,No Pressure,2P4XE7UEpI1J3ctBpeiwnf,Night Sun,0DORYKUp1P6ezkJmO5izn9,No Pressure,4tWrvRoQzD0xdce5LL0fKt,11,https://p.scdn.co/mp3-preview/c107df99002947c275b4235add36066df06feae8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Keep On Shining,6zoWIvt35h0O7RKuLtgHkP,Curtis Harding,0CUpzKPDfIVzYqMn47jiV3,Soul Power,2ohzE05KfJEKXXFx5ZKUAU,31,https://p.scdn.co/mp3-preview/a3cd88727afada76be6241f9a3329621eaad8b47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,"Honestly, I Wish That I Knew",6ui1RKcEXO7wDtIdoeLZMj,The Smoking Trees,3ezwxaw7oMvs8MbjzhHkRJ,The Adventure Continues...,6NpPA0CzkBndRlJM5K5jWW,33,https://p.scdn.co/mp3-preview/c9c4b0e239f28533a154366cc3a8e958a3a416d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,I Got The Moves,7xDsu5F9hLL8HlfEJOdhrd,Habibi,600GgDUq9kzGJgNIrVsWfz,Habibi,5iqgIxsuoG0MGrw8nqKhps,25,not available
54,Black Hell,6BzOevhT14LYvdJz3plekj,The Abigails,6LVJCmVIjAkNaVWahYlOli,Songs of Love & Despair,5Hs3RNMCwjrxOR6upVmnRQ,32,https://p.scdn.co/mp3-preview/0d1526181a593edd1f1c353609a715e591247111?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Send Me Your Love,56ve3YqTedRQJkIBgthotN,Fletcher C Johnson,4mEzgDgwWm4ipz35XZLIrL,Salutations,6HWMkyLn6YnpCe32sNUP8W,13,https://p.scdn.co/mp3-preview/ce017f0bf87cfa68688bfd232d5fb085e0cd738e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Loved,7xFs8MqB2wPmqsfkaARWfM,levitation room,0SVxQVCnJn1BNUMY9ZcRO4,Minds Of Our Own,6aW21BwGe78wWM7ui9S0iL,40,https://p.scdn.co/mp3-preview/d74e5dc43547caa055c3a0b9276e1bcabdda0c32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Miss You Love You,5AbDYypD4rveO3O3z6Alv9,Salsa Chips,5c4FVkVoU1DGyt9dOKqmQY,Salsa Chips,2Arty04bLhXUcdWJtiTxB5,0,https://p.scdn.co/mp3-preview/d674a80246f8c4759523b0c5c56e9ecb405bc9e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Sometimes,4xXkcoZxUlFth1ZWgYXzkN,Cheryll,0fhMkR4LtLxVIINRyR7qvF,Cheryll,6sTHrqPs9lw9sob2o9EVJn,2,not available
59,Postcard Radio,5nXTfPkpZsY4iZrvHxBl4Y,Froth,1KtOqfwCbclwg7bgvsUJ5U,Bleak,4jXZwlaPycG3fDvfLibYsv,20,https://p.scdn.co/mp3-preview/f7425afb583ae6a787aa7ef6b60f3bd3355604f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Geography,0bX4Hnr9TZI1BLnm20VHBn,Enjoy,46OZe7BgkZhisNbEMW4oqq,Another Word For Joy,74a7CvUcC5m4FNnnTM3FIR,24,https://p.scdn.co/mp3-preview/d019f7fbeecd96be0f13417d310cf8154c1a783a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Sigh,2GyuZvM5wN7UclnjykqWOc,Puzzle,3JDZy6EWo6V8yABANunf6V,Tighten the Reins,3YVuvqsbyMZhBArcSbyMRt,28,https://p.scdn.co/mp3-preview/7592caa5d08aba89cf2ca25fb03820934317e2b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,I Get A Kick,7vELCDPtfiw7EUrH4aCtVU,John Krautner,1znJ8APotsJYWNkSVcPWJw,"Fun With Gum, Vol. 1",74klXJpKhgKb7yKHqI17pg,0,not available
63,Borderline,3sxInOnvYDQc7TeO6rQlj6,AJ Dávila y Terror Amor,3PaGQMamUvw2xxB7xopyT2,Beibi,750e1Bw3KnuYMrJsnvuWcs,2,not available
64,Head Shave,5YZp6FQh5ROlicUmUOQ1ol,Wax Witches,7nS8YQBOr6A6k4wijbmrLv,Center of Your Universe,3xsSlwovUBbeQ1YwsiRZFK,0,not available
65,La Verdad,6Q1DELIFTyfKCeNDAglJjg,Pizza Time,7MrdLzC9TyuddvJV3p6euX,Todo,43yak38OjujAJpEkIHJW4d,4,https://p.scdn.co/mp3-preview/250b6d4f1d38a89e15e9b09c0cbb73d42c33794d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Love Spell,0FDUS4yiuxit3ib5dTlftg,Death Valley Girls,0EvAIYxDOmvxkCv35jfmS9,Glow In The Dark,78iy8eZFWUJA7b8eA7uWBM,14,https://p.scdn.co/mp3-preview/04f480c4877dcde475d0b7d0f9f2d600a663a6fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Sunday Morning,6m1fMKg17Mb8utdiQHiB8k,Margo Guryan,3SMY2MGuaUOhuPpgRn6clw,Take A Picture,2Tx4Ho95SCtVWMat9Wx3Rq,42,https://p.scdn.co/mp3-preview/e99192be33ea4456b114d65ec692764339f65b15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Power to the People,4UIv210AoPpfrnarXy8Yul,Massenger,0SsIyyCdH6V2CLzeiyA44H,Massenger,31arBR4syUt4GYgPrg2h2K,9,https://p.scdn.co/mp3-preview/7db1a5d2ebd5700b1095e6b68497faaaeb966db5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Weird Boy Next Door,6j9aogcoT1V5IMEFLDilzt,The Muffs,4FYk4moRCGHdXIK3AMcelO,Whoop Dee Doo,1E2SpOy5JpLYwO7G8MZtmD,25,https://p.scdn.co/mp3-preview/0eb77a47e9ef9458e3fcdf529c115fc10a754a19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Neu Chicago :: Side A :: For Dance,3Y1BThO9RaVCM8P1Db4HI5,Clive Tanaka y su orquesta,0baqzsI5oUU3yyeeP7568i,Jet Set Siempre 1°,2OcbcKgjXRPkA8ShOTTMDv,27,https://p.scdn.co/mp3-preview/7ee0e4a0f44ce9bd3621113140c072865048bb60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,A Truce,0bULjqzXvwaEwTSIbD74qx,Devon Williams,6HARLjOsKxuYvgJjy2sMKO,Carefree,2z2M73Bki4r1oY1VAKfLu8,1,https://p.scdn.co/mp3-preview/77bf76063f3ff61ffd4899ae9d1d525abd880dc9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Lost Something,77y5SLS32UAfUqeXfuN6GN,Michael Rault,1bcztlEOrJIIfLbUIKQY6O,Living Daylight,6bRHYkbLTuLsrYLl7UsQEo,2,not available
73,JJ's House,3sCn2jzbUu1lw1CcBqF06e,The Lemons,65Rt4Kii4q2cfQMzfBk0O5,"Hello, We're The Lemons",6hhiYw0CVwSzAtLWZFWBVw,1,not available
74,Paying,4hUTYyO48c1msJsEyzu5Lm,Sarah Bethe Nelson,0nsKEeVs2u2SD9ZSbRUeLX,Fast Moving Clouds,2pFb4KNcv2Lq5sKdubVzYa,2,not available
75,Fire Doesn't Burn Itself,2MivJKBsf8Urhe3T9p4GVx,Sam Flax,2dKgwQW4faBFyQnplVsK4k,Age Waves,37WEuyB8PNjyXB9DfE1VK8,39,https://p.scdn.co/mp3-preview/b741ca36a8bde75d5c3842e13eadc709b50e6725?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Ordinary,1xgJLMjleMbc0mL4JtvSCW,Those Pretty Wrongs,3azero10EBz68YUn4mWz29,Those Pretty Wrongs,1idx5oDTNGteTP45ApzVIS,4,https://p.scdn.co/mp3-preview/0cc62467fcaeb5108e37a81d29e1ee413c1dd4cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Round & Around,5O2A1wBzQzBmLD3lmxqo45,Mitchell Adam Johnson,1kxQKkAJwuNQuDLcnRv1sp,Half Moon Lane,3KnHXMF1lEGqzzy46YhDbD,0,not available
78,Hanky Panky,5RnqKvvGJI4tGdl7ZnKHH4,Los Panky's,2tzoTn3Grv3H5uNoazgL3L,¬°Divi√©rtete Con Hanky Panky!,1J5GbS41yWHtnRwmZUmJcF,1,not available
79,Falling Down Stairs,7m9bi9f0vItV8ESDW0Yva3,Distractor,5jZvBSJGDWr6qfcSHDC3ZJ,Six Foot Moon,5gx6N2k9LAf7aU3jOpj7bm,32,https://p.scdn.co/mp3-preview/404c24bcf553d0362f233db96495e687a95296df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,I Got Skills,37mWYoxuGsVnPAcKZ4Ddxk,Mozes and the Firstborn,64ongxKGEtJGrBBRow05fk,Mozes and the Firstborn,3k0kjaxIY7VDN9J15123LY,17,https://p.scdn.co/mp3-preview/33882d2e0b97d9f0034d2270b76e8c1ef537d5ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Manipulator,4CuflgeSQhlTQWoJr2oza5,Elephant Stone,47bokO26f4LIt4zaAlCQwo,Ship of Fools,0ZNjWY53iMHDv1hBK1lRpx,12,https://p.scdn.co/mp3-preview/20010efe30520094d41af5f7897d29ff3e28cfda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,I Know,7s2zCM8AZ5ArfEBaRa3skv,The High Curbs,10vRxHWrGthzWjNMCNvUHy,Tommy,77HiQwWsuY8lE5BhDQpdHQ,26,https://p.scdn.co/mp3-preview/a3dffb32b9a13035afaa815444a1dbad3fa82c32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Father of the Man,7kNLA9Xwf7ZB8UzzSrtytf,The Cairo Gang,7cDnvtUp5opTIxBQtWy45G,Tiny Rebels,5swp5mHUYnYHjTaKNmfGGz,4,https://p.scdn.co/mp3-preview/d09b21d2eaf04422a34f9ee152e707b4082e3b7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Jaded,34WarWlePWGG7qGuSTQj9L,Winter,4Eun8YBC7P0psGdIf0GRtl,Jaded,2sBepkHOwVVXvROkouU2Ri,5,not available
85,Feeding Frenzy,7fOoRsrlQT6oPVwcaBGbGm,Faux Ferocious,3Ci9XbeZP2rpeIvmStcCAj,Pretty Groovy,5lsxS2CYwNMC4t6132rYRp,18,https://p.scdn.co/mp3-preview/f3330538b749a5465c2f7c7101fd0ad79ac05362?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Banana Peel,4T9QYRUVI5vxcsrSmMer0f,Thomas Mudrick,3RNtYu0SyCX98afVvsPfve,(((Boing))),2YwJZQJr8hhdg3W7YMZjze,2,https://p.scdn.co/mp3-preview/80b231a7c3f9bfe81a0495f1166eb7b0c42c57b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Rock n Roll Friend,4BvYDetEZwgIy18R9E6JRH,Patsy's Rats,64FzlHjkiJC4F2bmsGc2Of,Singles,3291YpERe6VTrHYO2MGQNh,8,https://p.scdn.co/mp3-preview/ced24f32e485e306906a8b8ea2bab3c6ce5c03c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Dead In The Water,4KbeK49n5531q0QiRBbMKO,Pop Zeus,5aEfUZWBjLVTfO8ExxrGOP,Pop Zeus,4ku4SL5uYs9wgEABZzIgT8,2,https://p.scdn.co/mp3-preview/e6b7e5d11b1f46c5c9bc8ed8ae1fc9f120284c33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Breakin' Bones,1h0TOlxKhPTDqoq8lHcEHc,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,"Shake, Wrestle 'n' Roll",6y4dwzoVyOEZdbdsGfrmWX,6,https://p.scdn.co/mp3-preview/660b5217979fb2a265fb8c75f80f3bfdb6c2b9f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Brainfreeze,0ET9kShvxu6oRxWgkCh7OD,Ice Cold Slush,1JLycy4P9SVZhBoKTQglnA,Ice Cold Slush,6FkCx2NFeIM66qLuZKzUys,3,https://p.scdn.co/mp3-preview/24d23900daa5af2d927681d052dd621e875f8734?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Panique,48n0Or9AmRA0uEeyX8Ycuc,Juniore,1vxsourLLLfobrxyWAcuQH,Ouh là là,6RB5mSX5nzZo6pJtbFaHtS,45,https://p.scdn.co/mp3-preview/3f497e4ee91327a7c15f1710425511a94fedef86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,I Just Want You to Go Away,7oNiiOhjJecybvfjIrFxgC,The Lovely Bad Things,5sCehMxEoE2P6FM9OMycIe,Teenage Grown Ups,4WEjjAuDYdW2kZTLm0W21h,6,https://p.scdn.co/mp3-preview/6caf01b5eb6e101dd2c10b70f41f1fbbf8f3391d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,A Sickness,2rI0dSTrd7c1anNNf7AIdh,Roya,3bSsBL1xLFsOigBmSL4mLQ,Roya,6vlV0nuiBg1lFMatEsfJTZ,5,https://p.scdn.co/mp3-preview/412eea8985eaaaf4dff11241f9c9e4323fb21470?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Hot For Nietzsche,46HbiPlB9v0AnwMdcrwQRc,Turbonegro,191rVxQbbZ05wcICUSvLkz,ROCKNROLL MACHINE,424KFQolDBYGCXPJID48Fm,36,not available
