🇦🇺 AUSTRALIAN BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
32,Aeroplane Mode,4nlXhztgWOyo6PVugxnPm1,Mares,1XiRUAybkAIZFmvtMKwPMQ,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/4c032ea724f3383da459b7e395506f691aebe45a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,As the Empire Fell Apart,3YRhzR3ahZdT6pb4E2UEr3,Cody Munro Moore,76LfvWJ9SYMkhovOhDzxyn,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/c7e2acd9e5d0db8cc47e89967687b887b942de8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Feel Free,4lyWQKx7ECmPL0cjQ5I8nn,Luke Pallier,2C9dybq1UrE70LSspisFVq,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/2528f326778738830e78b4195442596a3b4af9ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,I'm Not a Loser,7HMmujNpOqrEf4RTzQ2Wvo,Amyl and The Sniffers,3NqV2DJoAWsjl787bWaHW7,Big Attraction,5voq3wmatH1n7JmQpvwPEv,43,https://p.scdn.co/mp3-preview/b7ba0f1fa13ea4d73c336989cc3c29f037c37265?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Ask Me Why,6lSMFKE2IYvMML084Rl7nG,The Gooch Palms,5rtGpDaS0oxKOm2PgBj6jr,Introverted Extroverts,0F00JljfhFiDDACKOeS5zK,29,https://p.scdn.co/mp3-preview/d4d5c5878383c269a99c93418b5c77e01d92aa1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Addiction,4ThUAs8tmCCMbL39lQqdMN,Denise Le Menice,2cpCCAAk5r4xpQtMscHWZw,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
38,Stations of the Cross,1wjwMiNWcQjuUcojzFh1F7,No Local,3Ymeq4dNa2T31laKB2OA30,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
39,Love and Property,7Go49GIcEuc5psj48OqkZV,Greenwave Beth,2anyntZ1zZC2EyVuEqg7x9,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
40,Tender,4NX38Bt6yfvWAxKqZ9trVi,Tuffence Meringue,43BwUfU5iNCGrdZ155vDs2,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
41,Jk Not,6HeAZ3Eiswlq5moTEdmL21,Navy Gangs,4xHJy4HgM47bJHMA0XCMOf,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
42,Cockroach,33s6HZsGQrZVGDedP201fM,Bourgeoise Earth,5zh8vPglinzTwEosvqtYID,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
43,Without You,0jbcnToaEK5jDmP2ZKuCGB,MEZKO,04fhc7PLNprdHcVf5CyjuD,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
44,Gutter,1uPjcngrJVUMks9qoLyEaO,Real Love,76ziW61akksdBJINaNLJB1,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
45,Bar Cards,1painh0iYIdqwR8do0T5lq,Bored Shorts,3uYP6IV5RkbTCZsWRnJEQL,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
46,In 2 It,16iNjrL5Qn9FFBTUgFGw1K,Solo Career,2j4psU9AyAD46rqgtXfl8R,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
47,One More Night,5It8ZMm3hMmJ9Tb2XKTM6k,Sadventure,2kw0KmpvA6EZkIKOSsUQnk,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
48,Trickle,1wCyO4mw7pasE86qOBLazy,FRANK,4erf3FC4VCuruSU8sItEKx,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
49,Evensong,2bL15890mKNtkctx0gOK50,International Velvet,7CF6fIvYHs3tsPSbexGj8w,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
50,Johnny Rotten & The Queen,3BtErejhzNRoYVE8x1IIXe,New Lovers,2TSEVwQPrV36VSxqnFoTxt,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
51,Candid Streets,5ZwTngYrZ3yOseY0bJZLJ6,Nasho,7qnBqc068JCrFJOwrWFFi9,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
52,Here Now Stay Go,6TDlXasfQzFWY3JZmaTiGV,Paige Emery,3OBw6hrcKOCm21DGQnlgEX,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
53,Volume Two,0dLqEWslu57qRiph0TXDpw,e4444e,5ZdlgqLI1IrDYZMAAYZmAd,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
54,I Wanted,75BzNALRRcxCxFeheM1pES,Monica Sottile,1f2JdmrTa3QIsgTk658Kv5,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
55,Desire,4bjNEWsfF0QApdaxL6H7JT,Wedding Video,3U2JQDHQ1VpohD8fytTko0,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
56,Rewards of the Flesh,5BqVaYFa0KCjsYMSZcOKPu,Hugh M. Hominid,5KW3FVrqdgCoVtr6X1sxPF,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
57,Aeroplane Mode,5RuDVOJLA1i9pN88ds3SeE,Mares,1XiRUAybkAIZFmvtMKwPMQ,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
58,As the Empire Fell Apart,7z3BAKqCO1AlbHiZ1a86pp,Cody Munro Moore,76LfvWJ9SYMkhovOhDzxyn,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
59,Feel Free,3NKzyg1m1QxUsqj0zRaJdx,Luke Pallier,2C9dybq1UrE70LSspisFVq,Dinosaur City Records Mixtape #3,0ywlWtyROusFdWZVVkYAlB,0,not available
60,HOLEPUNCH,2Yacb6nbnBUgRRT7NbZjw7,CANDLE,5lq2yMc254p5bfSddi0mZP,HOLEPUNCH,4ouMwsVhY2FsMOsmIR9C0n,4,https://p.scdn.co/mp3-preview/23fe3135caf9c408f75d5a12194a8cb44bd56d99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Burning Crosses,5JNuWWw5ZEGuA8ILhsTvZj,Bleeding Knees Club,3EMKuFv3kcl9wyKHepeWoF,Fade the Hammer,3D593XM1Fbh3oCG9C3OCFK,19,https://p.scdn.co/mp3-preview/009c1fd47192874d5fc386c3ad60f92ee85919ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
