Study Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
42,Mirror Talk,50MKC57FUgCT39leWSA0a0,Griff,5RJFJWYgtgWktosLrUDzff,Mirror Talk,3PbpnYQH8lZCA8cw45ry4r,51,https://p.scdn.co/mp3-preview/73c21dbc7d7f812733f2cad5411e99b3e1c7b968?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Pursuit of Happiness,2GT98qZyIz7tIDcjJG72q0,Sara Diamond,4azg4dtpH6PiewGHFzQEj0,Pursuit of Happiness,0eVTj25mHNsrsTKk1AWzxz,22,https://p.scdn.co/mp3-preview/8d2cd0b4f2a2ec87df73502a50578a8b520a9fb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,lost,2G0Euh2XsSOtvgtMbysJmE,Loote,00TKPo9MxwZ0j4ooveIxWZ,lost,0hc021mB0QDSF4uCTr3Ki7,56,not available
45,Crying Over You ◐,7i1pavASRUZk62ejaUIESa,HONNE,0Vw76uk7P8yVtTClWyOhac,Love Me / Love Me Not,0fwZXPXf41aF6H0CN3UtXV,69,https://p.scdn.co/mp3-preview/6ac2052465ae1f56bdad5266a67bb1a449da383a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Slow Down,6FVFejuSWuGkMHFaJSVqKr,Balcony,5Jk42C5fwPHCgpyOypW2G7,Slow Down,2c5SfGFILzFp5YVA2iDW4A,19,https://p.scdn.co/mp3-preview/2aaa5243d32cb809f8570083fef11c3f0c4023d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Call Her My Name,6Fnd9DXSfsqbN44HqE8I2u,HANA2K,0T48j6ImCLNXQPS4WmNnsW,Call Her My Name,7cWAKyH1GxaDqmtmZrK2up,30,https://p.scdn.co/mp3-preview/3ef18f9dc9d522d832779fdfc1b569ca269272fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,religion (u can lay your hands on me),7rl1Frsgk11OLb193JtLra,Shura,1qpR5mURxk3d8f6mww6uKT,religion (u can lay your hands on me),48gI9FAseDW1WBUPWS5zKY,30,not available
49,I Can Do Better,4Xqwn0UvwfOh6pVgeVLgNe,LOVA,1l2NYhptmHjo64MDOcej1x,I Can Do Better,7IE1rAIU2ibFrMhqr5FBPy,48,not available
50,I Heart You,4jZLRZcShNgNz97zT4ThPO,Baby Ariel,3ggXjUaLzPuY775WFABpXe,I Heart You,5IWECjpHAS1UKcFHU1HCCy,45,https://p.scdn.co/mp3-preview/51d48241c7e5f3deda8a763e3c8dc5f997d7d296?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Need You,0EQeui6OBMzqJ3Z3wCOzZh,Faustix,6jPriOYMyUL9kNonBI1CNd,Need You,1IqpPKPKVpu1VWZ67VnHPB,67,https://p.scdn.co/mp3-preview/2213038829b148787d500fe43db7750ea298eebd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
