Pride Party 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
58,Murder On The Dancefloor,5rtpGGu3bPKsJEFjDGs63M,Sophie Ellis-Bextor,2cBh5lVMg222FFuRU7EfDE,Read My Lips,6OGq6qvKCDeUkRl0FgxTUH,59,not available
59,Push The Button,3EDS89HeAhHiZKlljciK0a,Sugababes,7rZNSLWMjTbwdLNskFbzFf,Taller In More Ways,52w9BX6HJvNzY8qQXtFBq8,65,not available
60,Symphony (feat. Zara Larsson),72gv4zhNvRVdQA0eOenCal,Clean Bandit,6MDME20pz9RveH9rEXvrOM,What Is Love? (Deluxe Edition),1MvF4ulZKH7SaDQs9rE5nc,75,https://p.scdn.co/mp3-preview/25afd2d1ae43f4e90083b921d02ea793b4966518?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Flames,66BjcDhhwWCcQIBxHMpKXh,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,7,5rbJtzuXtpIP0Ykk7ewIit,68,https://p.scdn.co/mp3-preview/3be5999710b9fa836498756eb4d5b39383ede970?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Fuck You,0JtxeMlLho0MJLOrWpxLyN,Lily Allen,13saZpZnCDWOI9D4IJhp1f,"It's Not Me, It's You",2GrcOp7hFJIYcuWrmt4uZH,46,https://p.scdn.co/mp3-preview/2c0deb881f7dea4fc65e3f11f54c5558da4f0d29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Andrà tutto bene,5YIZT1A2NZGwlOOu7gK79N,Levante,5mTg1ztZByLRHsOEtwmT4G,Andrà tutto bene,7LHFOI9DyPfAFamBuPPspO,52,https://p.scdn.co/mp3-preview/7b3c39abd4b6635e804a4e72ed8a35d0ee41af0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Closer,4dTVgHZFPlaq9nPbLVVLSG,Tegan and Sara,5e1BZulIiYWPRm8yogwUYH,Heartthrob,5IUJ6v408Z7pECC3BXUJxX,61,https://p.scdn.co/mp3-preview/e5861ae4a243076e2c81ac37762354b55bf772fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Other Side,1d9QFEAXThZVyzEiFqAHBC,Emma McGrath,3PZyI7b9LfYnS0QU827W8z,Other Side,1sV88MY4uepjGcoNyhHCv5,31,https://p.scdn.co/mp3-preview/68783c864f50c7a978af9e492af5e570879bb538?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,You Need To Calm Down,29fRTIKsJhLUJoldM89GZS,Taylor Swift,06HL4z0CvFAxyc27GXpf02,You Need To Calm Down,21dd5QyItuoqvPkViQXlKf,79,not available
67,"Rhythm Is A Dancer - 7"" Edit",4RADreHMvMkZwsPgPr9z5c,SNAP!,2FrKQPjJe4pVMZOgm0ESOx,The Madman's Return,2TrNT4qm7qDIRTUVn9jBW4,69,https://p.scdn.co/mp3-preview/3f7952e47ed903b908644d13b8b79807963c8736?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Primadonna,4sOX1nhpKwFWPvoMMExi3q,MARINA,6CwfuxIqcltXDGjfZsMd9A,Electra Heart (Deluxe),49kf7gWWtReFwPcCNsvyUf,65,https://p.scdn.co/mp3-preview/01e35bbfa3cb206a4d9bd66e87800c04b5948af3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Broken & Beautiful (from the movie UGLYDOLLS),1Y9cAYTmyWJCcmfqdG2I29,Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,Broken & Beautiful (from the movie UGLYDOLLS),5UHs9Jq0Vy5E3eUdkgcZvj,75,https://p.scdn.co/mp3-preview/d0cd9ed365c0005fc0f5054f868ca92da4fff856?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Euphoria,2knr7ikPt4l7bk92qS4ZXW,Loreen,49aaHxvAJ0tCh0F15OnwIl,Heal,73FYKSgOypVgghYr8GsEGl,56,https://p.scdn.co/mp3-preview/dd303ba7f4f04a0236c601002d103164abc13464?cid=fa83a2fec7c440b7a2795d600d6b2c7e
