Halloween Monster Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Superstition - Single Version,1AAZOa85URJa2BHs4VBRGF,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,The Definitive Collection,21s1USjtAKu8YcswA64iQX,15,not available
21,Lisa Frankenstein (feat. Bobby Moynihan),0F4YW3nVTMTSYsHmJhzigX,Nina West,0aulHJd3aNnzmyhObUybEW,Lisa Frankenstein (feat. Bobby Moynihan),18koo08PZI3CVLaQzdMNVM,16,https://p.scdn.co/mp3-preview/91e20c8d2da0df477b476f12af50a1a738ce1a8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Hounds Of Love,0iluWxTpC9QOdVPg3PROvm,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,Hounds Of Love,5BWl0bB1q0TqyFmkBEupZy,56,https://p.scdn.co/mp3-preview/e9a5c71d6f212a3febfff98e35a60b4c486a59da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Get Ur Freak On,13KEdaWIc7T6ozEmnJjHy1,Missy Elliott,2wIVse2owClT7go1WT98tk,Miss E...So Addictive,3mw1gH8eaRTtuLQldAEc9s,43,https://p.scdn.co/mp3-preview/05b0bdcb997a04f1e26b260d6b392427379e35cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Toxic,6I9VzXrHxO9rA9A5euc8Ak,Britney Spears,26dSoYclwsYLMAKD3tpOr4,In The Zone,0z7pVBGOD7HCIB7S8eLkLI,79,https://p.scdn.co/mp3-preview/8465386fd6ce10f7ae3bd9c907825d7cb955ade0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,In the Air Tonight - 2015 Remaster,4fjWMAvvpx1dgq3pnCm8Wt,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,The Singles (Expanded),7yZHLfxqiGPbSQLrVJljah,47,https://p.scdn.co/mp3-preview/b40304ed1ab36d12e9aaa8aa7c4aac92085f4545?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Tainted Love,58E1XVmZTODC67YNjneuXM,Soft Cell,6aq8T2RcspxVOGgMrTzjWc,Non-Stop Erotic Cabaret,1R4TikWrz6Mz53aB66dZRn,68,not available
27,Everybody (Backstreet's Back) - Radio Edit,4rTeOSYqwXNz5qPR2DUTFZ,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,This Is The End: Original Motion Picture Soundtrack,1SFKmqhTTEkE3PmSBEMpa3,64,https://p.scdn.co/mp3-preview/331ae7f182384985b601fc75ae7f0e7a0c821de5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,House of Fun,0wQbAxlv3bbDJrlVcViR2Q,Madness,4AYkFtEBnNnGuoo8HaHErd,Full House - The Very Best of Madness,2N3P3puXfpXFV6mpJzmJqO,29,https://p.scdn.co/mp3-preview/712c5fdd7d591a30420a1405fc13f5ed4f5d1093?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Ghost Town - 2015 Remaster,56LIfs198QQE7XvHKYqvy6,The Specials,6xnvNmSzmeOE1bLKnYXKW3,More Specials (Deluxe Version),2KOfIie8uu79vP3KTPZaiy,45,https://p.scdn.co/mp3-preview/1437e545e82d9fcf2507ab39b0049ee0a178ba6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
