New Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
45,Navy Blue,2V5YXks1lzRLR4qx4NTADJ,Charlotte Lawrence,7LImGq5KnzQobZciDJpeJb,Navy Blue,3fa2dzsrpIZBgUniutmj7V,63,https://p.scdn.co/mp3-preview/54a7eb849116a038814ecb41cc1101329132c6af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Stop Selling Her Drugs (feat. Dominic Fike),4uBQDAzZ881KYZvW7ZInUn,Bakar,3K2Srho6NCF3o9MswGR76H,Will You Be My Yellow?,12nH1R4NqEtaOQ5M7RA63p,57,https://p.scdn.co/mp3-preview/2cd2bc8bfd062d5ea9752f3db0a3b10e8845199b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Real Life,2I5GlQAgccPaU96s7hTb44,Christopher,3zDRCqOhJXJfS2YWOEwGMC,Real Life,3TsPLYHo7DdDR4RrSqXfkT,63,https://p.scdn.co/mp3-preview/f797e191614736e116a6cae135dedd7bb2118db7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,I Don’t Think I Can Do This Again (with Clairo),3udJxehBCZ27wRO9gSum4B,Mura Masa,5Q81rlcTFh3k6DQJXPdsot,I Don’t Think I Can Do This Again,2PMTYwJd3ui0erw8OJMvC4,68,not available
49,Truth Is,26h7ux2txHZ70RsWPpFasT,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,"""Truth Is"" - The Short Collection",3boDP5dWDe5JsnF3KvRZSL,66,not available
50,F You I Love You (feat. Teyana Taylor),27aGlicHJKf5QY20looYlR,KYLE,4qBgvVog0wzW75IQ48mU7v,Light of Mine (Deluxe),4UYc2CKvpyr2e1moEY6TL0,71,https://p.scdn.co/mp3-preview/9c21eaee73697d32b9a5273eef2ab09d43903504?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Paradox,3ntCrQpJpD4FkrBg4GS5sf,Jaymes Young,6QrQ7OrISRYIfS5mtacaw2,Paradox,4H0QFs8pLdUf4YoSvFI1Ee,55,https://p.scdn.co/mp3-preview/9db0235bb6c8a72c4377214c5bd268af02299bb4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Sour Milk,2KvgzXMeNKU7xonFyzIjCr,Dylan,4LOM7NzyrZvlGSYPFDsnTk,Sour Milk,0TnMKbMlfRA1w86GH8lSFh,37,https://p.scdn.co/mp3-preview/5e9bdcaafcbc82891a398d768321c8f574ee231d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,STUPID (feat. Yung Baby Tate),6qNB2ChCVPepl5ZjVJJTUW,Ashnikko,3PyJHH2wyfQK3WZrk9rpmP,"Hi, It's Me",5eKuModdAdZRmc51241r4D,78,https://p.scdn.co/mp3-preview/61b13f60bba8b0c04cce0cb5e34a3c9e06482610?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Paranoia,5gSDNRb0J4gSmfim4bNywi,HEX,2XfxJqzWxfNSBNIdmVeNLI,Paranoia,5lA38SAhahK1wtuMwJ8Cw1,50,https://p.scdn.co/mp3-preview/04d245161cc75fcdc292d412cb9bab84d7844207?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Hello My Loneliness,7s1pVBcyE3WAjIKDTu4q92,Delaney Jane,3fuxStOqQv8TiytHeuGiE8,Hello My Loneliness,4Es2JrBlX5GYELe2bdoCWt,61,https://p.scdn.co/mp3-preview/885c69b3657571691c1e1ecf3708c075bf30d842?cid=fa83a2fec7c440b7a2795d600d6b2c7e
