Summer Pop Party | 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
48,Electricity (with Dua Lipa),5N4erncE7kuUccm7zEmwzk,Silk City,2X97ZAqRKRMYFIDqtvGgGc,Electricity (with Dua Lipa),429B3se6xtZuvblNnS2iy7,82,https://p.scdn.co/mp3-preview/d4362730866e97d2e89776ceea7ad31cc5a44541?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,The Git Up,5dW1VZPcFqB4n0P08rGDgm,Blanco Brown,3yzRiNMZdTsSUgplcyYZ4i,The Git Up,00xSEAMEAPTF17t2rdOFYF,87,https://p.scdn.co/mp3-preview/bf19add55f2da6c1095f0d2a5fc47fdf0c6c0634?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,La La Land,4UprSV8Kcj1kcSZNZrAW4e,Bryce Vine,1ShZZUjkbXCjhwrb18BA8I,La La Land,3vZmHuUzOwNEiWabjxY7zt,60,https://p.scdn.co/mp3-preview/201c922da2d0503998bf0c692a4ea55d62ce575f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Stay Young,7wjprvfscpUNacftNovfQO,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,Stay Young,2DFhsR9VbaeoR1sWlX04lk,65,https://p.scdn.co/mp3-preview/fb9bbf91d895046005a241e2563ccf8c6de9bd5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,1%,2zhcxIGjc0xBny177lJJhD,Oscar Scheller,6BToM88XrzNI6VL5GxazUq,1%,3Dn6ZQTMKbssmdZcZqTrcD,42,https://p.scdn.co/mp3-preview/474f6056db3deeb18f45171dfc362e68c96d3ed3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Bruised Not Broken (feat. MNEK & Kiana Ledé),2ak79ho44RiDi9DFrqYgfq,Matoma,4YXycRbyyAE0wozTk7QMEq,Bruised Not Broken (feat. MNEK & Kiana Ledé),0z4oE7Qw23PPTKR8Upu0Iu,69,https://p.scdn.co/mp3-preview/7b4cd1cfe33feb296f05192fbc958f5b39feb6b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Anywhere,6Xy72HZ9nf2jx48dQuF1mA,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Phoenix (Deluxe),6Vn8F3hERVHYYz5RfKmsAN,67,https://p.scdn.co/mp3-preview/643812b1954e08143d25e3673cdcc26795c3f6af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,These Days,5CLGzJsGqhCEECcpnFQA8x,Rudimental,4WN5naL3ofxrVBgFpguzKo,These Days,2sjjFDjZSCYD5eBCsi0fDW,81,https://p.scdn.co/mp3-preview/57f9b45cd318070b04945fc6c8a7e50eaa7f8971?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,24K Magic,6b8Be6ljOzmkOmFslEb23P,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,24K Magic,4PgleR09JVnm3zY1fW3XBA,79,https://p.scdn.co/mp3-preview/3213a35ec32d4c747e794072a5ef7b464b4fcb69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Sweet but Psycho,7CdLU3GgPy1PH5FVsrPlyA,89,https://p.scdn.co/mp3-preview/9772598a67666a9b7184926c59fe15b9574c7e46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Answerphone (feat. Yxng Bane),1HagMz5nWk1HmevNCBOxF3,Banx & Ranx,2uFC1dAj5b0YU7vulKNZ0p,Answerphone (feat. Yxng Bane),5zg7gO8BMZpwEt8Cb8PNC0,65,https://p.scdn.co/mp3-preview/765f451f87b98f0edf8b92481160824405f98c8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Don't Call Me Up,4QjVfuu7om31HBan0jlX4p,Mabel,1MIVXf74SZHmTIp4V4paH4,Don't Call Me Up,7eNi4JLsvO4nrHGNjOL45U,72,not available
60,Only Want You (feat. 6LACK),1fPYcrgm9wODvukYw46vcg,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Only Want You (feat. 6LACK),6HznAKUBMg1eOLzXkfXiyy,64,https://p.scdn.co/mp3-preview/fa66bab78709c86882690d38e50cc144f33a64eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Lead Me On,19rTS1sTpoYSTtXOfOWX0M,Louise,27ul3mOdPyXZEtI17EjCWa,Lead Me On,6t8EcwWsHiE6bhJXkOG7bU,37,https://p.scdn.co/mp3-preview/d287922dc8f4e9e531114fa8c310eb9018d8e901?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Better When You're Gone,4Tvw0lweq9l2JPQKFbpbBQ,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Better When You're Gone,4ZoXNDicq0MrsGk1pM883o,78,https://p.scdn.co/mp3-preview/b1b16a47f2f1a448c9d349d3d166718ee0daa7ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,High Hopes,2djdCbLj1pzRmrDNe7PkW2,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,High Hopes on Saturday Night,3HIpXil5vBzbHi4LPz51mk,62,https://p.scdn.co/mp3-preview/b05d183fb00956c3bb6290180361e4d1bd9127da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Body,1AamtlJ1o5pTy7ZUUXwSJ6,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,Body,15zhyEpCCzGDwgJ21vnWSf,58,https://p.scdn.co/mp3-preview/cc8dc2d90a923e024f1c71dec1cd4f0a8650a1cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Beautiful (feat. Camila Cabello),4VUwkH455At9kENOfzTqmF,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,Beautiful (feat. Camila Cabello),6hCR3zQtRH0IgookOYt771,83,https://p.scdn.co/mp3-preview/f4919d159ccc28353ec076bdf5187c19a4f73dc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,No One,3kIb1b4YbysgOiIUxd93RL,Jess Glynne,4ScCswdRlyA23odg9thgIO,Always in Between (Deluxe),7GCY1J01hcEpdgeY0vtSsN,62,https://p.scdn.co/mp3-preview/8dc519707c436ca4cc3e6e236227257ed5f070a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,7CajNmpbOovFoOoasH2HaY,One Kiss (with Dua Lipa),7GEzhoTiqcPYkOprWQu581,85,https://p.scdn.co/mp3-preview/34b3b95afb8e1d34363f01b194b4a729100d3710?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Comatose,08jZcQGx52kOxelaTTezkG,Nicolas Haelg,0nwid3SFCGyXxnllTHzHPd,Comatose,7aB6AKPaGYc8lfndyrRWAo,53,https://p.scdn.co/mp3-preview/e9b4cd4cf6ddf86bb45bf378c4a5251e0af491f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Perfect To Me,0DC7Zs2qvAbNK1owWQ4mlL,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,Perfect To Me,53WGU9U5hmgWPUdfNitaVO,78,https://p.scdn.co/mp3-preview/5d1590105e96d13f54afb51e72e527ee80ec1655?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Woodstock,4VzzEviJGYUtAeSsJlI9QB,81,https://p.scdn.co/mp3-preview/c32d9479367a99fcf5f881e23e1381e6f87214e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Mama (feat. Ellie Goulding),3WDIhWoRWVcaHdRwMEHkkS,Clean Bandit,6MDME20pz9RveH9rEXvrOM,What Is Love? (Deluxe Edition),1MvF4ulZKH7SaDQs9rE5nc,74,https://p.scdn.co/mp3-preview/11efc4af3029f2553156c2385b42a042faf4fcdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Be the One,7FCfMXYTIiQ9b4hDYs4Iol,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa (Deluxe),01sfgrNbnnPUEyz6GZYlt9,68,https://p.scdn.co/mp3-preview/1eb421afdfa6d7eec592423070f2f6c1e3dfe466?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Let You Love Me,5Fla3zyOCcIRqrDoKLU0DP,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Phoenix (Deluxe),6Vn8F3hERVHYYz5RfKmsAN,74,https://p.scdn.co/mp3-preview/a79897e64f2aa007cfdc4b182d0db4f90fc3c801?cid=fa83a2fec7c440b7a2795d600d6b2c7e
