Planet Earth II: The Making of the Soundtrack (BBC One),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Canvas,4l4cIoNlIRHMdSql0b0wWw,Imogen Heap,6Xb4ezwoAQC4516kI89nWz,Ellipse,1H8velOQ9zUFqpuQPd2bkO,31,https://p.scdn.co/mp3-preview/b35afa6a0df4030ecd7ad58b617ae6779a9130eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Imagine,0FPKCX3hVBmXo7cLVNDWeo,Nico & Vinz,0awl5piYwO0CDTHEkCjUhn,Black Star Elephant,6zXb9FQMzawvY2Au8Kxky3,39,https://p.scdn.co/mp3-preview/89c4a450a81f08eb06eeea863632d97b16142c15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Boy Lilikoi,73hatfRwTBBoWNxKiq9GQW,Jónsi,3khg8RDB6nMuw34w1IHS6Y,Go,1fgtiyeUDIoUayYbwroqVH,33,https://p.scdn.co/mp3-preview/302f6d930a1f610a0ae4eb99ad96a9bbd3abc782?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Love Dance,0MoldgvrF38eo3DC7mKTI6,Cirque du Soleil,0iF2gedsSjoVHRUh5vXSdu,Ka',40tTokeZ0C1fwQMUZCK9Sg,30,https://p.scdn.co/mp3-preview/094450587a66223458b6e1eaeb2cb0d2e9330b13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Speaking Of Truth - Orchestrated,00wHGjgg3GJYtlGBNApFMk,Laleh,62QZPjYQMoo5g56FP9Webq,Speaking Of Truth (Orchestrated),1JBS1Rb4B1vSGlH2SnTaZh,0,not available
15,John Boy,370LaaO3SfMMP6diizZ6MV,Brad Mehldau,2vI9KFm0fwSfPrpEgOeIbq,Highway Rider,4tYokQ6vjGVHC0wEBMbeY0,31,https://p.scdn.co/mp3-preview/6fc62f9e78e5be787cb6610d1444ba60eb7c674e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Attaboy,6ghXD44kT8wqM1hty9NGgO,Stuart Duncan,53pmIwVqcTM68qW6PVhjW2,The Goat Rodeo Sessions,7tSgsZ1ATPHDzUOqAmapTZ,44,https://p.scdn.co/mp3-preview/da1ac4cd55c23178da7b8d36ede9cf6a7c6f10d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Noam Chomsky Spring Break 2002,42wibgiRtk616OrezefT7q,Department Of Eagles,0d2BmAcZ7p8vrtBPY48WMW,The Cold Nose,6g6FwdJ5sVlX42wyodaaPC,0,not available
18,Untitled #1 (Vaka),2nDAn2iLXJy8PjlO1d4C11,Sigur Rós,6UUrUCIZtQeOf8tC0WuzRy,( ),4NepfEFPcknbMv3tCrXMvf,2,not available
19,Sudden Throw,5Tu2dy8Azr1ywxs0WoVwMT,Ólafur Arnalds,7E3BRXV9ZbCt5lQTCXMTia,For Now I Am Winter,5lssELel9HlvXJR0ndiqoy,32,not available
20,Once Upon a Time in the West (Theme),26WkMnl3RhZVfXhu89nVGF,Bill Frisell,3SONlwqLIP2GtaMh9pLYe5,When You Wish Upon a Star,0TUBfk07rsH1ORHQU2WUSy,16,https://p.scdn.co/mp3-preview/718f86a1516d145ffe9ecc8f46f89a70f72d1788?cid=fa83a2fec7c440b7a2795d600d6b2c7e
