EastEnders: The Queen Vic Jukebox (BBC One),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
42,A Design for Life - Remastered,0uJyE3M3ecGZgzltsQKs3a,Manic Street Preachers,2uH0RyPcX7fnCcT90HFDQX,Everything Must Go 10th Anniversary Edition,3jvKfPU4A2j7tVOFkhcEi2,58,https://p.scdn.co/mp3-preview/2cf01a68a9d94489361e7a1ab3734fe9947cc012?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Friends,0KfboYH9dg6LzhGz85yAhO,Eliza and the Bear,6jO0ArPsbU6gg4GehuCjoF,Friends,0kdadxk2tsfpcPS9dZCDP6,0,not available
44,In The Morning,64IcdRqfcN5rwqSqJpQDDe,Razorlight,450iujbtN6XgiA9pv6fVZz,Razorlight (Japanese Version),1AXk7nf6pCqLRrfPVJbZEj,61,not available
45,I Can't Stop Thinking About You,5rR1C059TESZuNiiYEzZBa,Sting,0Ty63ceoRnnJKVEYP0VQpk,I Can't Stop Thinking About You,6lHsrNDKksCOu6iXWmLtUr,0,not available
46,A Sky Full of Stars,0FDzzruyVECATHXKHFs9eJ,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Ghost Stories,2G4AUqfwxcV1UdQjm2ouYr,78,https://p.scdn.co/mp3-preview/dca7402083b8dbf0e2a5e91f49eb76bde94cd493?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Last Christmas,0SrNhLCoQdYWIB7eNTGTMR,Wham!,5lpH0xAS4fVfLkACg9DAuM,Wonderful Christmas,3zxcZwIJ3pn0WX4UYoTQk7,0,https://p.scdn.co/mp3-preview/5b47589810ac632686abf421e157831cb22900e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Santa Claus Is Ska-ing To Town,0MUIYxx29ZbxZjyLJRwlga,Granville Williams Orchestra,0V6Hy32SaasGvYT90p3Pv3,Childrens Reggae Christmas,0vOuF2eAt4yh56nVI3dcvK,0,not available
49,Star Guitar,19mC6xktT1JyyycK6cQaXA,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Come With Us,56nVadPbdCs1yGB0AtXSGp,53,not available
50,Black Hole Sun,1sBfyE1iF7RP3LTc0zUTdp,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,Telephantasm,4Ut4g1YBsA9IbKkkMG26mu,7,not available
51,Stay Like This,5X3czqPUwMH0CCllSapas1,James Morrison,3LpLGlgRS1IKPPwElnpW35,Higher Than Here,0S5QEYkyRK10yRJYZ310JN,2,not available
52,Jet Black Heart,1KAkTstWzEOT24VqCDkKdl,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,Jet Black Heart,30Q7jkvKL5FR2NBR2oDP69,0,not available
53,Bitter Salt,7h49qJC4I8Svl16KTtmlW8,Jake Bugg,4hf3caW9H8uFwwbv5pFjcg,Bitter Salt,54PjHvCdDiNd2Gzae5RyOC,0,not available
54,Jackie And Wilson,2C1KgZbFiogNUngkmHbWhi,Hozier,2FXC3k01G6Gw61bmprjgqS,Hozier (Deluxe),7HW03Zew4rnOhy5uwskRSz,1,not available
55,Bury It,29XCsynjV5tSzBtsVg871Y,CHVRCHES,3CjlHNtplJyTf9npxaPl5w,Every Open Eye,6TEN694l8ifhIRfknsG8DX,32,not available
56,Gold,6ZSO7kPn8IMJFymyticbJO,Kiiara,4u5smJBskI6Adzv08PuiUP,low kii savage,2EvTMiJyF3H4BoxNCL4HLh,70,https://p.scdn.co/mp3-preview/c11c15826334b09f98922620970d6c65e44078b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Heathens,6i0V12jOa3mr6uu4WYhUBr,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,Heathens,3J8W9AOjQhnBLCX33m3atT,82,https://p.scdn.co/mp3-preview/cd5173acb956b9f442c67bafd2ec637a898ab172?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Club Tropicana,6tASfEUyB7lE2r6DLzURji,Wham!,5lpH0xAS4fVfLkACg9DAuM,Fantastic,6vihnceXTNegYbpurc6qkR,65,https://p.scdn.co/mp3-preview/c380f76b8e0fdbc489850d98a626ce4b3e3f1132?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Two Out of Three Ain't Bad,5s9Lyn5L3apAg4t8wtznqh,Meat Loaf,7dnB1wSxbYa8CejeVg98hz,Meatloaf & Friends,5ZqQEPEx6mzmNDeCqwm6RY,26,https://p.scdn.co/mp3-preview/6df03595a0ff48ef586c6c2f5cd18cfb13f65495?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Mama Do The Hump,1Buen1HzrkOrgW69mYnFqg,Rizzle Kicks,2ajhZ7EA6Dec0kaWiKCApF,Stereo Typical,6AAvPJl1CCwaRog3GoLBr0,6,not available
61,Good Grief,7n9bPHZvl5UvmLPhNjUH1C,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,Good Grief,50IYgxihl1VlfSk0dReOOT,13,not available
62,Cloudbusting,5atQ2haKP5LT65WM0KUts3,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,Hounds Of Love,5BWl0bB1q0TqyFmkBEupZy,62,https://p.scdn.co/mp3-preview/4175be386958fec68b0223aae88f1508408b2d45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Worship,1IbtIvSWHU76v7PQwGDJgI,Years & Years,5vBSrE1xujD2FXYRarbAXc,Communion (Deluxe),6nKbHNfT3n7MNcmvRuqLWD,0,not available
64,Atomic,1PAKcvZUMSgEqRhmhZDeGk,Blondie,4tpUmLEVLCGFr93o8hFFIB,Best Of Blondie,7mEjsBlRmfP63cH1gdPT6A,52,not available
65,I Say a Little Prayer,7haFcQaoTBr2qY6G0r4JSH,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,Soul Queen,3nIxtIMxYqCiD7ZDE0payb,62,https://p.scdn.co/mp3-preview/2a6df2d80d994c9a460b2295422bff1d333cd1ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Wild Wood,6WQxdptNLoR8tCkSZl2ooT,Paul Weller,7Lf3LOZp3U3u2f6cWMd3AH,Wild Wood (Deluxe Edition),6YsGI6GnGfmqfYqMd7Haqt,0,not available
67,Cigarettes & Alcohol - Remastered,3UwdK8bj9DyibPOgbjdCXD,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Definitely Maybe (Remastered) [Deluxe Edition Remastered],3F7qb5AiQdWxuMgSyQ9zyg,54,https://p.scdn.co/mp3-preview/be051fd08f7128d16caa4749b89f58d58208a5dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,You Can Get It If You Really Want,1UPtoiNWADMzOkFJ2yp4UZ,Jimmy Cliff,3rJ3m1tM6vUgiWLjfV8sRf,The Best Of Jimmy Cliff,3DltSZqMlA6JNCyQzZ9t0M,4,not available
69,Tears (feat. Louisa Johnson),7py16W5fWYLFFS6BElKAjn,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Tears (feat. Louisa Johnson),5J1vKkCC6aoOGZjE7YZrHE,68,https://p.scdn.co/mp3-preview/149cbd020a0b9e0ae7d1e68d6b67a05bf2101432?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Craving,1KTEKQSRm3zRMQcDw63r7g,James Bay,4EzkuveR9pLvDVFNx6foYD,Chaos And The Calm,3G2kixP0Pi8L0KgmSYohb2,46,not available
71,London Calling - Remastered,5jzma6gCzYtKB1DbEwFZKH,The Clash,3RGLhK1IP9jnYFH4BRFJBS,London Calling (Remastered),6FCzvataOZh68j8OKzOt9a,74,https://p.scdn.co/mp3-preview/cab17680a55cff3339dec569c52b079efda6daad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Sunny,07cioXk8gedsOzebu3sQnS,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,Soul Legends - Marvin Gaye,4VOAIYoc6tyrOuRin7bcv0,3,not available
73,She's Not There,2AgOjgFt9kotsPckzMYXZY,The Zombies,2jgPkn6LuUazBoBk6vvjh5,The Original Studio Recordings (Volume One),0ttvz9n7vBPaMWpRplAZbs,43,https://p.scdn.co/mp3-preview/8421a9161d97baf1e657970f2157473f2866869c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Up The Junction,1zWLu0Glg7glW6ulCfDbeN,Squeeze,6Jrj26oAY96EEC2lqC6fua,Greatest Hits,6anWxanXSMMRN8t8ZKNSNx,2,not available
75,I Walk the Line,6gmLqj9cHJinwaNSMbn9m5,Johnny Cash,6kACVPfCOnqzgfEF5ryl0x,The Legend of Johnny Cash (5 Hits),17aKIxqGbFjjaJYxSjt77p,4,not available
76,Too Much Too Young - Live,6dAPDUcin8fkAmemnzVxbz,The Specials,6xnvNmSzmeOE1bLKnYXKW3,The Best Of The Specials,6rrLvfVJh2GoIY36EphGSo,0,not available
77,Maggie May,2LpirOWiA4eslLRuPpQT7V,Rod Stewart,2y8Jo9CKhJvtfeKOsYzRdT,Every Picture Tells A Story,4h1e47X26VQHXCjNZZ5P3v,21,not available
78,Atomic,1PAKcvZUMSgEqRhmhZDeGk,Blondie,4tpUmLEVLCGFr93o8hFFIB,Best Of Blondie,7mEjsBlRmfP63cH1gdPT6A,52,not available
79,"Sadly, Beautiful",7unRTwjIe6ss9AmMpIgN9n,Glen Campbell,59hLmB5DrdihCYtNeFeW1U,Meet Glen Campbell,3DmfyjtfDRxMUCdoTgEWoz,14,not available
80,Rocket Man (I Think It's Going To Be A Long Long Time),2zvot9pY2FNl1E94kc4K8M,Elton John,3PhoLpVuITZKcymswpck5b,Honky Chateau (Remastered),46g6b33tbttcPtzbwzBoG6,29,not available
81,Wild Things,7sgd4misL8zziPIQHs2HWm,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,Wild Things,0Pb6MdqrYb3nyFsOjB7gUZ,0,not available
82,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",5pfJsMwoRYKampPay8amX0,Macklemore & Ryan Lewis,5BcAKTbp20cv7tC5VqPFoC,This Unruly Mess I've Made,2kqn09pydzvKvB3xWbAxY4,70,https://p.scdn.co/mp3-preview/40ca4e22a5276cc715a6616f0698ca9be99f79c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Desire,1BUyDBXr8u39ZG5elMENjd,Years & Years,5vBSrE1xujD2FXYRarbAXc,Desire,24pCYOPF90nQluKmQ6bP7Z,2,not available
84,Tainted Love,5Du6gEDduLCB9FIm9xIE4w,Soft Cell,6aq8T2RcspxVOGgMrTzjWc,Tainted Love / Where Did Our Love Go,47vTL5g54UdpLG62R3sJb7,12,not available
85,Never Gonna Give You Up,6JEK0CvvjDjjMUBFoXShNZ,Rick Astley,0gxyHStUsqpMadRV0Di1Qt,The Best Of,2mCuMNdJkoyiXFhsQCLLqw,51,not available
86,If You Love Somebody Set Them Free,2RHGKvYVTIVENFvoThmGlQ,Sting,0Ty63ceoRnnJKVEYP0VQpk,The Very Best Of Sting And The Police,5vLIfhDpTmdyQ0YrlnXzSr,1,not available
87,Hinterland,0u6YbpBRbIN4tLMDofhqjd,The Cult,49DW3KvkyjHO35mK1JnSyS,Hinterland,1qp5y9kov9LFZ3UATZTjuO,0,not available
88,Close,4Zpe9VME8DiFjLdqSqPRoZ,Nick Jonas,4Rxn7Im3LGfyRkY2FlHhWi,Close,6GPV0x3fUwSE4EJOAcbSWo,4,not available
89,Amazing,0WnHJ2ymRTqGfduWDKcAUj,Foxes,7qRll6DYV06u2VuRPAVqug,Amazing,5ODtc9yWlyZRD4ULgrTBuR,32,https://p.scdn.co/mp3-preview/acbd4c20bb9960c962475f1f557347ee4e43b9be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,House Of Fun,5K16Je2j1RTFrh7VqjEPcl,Madness,4AYkFtEBnNnGuoo8HaHErd,Complete Madness,1MJDs8IqFsSL55HoDLm8BO,1,not available
91,I've Got a Woman,2xar08Fq5xra2KKZs5Bw9j,Ray Charles,1eYhYunlNJlDoQhtYBvPsi,"Ray Charles (aka: Hallelujah, I Love Her So)",0cw6Sv7IwZ87aLPPvNPSd0,67,https://p.scdn.co/mp3-preview/8b2ea0e22da313c4f85246c48de604937f399c99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Live It Up,6AxkHXn8gKB5wBOJOOpN9B,Mental As Anything,6PFydyUHMKD2jm5NXzRPiK,Essential as Anything (30th Anniversary Edition) [Audio Version],2H32rwTnGWdb30AESVHNJr,50,https://p.scdn.co/mp3-preview/86f747a8113fa3ee0881a71ae7db3c2397e8a09b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Born This Way,209NkbzmsUa9pAobU7xGyf,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Born This Way (International Standard Version),30D9CrjDAZRrN7esS8CCgO,50,not available
94,Spinning Around,0JcgDliDqDac8iOFFRm7tZ,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,Light Years,3vH4V069uawep9By3y6EP7,49,https://p.scdn.co/mp3-preview/365ee6d3da274b46171ec73cc11a72a54a6efe56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Dreams,4rV3AYCf4BBBCkIpyLPwUP,Gabrielle,7rftfGIYEeZ79sLb58ZBDi,Find Your Way,3G14jXmb8ul7FmkRnPZooj,65,not available
96,Shine,1hrsEHe39nYu1pJx0Nrxd7,Take That,1XgFuvRd7r5g0h844A5ZUQ,Beautiful World,676W2PECpK9UJuuqyjXRjk,64,not available
97,Steal My Girl,3QEdkjBmbgwTnfvuZL9U97,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,Steal My Girl,70QHsS1TH4LlbFEvnl2IUA,51,https://p.scdn.co/mp3-preview/5b36fbfce51d60c8966dec7e0f86dda86317e9e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,On The Street Where You Live,6Dz0GiDizGeXefxXnrbPpz,Vic Damone,4seoDLqmOLUf59y72WJP7g,On The Street Where You Live,3bEDRBAUxgvyTShJHpxIkA,32,not available
99,All I Have to Do Is Dream,7dblNGnRXEBrVJunazs2U5,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,The Very Best of The Everly Brothers,4lmdDGcU5u1xk3GCcVJSYT,67,https://p.scdn.co/mp3-preview/94d2e6419c9d667516870658f5d855e93ee482fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,You're My World,4TIRro6qYOJ1lllI1RdGAa,Cilla Black,3bCvHtuIXWXPbCMdSYudmZ,Cilla In The 60's,2tQ8Q0R0EpH3hKcnYfHB4I,32,https://p.scdn.co/mp3-preview/f49d2d19c6b664a3869f0bcb2e913984a84cf775?cid=fa83a2fec7c440b7a2795d600d6b2c7e
