Trevor Nelson's Classic Soul Albums (BBC Radio 2),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
11,Now You're Gone,78Yi6oDrD1X7VQJec5WeA7,Curtis Mayfield,2AV6XDIs32ofIJhkkDevjm,Roots,7tIqCuFn9DqkHE1lRj9C6L,35,https://p.scdn.co/mp3-preview/472ac7b545478fc0e750c306b7449822ab849fd9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Beautiful Brother of Mine,1U7EBRLckOTjEpzL8dHq4l,Curtis Mayfield,2AV6XDIs32ofIJhkkDevjm,Roots,7tIqCuFn9DqkHE1lRj9C6L,23,https://p.scdn.co/mp3-preview/8a3300c862cabce37b6bcbb363a57823218cccd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,We Got To Have Peace,68DOs4FRH2bhe7wcfqCZZC,Curtis Mayfield,2AV6XDIs32ofIJhkkDevjm,Roots,7tIqCuFn9DqkHE1lRj9C6L,18,https://p.scdn.co/mp3-preview/df82391a50e621537a0a4e1b62cf4acd4eb7f7cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Josie,4i74K8KnsOQy8mC1cQ24NL,Steely Dan,6P7H3ai06vU1sGvdpBwDmE,Aja,5Zxv8bCtxjz11jjypNdkEa,44,not available
15,Black Cow,33SpBVdgDldkvMaBB2Q9bW,Steely Dan,6P7H3ai06vU1sGvdpBwDmE,Aja,5Zxv8bCtxjz11jjypNdkEa,46,not available
16,Peg,2MaLglXXcouyoh03rUROQ2,Steely Dan,6P7H3ai06vU1sGvdpBwDmE,Aja,5Zxv8bCtxjz11jjypNdkEa,53,not available
17,Always There,0EAk5gvnJlRgP4VuRmQ1Zl,Side Effect,45P3DwqQNDQ95HXjZRTazu,Good Times 2,2bHV6JnDprspt6QLNUBpJb,0,not available
18,S.O.S.,4IMgPETwu5X471vQqhIHfW,Augie's Side Effect,7bWEfe8nNQBpb6GKe9lUQw,About Time,27bbVEPQOuTNEAp8IBroIg,6,https://p.scdn.co/mp3-preview/b2b610210be34ba6c5f90144bec9db3d60cda116?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,My People...Hold On,2CpMomgmYCyDogfv5DoA8u,Eddie Kendricks,2Uuon75BhnuuxdKLYn4wHn,"The Eddie Kendricks Collection, Volume 1",6SE7qHkv4UCqgROAhUK4S1,0,not available
20,Date With The Rain,6w8unad1pSyvWHBcjXRICN,Eddie Kendricks,2Uuon75BhnuuxdKLYn4wHn,"The Eddie Kendricks Collection, Volume 1",6SE7qHkv4UCqgROAhUK4S1,0,not available
21,Sweet Life,6fbjdXZNtoAJbJZUeT87Ii,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,channel ORANGE (Explicit Version),623Ef2ZEB3Njklix4PC0Rs,58,not available
22,Thinkin Bout You,5mphdlILgAq3vh1MSvAJTS,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,channel ORANGE (Explicit Version),623Ef2ZEB3Njklix4PC0Rs,73,not available
23,Pyramids,0rbK15g3UsDTVy1EuwgKYz,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,channel ORANGE (Explicit Version),623Ef2ZEB3Njklix4PC0Rs,62,not available
24,Never Stop Loving Me,2KOumGFh7VXhWFbwzMQxXW,Keni Burke,1EVOoMiMrmOEYXHd36poF2,You're the Best (Expanded),7wMoVkoLDxQCiI63ShUMlr,9,https://p.scdn.co/mp3-preview/266bdb4f1e1e0f9135ad604b3569d91794e3bab6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
