The Sound of 1989 (BBC 6 Music),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
42,Lullaby - Remastered,0ZYdUkAQmKHsaKRmq8tWSE,The Cure,7bu3H8JO7d0UbMoVzbo70s,Disintegration (Deluxe Edition),0H6TddUF2M63ZSHGvhk5yy,59,not available
43,Let's Go Out Tonight,2ybGCBHLzolHnZQ77m6fzE,The Blue Nile,1GWV70Reko15eV2nHCm0bM,Hats (Deluxe Version),5wfkC4wXdkDlKXhJ1BRNN7,0,not available
44,This Woman's Work,1Q0sruYhnsq6lmhWgeRFh5,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,The Sensual World,0Bk6rV33JObdtOpjJg0vIy,58,https://p.scdn.co/mp3-preview/66601da388e5845d7aca83dcaaf84bd8748ef2af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Falling,31CYUJj5f9lbQ0Qqm9PzK5,Julee Cruise,4Pt1HZtuJwrQB8l0ES5iTX,Floating Into The Night,3N6VPyK0YsRTccqoRQjkVx,48,https://p.scdn.co/mp3-preview/0db6538f0a2ab8fe7133d2ee861c5e3bdcbfc68b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Road To Your Soul,1U5fgg3QUGeETr1SMQXj5O,All About Eve,2KIezwdswV0DunSBLSe4pR,Scarlet & Other Stories,6FGOnaIRujmw1GgXl3Njpe,16,not available
47,Can't Be Sure,1K31O0gf2FEaZny3Cz2xFW,The Sundays,4nlqDmbzFzbNITaqjJv7D7,Reading Writing And Arithmetic,6CmJJCI3lOn5XVZ68hP9kY,39,https://p.scdn.co/mp3-preview/cbe9185ea462ef0d6de7d4c6e52bc58cf58fad17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Candleland,1Z4LcW4xNMRQfh1BTLUgER,Ian McCulloch,5KGqHVetCqZiKRRgjrUBdq,Candleland & Mysterio [Extended Editions],5HHDmuRw9eggC1QlbGNr3e,0,not available
49,The Last of the Famous International Playboys - 2010 Remastered Version,7d1TTWNnvJqAZWTTse3TBx,Morrissey,3iTsJGG39nMg9YiolUgLMQ,The Last of the Famous International Playboys,7oRRgcS5hy8a9CITnsQ9TS,21,https://p.scdn.co/mp3-preview/942a85249e0c2864f6638211425e9473fe5d2a64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Mayor Of Simpleton,2eHfrQPpF3BqMdW0YZDeq4,XTC,2qT62DYO8Ajb276vUJmvhz,Fossil Fuel: The XTC Singles Collection 1977 - 1992,1bj2tqtj5k2nhuPIBpINpI,23,not available
51,Veronica,5zHgT1ibsBrSOEnQwZapto,Elvis Costello,2BGRfQgtzikz1pzAD0kaEn,Spike,6WCPlKBxKr7yV26WA4GuSr,51,https://p.scdn.co/mp3-preview/41768288d2b51813151f54fd6f1507b03c80f61b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Life of Surprises,1O1EjUinXkkKN9xKPERadv,Prefab Sprout,4w3QqrcmBv8dasemwBXmxf,Protest Songs,4vjS1kZVN3RkljV9KaG9M5,32,https://p.scdn.co/mp3-preview/9c607dcbc3e654707026986376f69429805ef42a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,I'll Sail This Ship Alone - Single Version,1RlQPjC9k4p11LBWVhH5Vw,The Beautiful South,4fomCZiFUMX73KJ0YQ0V90,Carry On Up The Charts,497CgsHDSzUL42ErcTIJEV,44,not available
54,50 Shades of Blue,76S0TvbRJPnCJFzhwpswoN,Edwyn Collins,5Qlt3zQ63Z99mNhuun0JAT,Hope and Despair,37P8OMr7dDqvq2GOnnYKEv,13,https://p.scdn.co/mp3-preview/2f9d91ff20e8da5286f4e0097b61f78c98e14fe0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Free World,1NeoQvZjHffRtyrLXxkrB6,Kirsty MacColl,6UlNIFEuWlBqb4TvlVCekq,Kite,4uouhMpRdcbKH2z1GfHazK,0,not available
56,Thoughtforms,6Jz9c8jKrIbTU3te8mBFiI,Lush,3ysp8GwsheDcBxP9q65lBg,Scar,5Ql2MNWzuhbb362yZ8rBkP,14,https://p.scdn.co/mp3-preview/0a6c5ab7046726206067362cca6a03b631b7228b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,I Don't Know Why I Love You,7kqqPef9tFspn959fJhs2f,The House of Love,4tfyTbsNNN5xfxKDwG4VfP,House Of Love,4equ1cmHKo923r20MwhDZi,0,not available
58,Sight of You,2XMwak0QKaukNo502mcufY,Pale Saints,0WY2ddzQUF9eh16GiqrElA,The Comforts of Madness,0nIWyOR3JgBnVsJgKQxyWt,38,https://p.scdn.co/mp3-preview/ef9a91bf33b3ae4c78ea34574d939f8aeda88845?cid=fa83a2fec7c440b7a2795d600d6b2c7e
