The Listening Service,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,"The Planets, Op. 32: VII. Neptune, the Mystic",3VWPhrbyxIVJ5j4w95jZca,Gustav Holst,5B7uXBeLc2TkR5Jk23qKIZ,Holst - The Planets,5dBJp1HmngjEazWGPGbuPu,21,https://p.scdn.co/mp3-preview/c775ddc318fd478502bd01a7a9a795c1a359682e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,"Beethoven : Symphony No.9 in D minor Op.125 : I Allegro ma non troppo, un poco maestoso",63yF5hM1iT4FNT5pRYeWm3,Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS,Beethoven : Symphonies Nos 1 - 9,1DgZ1qWpGuiNzd0a5ge7wn,32,https://p.scdn.co/mp3-preview/406facff74127bed4719ae888ad1786e82a8e91f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,"Gott der Herr ist Sonn und Schild, BWV 79: Gott, der Herr, ist Sonn und Schild",3iaxFLUdrBD5abPG0trjbt,Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408,"Bach: Cantatas, BWV 126 & 79 and Mass in G Major, BWV 236",47ud1C9WhBlHNN0aiXbHPZ,4,https://p.scdn.co/mp3-preview/e384b2c19b9ca16537c6fed0c1b87e9663961b9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,"Symphony No. 1 in C Minor, Op. 68: I. Un poco sostenuto - Allegro",1wbq10jH9oVSiqCr5kMTzc,Johannes Brahms,5wTAi7QkpP6kp8a54lmTOq,"Brahms: Symphony No. 1 - Segerstam: Symphony No. 288 ""Letting the FLOW Go On...""",5S9JVDF1DPkk9Vl8HdRKIM,3,https://p.scdn.co/mp3-preview/3c0b4e85f291d34c6f76508ffe7e354b7a26199b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,"Polaris ""Voyage for Orchestra""",6mnlDDHtQYg2Of7vdZ9Mal,Thomas Adès,4F7KfJQw9lIXvFydi4TOyi,"Adès: Asyla, Tevot, Polaris",53bJuUp1MSvg2tM0twXtA9,0,not available
15,"Stravinsky: Le sacre du printemps, Pt. 1: L'adoration de la Terre - 1. Introduction, Lento - Più mosso - 2. Les augures printaniers - Danses des adolescentes, Tempo giusto - 3. Jeu du rapt, Presto",6FQsHpV1DREJFMBZmMKITF,Igor Stravinsky,7ie36YytMoKtPiL7tUvmoE,"Stravinsky: The Rite of Spring, Petrushka, The Firebird & Apollo",0MTptjwxYYW4VqQ0VwicEz,11,https://p.scdn.co/mp3-preview/39b62bb1a1ac59d5caff6d4e1aa839e40f230034?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,"Rachmaninoff: Symphony No. 2 in E Minor, Op. 27: III. Adagio",07IjCGxbAQrgq9H7bV2RkI,Sergei Rachmaninoff,0Kekt6CKSo0m5mivKcoH51,Rachmaninov: Symphony No.2,5mT81F0M5c0FORzxf6XXge,11,https://p.scdn.co/mp3-preview/df17e3efe2187c8579503a625897ed04a65eb8f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,"All-night Vigil, Op. 37, ""Vespers"": Song of Simeon: Lord, now let your servant depart",25AsVchnJmbnImLrAakNN1,Sergei Rachmaninoff,0Kekt6CKSo0m5mivKcoH51,"Rachmaninov: All-night Vigil, ""Vespers""",288sdS0v20INn6IXSWDrqz,20,https://p.scdn.co/mp3-preview/c709aae9ec06862f4a71ef9032ddef03bf8db4e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Violin Concerto - 'To the Memory of an Angel': Violin Concerto - 'To the Memory of an Angel': I. Andante - Allegretto,5Q4UPCZOI0IIiDEnGZaRbT,Alban Berg,60ju8DuNEmkdLw3ymddLje,Berg & Beethoven: Violin Concertos,14560QvOeuVuSn6geqYlzH,27,https://p.scdn.co/mp3-preview/368689b990bcc36160f0d540e66d6b5d2bd7b5bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Glassworks: VI. Closing,6nXArMkjtAdWNGr0jEUH5E,Philip Glass,69lxxQvsfAIoQbB20bEPFC,Glassworks - Expanded Edition,1My9AZY0XBwVwwy1DDVSQS,38,https://p.scdn.co/mp3-preview/5fd0ce41af1e014bcc4082cd664ecfe363d6bdcb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,"Mahler: Symphony No. 2 in C Minor, ""Resurrection"": V. Mit Aufschwung aber nicht eilen, ""O Schmerz! Du Alldurchdringer!"" (Mezzo-Soprano, Soprano, Chorus)",3JCHk8yIGqHtJWgTfbEVtx,Gustav Mahler,2ANtgfhQkKpsW6EYSDqldz,Mahler: Symphony No. 2 'Resurrection',2AugYdjpglsyI0r28bvGHc,4,https://p.scdn.co/mp3-preview/63ecb81dff0043e7ddafac9a13860a371f35856b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,"Schoenberg: Gurre-Lieder, Pt. 1: ""Tauben von Gurre"" (Waldtaube)",6UbMVCfCiMhRIljSA1UKtc,Arnold Schoenberg,5U827e4jbYz6EjtN0fIDt9,Simon Rattle Edition: The Second Viennese School,5VEFL1OTDlyW7MZ7QgtPd2,0,https://p.scdn.co/mp3-preview/9920c06427b83124aba7459e5b32e8dd7fb1b2d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,"St. John Passion, BWV 245: Part II: Aria: Es ist vollbracht (Alto)",31fkaqEooYRl4pFcfSnes3,Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408,Bach: St John Passion,2WhsBhZD0vKhMf587eUi2K,13,https://p.scdn.co/mp3-preview/b3e406bae30e1522634810c8a1f1535e4b8c6ff6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,"Beethoven: Symphony No. 5 In C Minor, Op. 67: 1st Movement - Allegro Con Brio",3PpJA3mQ8HFGV3ovme3o9v,Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS,"Beethoven: Symphony No. 5 In C Minor, Op. 68",1DDWUE8hKRTodoExs6zmAr,1,https://p.scdn.co/mp3-preview/11424a8aaa50192c5132488909dbc7e093308f8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,"Symphony No.9 In E Minor, Op.95, B. 178 ""From The New World"": 2. Largo",0LxvMCxmLNsjKnizlK69pI,Antonín Dvořák,6n7nd5iceYpXVwcx8VPpxF,"Dvorák: Symphony No.9 , Op.95, B. 178 ""From the New World"" / Smetana: The Moldau",6g8prYR409LumFVcnJANPm,0,not available
25,Adams: Harmonielehre: I. (without title),7kJc6hdQ79uouOAtrLQ7sP,John Adams,35OhI7DSls022v9Bz9r0VZ,Adams: Harmonielehre,4wkIFEQM9VuXETdGiYvZDf,8,https://p.scdn.co/mp3-preview/e54718137f62602416ac607dd11de3525f8e1e67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,"Symphonic Suite (From the Film ""On The Waterfront""): Moving Forward, with Warmth - Largamente - A tempo - Calmato - Andante come prima - Sempre avanti, With Intensity - Ancora più mosso",7b9dRIjVX5Ox2vFVnd7UsU,Leonard Bernstein,2LmyJyCF5V1eQyvHgJNbTn,"Bernstein: Symphonic Dances from ""West Side Story"" & Symphonic Suite from the Film ""On The Waterfront"" (Remastered)",0YvgQyr206ZI3Wy7UhqEdz,4,https://p.scdn.co/mp3-preview/3670134c5d72ba6dafd8bb431fc42393b68cde6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,"Symphony No. 5 in E Minor, Op. 64: II. Andante cantabile",280M2uQ7QKKydyd4jOjBfB,London Philharmonic Orchestra,3PfJE6ebCbCHeuqO4BfNeA,"Tchaikovsky: Symphony No. 5 in E Minor, The Nutcracker Suite",0sJiH9nJbmun4Jt3nFo1Qp,0,https://p.scdn.co/mp3-preview/b4a269ac9dba43dcaece5b1978200b2c5bf2d574?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,"Bruckner: Symphony No. 9 in D Minor, WAB 109: II. Scherzo (Bewegt und lebhaft)",4aixDvc2arhn2bdjrUffz0,Anton Bruckner,2bM3j1JQWBkmzuoZKu4zj2,Bruckner: Symphony No.9 - Four Movement Version,5cG64jPRQy7lyAruifcYEj,15,https://p.scdn.co/mp3-preview/abef5d10c25def31e4bae3c56268f4225460c70e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Le merle noir,64vEAx1VIocj5tOVuzCBaX,Olivier Messiaen,6CS9O2pE67oq44GZuBEBuD,Poulenc: Flute Sonata / Messiaen: Le Merle Noir / Boulez: Sonatine,5ceW6St1637N7jYo01Hit1,0,https://p.scdn.co/mp3-preview/f17bbd84bde800cd22354cb67d259b9122676041?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,"String Quintet In C Major, D.956: 2. Adagio",2gln3pPebHXSfmmy7ycpeD,Franz Schubert,2p0UyoPfYfI76PCStuXfOP,Schubert: String Quintet in C op. posth.163 D956 / Beethoven: Great Fugue in B flat major,0GgDGQI9VxNiWxmCIwdgji,7,not available
31,"Mahler: Symphony No. 1 in D Major: IV. Feierlich und gemassen, ohne zu schleppen -",4zYO6oyD2jzHszpOzcrVF9,Gustav Mahler,2ANtgfhQkKpsW6EYSDqldz,Mahler - Symphony No.1,6U7kTTxmQAyf5srD7FVaFr,1,https://p.scdn.co/mp3-preview/e882a79b9548c590e4674fbab47b086bd0bd8421?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,"Symphony No. 6 in A Minor ""Tragic"": I. Allegro energico, ma non troppo. Heftig, aber markig",1EHV0otgFkpQP3CIIgvpPU,Gustav Mahler,2ANtgfhQkKpsW6EYSDqldz,"Mahler: Symphony No. 6 in A Minor ""Tragic""",0tyP1gNwNbLh0beh5MtmDR,9,https://p.scdn.co/mp3-preview/c4b7c4a03fd2b13e9d4ccafba2be71ceae82d0fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,"Bach, JS : Well-Tempered Clavier Book 1 : Prelude No.1 in C major BWV846",1AU8s5RMGA6mzHsFn06Iaa,Daniel Barenboim,78sEozQOEJxzXegUuqRSgH,"Bach, JS : Well-Tempered Clavier Books 1 & 2",66zilH1HJzRLEorco0u6bS,41,https://p.scdn.co/mp3-preview/9da15a191801c2bbe1b452527f1f893aa4325838?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Symphony No. 7: II. Allegretto,4KQXsvtrgtCbQsuvGCvsO3,Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS,Beethoven: Leonore Overture No. 3 and Symphony No. 7,4dMq8MYcIc58m30K0BLARj,5,https://p.scdn.co/mp3-preview/430c0f07cb0e9fd677ab0b4660b42b1ae5dce586?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,"Tristan und Isolde, Act I: Einleitung, Pt. 1",59OBQZ09HZGjLiXuSRgLew,Richard Wagner,1C1x4MVkql8AiABuTw6DgE,Wagner: Prélude du premier acte de Tristan et Isolde (Mono Version),6GL5ia53Ub6vyE51iLqxxn,0,https://p.scdn.co/mp3-preview/b4a1eb1a4d0d9586c940857495c7f7f201574abe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
