2016 25 Under 25,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Never Be Like You (feat. Kai),47zREtxQZ3cHHIZwUQnuuN,Flume,6nxWCVXbOlEVRexSbLsTer,Skin,6VHCF8ykDo3STafE5JfMAs,4,not available
11,Ain't My Fault,4nA0biSjtvOL41Hd9MBXqR,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,Ain't My Fault,1w0fs0y7Kb83F6ZmPpTDIB,13,not available
12,Cuatro Babys,0JoHqmlqE0W0i9prt6kcHR,Maluma,1r4hJ1h58CWwUQe3MxPuau,Cuatro Babys,0bXEsNAuMFPap5TjtUzvK8,66,https://p.scdn.co/mp3-preview/b95d25b05aef1e726b5ba95b8f1d44e3ca56e0ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,LUV,16Ah4QqH4mgYVXqfC4mdSd,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,I Told You,5tBOCi2TekXZ1IbrmlBZO4,69,not available
14,Yeah Boy,2WaOQWSv0D1tZNxyLvnGAI,Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,The First Time,4smRLX0wglNhMXGyahWuUf,63,https://p.scdn.co/mp3-preview/2f29ffb93c1b55a8e9dfbe35ce1db1d81e5dd405?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Body Moves,1WPZCd9STg1gc7he2oXBbh,DNCE,6T5tfhQCknKG4UnH90qGnz,Body Moves,6STAMvByQqRZ72xjTua2MZ,1,not available
16,Please Don't Go,3cNjgVBKTJ1SvKhunrCdVy,Joel Adams,36jaGQtMj5UWD0eO1fCVdD,Please Don't Go,2SF8Wbc61u8hlQkZYGVCnx,77,https://p.scdn.co/mp3-preview/40e609def3e6b83f48018c17492598f982e9832f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Tiimmy Turner,3NJG6vMH1ZsectZkocMEm0,Desiigner,7pFeBzX627ff0VnN6bxPR4,Tiimmy Turner,7zf9kyxc3ZhJv79HrjTRir,73,not available
18,Kill Em With Kindness,1QNoKVgA758HFLu3TW2q7R,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,Revival (Deluxe),7lDBDk8OQarV5dBMu3qrdz,65,not available
19,Life Itself,32zkKx35Et6A515oZKxDkD,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,How To Be A Human Being,6qb9MDR0lfsN9a2pw77uJy,64,not available
20,Tokyo Narita - Freestyle,0W182mlOojwvO1HoXPkHXY,Halsey,26VFTg2z8YR0cCuwLzESi2,Tokyo Narita (Freestyle),2UY6XpyvxysQ6Z6KQ53GKi,56,not available
21,Wake Up Call,55pU8utrZ0WxtvWKW1FjXY,Nothing But Thieves,1kDGbuxWknIKx4FlgWxiSp,Nothing But Thieves (Deluxe),3q4BkDV5B7sczFcfrIl2a2,54,https://p.scdn.co/mp3-preview/3b73bfb63687db8c6e6cea8510fe300cf01f5efd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Body Say,7xrA11O07xo57Bbg6p4hck,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,Body Say,7eh0AAzV329H8VmPnjlSXF,65,not available
23,Black Beatles,6fujklziTHa8uoM5OQSfIo,Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,SremmLife 2 (Deluxe),5v6iBhIlflzR9rEd1LAMbd,77,not available
24,Let Me Hold You (Turn Me On),72xvRETEsd5hS1RfduciRi,Cheat Codes,7DMveApC7UnC2NPfPvlHSU,Let Me Hold You (Turn Me On),1YmOcP4teu4SChIjeq5xVD,12,not available
25,"Sit Still, Look Pretty",0EGuSSpuu9wmHCtvb4PdLO,Daya,6Dd3NScHWwnW6obMFbl1BH,"Sit Still, Look Pretty",0T8SCja56F4lhZXyOcBTIV,71,https://p.scdn.co/mp3-preview/f935ab30cab29ffcea790f910f04cfa88ad67a0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
