Best of the Pacific Northwest,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,Evening In Paris,2ZbjOhcnhXKddFrSPHOQwa,Lois,2TPN3wAFNOE6VN1OLNLBwH,Strumpet,2P3mPV8BbwxIcbHK4uGk39,14,https://p.scdn.co/mp3-preview/41625ecdcbf02f0b138e6de7fec2565a18d87c1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Orcs Vs. Elves,66UDBMj0Hv1POTQZXp3owa,C Average,69pvWmwOXTpdzPDNagTVxp,C Average,0zoPts3EsV9771asu9apFg,1,not available
21,Medical Wonder,0DgcjkT2WHzD5gkwBeCrHv,Miranda July,33uNlMFWu64ecPg6ZaiYbr,The Binet-Simon Test,7HxNa0OkrNtAWljfwp1rhw,0,not available
22,Picture Phone,4fxQmbZ9QBRueIESD24VOK,Subdebs,2nlEvQiWsr8ZD646DlRLea,She's So Control,42BKwuqkAKXb5aCRkS0Xkj,0,https://p.scdn.co/mp3-preview/fc2326b54ec59189ee8e510f153ad1c7f7f0c13b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Hurricane Eyes,1LN51apg6X46xFs5hnbhgJ,The Old Haunts,2007QleX8vN5jGaSXe7ygN,Poisonous Times,6WCztHeazWWEAPKyWnzyHG,0,not available
24,The Artesian Well,6RYFUbyXfF85pPbAnbrC10,Kendl Winter,32iM5mg9ke0SyutYzWwkbM,Stumbler's Business,3IUX21sPPxhNpIcZBoalvc,5,https://p.scdn.co/mp3-preview/d6a81c6eb7741de5142c64428b4946467efc12a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,The One to Wait,3MPFzBWdqwaAeCSQpA7Ift,CCFX,28tPuyqMVd3L51JmH9RpGZ,CCFX EP,14h7FxQqVYilWuR8adP09G,50,https://p.scdn.co/mp3-preview/7ceef908b6dea8bc240c7e197986cdb1b3de03af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Sitting Alone At the Movies,1WWldsayHB83A09yFuhK8k,The Hive Dwellers,0AiZ1CY3evRm25QFKtKErm,Hewn from the Wilderness,6WKeTEnITHKfSEjrzmSw2g,2,https://p.scdn.co/mp3-preview/ea8cf394d999fb8a800b4b4ece141b394c8b8308?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Psychic Rainbow,0WZgspUc98mUPr3RRrz6A8,Anna Oxygen,35z8cJpN5lQhCRG293EWeF,This is an Exercise,6MQb2qPPZKJ4GNVgm3ubWe,0,not available
28,Perfect Sleeper,2TEVM1h5jkHQ5kPtZYAcN3,Satisfact,2gBrk6fpAtImMmGsWhhFbz,Satisfact,4qKg21CFmXWNaO2qxCp1bT,1,https://p.scdn.co/mp3-preview/a081f8a5e81f2c3bd67ff2fcf5ab7446075c6b74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Love Letter,7tFQNAcaYDvYHsUecVEJve,The County Liners,2kWF7SZ6rEFMPeddiFnqxD,Mary Jane Dunphe & Chris McDonnell in the County Liners,3ScW9DQQYJurEH8efgTR52,13,https://p.scdn.co/mp3-preview/cba9f64603afc1af16d9189b3dff1fb6428ff3f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Day One,6WS6lKz0LmTdtQDokdmxwH,EnemyMine,49w1IrGN8lKIhrfx7glDw0,The Ice In Me,6pIbqOEYxHYVo4zg83yiKk,4,https://p.scdn.co/mp3-preview/33039bb4f92c2916cc0bfc3bce8442979da77588?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,True Affection,0AcZL4zY29jBlVp2lVA23O,The Blow,3VNDPLoRirZi28lxSEYkZQ,Paper Television,44TBeWVP4PNrz8ymxbPzoE,45,https://p.scdn.co/mp3-preview/31cd0f9aab6c1ffe012164b4268605f8ecb41f23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Teenage Dream,4NWKtMU48eP8KKDUS3YXMQ,IQU,0fbbPZpbimBVZUnxmuaQ6Z,Teenage Dream,4az1unelxR95FyLPHL9HVP,1,https://p.scdn.co/mp3-preview/71d23cb24564a412d4bfd73c1ba846215a92cb34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,The Way It Sounds,5hrdHfRNYdAKd3kyCcku2j,TRANS FX,1QelZEsLmaubx8OBs75tzY,The Showroom Dummies,2ONsnQ4FQg62fOaWX0h1Lc,7,https://p.scdn.co/mp3-preview/e73b334e68c418963e8de6dbd5ad1a135faae6a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Wrong Way/One Way,0MVEVM9XVlMZLk2xG7HzAG,RVIVR,1nfqdFH2ssg8oV0TYG2h6p,The Beauty Between,6aRvyPZ2mQToJjC7uWXyLi,39,https://p.scdn.co/mp3-preview/39363971ae79c0793651b4875fd2984154dd773c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Loch Ness,3KpsyBWk4m8DT3DbUKRu0l,Some Velvet Sidewalk,6pSNQ6SckE2rZ0G1YWMEhW,Kill Rock Stars,5H86xPRxAdyVP1b3RzCIjn,4,not available
36,Lunar Tropical,6MUVJ6UQVs6tQauUd4W9gU,Flying Fish Cove,3OiT5U8g8O8kCxVKDon1sZ,At Moonset,1H4N5LtHiFxHTePZ1pYxJQ,1,https://p.scdn.co/mp3-preview/f608d79998c94e203788b98b584283b2f37275aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Move Yer Butt,1W2R0c2zqnopjnhkPTni8o,Howardian,6hLKXNiv6z0M7iDonl7tun,The Silly Shit You Say,5253STbwMTvgOXrvEHpVcz,1,https://p.scdn.co/mp3-preview/cb1843d7624fa58d07d552d0e163c139ee5242ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Fat Barred Owl,68p6rd3KIrz7b7GBnuf7uK,Palmer T. Lee,1WE7xEbLIHLLGzTllCj9hQ,Winebringer,7IaNs5zS8LCEdg2OYepza3,1,https://p.scdn.co/mp3-preview/aebf8a92fabccc95e38919ff129e43797e9d65d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Winter,6O3rcpC1sEph8JxYpLEctq,"Oh, Rose",3k7ErvhO8cmFVOTrAVtuKe,Seven,1NoX3vaekOCrHI0JDhHsDW,9,https://p.scdn.co/mp3-preview/27f5a8198e9ed7046e2397b5d83a9ee218e37275?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Blackout!,2zvQ1feelL8iS05zcmcIqS,C.O.C.O.,3LdoWHZbkgQA9FVGarsf8T,The C.O.C.O. Sound,37DoP0sruQriMTI9Lrlnpx,1,https://p.scdn.co/mp3-preview/90e45c5519480862ae3ba5faaa321c6c575996ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Photographs,3zDOwzVROLXA8GXiriHKxY,Ruby Fray,3tzqtHQUm7vNLPJAnTlVyZ,Grackle,1RRtITC4jSBMK5RFUISWoF,5,https://p.scdn.co/mp3-preview/71e0e55f5bcae832dbb593eecfa96d330e4fc35e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Don't Let the Stars Bring You Down,76THjdiz85doEcJbO1bJO8,The Pine Hearts,0ipZ2UAz1mnFiEGc9Flgev,Distant Lights,3YMPJQe9PagnjeEjPYTgGt,4,https://p.scdn.co/mp3-preview/ccae84a254cb4a284fcc8336d46392268a2eab49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Gauze,40mISdNRltmSTxi6c2VZsY,Karp,7pYTwcQBMsFnnbgB5bGWjN,Stars Kill Rock,73UXmlzUXFwvzJVAwQ6cn1,0,not available
44,Ice Island,0RKVruvEwrITbBmkV4FZCy,Nocturnal Habits,6Wp8vnEMXYr7L81T6uax7v,New Skin for Old Children,5eNQHGBK7uvBhD1oniF3jQ,2,https://p.scdn.co/mp3-preview/47c12dc24916682c104b0dbb1f4f0b65ae340e75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Sasquatch,3LYXxLC4PBO3JNFhxJc3Wr,erina,2eKzNdqt1LQadHHkufJyR1,Erina,3d4yLZXTQPDDlAiRR8hAl1,3,https://p.scdn.co/mp3-preview/3a63d29e50e88ae043d074fc457ebd3171afb723?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Topeka Hello,5qF6YxkKUiP50Y0grLaM2P,Steve Fisk,3leAD1YcOv55y1JeKEnlEt,Over and Thru the Night,7ofZFSVWmKQLFugNhPuPgV,0,https://p.scdn.co/mp3-preview/dfd5eb9428b309517d8195c5771f045e64eac1fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Moon,6ktIUw0YuRQOT33k8Q18GM,Erica Freas,5kPrlve51zUEZMHzcYnAQi,Patient Ones,6sFQ8vLqqDi4cfIw7fifN8,0,not available
48,Flowers of You - Original Mix,2qDwzkszUS8kh4aNWB581A,Vexx,5gfqfnwUq4h2hJCoAYptyM,North South EP,3DguMjLIWZlAzuDFsMJYzm,1,https://p.scdn.co/mp3-preview/b47f17318e73064a030be8cf383b73bc5d88414e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Fogged/Disembark,3NCe5Urubdzb9u4KtrBsyN,Growing,57SlFijfkLdoiN09FSueTI,Disorder,68S2XuaiWVwiWYdgn3ITVJ,2,https://p.scdn.co/mp3-preview/660fc85a1c44b89ce69e77c845b824549fdd2be0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Last Chance Part One,2GSeJvW0hftd1EmPrMroxU,We Are Mountains,0tDCqLSs9XjOO1oTjch0dT,The Walls,4zCFv9Ji7OrzxFAaDFSHjj,10,https://p.scdn.co/mp3-preview/5decf73297014d8b6566f65aa9a8fa9a3a40265e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Beneath the Fig Tree,6765W0iJQidRfocO3Rm2az,Cedar Sap,0JGrD3tmAGjIxRI0meu4cE,Crystal Visions,4GiNJT1tWD9lKglDZgBV6u,0,https://p.scdn.co/mp3-preview/2fef67e03c28ba8924846796a688107110c2487c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,It's Beautiful (I Dreamt of You),6kJeaucloRERqzrUOZ5OTv,Abandoned Hotels,0M2JHKzIITVCEioq0MO7gK,T.I. EP,5TTsfEFwgnco477Os7oTqK,0,https://p.scdn.co/mp3-preview/3ea6bb53ddfd3688ea03d6000fb244c25412e90b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Evergreen Terrace,5kKqkzg8ZlQhObgkjx20fG,Bonney Lake,13hR6Gj1LYuNH0t6tKY8xi,'99,421DBl53XoHTeRb7izb41t,0,https://p.scdn.co/mp3-preview/f1269ca44375a680403c22546cbe93825dd09501?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Omaha,6dZYuiiuV7AMYiZWG0AwgL,Le Grotto,14oAv35jSclWjgvY4WXj7W,Le Grotto,6IobKuVKCfUCTKlgdBu35v,6,https://p.scdn.co/mp3-preview/4689ede7f0029ade7646de9164c39fe97337c9f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Dictionary of Imaginary Places,4vCTvL1CNdbaf3c3lLaFv9,Teach Me Equals,15Ri48FFAdw9kutrGxa87B,Knives in the Hope Chest,0vVZDBNAElpJvBlKFmxw9F,1,https://p.scdn.co/mp3-preview/bef86ac81393bd6e6398c5c3a339e7f7f8845fa4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Little Hopeless,2daYj2Y7AYbIDzZ8yrUc05,Lakota Dorris,1eNpU1RW6oUmt4fMm9lQU5,Steadily Moving Through Growth & Decay,6tqI3Rne1TJEnKcodaFQF0,1,https://p.scdn.co/mp3-preview/f07f9180434a4aeb5b1fdc577a46946b9905f8b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Natural History,3FsF1WSfKz6RhR2bb2LW1U,Romantic Feelings,1tdxSCYGlOu3ts0Xh4r5Cp,Best Quality Crying Gown,2VunSDiJ0X0QoSqOS9iR5F,0,https://p.scdn.co/mp3-preview/a34475426c98c1cbf18af52137982e9b98542503?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Dear Miracle,2tVNrbiInw4xCqszdLJSdn,Chelan,1vPmjg7jMrSkrWajg6Exrj,Dear Miracle,7r50fX3kiw33IHkEFDlXwj,0,https://p.scdn.co/mp3-preview/5d609040ff26d2075222e5613307b44f7a7ee60c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Hayseed Rock,07MbZs3NIZeW1VHw3elziq,Tight Bros From Way Back When,1AgFnaUilg4KNSZFvmFu66,Runnin Thru My Bones,1AtTCiuSdpaNCYx84vJKaQ,0,not available
60,Bigger Stars,0RqBk742C1Ak6BJrnpnokf,Wolfgang Strutz,2z1cUWhggwKfaRW0lkNkiB,Wolfgang Strutz,5q4uZGq3Js1RMnmGDSLcVo,1,https://p.scdn.co/mp3-preview/9aa7a32c04dfc6a5258e9a5f582288ba8dffd0ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Plastic Heat,2oW6GTlGtg9mtBLi2RfTB5,Silver Saturn,2QoKCupwBljIs1t7yLSngx,Before the Dawn,0JzGdtt1eBvAHwIpOETWRF,0,https://p.scdn.co/mp3-preview/c19eaee4934284a7299550d615c0dda6e7428e1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Blackhole,5Lzu1CZAAxoDJ1XBbkNTzm,middlewav,2RYxEU2xD2XhZAi3rNR7CK,Onefootinthedoor,2venfVcbamRWomPmcQqPfy,0,https://p.scdn.co/mp3-preview/564945ef30852c0ab05e6aea35959cf36655f77f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Pale Eyes,6gDksXERGp0zldXW9fchw6,Rowan Katz,34p2qvaiw8NkGzLuPwamU1,Violet,0EPWGNS7QkfFtLGjHyJsNi,1,https://p.scdn.co/mp3-preview/ed24cf0990c5779fc15f974ac90c053748ada4ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Earth Angel,6MeIYYGwVOPcbCEF3h9UYR,Heat Shimmer,37RIo4wn193O2nrpZYAgLm,Heat Shimmer,5iJp7mDIm3YRcxWAQTMufD,0,https://p.scdn.co/mp3-preview/345d1b227efdf065bf256d960c8c9d5c256fad7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,West Oly Blues,2cwklBqoXEae2dPkpc4GWV,Oly Mountain Boys,3VNKYWK046ykzOwkO7hmRG,Through the Sky,0wzGyNS69Qmn8R23gmYzVE,0,https://p.scdn.co/mp3-preview/3d6cc2b8efb5bf3d5d265799f4b7af97bc8afae7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Nothing Lies Still Long,1X87N9FDFN1re4uL1yqtVK,Pell Mell,4pfYqfulJefekgQC41Vp5P,Interstate,5saVdbzbyRSrjGBo12srZk,7,not available
67,Caught On A Wire,1HO11xSGGLWE74H8uNYXXX,You Are Plural,4plLz9XYOqRfiuTOT8KyHg,Hand It Over,5CWl1smZ89GA9PjaY5VKGe,0,https://p.scdn.co/mp3-preview/c29e86b9ff22a66a3ea13d04ef56d860e4a9c962?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Magic & Honey,6QVU6Yql5lugfC2hsYF3Kv,Neia Jane,4GNi2y070W4hi31jX2CqH3,Magic & Honey,1XUcrpTh46WfGkfwA2jNLd,4,https://p.scdn.co/mp3-preview/970ceea53ae61bce093fcd6897a062d2ecfca3a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Down For Whatever,4u5b4bIh85DGQliGsRQHFG,Acid Smoker,54QazuFxV2GabdwOgZLNQp,Nothing Feels Right,5WDuyJLt44vUQcaCPHn4td,0,https://p.scdn.co/mp3-preview/df831b4a8612add84f182a1f97af712a785ecbe2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,ra vs. the sun bear,4QblktZ3oUJx7N3pYnKqh8,Blood Orphans,58lAQUguMMay4KPtkW7mYe,you're dead,71d431uuhDnH9PXgVELAPd,3,https://p.scdn.co/mp3-preview/53a6918d51c99f4e6813b36cb7f020eeb1ad6e36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Heavy Meadow,0tsyNxeC7GmfrC8qTepmFz,The Dizzies,5kHsTWT2VVLwGFAumhNVr7,Sheltered from the Sun,3n8rDhTQxzP3kMUGrdTY5A,1,https://p.scdn.co/mp3-preview/736ef1770b9d77c721561b36427f77c9ad5075c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Like a Child,5iYoNasLiEiinDUAkyPjyY,Oketo,5JBjc1UhLlvqmifk3WLAFg,Oketo,4vhnRifsjvpMw9JLsTV4Rs,41,https://p.scdn.co/mp3-preview/20a75629c4aa0080154a0f78e2e2e99e4b17567d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Heart & Lung,330Fmo1p12yhBj1hvhNiRH,Wtrbel,5YW2OGKa2uk5Ldi0PQkogt,Comunion,4V8zRVxjydtUwFbkrs0eQQ,0,https://p.scdn.co/mp3-preview/d0c499dc4e1e01cd579f4178424795d9001a6ca6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Lullabye,0HD7KX2ZORPVEMHp8MFppN,Bunny Foot Charm,5ZMzSOtbxwlTDsdP0Mt2bI,Stalking the Boogieman,0CZMq9moJ8CQLryYwu5aU7,0,https://p.scdn.co/mp3-preview/0ee5ac67267fce4d71e8f19811c9229de755c8bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Chasing Shadows,5f4fOiG47PYyfsI7sjxbHR,Overhill Ln,32b4ZHlM49EGCyYracq2X5,Opulent,3FR60hNWhL3S82v0MAjcxT,0,https://p.scdn.co/mp3-preview/c6c8bce426c5a13c819938982b954c9d81766331?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Baba Yaga,3H3qiKmSUguA8FZ0rL84KH,Table Sugar,6LRKtTFkllvQC6jShHb9Fi,Collected Acknowledgments,0dLmE70AlTn1vkJ2rpGy7e,6,https://p.scdn.co/mp3-preview/5879b6a9d8afd3531c16e505be75126514f4ebe0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Gravel Museum,5HHJVy5PUHALbCJQ8vqAgg,Medium Soda,725qZCFNaqOeeQi8hbJ6Gq,Monday's Breakfast,3MmjbkaVy19otBUsYH8Pr4,0,https://p.scdn.co/mp3-preview/d12a3b0450cc5848ff463ffade952216f657a77f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Beautiful Place,1A01BLWJhG4SkRfPUp4Sop,The Hinges,6lKPlbPKyYXJCkVOkODGfJ,Buzz & Shine,0kfR6YlwGwlJzgUqRoCcql,0,https://p.scdn.co/mp3-preview/2eec627edb11c497480f9e17f507f764f05a11db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Anthem for the Unemployed,6OdF3fjA5SIxkElZyCn4rX,Beatrix Sky,5wuIcPJ4iEQZ2cQD4EP6jD,Love Drug,4b3lYb8c8U7eXAbjrH7HdX,1,https://p.scdn.co/mp3-preview/2c1247bfae2380f615358070484813db03c2ca44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Snow,46ST5coPPZukrNla7RCZFk,Pual Parker Krogh,70gGIntq2og2FAsK4Thpa6,Sky Painter,0XW7GekNbLxNJNFfpLb5Bk,0,https://p.scdn.co/mp3-preview/4317a893552a0f15be86fafb695cdc7328f71c42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Share The Cup,2IWJi3ereNY6mgmb09PO3Y,Joey Casio,7FeXIEIP0zVkWihySWezhP,Share The Cup,30iMNQvEMCZFj0SKhlPEZv,1,https://p.scdn.co/mp3-preview/e221100d083e87fc130d7e8e23ac1df4bed2361e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Profectionalism,6daDcq20hMf5sWzT3OZ05C,The Pubic Sound,6kFuI2VcpnBOYaQrrlwjdY,United Procrastinations,2J7cOTzJcjcPUkbizPjhVy,0,https://p.scdn.co/mp3-preview/7b0dcb4a8b84114a5a3eddea601e87207034da86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Quaking Brush,3IXO6qG3aiocAP77008P5E,Night Mechanic,0ggZvtjhiWeBugxjqZxzcv,Day Surgery,1wUzFtwMWzYXA0tlJxuRmy,0,https://p.scdn.co/mp3-preview/31788356c64abdae4f933f670ad023871273854c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Salamander King,0qWUqFDwTaMOmlhsiDbI9g,Oh Blue Minium,75FcTb5LwyfZ4d5lC3cQBO,To the Moon with You,22AAFYCoNaGODkhqXfQsc2,0,https://p.scdn.co/mp3-preview/351245633934367198170af4a9017e365b814b0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Made Me Cry,3d3tbsaR0CxQS6mkYCWJ0u,New Born Babies,6b4u4fqnkxqd20LdDSmlFv,Hitting the Pool,0bt61r3NceTH4jXOhsZfmG,0,https://p.scdn.co/mp3-preview/3b42ce1283fd0811d731c7b2dda785b5dc8c80e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,A Labor of Love,4czkGATcDGqk0LyeIYAGnB,Anna Gordon,47xw1iMvK6eliBMxyiJPDB,Fern Canyon,7LY6YXkcROfTZIZl5lkj9i,4,https://p.scdn.co/mp3-preview/a3ecd383ee6e826174dc1e4910874dad4d2b5037?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,The Sinking,3i3yZGu5fr04VpOlhfu7Tc,Deathbreaker,2TlDi85T3NiBxg46RJkiDL,Disconnect,25gtoyDxEJP3wQsNhrcp66,9,https://p.scdn.co/mp3-preview/887205e933aa7ff940f09a5703bd516d5e5f063a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Wrath of the West Wind,2vxmd4b0UfOoPEeYVu8CVt,Pragmatic Chaos,4gD4KAmX3QAZdsB61FuxqD,Pragmatic Chaos,6046fVzAnDX60du3BgzCvz,0,https://p.scdn.co/mp3-preview/5f77ba32dbbc74bc734375aa4929be3f5a4f920e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Bad Company,5UO6Kan6SCGnFarJJ9rb8z,Retro Jade,6gbVr3vDgfenTnKRvsWZrg,Bad Company,65cXiPcAt1dWyBSC1sbgSH,0,https://p.scdn.co/mp3-preview/15555714548ad21514018770ff4ee2d2e23633ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
