Before They Were Sub Pop Losers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
32,Negative Space,4wuaonbcxNPZuz9Q4AK4jS,Metz,18TNVFTJ6WfeicsMRrdJHI,METZ - Negative Space,5A3uAmxBLiX2lDJldzPms6,0,not available
33,Boring Girls,2PO0JqfZqdvfe7CDJAzXqi,Pissed Jeans,6FTONkEJQsCSpoDHqaAP1V,Shallow,3wj6JYednm0M4WAHEuSyCH,0,not available
34,You May Be Blue,7pzSiISHRFQTlMKLZ94Z54,Vetiver,7ACSlU8kTcQIbvpwLWze8E,To Find Me Gone,1pqDv5gYGWNrkfb7iFj6NB,38,https://p.scdn.co/mp3-preview/7ff042f2674fdac433621f1299c395aadf768601?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Left to Wonder,2O64YdTY27H7uzLb6hRJ4i,Lyla Foy,3cwKDuj7rWyhvCM4lMTDps,Shoestring,4CYt558DCg78JLpJwPSQiD,0,not available
36,Please Remember That I'm Here,107ZLTrnLTmHvhOugoGZKI,J Mascis,1PokjXeIq2zVosXbTEaNlx,J & Friends Sing & Chant for Amma,4YOvi1aYxw8NHwQYgEcp5t,16,not available
37,Used To Be,6yKbKB9OHHwY4YAdPgkqzc,Beach House,56ZTgzPBDge0OvCGgMO3OY,Used To Be,6fMwv8O5g3L6B4zJPaDOjX,0,not available
38,Asleep for Days,7FvCKZFKPBOe18JJSTuwYX,Blitzen Trapper,72XY3HrDdFfZXNZFCT9Zh1,Field Rexx,0NKbg732lT8WIwsw7plrtV,8,https://p.scdn.co/mp3-preview/4fce687231de0166105ce504c17aff5401a4f5e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Madness on the Mountain,2BMyZGslPzjEOek3kYtuIY,J. Tillman,21XbnrbEMUTZelIfoV12hC,Singing Ax,6tbON4U1Aw1od8B3OkuTz8,0,not available
40,Everybody's Down,0OGhVhIr8ehaIR1VQOZnmD,No Age,72acCeElLYGL9nBHcZzX1h,Weirdo Rippers,1dDewafHtzSYsPEZVidnwY,0,not available
41,bout.that (feat. baseck),2257Ld6OsPeqdTE5nTa1gs,clipping.,5HJ2kX5UTwN4Ns8fB5Rn1I,midcity,1lgZgmdWGUt8Ypk5qgaRQH,26,https://p.scdn.co/mp3-preview/54b2470f1ab4b5af943b90084c657fcdf7773b19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Rotten Tropics,4lDGwETrHYO33POslvl3Jy,Wolf Eyes,6UahQwC9EZGsFSuGjHJNe1,Dead Hills,4Jt0NAVIQxI7R7dfpODoMP,0,not available
43,Auto Rock,6o30sRLuYibII5tUM7jSkt,Mogwai,34UhPkLbtFKRq3nmfFgejG,Mr. Beast,5bRZ0eN2whbuqaYpCAM7qB,0,not available
44,Arizona,25DX7fSXL38BZl4TulJ8ro,Constantines,2olXFp5y1AwrgJA9YSV4Sn,Constantines,2pikUGqgJM6fwH1j7MI5WB,0,not available
45,New Jersey,7bvGg2xxso7UhMNngbWOpg,Red House Painters,2GATzeg62cr6sH29wSOVWe,Retrospective,6eppTk2TIigrYRh2fHiURV,0,not available
46,Words,01OXa5tVuCssU6j8TY7kxr,Low,0wz0jO9anccPzH04N7FLBH,I Could Live In Hope,61dByu8oBt4qdym9Rkz39w,49,not available
47,Couch Song,6k3bluQnqzMIxJrbPa5ALP,Sera Cahoone,3wC39cIBlyNFSP8bO84FCJ,Sera Cahoone,3uAlbsbzcVhYPcdzYo8ZgF,9,https://p.scdn.co/mp3-preview/9e51b944554bdb7bfa7541b4a03b8e6afc2e1fc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
