All New Rock,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
40,Golden,0QgbViOKfzE78gzlgkTFFG,Young Lions,28iYDzCwttWssjiCAOnfUq,Golden,3aQYMmzDpoQXiA4Z1xpPm3,39,https://p.scdn.co/mp3-preview/2950b32cdecf9cfce5a74397952df5750b666412?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Into the Surf,55o8LNTefCEX475jcSn4qH,Foals,6FQqZYVfTNQ1pCqfkwVFEa,Into the Surf,0025Y5D7IOZVpEfQtpvHIi,65,https://p.scdn.co/mp3-preview/9366a991d9ecb49fde2275b80d78c87e08ead238?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,You Are A Monster,5aRLoYitfWaxsqGY025JQz,Stereo Honey,0EoyyN15NtrdLYrJmCfiwi,You Are A Monster,3goPArZ0EUmpDueZehaxuf,44,https://p.scdn.co/mp3-preview/e2d88f574671363788f5fbec16373179dfe7ec9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Tokyo Ghoul (feat. Young Thug),6YP8ruvFSc6UdLobWKXn9F,Highly Suspect,2pqd3HsfsvcBGtHvPOg6eg,Tokyo Ghoul (feat. Young Thug),3UtG96LxPoJbTdR3x95oRJ,61,https://p.scdn.co/mp3-preview/96ff3a602b5d0812bf0c8d642abb13f796d56eee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Strain Your Memory,1d1az3MIWrJvcNrgNMJTYA,The Menzingers,7HWFXU9pHBj0u58yoRwwOJ,Hello Exile,5baJxk2fGaLorySaf6173S,54,https://p.scdn.co/mp3-preview/3ecf2b1b0b60c89745f93f4d687fb338c9eaabe6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,All This Music Must Fade,6pymDBwVLIAyoiW8BdlRbF,The Who,67ea9eGLXYMsO2eYQRui3w,All This Music Must Fade,0joAFKb8bHE3TF3bOomE08,56,not available
46,I Can’t Lie,7lijOLYEQmjoHcbddBCdtk,BRKN LOVE,2Hkg1gn2Hpar1sVP8adtNp,I Can’t Lie,2xY1VBtn8UAhNluNy3W31b,40,not available
47,Guess,0GQqOod22So9EB9IJRWVA3,HalfNoise,0y0UzT7xPdd9niCbsODXES,Natural Disguise,40S23Ziqa87CtSqSSW5yo2,35,https://p.scdn.co/mp3-preview/1bd9f3a01065abcebd9e8cb62f707f1a33110e54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Marla Loves You,3AesN4SOlOpcIekTSMO5C6,FUZETA,1qlyhk1POBMOFpQ7LNANSO,Marla Loves You,4QocOPFk9sr9uXv6084ghp,32,https://p.scdn.co/mp3-preview/ce39aed56bfb5e4bfe197ca87bbf23a6422521bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Righteous Days,7yqidL1A0Pz68SvDCNE0Vg,The Dead Daisies,6VDAPUov4yNDHyQlPqrpNH,Righteous Days,38NjZMwupazKjxGMOUEFhU,41,https://p.scdn.co/mp3-preview/f5242e5a07899c5f446a3d8b8abf5340db8bf712?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Flow,5BQTlhyhMUy3k3KysxHNyo,Elm Tree Circle,0exWPi1dCLZq8QlHCLTZh4,Flow,5MZNc9Kl5VsvW5uETyQ4Wg,34,https://p.scdn.co/mp3-preview/499b492f0d56b95c63efbef9ff05dee3961cadff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Rain,7EM8LZ7Q5RfZVq1jo7PyWa,Issues,3zRstk92RGCVDyslSySNsm,Beautiful Oblivion,3a80X6BUzwOJXrwA6TSc3J,56,https://p.scdn.co/mp3-preview/02143b8784ef8bad9e564bda46e5ee1e6fb4a19e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Hollywood Riot,6jigv0s6czMzpVzJTSPV75,The Casanovas,2owJ3hGOAMUle10z5NhoSn,Hollywood Riot,3rK3n81K4q2HxepjYS3hev,27,https://p.scdn.co/mp3-preview/e60374a9b81d9582ab71957f1d56e3676467f136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Two Sense,5aKsz7JCys9c5DpInQPW4B,Thyla,0L6tY7VDHwGDhx3T989SAJ,Two Sense,7u4YQ5uh5egphHmDq5A4ui,38,https://p.scdn.co/mp3-preview/8cc847581fef00707a742c79cf3df5f00f9665a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,The Kids Are Coming (To Take You Down),0FeqdkXlkARJTSQqGrJY8j,Third Eye Blind,6TcnmlCSxihzWOQJ8k0rNS,The Kids Are Coming (To Take You Down),5tZiW1fgvhdt3QDkecKREL,54,https://p.scdn.co/mp3-preview/99848a29d4141c07cd0f3b67133501805589b493?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Thumbs Up,7iVZEbS36Z6EGij6KSF04m,Carver Commodore,0JYBvQbg4xyCfKy1S5YGpU,Thumbs Up,1hpy1PEBQqnl7kd2t6NyBW,32,https://p.scdn.co/mp3-preview/54e2e8f590c1d6b755775c64dece65df780f4701?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Ad Blue,1u1124Jy0cEy8J3Isb74Fe,FEET,7HeBQpJ3UmyybgEvqfdRAE,Ad Blue,0cxurOQX2IViAm8sk9A0A9,39,https://p.scdn.co/mp3-preview/39f8f1557ee1b8816847785495bb26f1d36ed4d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,BACK2YOU (feat. blackbear),0Ih5m31aOTcaTL4PnvGgYS,"nothing,nowhere.",7FngGIEGgN3Iwauw1MvO4P,BLOODLUST,78LoEWcpdvgRImtnfTZe0q,57,https://p.scdn.co/mp3-preview/0162ac0586560a767f3b42d80aadb553496539c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Play Dead,3Y2f0LaQ6knN0lfMsFOpun,NEW LANGUAGE,5VgSeaCjuHm9qCimk0aXqL,Play Dead,04bMnygZiTtvs5IqfqGq52,34,https://p.scdn.co/mp3-preview/c3011f065cb08295e8899ed2dca3192d1d333721?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Is This What We're All Living for?,5e4k2qP1OvyQvbfUosMolu,The Riptide Movement,1MuRcEsmTkLsTJZVAxLPqO,Something Special,6MRFrCfCBwbxx3IQ36ktjS,28,https://p.scdn.co/mp3-preview/b60b47ab6615393110c190eaed9298322fb21bc1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Stay Ready,3VyTSj0Ub87UrSOfVNmzpD,Adelitas Way,1ZjAT2nTrzDIXFfsQ2hWJk,Stay Ready,7gfgPzM23GcJDmgwSPyh1y,50,https://p.scdn.co/mp3-preview/65cc9d1801032e7525229b7c8f3edb641c3192fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Not Where You Pretend You Are,7s7irck125SZba3kPbU5kV,Annabel Allum,5vkZbKJdzVGMguwXljppOz,Not Where You Pretend You Are,0wi1fG2UZz5ONTls94ZcQv,36,https://p.scdn.co/mp3-preview/c59fa99da2dcc3bc7fdc7e3e7d6ed53ebda86381?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Stranded Satellite,6WpBlFXdVtukxBcb5dBrFH,Cursive,1sylmUjlKYsLA49YtkNHW3,Stranded Satellite,3Gzk8E6skAnKKhIlzprDVD,25,https://p.scdn.co/mp3-preview/2f6b2d0c882484f1d5f91a84c45e5087609ad188?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Mercury In Retrograde,6PT1dLDHk9BaVwFG74pomG,Sturgill Simpson,3vDpQbGnzRbRVirXlfQagB,SOUND & FURY,2ITJBRqMwZ0luWBnnZQ4Hq,63,https://p.scdn.co/mp3-preview/fe22048f94ae9aadd68261a2141c65276c369fae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Turn My Back,7xgjwuqkYgAvLpBqeW4atb,Mayday Parade,3WfJ1OtrWI7RViX9DMyEGy,Sunnyland B-Sides,5KuXgQmtrqgLj1OE7rAbl3,56,https://p.scdn.co/mp3-preview/e455a6fc00fa4cc68e6d41f8eda810e045588178?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Brother,2eQ4B8pU9U5dex2GZ8kGnp,Saint Agnes,7c7LKkvEU9xLPyFmvV4njL,Brother,22eP9tWxpcqHcVAwo2mMfr,36,https://p.scdn.co/mp3-preview/e730b35f7c5624d9ce8e8e92f9db0291bd71d388?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Hurt My Heart,1wbUqPb4FPoZ9GPdMyu5Wo,White Lies,6ssXMmc5EOUrauZxirM910,Hurt My Heart,4Tx0K8iBF71PwI0Anj5otP,56,https://p.scdn.co/mp3-preview/5234123238eb149a23e97f1bdf0dd72048f258d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,.swvrm.,40rJKdDxPTlAowTmT8t6Re,Dead Poet Society,31M8EXHYtEqOqVb1X7JRVe,.swvrm.,3h7RfgG1jLB29dc8sdmPdz,39,https://p.scdn.co/mp3-preview/058d81c3584833721cf0f7045f01d86c429eede9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Where Did All Our Time Go?,5TBT9RWbVGfTJK0dq4F5YG,Crooked Teeth,37gTAIe8kJ5xGtkJLsfFgP,Where Did All Our Time Go?,1eiw7i9loekg5F8nlqgKTi,31,https://p.scdn.co/mp3-preview/949b3a095fdb924c86f1cd66475f468dd66436b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Crybaby,006QhlxzafQ3X2x1eOIde3,Micky James,52G6EB7xvVYA8IzF1T335g,Crybaby,4UujefOOJ65COttOuq97wa,33,https://p.scdn.co/mp3-preview/f804fe0bfdf178539b5302d60850a14bb745bde3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Daisy Chain,2AHzVbXpUgTEwp8sDpmyjw,Authentic Pines,4PzxIDMBGmwfzdh4YKj0By,Daisy Chain,3CM6sHOS9JLsULkaiaVGcj,31,https://p.scdn.co/mp3-preview/f90ee76a0a841461eab409bc761dcc808a3c00f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Rowen,0Lf15qDIfm921uqyYIHmat,Selfish Things,4iQ7b56FZ0A06oJ0rt0paz,Logos,0bfHsXAVlgyRNUjfQL8A3u,10,https://p.scdn.co/mp3-preview/d20f98e8bc3e809f40b88e24ca641094476a999d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Filthy Rich (feat. Spencer Pollard),07Joa79bWR7S5gzt2d2jD8,Can't Swim,62elZbH5Iop8UPcChp7OrU,Filthy Rich (feat. Spencer Pollard),2TFus4MAuNfJxzBX58a4TK,23,https://p.scdn.co/mp3-preview/3401e0d699f7fbd55ff0cb99d4e38f090cf981b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Everything Is Going Great,3cwda2JXAaAJoD712iP4t3,Tiny Stills,14ALCznZ7yuCOfLk46eNxL,Split,48DDYIvey562OGAuMxhhs3,38,https://p.scdn.co/mp3-preview/751410bc53a486ec6bc53f67d544e7246a475259?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Synthetic Sympathy,5U87poJhGdDVROtitLtEyJ,Trash Boat,0XGJ3GUPwslwFJ66yNbHeh,Synthetic Sympathy,381HXBJcgKxxeRLYX8i9nx,49,https://p.scdn.co/mp3-preview/a93e4c1ecb2c5fa9674f59e8e06ba81c7ff04043?cid=fa83a2fec7c440b7a2795d600d6b2c7e
