Deutschpop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
11,Leben vor dem Tod,1sGorUUJzayxTA5JF2Yt8c,Sido,4Yttlv9ndGjCDCVLqM7ACq,Leben vor dem Tod,1LegB8priXWa5SyfoALHje,71,not available
12,An guten Tagen,3bu4iYpzzg2Ww4GUAS1VjI,Johannes Oerding,4I7D65YMlr6ZxVEGPb7q2K,An guten Tagen,1Npj16lHxQ9QrK5F1oClSH,67,https://p.scdn.co/mp3-preview/a4c7e83910934af3273e0431b0e981e42efd4828?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,"Auf das, was da noch kommt",11jlReU0TW0xxJK8fPlCzt,LOTTE,3gqabzO7zvHVzAIT0Nxqa3,"Auf das, was da noch kommt",4aa3eHaZiGupkhzMbNBNy7,66,https://p.scdn.co/mp3-preview/c4701776765b660c75b2ac40125be7a9a0a71f59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,So kann es weitergehen,2tPTs7vff8879Tm6BkPxxB,Philipp Dittberner,7oaSITFPadI3fnIxbv7hTa,So kann es weitergehen,59atZZltlw6qteBrxMpcqh,60,https://p.scdn.co/mp3-preview/72119fc84d0ca0bb820fb1b1135c5d8391e2a230?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Ich kann es nicht allein - Anstandslos & Durchgeknallt Remix,3BdWgPYXYaBCPxDLIo5QrU,Jan PerDu,5Dv30sDClZRWJypjFCL7rX,Ich kann es nicht allein (Anstandslos & Durchgeknallt Remix),1saGc60F6H4t8OF42RWK5G,56,https://p.scdn.co/mp3-preview/cdbb4255a21f3be145b187908b109931dc050f4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Nur mit Dir (feat. Xavier Naidoo),6hh1ikcv3CPsq3a7e9ItNR,Shirin David,0JBdTCGs111JKKYfLqOEBa,SUPERSIZE,3xn49rF06ySf38NiRyfoN6,77,not available
17,Alles wird,0rpwDNibNxIYWdE8s8FFhh,Vincent Malin,05gLAfcZRjyxxr96ebcqbG,Alles wird,2E9GW45uvw7kcboVyTBfYt,50,not available
18,Vielleicht - Radio Edit,2rdS7YJQtLTbSRDy8aX8Oh,Gestört aber GeiL,7KAGJwWQQui8b0uqwXRkSr,Vielleicht,04HrLMlaviI7gz8TUWbR2w,9,not available
19,Ich wünsch dir,6Ubu6f6HM3s04qZuGIccsx,Sarah Connor,7e52Ytzjj1q71DUj2cSlch,HERZ KRAFT WERKE (Deluxe Version),0KY05MDHUSPohPlzHrwTQI,62,not available
20,Jetzt bin ich ja hier,0AdBvkg8yVPm0t3q8Lkf4b,Tim Bendzko,3xDVmZmDpaF1uuez2N7mKl,Jetzt bin ich ja hier,49n6x2tWqoBS1jP5kcpKNw,52,https://p.scdn.co/mp3-preview/a32ea06cbcb17a4425486387f3d5da7d44abe3ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,2x,2pu5rVWy3zPlgypJzL3Mlw,Mathea,3r5Kc95Oz8lDc8BL9ChO7n,2x,1qLxyLC4GgVjEiiOBtckaJ,69,https://p.scdn.co/mp3-preview/037ef58f9ada140a58b40880012b41d36fd9b8ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Auf halbem Weg,61lfeRJrq2bOyok9CBeQrA,Wincent Weiss,12xme1fwd3iGEW7rF9b6tp,Irgendwie anders,5tNgkRtA8Bx1cAYLLmxomw,59,not available
