Feelgood Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Märchen,14xVoiQC3JGX5OcvoW8PDp,toksi,5vek8wrRCD5UxnUlctYXgx,Märchen,7ryGEWh0Iw2B0UDIWZr9wG,53,not available
11,Frische Luft - Single Version,3p8TTPPvzUaSFNV66cQoMI,Wincent Weiss,12xme1fwd3iGEW7rF9b6tp,Frische Luft,4A0tqBmbSrUukYvW7pQPK6,59,not available
12,Waves,64xJ1MMFxxK6osZxJH857T,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Waves,0dcIrW5U3oco3GDCKiJ33I,18,not available
13,Find,3qe7qjD3itS6Jf49pztmNt,Tim Kamrad,6zcWVbyNT0z94MBffsTJGP,Changes,5cNz9WxXdrlxmco5TVo2dp,49,https://p.scdn.co/mp3-preview/063d7e2f2ec9d3674f9fe7bd9201ccf5de740304?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Run to You,4bLfRfX6fSvMDaLEFnMvB4,Tom Gregory,6Rmg5JiRphFMlhkwGNl9Fu,Run to You,5N2Rx2EKHLeyhFimr2mvyJ,55,https://p.scdn.co/mp3-preview/094d2dbf7f206e720084351eac394f545b029533?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,PAY ME BACK!,0XO1KK7qiUGVK8t3FZdM4w,ILIRA,6mzs66iVW15C5iLt0JLt41,PAY ME BACK!,0FdEEw1vJvO8hCUJUoYjRd,54,https://p.scdn.co/mp3-preview/cffd9bf7ca76234324d58178c232fda06eb72132?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,If I Can't Have You,2bT1PH7Cw3J9p3t7nlXCdh,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes (Deluxe),0xzScN8P3hQAz3BT3YYX5w,80,not available
17,High,1YrBkJwX2vKdXRAMdsgnwW,Johnny Rollins,435Q1t3rmfMWywaX29Gn7q,High,52CxVT4PzZHFjkkPvybIW5,10,not available
18,Wish You Well,3gmvA4NFEw2T8oFINJn2mW,Brendan James,2aIPQyKrN3oVev1kHudiai,Wish You Well,3AfqmuQZ7CI5TP7FcCb48V,44,https://p.scdn.co/mp3-preview/fdaae6b01d5945bcdd439e29f989a1fe9838ee92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Sink,2BVyCBKJYlSdxic0yVpJ9C,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Sink,0iKUK667rgCwvtAX3YQxCG,23,not available
20,iD,4m0TDIJ02cmpZcqQ62GBCv,Michael Patrick Kelly,4OGiMt96TFUKkKWf7Imlno,iD,72Yu3QdZx4puptxSYf0a28,15,not available
21,Break,6LuDBVDciOhIfLX7xxz1TJ,Annika Wells,0kErUwb6xgWfkdn0RyZWHZ,Break,0ZifScAuy9Ufo7kptMvwGJ,51,https://p.scdn.co/mp3-preview/a75c7f260fcc2adfff4cbb5857fdeb09ef966ddb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,3 Nights,1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,"Don't Forget About Me, Demos",1DNx0H5ZX1ax3yyRwtgT4S,89,https://p.scdn.co/mp3-preview/4541d9fdce0a1a70103690863356bee8ca05d02b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Shoot and Run,39f1QnaEdMMYzXWol201sF,Maude Latour,3MNLhvqJkWsO6tcjY9ps62,Shoot and Run,2lKi92iXhjrWqEOHBNG1VL,10,not available
24,Two,69vr4xkvNtvJoa77leOvtn,Elsa,3rOf13JXxXYccTHy8HSHhe,Two,3tqMFKsgKiQCMx5EIVlOx2,37,https://p.scdn.co/mp3-preview/5389d0dcc159431c5545bd46ab4fca07f0f11ef3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Nie zu Ende,0T4h79neqK0F7af0EC3EnG,Jonas Monar,15DtxS7TcOYPplKUl5re5C,Nie zu Ende,0Hq1sB4uaOdr1tbGqQP6MO,10,not available
26,Kogong,2rv1aetlu3MEQ5sJWJuMG1,Mark Forster,7qXzy6c5RWT0XlVQcOBIDG,TAPE (Kogong Version),3oysskuiPQXU1cUIAZU4hv,53,https://p.scdn.co/mp3-preview/019c15b12b60c73364d9acc3836412b0f3022155?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,True Love,0faulCzW1hxYeaQ3jKl82O,Lions Head,0MDfMKBf1cV65pnQ1ZRm9O,True Love,3q12LuAbCchSiJslH0JvsU,53,https://p.scdn.co/mp3-preview/797e94f5f3b1210804f322fba3a4be4f21145714?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Free,7psBoQU2iSIa5KHFMtMWUy,Alex Francis,0aJPoUxg99e5iOzIdWxpUa,Free,2b2SmdW8H6kj65pct9Ln6s,36,https://p.scdn.co/mp3-preview/8ed2f156ff3bc587e667079bc87f141015b9b033?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Good For You,3vTOTsldPG40ybfVu5Iz6R,Jack Vallier,2wnHlwpI5kZaXQRGq21UNN,Good For You,0p6oFfQJH3CqaZxKxcZjIj,9,not available
30,I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,5JZ7CnR6gTvEMKX4g70Amv,I Like Me Better,7l6fTSFvlumnPFpOSrbnDV,85,https://p.scdn.co/mp3-preview/fa069a3be2d69aab5378b55f6c66d8b3eff1a6d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Lullaby,5xzCzOAOfRi4DOttSzvznR,Sigala,1IueXOQyABrMOprrzwQJWN,Lullaby,1SR7c6j94aiuYEhUrfTbZ7,69,https://p.scdn.co/mp3-preview/f333b096a28a34d65c13d8616b18612b4665a7e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Hit The Ground Running - Single Version,2iSwnrcLP8hwHhO5R75B9w,Alice Merton,7f0OLhGgBMX9fUjm1dcPip,Hit The Ground Running,5Cab1fs2KjmU8Bjc0Xs4c5,51,https://p.scdn.co/mp3-preview/d3644e79238febe887c78d68620169c26f5b7707?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Sowieso - Radio Version,07TAUihsoCBnLWWXuZYUyw,Mark Forster,7qXzy6c5RWT0XlVQcOBIDG,Sowieso (Radio Version),1YBGSMmAysly70MAJRTwwV,60,https://p.scdn.co/mp3-preview/f0a07216cfd21f68630f8ff7722a7ad16e6e8cc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,7 Hours,18NrNBbDtzBXHgh0wFpRhW,Cattle & Cane,6a1PrMzNmhNE8HrO8burHc,7 Hours,1IdycPyM41OFHsvcC3JEv4,46,https://p.scdn.co/mp3-preview/d58c147d0e2000a9e33f53eee6e112ed1a2cddf2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Chasing Fire,1xy4apMFecGGkgBeaHFZ2M,Lauv,5JZ7CnR6gTvEMKX4g70Amv,Chasing Fire,5XHD9eCEJ05CuiuEQb0FsR,66,https://p.scdn.co/mp3-preview/75a127760c4c28b9fe31c2208cd3d6990d8e468a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Call You Home,71x0tN3wakXjBWtnMD2P5X,Kelvin Jones,2t1vHqFELDwweQWM6JYxHG,Call You Home,0rsoZfqt7v0WcgpLL26IWp,52,https://p.scdn.co/mp3-preview/393b50a9e3d787d2345abf7adf25c07dab7b97b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,Nevermind,6c5gDwB7Xo58thk2vap4Ch,81,https://p.scdn.co/mp3-preview/3ed2e2ed433fdc05df0a4f30607bd4b0760658df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Silence,6cZzGeLcDeDFuPVGAORhNl,Grace Carter,2LuHL7im4aCEmfOlD4rxBC,Silence,3XX2CE9pzjIENPPnge7ewG,46,https://p.scdn.co/mp3-preview/f0ba019fa174dd4ccfa3e420ac6f2953b979f9fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Loving Love,0ZHGvuTzVMZATXV5n7e5LP,Naaz,736HGQRGr9rjG4VmmSpkz8,Bits Of Naaz,34akCS9THWFnbRSQQ8c2Xi,52,not available
40,Wishing Girl,6hFIbEMiDtvl8YG5jcNGHI,Lola Marsh,56UIK6wmbbxuQ6VA20vrWD,Remember Roses,6pWSR0JlP0f2PgRaXmYFFh,13,not available
41,Kreise,1ocmRsEMI6nO9d9BdQbXNI,Johannes Oerding,4I7D65YMlr6ZxVEGPb7q2K,Kreise,7EJ7tw1jSJdW2C0enoLQXS,57,https://p.scdn.co/mp3-preview/7b193a21a2a745c652a74bcde31d629bef59dfa7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Sun Comes Up (feat. James Arthur),6SUocL0caib4mLHe8ZrZzi,Rudimental,4WN5naL3ofxrVBgFpguzKo,Sun Comes Up (feat. James Arthur),5UGyzp6HT8oy0eTkBfxtQ8,67,https://p.scdn.co/mp3-preview/f41d62f292e4bd7cc6b0f63ee119b4585a66f3f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Salvation,5EADQOqdOmWGVPUBwvCSQs,Madeline Juno,6u8KyY2rfBGDtDejRJ9JaQ,Salvation,1LDy8LNOfuQzboTRBkObF4,7,not available
44,Kissing Boys,28aKEO0jirDd7ACRlcgxlo,GRAACE,4nqqGSsclFchZXaiafOYyV,Kissing Boys,3rw8SLnzgjStuDdZfGClOV,4,not available
45,Let's Hurt Tonight,1oc4kHthIpfa2jQnIL33GE,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Oh My My,30SqWqmSU9ww0Btb1j4rpU,9,not available
46,all the kids are depressed,75ls0gurX68lUmMjE7QcsE,Jeremy Zucker,3gIRvgZssIb9aiirIg0nI3,glisten,14lSyFVCuhvEoW7ogOIzD0,80,not available
47,Somebody Special,16qL4QnsTjnNNoChtGg01j,Nina Nesbitt,7AzjETXRUKNRSJHMW9GIqd,Somebody Special,2P0XH3QR5ZGumx1ShxkSvA,46,https://p.scdn.co/mp3-preview/7369e470cfd615dc2d01eeee4b645dcf4a074edf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Words,0AEkNa7cHXv7LfSVumxcWe,Naaz,736HGQRGr9rjG4VmmSpkz8,Bits Of Naaz,34akCS9THWFnbRSQQ8c2Xi,47,not available
49,Lady Like,33UI8dgfkDOf32DWBH1GL0,Ingrid Andress,0jPnVIasXzBYjrlpO5irii,Lady Like,3l0QTUgr0CKXgpQb9PAdmH,61,https://p.scdn.co/mp3-preview/0d5fa1a4151c1cf78d06bc447286a5c59fcc4017?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Wenn sie tanzt,4mMYmlFkmrDStcSSpBKAE7,Max Giesinger,224CDJhbm230iSo9ZomTWe,"Der Junge, der rennt (Deluxe Version)",4g69wg8DMOX1YyBARFMuQR,60,https://p.scdn.co/mp3-preview/0b6aba4b80336b9de984603a9455cfa38978ae8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
