Deep Listening,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
33,On Deer Island,3B4gWlazMuJjYYoP4Y8Ocn,Alaskan Tapes,5GHBk4xcO1UqlbyrUXv5dq,On Deer Island/Where They Lay,4er8vCjtXwJf9R5DPw3sj5,45,https://p.scdn.co/mp3-preview/c3d673646fd1c8446049b059038b383ea07b538d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,TOBIUME,5JpfGKhIFJqGYdTf8wlr8q,Susumu Yokota,3ND5NWoKzlelYDDyWqSQpQ,Sakura,4eN1ho9NT7q1YlG5xDNYNM,44,https://p.scdn.co/mp3-preview/1c419c05b0f859954d9365f5fdb61ed8563adf4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Crystal Cathedral - (Bonus Version) (Remastered),3dojpUxqqqaUry2FPd6iWq,Steven Halpern,2J3qGaj5UzHvu0fjlLgb8k,Spectrum Suite (Bonus Version) [Remastered],75k9Yfgj55lDMBSXGQnL7R,30,https://p.scdn.co/mp3-preview/3e220cfb6fad34e0b85561512be8fe7c329456d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Barcarolle,5yTYVsQPA7ujLOANcjdDTW,Saloli,6tZ3TVCfSW7ZuoPovDYKWj,The Deep End,3Fwmzb3B5GXy6aUWfFEFXm,41,https://p.scdn.co/mp3-preview/6371f656fdb70032be42116cd02b47dccf367687?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Tchengo,1wtQAV53Hwb6Yh0W2eAkvn,Loop Guru,0y46raHPv0ngB5KfMhS7lV,Duniya,1I9JHmK9pK9IvMtsqEdTYe,36,https://p.scdn.co/mp3-preview/9f9a2ba33971abff758499f83a59860ce97e3708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Playing at the End of the Universe - Orchestre univers Version,5drwkeWY5C8e2I6cTg79NS,Labelle,7wF9y3gjWdR3DOtFG5PVFS,Orchestre univers,0eIOrsIX5gw7zpvZhltUCq,43,https://p.scdn.co/mp3-preview/5f37a4ce36247f7ac022f40128b6eacc3a09e22c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Existing Closer or Deeper in Space,6kzNAm0RiDW3UyxTOimSLU,Earthen Sea,3vP8rFfMW7ZZtUFfYyN5QH,Grass and Trees,5BWggRFjTVj5uC1lqjjFU7,41,https://p.scdn.co/mp3-preview/bfd3c112eda464ac1a7f971b5db683a87e0527e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Wurlitzer,4OjcEWInukLib0TUfETqfx,Leifur James,2N1foZRamgP1sfiYXFID9O,Wurlitzer,0mfitPoE1oWjDfmX48fOl3,40,https://p.scdn.co/mp3-preview/fef020e77decef26fcc6bbc93d39b6f6cd349430?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Plight (The Spiralling of Winter Ghosts),5plQUaqgpIdCMiXZpdP5v8,David Sylvian,2oyWkw7sq99yqj12hVUHtw,Plight & Premonition Flux & Mutability,5OVfsYMz3YtQbOpvmygebT,21,https://p.scdn.co/mp3-preview/92306955a5650adc48bb1d3e9ec6034e32a64684?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,The Space Between,7FNpgKsAUFgt5ONasflWtc,Joanna Brouk,3yITaOTDcBPYNnYxlxQuUt,The Space Between,7JO8XrLsnzmn6cBP5kyMUH,37,https://p.scdn.co/mp3-preview/7520a5ec5c60e9f79532c9168368a42ac409c9e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Standing Crosswise in the Square,2ul6NDnL1ID1LFmldqRdhI,Craig Leon,2TFlUuw1I60a1Qbyl3Qmfs,Anthology of Interplanetary Folk Music Vol. 2: The Canon,32cjPNgVw59RwMrcxbdBhE,33,https://p.scdn.co/mp3-preview/4a248d92f0c64f9538d2e2a0d782b9ffe1b57aac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Sad Alron,4DYgpUB0XeFyWjV6LwYTz5,Mark Pritchard,7wDfZhaCORLgP3K62R3MJK,Sad Alron,1EUDG2I4DZsV1andpZerph,36,https://p.scdn.co/mp3-preview/e5733dfb285793a7b7905e9e6b195e94145bb2a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Being Here,7kGuC6pmqKvvxRah5QuH05,Mammal Hands,497rp5TEzJffeBnUT0BeE1,Shadow Work,0D6EnTkqcbwzV5RWhxu4Rg,48,https://p.scdn.co/mp3-preview/7e26d555832fc8699bdd1177d4385fa457bd0fb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,A Sea Of Love,0VUgSdPuJjzGPpBe9OZNO7,Huerco S.,0Wy3xgOTkgtDlT9wJsOQjy,For Those Of You Who Have Never (And Also Those Who Have),1MATu35vnVRNkhxFH3hMxP,0,not available
47,False Angel Lullaby,5Q9QWEZCmxTMTC25HrUaEf,X.Y.R.,6toHLoCsmqKPjtprSVucxz,Labyrinth,2uXc2ajokBOxI2FX27icQ9,36,https://p.scdn.co/mp3-preview/5b1c963e4349265596437d8947d0b3172e9390d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Rhapsody in Green,0e6CAQsSJ7wneNwVtG4rOX,Mort Garson,0WmzT6tMLhdST5BfYagbha,Mother Earth's Plantasia,4Pj4zPHuEUPtfacdeTlqUG,45,https://p.scdn.co/mp3-preview/3a5fadda9fc0ff3bed3b8ecc2f14e50d1561e59f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Requiem Again,5gBJgL7NUz3dlTBv4Laz50,The Durutti Column,7fh7bwX9qV60tLxxsp9bTe,Vini Reilly,6loUyyw92WAaXM3lzyRwNj,4,not available
50,Piano Aquieu,3sLgMuBTIEp761Zi7bl5im,Stars Of The Lid,36pCa1JHc6hlGbfEmLzJQc,The Tired Sounds of Stars of the Lid,2TnJPCSX9i2etg8jbaMcbl,35,https://p.scdn.co/mp3-preview/824ac249348b55770a79860f49e768cecf630710?cid=fa83a2fec7c440b7a2795d600d6b2c7e
