Hitradio,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
34,Solo Dance,3R6dPfF2yBO8mHySW1XDAa,Martin Jensen,4ehtJnVumNf6xzSCDk8aLB,Solo Dance,7J6SYqcOQ705IYA0DUec38,67,https://p.scdn.co/mp3-preview/76414b590c5de583123c339afc983f9bd840634f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Kiss Me,0fMPGhXjm1E1CGKkHRSBro,Rea Garvey,0bmxU94V20pNJ2Vie9kFYv,Neon,5RqiV1YQVhQTvthewLU9Pg,55,not available
36,Tausend Tattoos,1rGZd7EVl4aOClpzDLNPwy,Sido,4Yttlv9ndGjCDCVLqM7ACq,Tausend Tattoos,7mxNuldTYg5SScgpyNsMd5,67,not available
37,Say Something,1LhMopPAallLeaeNutqbgS,Justin Timberlake,31TPClRtHm23RisEBtV3X7,Man of the Woods,01l3jTY261V3CESZR4dABz,75,https://p.scdn.co/mp3-preview/44072346a65f52cfff68599eaf94848074eab9c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,87,https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,OK - Spotify Version,32y9LSjv2Q49T3NnkETXCm,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Uncovered,4iu0toRdSjyU0qIdKTWMoY,65,https://p.scdn.co/mp3-preview/6c43af6924b1ad0f3b3f291f937864e53e2f744d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Pictures Of You,4bfyeYgNLENrwLRRSKXfM3,The Last Goodnight,4UrGiQXrpB2CmzVGVFtH5E,Poison Kiss,3MOMO36PjOCsTjRgN7D7IE,9,not available
41,Scars To Your Beautiful,42ydLwx4i5V49RXHOozJZq,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,Know-It-All (Deluxe),2AGNF8r2y8HL85yVk2bwmS,79,not available
42,Sanctuary,6s4E1Wsbq5X9eHWprIQXIB,Welshly Arms,1xKrH6GSh9CJh8nYwbqW7B,No Place Is Home,4UXg0K9s6iGFntzsrYDdWF,63,not available
43,Oh Hello,6BeS8dX3Iy739w9RVDt8fg,Nico Santos,3A9B6c1CrSPauiOblw7pWz,Streets Of Gold,7uUIEZ7uNLHJdpvVUxpB1e,62,not available
