Start Here: Eric Bachmann ▶️,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
30,Fabricoh,1HvNBrKWBbLr5Sr59iQfYu,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Vee Vee (Deluxe Remaster),3lq3NzWj52QmGM9k6hvCTS,8,https://p.scdn.co/mp3-preview/03a375038940491a36e9113e26f850cc5ce73cb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Your Apocalypse,3rcwtURKnoUmA0h1JCnP2c,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Breaks in the Armor,6tlAJGxBtGYFS7PXRqJA5n,7,https://p.scdn.co/mp3-preview/ae803fedd5c085f698942bb83ca03f857c6dc980?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Little Bird,4dKiSP4x45MBBY8MgculCU,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,To The Races,0zeFnr71p2fXKC2IcCd0oJ,8,https://p.scdn.co/mp3-preview/13896ab774b70574eeed5de9db4c649a8a4d580b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Carolina,0dsZRGplXjcph28vuiLv7p,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,Eric Bachmann,6WKrYrckgyk7AaRfQJc1kj,10,https://p.scdn.co/mp3-preview/471a686dc3e7eacc3ebde692a5db68be79098c68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Big Darkness,39m0Eq0IBw5Pbd6iD6fIba,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Red Devil Dawn,40jWxmDHFZxJlFbjhb1pr1,10,https://p.scdn.co/mp3-preview/b890211fd9cf383457340b85a4553316a93b281c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Wrong,2puN41crpRbHGmrXqsCT0q,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Icky Mettle (Deluxe Reissue),49BM6MWu4LbkGtCqLYEy6N,31,https://p.scdn.co/mp3-preview/e7534e21cbee199db6cfe92e835146dea5f093d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Vocal Shrapnel,5mzq4oelDT4BcTqj0IWTmI,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,All the Nations Airports (Remastered),0gz6o0vvXnTQ6GIWEIsBDt,7,https://p.scdn.co/mp3-preview/2a5ba196025ba214bc917837d6d448f9121edb7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Heavy Hours,5TC6lkSkZEZBppd5nqwgEm,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Breaks in the Armor,6tlAJGxBtGYFS7PXRqJA5n,32,https://p.scdn.co/mp3-preview/2ebd360b230181ede204ec37dc4b79c7d5729e39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,"What Did You Expect? - Merge 7"" Version",5bis8j1aY4v76kWjoASfja,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Icky Mettle (Deluxe Reissue),49BM6MWu4LbkGtCqLYEy6N,8,https://p.scdn.co/mp3-preview/9f4e6c7c6d0de939409d5164047c01e55f9a260c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Masters of the Deal,4mjtqkV4edOJm19pxtRnMG,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,Eric Bachmann,6WKrYrckgyk7AaRfQJc1kj,10,https://p.scdn.co/mp3-preview/a558eea4f658693cc8fd906fe230b9a0b8d972f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Chumming the Ocean,1gp42C1ZeQyijMAYanBZYD,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,All the Nations Airports (Deluxe Remaster),4VEYyNc1AjoB7McU95CFrU,15,https://p.scdn.co/mp3-preview/6f53fb3c5810eccb56fb2bb107e983a97be67ef3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Devil's Train,6HaLG2A1tpGiC6S3UnwoWY,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Bring On the Snakes (Deluxe Edition),5B1FPXn7puloyvXWcaCmx9,6,https://p.scdn.co/mp3-preview/8e79aae790a3dce43b9596c7333c63f9f02be293?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Lowest Part Is Free - Vs. The Greatest of All Time,105z2HAZnIxY33SnGuf2SR,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Icky Mettle (Deluxe Reissue),49BM6MWu4LbkGtCqLYEy6N,17,https://p.scdn.co/mp3-preview/2fbaef926cf83c8940d20cbd26f9e163829f9e99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,What Never Comes,2uBGWwNYGOWa3d3zjcuwMO,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Forfeit / Fortune,693wUzgN811riAEBsWJkKd,6,https://p.scdn.co/mp3-preview/fbaaf297370c109033fc13d7d6ddf2eb89538607?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,"Telepathic Traffic (Alias Single, 1995)",1riQHCg52OcoUzpQke0L6m,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Vee Vee (Deluxe Remaster),3lq3NzWj52QmGM9k6hvCTS,5,https://p.scdn.co/mp3-preview/2ea67c8a42fc7b116b0c5a49b0307f2b4f9f3dee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Wrecking Ball,0So6MVSVNtKR0LFNt1WV7r,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Dignity and Shame,300X9iphkJZZ8ZZwIDGFSK,9,https://p.scdn.co/mp3-preview/3b51deabd0b7de729f5b1013caff4ad50681a2af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,White Trash Heroes,3eEan0cj6VH3RRHKm6nzx7,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,White Trash Heroes (Deluxe Remaster),5yerx64vm4bGsX0S8qSPzV,38,https://p.scdn.co/mp3-preview/8d259b5f8e3387c68039fbe93c55db6c12af7586?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Carrboro Woman,4espRId6x448TSAqjRCfUO,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,To The Races,0zeFnr71p2fXKC2IcCd0oJ,8,https://p.scdn.co/mp3-preview/b8e7b5a28795b1716d60ecbdad1a01a538dd3ae1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Broken Man,1cYOuNwO9F2212BB99vBz0,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Crooked Fingers (Deluxe Edition),1yiOYN9K3XULLBTJVFUD9b,7,https://p.scdn.co/mp3-preview/392a9f6098c005f8348874346d83d9dadab914ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Every Dull Moment,0sAa77GoSAzZvKO38bQyj0,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Bring On the Snakes (Deluxe Edition),5B1FPXn7puloyvXWcaCmx9,3,https://p.scdn.co/mp3-preview/48b0ceb3de13a197f3ea2551aab1576a2a7c7727?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Underdogs of Nipomo,0PXbHlUSE0o0zYKsFuztT0,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Vee Vee (Deluxe Remaster),3lq3NzWj52QmGM9k6hvCTS,9,https://p.scdn.co/mp3-preview/ce3b027a02369e9578164974e0090cc6f1840237?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Call to Love,4ngAVhsSYZlLf8CeYdluqI,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Dignity and Shame,300X9iphkJZZ8ZZwIDGFSK,16,https://p.scdn.co/mp3-preview/56e0b4eeca4131db29702b2dcc4f03dc73177cc5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Assassination on X-mas Eve,64Cl3Tt3roYuHlxCBkECs5,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,All the Nations Airports (Remastered),0gz6o0vvXnTQ6GIWEIsBDt,7,https://p.scdn.co/mp3-preview/6fcc99acf9f13c0f93a94c7c083bd02b1480839b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Lupe's Lament,46oT66waKswSqzcqT4tp1v,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,Eric Bachmann and Jon Rauhouse,54RTZHksvKQ7vuEYFVFcHJ,3,https://p.scdn.co/mp3-preview/4d85e9383e8622d5704e3999935aa04faa6c0c7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Bad Blood,3aZ6h4iN8cqWu55aAPmEcl,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Breaks in the Armor,6tlAJGxBtGYFS7PXRqJA5n,8,https://p.scdn.co/mp3-preview/17f153c4c203bf04d7951b44304dc0308913d75d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Slick Tricks and Bright Lights,7q4iEjcKhufDwXZ9x1pfvh,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,White Trash Heroes (Deluxe Remaster),5yerx64vm4bGsX0S8qSPzV,8,https://p.scdn.co/mp3-preview/a2671c2d3ab8ba5f0f563c4f9b33ba238d49e638?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Under Pressure,3oHfTF18Ip8h9XQckZxyzQ,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Reservoir Songs,59bPej1Odi1imcVb77sAoa,20,https://p.scdn.co/mp3-preview/9a23bc9f45e9fb754fc381e01932941ec2d5f861?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,New Drink for the Old Drunk,0f0YawUDdGa38Vh0cqsd4y,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Crooked Fingers (Deluxe Edition),1yiOYN9K3XULLBTJVFUD9b,16,https://p.scdn.co/mp3-preview/58d3cab019ab15f72b79f3f38afc38d5eb9c98e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Lake of Fire,22mZUAE6WpNC4ECHYQTHJ2,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,Lake of Fire,7uYBgcTQ1BFQ2ggJopbV6c,7,not available
59,Doctors of Deliverance,0zZzXt7ipYQ0Op4rdZm0Hg,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Bring On the Snakes (Deluxe Edition),5B1FPXn7puloyvXWcaCmx9,8,https://p.scdn.co/mp3-preview/c0b3b175217c0b1ea915546f37577fdb2895371b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,When U Were Mine,2lZCsSzjbyFADuPGSv4sfd,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Reservoir Songs,59bPej1Odi1imcVb77sAoa,13,https://p.scdn.co/mp3-preview/969d6335abbc3326a66862cea139ae43d570a917?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Lilliwaup,2fEoriL6Y51DbIBtbwYaLu,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,Eric Bachmann and Jon Rauhouse,54RTZHksvKQ7vuEYFVFcHJ,4,https://p.scdn.co/mp3-preview/a277c4843548e9db6e02f7a0e7236639a3b4d92d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,You Can Never Leave,1YONtcZ03T5fDbJrQjvfFb,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Red Devil Dawn,40jWxmDHFZxJlFbjhb1pr1,9,https://p.scdn.co/mp3-preview/f2097ae5c706fa3610d4c06d81c6e62921867dff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Every Word Means No,4kYkJ1ftOG5eIqNSqSfrF4,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,Songs for Sixty Five Roses,6QM86QOu65RxcKZO3SrC9O,0,not available
64,Black Black Ocean,0AIkxS1G8LWA149ltBLZ5V,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Crooked Fingers (Deluxe Edition),1yiOYN9K3XULLBTJVFUD9b,6,https://p.scdn.co/mp3-preview/bdb0ae625845b092e7a183616c728deb9b4a7281?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Luisa's Bones,2HQCNH26UBs3B232kwtvaS,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Forfeit / Fortune,693wUzgN811riAEBsWJkKd,25,https://p.scdn.co/mp3-preview/b4446459dcec062a1e79f9983bb70c0749953865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Scenic Pastures,0LXgmvYxGxYQGYASZDaQue,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,All the Nations Airports (Deluxe Remaster),4VEYyNc1AjoB7McU95CFrU,20,https://p.scdn.co/mp3-preview/3a41e6afd8ac997684768360715717bbb08f6a39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Twilight Creeps,2EqfimqQXe1Xook040fPYu,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Dignity and Shame,300X9iphkJZZ8ZZwIDGFSK,15,https://p.scdn.co/mp3-preview/afc888c4fddc6b5b8536dfc1700defc7d1b97086?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Audiowhore - Vs. The Greatest of All Time,2DZl7hEI7B7WAlJCAgAr1k,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Icky Mettle (Deluxe Reissue),49BM6MWu4LbkGtCqLYEy6N,13,https://p.scdn.co/mp3-preview/d7af0f148b213e7038ce1039625b3091fc62e993?cid=fa83a2fec7c440b7a2795d600d6b2c7e
