New AF!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
28,Writing on the Wall (feat. Post Malone & Cardi B),7x9nXsowok1JszkVztI5NI,French Montana,6vXTefBL93Dj5IqAWq6OTv,Writing on the Wall (feat. Post Malone & Cardi B),2ZoLcA4NMOjJGFKeANgNpF,84,https://p.scdn.co/mp3-preview/6c8eb657e76ea1d0a774627794cfbd8a247f46e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Big Booty (feat. Megan Thee Stallion),3g8sG483Es7NcJyXgkF1nT,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Big Booty (feat. Megan Thee Stallion),109HkQfABlciphATRx9VnF,68,https://p.scdn.co/mp3-preview/b40c40518744a1ae9a5c18a48ba85fc45025d6a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Slide,2rTnVB1bvwxHtaIl4uVu7f,H.E.R.,3Y7RZ31TRPVadSFVy1o8os,Slide,6b3LhhX9Lt2861Dsh3ZCC2,72,https://p.scdn.co/mp3-preview/93882ea1384208a12c8fcf35b3c290e3b1266641?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,"Thot Box (feat. Meek Mill, 2 Chainz, YBN Nahmir, A Boogie Wit da Hoodie & Tyga)",7BpRvsDdzfsma8382uO55A,Hitmaka,1VeOsE6gNwoBsIAinCAb3l,"Thot Box (feat. Meek Mill, 2 Chainz, YBN Nahmir, A Boogie Wit da Hoodie & Tyga)",0uQOZ7tBmOqoMLT4Z4tO5v,72,https://p.scdn.co/mp3-preview/e99b137035350019d226ae0ccac7fc09261a69e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),3950uQm4KQL3ckerKBeXYp,Guapdad 4000,0NcPKaSNIHAM2RfioH9vMT,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),432608DLpP0hExluDkY3Yh,61,https://p.scdn.co/mp3-preview/e726b14668627c5fb930f081c9d799471b93ff0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,No Mercy (Intro),7iRIG5FikWiaVRRrPyNlnK,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,Herstory in the Making,1F1JJHhqMo5DETJkesqGpG,61,https://p.scdn.co/mp3-preview/bc9a0aca6e06c4cff15dd783bc0471f5d750b55d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Playing Games (with Bryson Tiller) - Extended Version,2xyx0o4xNOLLjBSbOOdcbA,Summer Walker,57LYzLEk2LcFghVwuWbcuS,Over It,1qgJNWnPIeK9rx7hF8JCPK,72,not available
35,Stretch You Out (feat. A Boogie wit da Hoodie),4Qxn47gWPSucovKrMyRf1z,Summer Walker,57LYzLEk2LcFghVwuWbcuS,Over It,1qgJNWnPIeK9rx7hF8JCPK,69,not available
36,We Getting Money,4B1HkmoPxGnIiovU1iy4IL,Sheff G,1tG7s7S4sq2eFFW0QZyLbm,THE UNLUCCY LUCCY KID,3Xvvi8uwGnuj9nF7fr2h39,50,https://p.scdn.co/mp3-preview/18fbeb23a262477b7cbc7833c49879a5b80410ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Enemies (feat. DaBaby),0Xek5rqai2jcOWCYWJfVCF,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,90,not available
38,U Say (feat. 6LACK),6eKQpHfI07oX6KEJRGWDtl,The Bonfyre,4oIGrMYn1N1xPNYVXcaEZJ,U Say (feat. 6LACK),6yYnbJJKEoTpvxUTZxfQUl,68,https://p.scdn.co/mp3-preview/a78f2002e70bbc511487efcd9e98e66e9c2bd5e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Choosy (feat. Jeremih & Davido),4gWAcvkVLzqnzFOcrYBut7,Fabolous,0YWxKQj2Go9CGHCp77UOyy,Choosy,6TcKWIXJvIVJHXerQtc81l,60,not available
40,Camelot,4sWuPniHClkInYAnzXAYUF,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Camelot,5tdGgaiW18D6bjHFLhtblL,88,https://p.scdn.co/mp3-preview/d6195f6f5f78ed5dc8bb8b5b1ae8456564912592?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Joro,3Yt1ovsh3v3VEzRuhI1TL5,WizKid,3tVQdUvClmAT7URs9V3rsp,Joro,1Mj4mLvCC9P4b167keUsRh,60,https://p.scdn.co/mp3-preview/269db9db4e3302b9a37957f442cbd082ddf68639?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Uno - Remix,0CAabnR0omwsTzgKIb5UFD,Ambjaay,3BbPRvYQ0M9SFmhkHXozLm,Uno (Remix),4a7iURHcQKNzPAMWKudL9e,52,https://p.scdn.co/mp3-preview/adc9b4ec1f1b54db6914ad7e976dd67cd8e59fdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Love Thru the Computer (feat. Justin Bieber),3dxioHwH6wvCkQwt0rgvQt,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Delusions of Grandeur,2FDYcU1NTibzvrv4XDJofN,63,https://p.scdn.co/mp3-preview/cf089232c73bfc56529e269fbb3f4ef9adb129fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
