Poolside Disco,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Electric Drama,3zF3pigJ8LTQQtjsYrDmUI,Lovers,3WDMaTckX5c9kOGLU7N6uz,Electric Drama,1ZEjjhIQqQPPW1SydR08SU,43,https://p.scdn.co/mp3-preview/cf47cf5a58ffd55377f7ce08bb006449b74425a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,NYC Dirty Talks,0y7OfSu7FZSJViYvRKigzl,Black Loops,6AwGe2F49hD3ANXvmOwqQB,JAH Love,24n2ljrMMv2UHYVlibcInw,34,https://p.scdn.co/mp3-preview/49dc83323257d337393197903ce8c891b77e0fdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Ho Chi Min,5kKGJym6i9cQJhUiELMfqI,Red Axes,5Owm9QgL9BSCRQKTX6T08G,Trips #2: Vietnam,5ojN0F4GIGGJY75oWQd3xW,43,https://p.scdn.co/mp3-preview/25c9f8fcc447e7268f8debac3db272c3c00a701f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Komya Hondo,4TmY3pycMlMkrJdXJ2lj8W,Boncana Maïga,2K8pBKXINnDxqS3ajPPP8Z,Hunchin' All Night,2Y8hlTzkAumTa8KGkxd4F4,35,https://p.scdn.co/mp3-preview/7decf90ec3f95befc95c9e1db83bdd31ec1192fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Lightenup - Alex Metric Remix,1rIPNuXlthhSUphhva5d5y,Parcels,3oKRxpszQKUjjaHz388fVA,Lightenup (Alex Metric Remix),5CD57eZyNcQPV9kzXSkVnR,55,https://p.scdn.co/mp3-preview/9363d6bcc5a48e3dceb20deff9fafc0be262749f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,A Lovely Change,3Ld6Df2I56FQqKMku8G2li,Tiger & Woods,0AEi1DK5ehyvkZzOUlqEVz,AOD,3bUFY6zVeWeUDcWJli6TNs,35,https://p.scdn.co/mp3-preview/2053eebbe7db9a0b49aec90dbd0693b539494d47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Dance baby oh,27hxOtUPvhetUhiHMXCoEQ,Basti Grub,3VAVMUyDwL7FlkivpaMeRh,Dance baby oh / Ko sar ra di ep,6FYjgDCCqAk8ANMfEUUX4E,32,https://p.scdn.co/mp3-preview/ce44d4476d5046d707850f3620b6204f0d2d73c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Hydrate,6hHn9EtyvsJhovCmCCaJz2,Chaos In The CBD,0QOQc6jEsPX5Y45TV0hXQy,Hydrate EP,1X4AfBEtMngYcVObm6QKq1,40,https://p.scdn.co/mp3-preview/48c45d943978a593422ebacae30d910bf9b5a92d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Mesmerizing,0nJGnQziRhZZXfhwbKZIvM,CINTHIE,764H8zG8sTf5FPHWHW5bvh,Mesmerizing,00Kkr7HvUHsQkjDvmpsubA,36,https://p.scdn.co/mp3-preview/282e4398fd1498318d9b4c7e42d76db8e29130c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Revoke,1LtD3HgIONgw58BPPtVDOS,Franky Rizardo,2UgphhGSlC9QWgaZWUOCkl,Revoke,3PPuS09k2niazrl2QtA8xB,47,https://p.scdn.co/mp3-preview/922aff8fc4f4071339d744ed8f89bae98b403edb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Big Love - David Penn Remix,0eQ1j5MBA9Ja7zvtB9uggC,Pete Heller's Big Love,1KIT43QU793ZmRpuuQYrpy,Big Love (David Penn Remix),0EZHyVKxNr8mzKISGcd5Hr,60,https://p.scdn.co/mp3-preview/21a5951e9bfbe29b05696cb2a7cf0d57acb6f064?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Rushing Back,5YSu7cIVCuvbOkDeckjVhL,Infinity Ink,4aulLg9UvpHY9dIRqr30Qh,Rushing Back,1BU49cvjSWAqnab2VwZPqq,42,https://p.scdn.co/mp3-preview/a7aed8cb89c096dd28e50965e23f46a1edc10962?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Aqua Lung,5jYMVtyCvXmzf7phYEUywo,Opolopo,5WaobPZaAjGIIlabFX3I94,Aqua Lung,3RNH2HgqpM20W3KOtzLoxN,32,https://p.scdn.co/mp3-preview/cd1eb808af072cd2116865e97a76046366e512d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Tilted,6KgGRmZ3zckb95XEg4Q1fF,Hot Since 82,1tRBmMtER4fGrzrt8O9VpS,8-track,3ophs4Ci76rbhWzu2QwCGC,44,https://p.scdn.co/mp3-preview/2b0b31496ab9dd2f9e07be7df4788637629da288?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Soft Touch,4hP2L49EdfLUUqNMaZE1GO,X-COAST,5QUHrSea6F2nhn9veAq4wQ,XTC,5irkX3KhNhjc2t3B7u31mM,2,not available
25,Eastside Avenue,4vmngJmYQGsIw8cwZ1J41G,KETTAMA,3an9rnsXKPCAMlZgH4A0n4,Eastside Avenue,6yE0jEJWUgqIujxyNNRsRC,42,https://p.scdn.co/mp3-preview/ef52fce881a4eb913a16ef83ca85bbc6a8212ae2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Falling Deep In Love,2ON3wXwOHtZxN6dkpBZa6f,Horse Meat Disco,5MnToV7aAt2Zy9ag3DAsna,Falling Deep In Love,7H8W5hri2Wyd6gcMbT321M,44,https://p.scdn.co/mp3-preview/f3b4af0fb4d75a1c8ae0c0a45b9e9c24a0278e22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Int'l Swayers Anthem - Radio Edit,4UACOokrBAawfs584AMmW2,Big Miz,16bJAXH14R42AnpN0FtaQo,Int'l Swayers Anthem,3c3zrwLoOqY2god9LfWWaU,31,https://p.scdn.co/mp3-preview/5376fdfb3cb6726234ac57d9d970310767608d6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Lela And Mari,35G6DJGmimKwIVhr6xeCLb,Tilman,7aFxKbiPGJHNrcrGuKW5X9,Travel Stories,0Kb6SRz55D3nyaXwM0ugzU,30,https://p.scdn.co/mp3-preview/375e3e6628d1038ed1162e2c7a0bf0448478f563?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Promised Land - Gerd Janson Remix,43dAjx7BOWa0v76Hx9VeG1,Joe Smooth,4BIamAD25vwYldaOWTEsXd,Promised Land (Gerd Janson Remix),24vvQsAWlzMHShRQWOcRPo,44,https://p.scdn.co/mp3-preview/8d7c1976bd8b98fc01c17e8bd4a3c9ed4da571cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Dizzy (Joe Hertz Remix),2vHpvjpGvISOnDrhls2wd4,Tim Atlas,3CiuXDKttPUT0tWGHicFUH,Dizzy (Joe Hertz Remix),3xdYgfhCPGNKdEihLuEOiB,15,not available
31,Feel You Coming,3dxdD7raxoeDwMYEuL5zjD,Sebb Junior,0oP6v3SuOC5jPc5pGUQdsD,"Vibes, Pt. 4",1piUop1iVYcqHA3gdPGl3k,29,https://p.scdn.co/mp3-preview/8665f51974a78483f250494e38832b7209456cae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Lotus,5QgF9IMAI3CDYj1Evo8Rgx,Zombies In Miami,42ZWiibQTSxTJSBV7oziPy,Time Out Of Joint / Lotus,0j2siOlWxUNRFK444RghRN,34,https://p.scdn.co/mp3-preview/3222c9bb720fa0632689108171c121fea8b6fb06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Cruel Summer - Part I (feat. Zampera & Muttofunk),4YTO9Z4RSkQRfCoX6kYNrz,North of Loreto,6FZ6p42HnE0rs0GRRmXuLo,Cruel Summer (feat. Zampera & Muttofunk),0nrCAUDPvtB9w4p7BAZX3a,33,https://p.scdn.co/mp3-preview/21b277a16e66d987a9b648e9ba503111bf3c451f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Flambo,01W03wNYeydYYX30usFAqB,Nachtbraker,4mS8v6OGLE0fegaoJL1IVw,When You Find a Stranger in the Alps,2QG3h5pSAQJXLTME8LCake,36,https://p.scdn.co/mp3-preview/0aed1cb9f465819768cfab9a9b32d10d9012e3f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Point One,5G7UKEiJ6MXpsRShpPRarl,Demi Riquísimo,1GIv2BGriYO1IdownXWWac,Point One,0E0WPv8eP2oV1DNg9bbMxU,26,https://p.scdn.co/mp3-preview/3ea6ae3a4115ab96ccc126622277a2f69efc70e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Ritmo 6,1vJsWeFVitz10PLxpvCTOo,Christian S,0GQQT1VBcDpqgy4qJsRUqo,Tannin,3zUhds2roiqMd53y36uc62,28,https://p.scdn.co/mp3-preview/4738f4399709b51e2206f2ca08d2619eccf90fc5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Now U Got Me Hooked,5tIhRlNkApQJoDA8zhOBUY,Against All Logic,0ngUeF0DGpYmPec80MqSi1,2012 - 2017,1uzfGk9vxMXfaZ2avqwxod,54,https://p.scdn.co/mp3-preview/2fb2e35f31c583a7451ec5ddbe168f01a1d7ffd1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Missing Calls,4gws52rm1wH6szEe9wX3xB,Demuja,1LfqhJiCiHfVzrBOVaBXc1,Classic Warrior,3Rj6Gu47hZJaXXyeUBdgvO,38,https://p.scdn.co/mp3-preview/0748d879281d3fa6b21d8a6c318b253b1d51ed3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,"Let's Go Dancing (feat. Amy Douglas) - Dimitri From Paris 7"" Version",3xP4g4wokqBdvVtcRl0cwb,Horse Meat Disco,5MnToV7aAt2Zy9ag3DAsna,"Let's Go Dancing (feat. Amy Douglas) [7"" Versions]",7btD2iPHuxmIfp6S9kUECu,36,https://p.scdn.co/mp3-preview/4f3c53724ac48c9b0dd222d73d4aaaaf54783df3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Welcome To Organic,2RABiORxekaDV23sfNTjid,Mount Liberation Unlimited,5zVhnqOyQesaJrFSC0wShT,Mount Liberation Unlimited,0NGgNO6HINijyLI7aHreKP,36,https://p.scdn.co/mp3-preview/cbbe8dc6ef17b6de4e8144913c4a12ce10a20b5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Hello Happiness,3w3LyAknbXOnyppVCI1QeW,Chaka Khan,6mQfAAqZGBzIfrmlZCeaYT,Hello Happiness,0lyiUZeydSCaBrDGjJfzPa,3,not available
42,Image Nation,3KmHu1gUyUk4OqWOXxQbyp,Loods,1uF7AFfGahplhiaHEy9NNl,Steel City Dance Discs Volume 11,3MpKb5i6eknzJiJaYLyBgA,37,https://p.scdn.co/mp3-preview/b4b171a548b199e0b75782545b2e482917600c42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Good Life,0lIUHdJO48ZjhvE2ImRiHv,Jesse Bru,3TQ2taKTip3uFICbu5aIJq,"Happiness Therapy Split, Vol. 2",1gpGQb0m9LN5PuJB7SleZx,35,https://p.scdn.co/mp3-preview/14c0fad3cb9341a45d22a049f0f550ed73d2f2d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Look At Me Or I'll Steal Your Eyes - Byron The Aquarius Remix,40w3vYFJKrNIXJcLm447uY,Folamour,6pJY5At9SiMpAOBrw9YosS,Re-Interpretations #1,3wniBkxpRBdgAv712FYxFq,44,https://p.scdn.co/mp3-preview/98e83afc5f8609c3b89b4f3150957f5bef2c951d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Exotic Feelin',35otuhTpeAQPKZOjX88OFW,DJ Boring,3MkIU5jhXTMK9pYQTRVI6p,For Tahn,6yoSAs3TSWTu6q2kx6rXUG,2,not available
46,Disco Ballz - Edit,6G0EEZeCqESFEjsXrldUX6,Mat.Joe,38jpuy3yt3QIxQ8Fn1HTeJ,Disco Ballz,6FiStsYwNey389UG4cHMSb,32,https://p.scdn.co/mp3-preview/b5ae9885c6bc36f87839093e4b873071a916bf89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Uncle Frank,6XPa40pxRVm87X640T0WPG,Jesse Bru,3TQ2taKTip3uFICbu5aIJq,"Happiness Therapy Split, Vol. 2",1gpGQb0m9LN5PuJB7SleZx,31,https://p.scdn.co/mp3-preview/1a8a6b98100df1875d26b6bcd80d4bba359e3a17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Feeling Free - Laurence Guy Remix,1qoGrIuZEacVqDc5b1q0cS,LEISURE,7b04D0yLktCUpvxQBhmG7R,Feeling Free (Laurence Guy Remix),1UNhmev9bCxnd5yhCGfcvy,36,https://p.scdn.co/mp3-preview/8dbff95218961e248a4ab865b2d9ea7dac5e2343?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Zone Non Linear - Massimiliano Pagliara Remix,2KnZfpgBZLGaFol55MSoAb,The Juan Maclean,7gG6LkU3pCSQmCIPR4aSBt,Zone Non Linear,076VbzNU8R4nedbquk9HwA,27,https://p.scdn.co/mp3-preview/4fdec1411ec8213c4c63b5bae3bf461277fb62bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Straight Thru Cru,2vwFw8b76xQd8b0xaOVnCn,Big Miz,16bJAXH14R42AnpN0FtaQo,Build / Destroy,4brmdCd7GzfmI2jpn1vY34,31,https://p.scdn.co/mp3-preview/61b4bc39a596324dfa756f9604eaa6ccc40ce2db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
