The Indie List,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
33,Get Off,3oUWMpHLu81yylIqqf7OkY,Zuzu,4GcpGBggb1BbFfG4jS2Wpm,Get Off,5plkZBFj6kCqp34C6522N8,41,not available
34,5 To 5,4dbO6b4s1v8Fz1QKQBEwIR,APRE,16oEz0ihXl8elwxOS0YMNF,5 To 5,32BXUie6TBttZ1ZtnvAiKz,40,not available
35,Easy Peeler,4Ye6Wy3vHdUicAjfoReFkN,Phoebe Green,5qt7yk11uFzsBUC3CgbyNP,Easy Peeler,02L1gwIjuIYaZYWFQmuhLn,45,https://p.scdn.co/mp3-preview/68a9c0eb50afb1ae4a962b1f0e822d645547366c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Magnetise,2CVWeZSAQxGUfa0CIGPZZx,Juliper Sky,07DzaQTPGudt1m67gfA3fe,Magnetise,1pRPd0DHQ9LNaAjFDM6PJX,35,https://p.scdn.co/mp3-preview/47d9f8442ea29631d33e26f81c96f43f2e190432?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Innocents,7whOD9xNrO76FwHmE7QZ6f,The Wha,7hp4jv6hnnEpQLfhIu8Zbk,Innocents,3O9NH3soHJxumKWyFlOEni,38,https://p.scdn.co/mp3-preview/03845588beadab93d40c62e35b3ef409febe3819?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,The Dragon,6Hklbd3IHCx7th0EtVoQ2S,Will Joseph Cook,3YO2a6i2cfdFbgxk2HDfPe,The Dragon,1N8r5eaSX9mpliS7YmXlap,48,https://p.scdn.co/mp3-preview/024543bdfbc4e77c36ce1d65362b68fcf597a8d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Viking Hair,4ZwnEdXCxwIgo162crHHdb,Dry Cleaning,7DlD7rLG9MKuvXtTeACzkO,Viking Hair,5A6cIcDumyAqaLZdH1Kwse,28,https://p.scdn.co/mp3-preview/09d7c831805b1caa88d654d88d58b2f0a19f7e54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Is She Happy Turning on Her Side?,51q0s9s5Ddn9htxCoD65Wl,Chappaqua Wrestling,5S4qUw22ZF7gTPUEx61SyC,Is She Happy Turning on Her Side?,3hqKWP4c4CBuoPC9XQ1Bw2,36,https://p.scdn.co/mp3-preview/40df3bfdc92d14a744e0abd148b308321739c8a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Seven or Eleven,4zPn5EfZKKViAVAyIy598X,The Hubbards,5qU07JDAP3mSTpsbRcEbYD,Seven or Eleven,4SAiFKL3FJOLBrMFH8MQ8R,35,https://p.scdn.co/mp3-preview/7a35fad14c3aaa11a494e2b6124c15f37f3fa8d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Ice Cream Sundae,2sJHJITMt2SYuim7KvK8yG,Inhaler,6lyMYewq2SuTFIXgiv7OxH,Ice Cream Sundae,3NyslwappViTftGrmA1my0,52,not available
43,I Wish I Was Stephen Malkmus,150q1SWZwM3OZqqrs1cUno,beabadoobee,35l9BRT7MXmM8bv2WDQiyB,I Wish I Was Stephen Malkmus,2McaEXIymlCK8P8Dx4d3uu,41,not available
44,Excites Me,6pgxTRHgLESOETEBibo9Up,LIFE,2NWimAynlyqVUWD4YnJHlC,A Picture Of Good Health,3IE6Ccsnh7EEwDAwFegUFw,37,https://p.scdn.co/mp3-preview/972d9bd58f560e6dc5ceb177a5f7b1591ce7ebe0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Songs For Joanna,67UEOICx7sijOBGSQJGTDf,Willie J Healey,4T4JE09FOmRgv2Wzb6JaOR,Songs For Joanna,19x9Qt9MH68Nn4VtIdjB38,39,https://p.scdn.co/mp3-preview/889d31071572acc9b37c08db73ab65fc3979bee2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
