Monday Motivation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
71,Shout Out to My Ex,1pwo8l3Ko7idwaz4LVUEC4,Little Mix,3e7awlrlDSwF3iM0WBjGMp,Glory Days: The Platinum Edition,5DL2Z5x7UJsWH1HhE9j8nd,78,https://p.scdn.co/mp3-preview/fb17e75dea586966e6ff6d4a852453737a2448b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,"Swan Song - From the Motion Picture ""Alita: Battle Angel""",40MGrRtaiNC6OHgFulvhPg,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",74V3lWfJxGDiSlDV03Ku22,49,not available
73,Fascination,4uqNn56KFQ7NtJ35xWZKvf,Alphabeat,7Defmv25Kj9knpobhHIghm,This Is Alphabeat,5he3sVMKD72Jv59nNtOGLQ,15,not available
74,Aboard,30P4mjOqazLKIYfs5Rq3Hi,Tom Grennan,5SHxzwjek1Pipl1Yk11UHv,Lighting Matches (Deluxe),3NBXFA91U38BuJt3SlMwlI,51,https://p.scdn.co/mp3-preview/2c7995987caaa25d8a002433df2c5708e94814e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,0uGk2czvcpWQA383Im6ajf,Pretty Girl (Cheat Codes X CADE Remix),1XYA8eDvomdYTbQBzk0jT1,78,https://p.scdn.co/mp3-preview/58cb4a89b49f1b0f0a4e3eae532df7c47bc2a0b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Freewheelin',0fusqEZznLhqoNNdHllbgg,Jack Wins,5v8ZROs9c26k4yGMxUkebt,Freewheelin',7dGe2rKO7eIguBrhQUaplp,58,https://p.scdn.co/mp3-preview/cd326f76750db20d3dbfac2335d0018291cef55c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Symphony (feat. Zara Larsson),4b13SJlne61y53KSEwuQtD,78,https://p.scdn.co/mp3-preview/45e100c336ff5ebbc5bdbae4224f25aa08fa9ca2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Green Light,64E3ELRApb9HEpHGGikfmo,Lorde,163tK9Wjr9P9DmM0AVK7lm,Melodrama,1EWpZzB4gOjw0vqsxU8fgl,3,not available
79,"Signed, Sealed, Delivered (I'm Yours)",3xKnWjEZyEPhYreZwer4x7,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Number Ones,4Gnhm7AGwlXf0UxC2yxJtz,17,not available
80,Turn,11IJA30efHAJLO3qroPh5L,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB,Beautiful People Will Ruin Your Life,4kUbTSoTsbKP5MRdYMDBx1,65,https://p.scdn.co/mp3-preview/e85b7db61e6c5ecbccebf62a0df129a39c97d8ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
