A Perfect Day,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
34,Play It Right,3MkhZZkZ6ui6dIMv9NZ45X,KAWALA,58bHgbHOExsHSOGlf0uUkL,Play It Right,5S3EMhCj6Hs6HA7tEMzqEX,53,not available
35,Islands In The Stream,2xSJiMxoZ9eiqsWhfrdYjs,Kenny Rogers,4tw2Lmn9tTPUv7Gy7mVPI4,All The Hits And All New Love Songs,22frVhmoUMIcCCnBVIm66h,20,not available
36,"Eat, Sleep, Wake (Nothing But You)",30Ih2VLYmGIWameeQeyaDr,Bombay Bicycle Club,3pTE9iaJTkWns3mxpNQlJV,"Eat, Sleep, Wake (Nothing But You)",1bXVjlT2KJNwJd7NlWPPUu,69,not available
37,The World Is Mine,4xmq2DFdbkwVqimOKQGZU7,Samm Henshaw,1Q2mS59tFYLm2KGFoCgWN4,The World Is Mine,5g8JqJiCJig4cHawcL65Py,56,https://p.scdn.co/mp3-preview/c49670a9656e527892dec5ff91864f63e880394a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Everywhere,6i8ecOsx4J2Px1maiqzqoG,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Tango In The Night,1W5YP0TlKjFtb2UZJThLpV,29,not available
39,Don't Leave Me Lonely (feat. YEBBA),68e673a92s9HYTeZQD3sBX,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Late Night Feelings,6vdLdzihSWxV8FgWU2GSvA,61,https://p.scdn.co/mp3-preview/7493df16c5a41731ab01505466d0bcfd15c1740d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,All On Me,4AZN1N09JjHZpQulZe4TtQ,Wildwood Kin,2KOxHm9lGE9lFZDQdebD6B,All On Me,1YjO9cUgPpwMflFnzn2TL6,46,https://p.scdn.co/mp3-preview/ada5701552c9396d464304abc282fbe24cd53b37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,"Amy, Run For The Hills",6vtPH0NDTyQoDxDCigFkAL,courtship.,2OK16hAFRHoJiFZKeZe8A8,"Amy, Run For The Hills",4W50bDUilLndAoc6kqPtdw,52,https://p.scdn.co/mp3-preview/d0609dc7b284fc2e6d1f3379aae520ddff5e252f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Foundations - Clean Edit,4sf3xmAc9ZmjDSZasCeBSP,Kate Nash,5vBKu1igxFo6g1sHADkIdg,Brits Hits 2008,1LpU4BqciAzqIA9sfpz9Nf,12,not available
43,The Borders,4oZxIJoCv6UVuseYGoy0h3,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,The Borders,5x4JCQ9nQE7qQoKyWY7D6f,65,not available
44,Yesterday - Remastered 2009,3BQHpFgAp4l80e1XslIjNI,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Help! (Remastered),0PT5m6hwPRrpBwIHVnvbFX,79,not available
45,Don't Go,32CiNLIvBY0K8afcQ61UAX,Orchestral Manoeuvres In The Dark,7wJ9NwdRWtN92NunmXuwBk,Don't Go,2e91pcFU8GQoajXlWyYwox,50,not available
46,Dreamland,42tHtwSdwHhpgMlOGI9lrE,Pet Shop Boys,2ycnb8Er79LoH2AsR5ldjh,Dreamland,6OPCHjPP70JkS0hm8tIyIB,29,https://p.scdn.co/mp3-preview/4f6c6cc2d98745513c18f647220e9169c09d1565?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Things You Can't Change,4PBz2XQqKs9KICMO69iaiH,Rhys Lewis,4T2k9bgIoC8bbqjqiEl9vZ,In Between Minds,5tsh7OJm1nTJeWpkbTA0sC,66,not available
