2019 SINGLES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
14,My Mother & I,2KYaAF4k5YOvbYmlyHazfO,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,My Mother & I,4lehyaS1be4T9U8Wu1aaoB,46,https://p.scdn.co/mp3-preview/8e661e8bc22bcae321a4e73536b8b985fe4d13f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Loading Zones - Recorded at Spotify Studios NYC,29g4GrixF3dLKhiBiyDXS5,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Spotify Singles,682eaYOi2FDTTnDxnhcelE,47,https://p.scdn.co/mp3-preview/b4bf67a6b8f534a710cace9e450135b35596fc79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,The Weekend,41s19GuE9OVOQuDubCMhhT,Interpol,3WaJSfKnzc65VDgmj2zU8B,The Weekend,42Iu8fkTVdXj0OXhl9to3i,12,not available
17,Rushing the Acid Frat,5F8P7xCT9u7uJnCald5UOX,Stephen Malkmus,0WISkx0PwT6lYWdPqKUJY8,Rushing the Acid Frat,4GAxZhvF4UihwXOGAAs4SX,23,https://p.scdn.co/mp3-preview/c3623d811fed88b2d18778379eb89ded55ba48df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Fine Mess,6XisRktP7FOVIC3T5IbAxL,Interpol,3WaJSfKnzc65VDgmj2zU8B,Fine Mess,6XQ7YviCGGRwFhfavNvTsY,11,not available
19,La Vie En Rose,0d4qCmNoQ7D8Hv0azn7Ozu,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,La Vie En Rose,238gzyCPHIjz1GxXqdOY6T,54,https://p.scdn.co/mp3-preview/1339464e08be1f70853b9ef6a355cd7e689b7269?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Vagabond,5gDZbPycrRPF5mC4voMg89,Steve Gunn,7uLXW75DlTRahz2WKJZGeO,Vagabond,7M1Yb3WGDWPKU2tf4Q3kX2,25,https://p.scdn.co/mp3-preview/136d82d4bc7ac07973d18307ba1693c9ee156030?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,No Expectations - Recorded at Spotify Studios NYC,6M6YuShdXjMl7z3qLt46Zx,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Spotify Singles,682eaYOi2FDTTnDxnhcelE,46,https://p.scdn.co/mp3-preview/d2f7e7a018f431509aa89761f04f5a95da75e753?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Viktor Borgia,1JjjTZ91nzz3Cdgx9ZfUEZ,Stephen Malkmus,0WISkx0PwT6lYWdPqKUJY8,Viktor Borgia,597QUCCe7wc6VZlNQh2El2,19,https://p.scdn.co/mp3-preview/fa3319a3d824a979a7ae84e2b874b0a6dd33f23d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,New Moon,69RVRzm0NGlg1qi7GgA5J5,Steve Gunn,7uLXW75DlTRahz2WKJZGeO,New Moon,7fTjGWzWtuslYB5DBzOrZC,33,https://p.scdn.co/mp3-preview/f70dfa8722f8d555fff300e9809b3a8378922d85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
