Acoustic Cafe International,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Fluya,428Td36ZF4FyzY6lKrHczS,Carranza,3GxtrZqcvn42ODpJi0EM22,Conecta,3lXdJ1Rbh6bDkmEGzHGhyn,38,https://p.scdn.co/mp3-preview/9df33838845940c131d3f1a9a70a6b2442d791dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,No Me Caigo Bien,1uBgbgO9T2EYbWCnzxUNTL,Caloncho,2z3KntXLyEF5Lvz1kpdBoA,Bálsamo,7av9VVRYT6rgVRshaVDEPQ,45,not available
12,Vor í Vaglaskógi,2OdpZeTpnbqPqBrclk2pib,KALEO,7jdFEYD2LTYjfwxOdlVjmc,A/B,4he4SQup02hEIQdwhZlZlk,59,https://p.scdn.co/mp3-preview/8d9ace92244c398d4a1d487437fbbd4b42884a66?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Una,61jbOgZPpaHXKJy0kqGXjt,Elisapie,37Hkw3PjSoS9k06WwMibM3,The Ballad of the Runaway Girl,4thL3jIVt8oFNZgvnHslkU,33,https://p.scdn.co/mp3-preview/718ef7b0daa58ef3c757de21fb4c43cda1babd0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Tune Kaha,1gWtHDe403RuyZqhvSRcv8,Prateek Kuhad,0tC995Rfn9k2l7nqgCZsV7,Tune Kaha,1sXF26ED1bQT76rFEvPwaP,54,https://p.scdn.co/mp3-preview/3b7e64ff384742c110da750ab464e723b4c328d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Sans toi,2TT8MHvlDdF8iIv59EkApc,Geneviève Racette,3puoZ6FIQPCCA2mX9Yh6fU,"No Water, No Flowers : Part One - EP",6tMGm4n8cfIBK0dQw6tM1C,37,https://p.scdn.co/mp3-preview/183016fe10d3de3e856d25cdf3cf36b9a02d7143?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Ndokulandela,1kQjyyI3xZixtByFizxlXE,Bongeziwe Mabandla,5upKpIk1pv0hh0u2gwblwy,Mangaliso,1fXiO7h7dDB3RBG13jLh8A,51,not available
17,Um Tanto,1BQhXbN8AzvHQrS7SvH58x,Suricato,35j8oMehl8Q9mLnVmkVqMC,Sol-Te,3wk0JZQ0eTP1rpiAlMpuV6,42,https://p.scdn.co/mp3-preview/635f21884129daaa4124575ed5fb3f12f9ae52ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Amor De Mis Amores,3USQhrAZXtF69SsUKnB7IJ,Making Movies,1wFpAE8HCGoqaLjzRO51w9,Amor De Mis Amores,1NVaAOjdIgJVjkpa7QCc1I,42,https://p.scdn.co/mp3-preview/88b4a79a77a9f6d76feb7567d30518ab4876b41b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Californie,7lfazyv2rEYZpwVC5gGxyO,Jeffrey Piton,5CXucMUUUbJWYoyY30JWK8,Blind,6eUYntcnw694NcOd1tEpmT,36,https://p.scdn.co/mp3-preview/296a49aaf45a21a1ee32b9340b82ad47d465ebe7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Yimenda-Papaguneray (Turtle Song),4YzS8T2m9PI1suCJpiACRi,Emily Wurramara,0OKjEr4iSUvgGSebJakjNF,Milyakburra,6BPIK9SvnYZXPQJlLqh0Kp,37,https://p.scdn.co/mp3-preview/0f5eaeaeeba870ed7c0d0d67706b7b8ebc60df65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Danza de Gardenias,4AaSDRYqAnlVFVmNG7xUIe,Natalia Lafourcade,1hcdI2N1023RvSwLzTtdsp,Danza de Gardenias,74d4gxb9Qk0LDL19K4GQTS,5,not available
22,El Frío,3nkA77oKDQcxbz9QLQITwa,Zahara,7uLePkJ2f0MwEcphODfkuu,Santa,7kcc8r4mutJi0jtptelGQK,53,https://p.scdn.co/mp3-preview/3ae1c532ba0f9ee8f9cfa11c05c513fd576c99b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Bússola,4DJYm5wansT0fxA5y7q34G,Duda In The Sky,7JMMxGGAQVHUU3KAGHVUFu,Bússola,1RvKMfOJLSPhFE3djjIXgz,34,https://p.scdn.co/mp3-preview/3c0717e872f6c10b7330089c63f36cb78d6e2dd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,La maladie du siècle,744sJKmbuq0PxKpN4v0IiM,Marie Claudel,1W6ikPowiwsdGChhf21l0A,Ne parle pas aux étranges,2L2fpncQVPAS1VZTnnEN9c,35,https://p.scdn.co/mp3-preview/6c99fa9a2ab3b63a760385394cabfa4b2d8139a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Moln,0TCfN6JFmBoH7mDWt4gMw7,Menke,56fiEsX7uP1maw2NajHZXJ,Moln,7iv4uawLxSeuUE9mKWZZDj,8,not available
26,'S Ar Maidin Moch is Mé ar mo Leabain Bhoig,44iDw81DugB0vFPL86XoBd,Muireann Nic Amhlaoibh,0kmDsPHHxquChPOywNcoF3,Ar Uair Bhig An Lae - The Small Hours,7MuIL1yaYFof17gjVzPr8T,35,https://p.scdn.co/mp3-preview/c93733cb05483ec4e621f659fda2fef95b53c811?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Amwaj (Waves),0SS2q79Zm8IoygBl1ocwmZ,Amira Kheir,5WZN5v7MdgFPu29h88MWvh,Mystic Dance,3xQYBIIhwi1Xmts6Y8lgSq,34,https://p.scdn.co/mp3-preview/64da907f93437386282d862e1185983fa91f38e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,La solitude,6ppIPH15vgdYSHnkLNZXZD,Caroline Savoie,0XTtTfY9lTNs1wPgpICfBb,Pourchasser l'aube,33cGuxUBIJ3UA5zbDwEIFp,34,https://p.scdn.co/mp3-preview/678352208f4bd358d2959ff3379363c778c38ae7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Cara Cazador,6gL0Qx0WpNLyV60gipwNUQ,Hola A Todo El Mundo,5jVipo1CdeIIUw2tDolYLj,Estela Castiza,3J8xLyeAsKsYBfUjEqf8PG,4,not available
30,Scheef,4ijUjUlflzdPvFo5p7HiGa,Eefje de Visser,33KABng8GO42ojFJVcABxQ,Nachtlicht,0qug12J5BsUVYUEDCrpN9T,4,not available
31,Nous après nous,5BnsjduILegn9lyXBINBh9,Les sœurs Boulay,4x2kecgGRpDooou3CIYnlr,Nous après nous,2n4xhHEEmloZT0tNTJLQai,44,https://p.scdn.co/mp3-preview/f86259f8af8da2a13f9030c9269675fa1614cb30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Correcto,4OUQ226JV81vI2Tcix0Z5a,Jero Romero,6TCN68dPlpAJMADKP3LmYh,Cabeza de león,1aRlf7ZVIT5L7MwciHcS8J,46,https://p.scdn.co/mp3-preview/23d9e9c00b9f013c48e47cbc966ac9d45c2be5ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Amor Papaya en Invierno,4TZ0kv6Elbb4cTsoNXxBZJ,Carlos Sadness,2LCcy9CZWwZ7Vvykt8IVVq,Amor Papaya,4SedZWefA0qnDU6mnDiXI6,57,https://p.scdn.co/mp3-preview/7244b2332963b262b5f668bc181833148e08532c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Peu importe - Version Vingt,61Nld8rWwF2ExScQlOn4yq,Catherine Durand,5AmMLTm7GBQ5AHCGioFshD,Peu importe - Single (Version Vingt),4SnWpNEdVWaSmu0LFK2Z3s,33,https://p.scdn.co/mp3-preview/607a57475934b3a876411ad67a89e140a5058cf3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Se non lo sai,6IWAa1YGn96Bj6kGB3vo5H,Dente,7uGQOfydy4DpqrM8XhyIdt,Canzoni per metà,2brf6wJ1qODamIwsFhvBn7,37,https://p.scdn.co/mp3-preview/310d65f9fc340f951466b8f2a13109be25c9f83f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Intro,1pmnRWyl6HdWtraKmMe3gz,Bongeziwe Mabandla,5upKpIk1pv0hh0u2gwblwy,Mangaliso,1fXiO7h7dDB3RBG13jLh8A,41,not available
37,Seis,4OGfuMGiI9FYgE3KcSoYDh,Fer Casillas,1zl3p4VBfqqHGikw3Ad46R,Strangers,2EL8kQchCY4oBASQDN0iaR,4,not available
38,Douss,25h3OQkqMQkAla6DUqu9LD,Yasmine Hamdan,5VElAWe58JiEzEl4vtjw7J,Al Jamilat,5Z2ymZUZzhYP2Tnqi9D9Py,27,https://p.scdn.co/mp3-preview/69ca9b7c8daad49dc1102d02394380b5ad7dc4b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Furnace Creek,1tzBaHuYYf0k4s0XSRD2LM,Chloé Lacasse,1HVLJVmE9Pc1XPZ3P5sZbz,LUNES,3mV5Ke3VjwZhuDQMsHmeYY,33,https://p.scdn.co/mp3-preview/35a1261cfff8d229b9122f900f498167b363bf17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,He Aha Ra Te Manu,4V59xkzDRDWaxuZjYiSnf1,WAI.TAI,17m0VwkZRhiPJf0QhiuOzB,Hoea,1gO1v7p8sMBaf3JVrUHlBj,35,https://p.scdn.co/mp3-preview/2971994ad380b64b4994ead20c9f335335b289d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Det som reparerer alt,1vZE6lTrW59RacRKUFbCui,Siri Nilsen,1tN0vK9jF9KVzvJHzWQaUM,Skyggebokser,7nxA1oZw19Uwdunrt9lUpq,4,not available
42,Bunker de tes bras,6JQaIU7lh7JwlWdlt0MTX7,Nicolas Gémus,26G3zw1ksovIyzq8pYRjXj,Bunker de tes bras,322hjIWhrIZt9ExZKWiTG3,33,https://p.scdn.co/mp3-preview/1f414c523fe5c6ea6fe46a144e7bcbdff544ac4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Gotham City - Akustik Session,2lhELbjgGi7B0YO44wIaRs,Antje Schomaker,7Kif1sqh6J226OZFwUgt8n,Gotham City (Akustik Session),3fPQv1KiawdYkFIkax4Ety,36,https://p.scdn.co/mp3-preview/fd6d4c3585702cc3f5b199d3d62ce2d47c2e7881?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,L'amour à la plage (with Alice on the roof),4ye35w29eey363ETpWYN88,Suarez,6D40RuzdpIC5ip4yL2UUvD,Sur tes lèvres,3KzsgbbJAJYPQWG2PiIhYV,36,https://p.scdn.co/mp3-preview/730f9ee94cf846f0e00ca7e6724b7d072d1473d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Dili Yok ki Gönlümün (Akustik),1tCwNW228v48vP4PqPZAcu,Sancak,3IiSjfHNSsynS08uC6w9u3,Dili Yok ki Gönlümün (Akustik),3lu5y5djKGYSaRNqgvWMBu,48,https://p.scdn.co/mp3-preview/f3b14e6baafccee6bdbfc703f8cccc7db6c7ab5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Al Norte,67fUnCQc6m44QT3KnWzHZS,Silvana Estrada,72VywtXEoONiBLNu3ibGI7,Al Norte,2l4VdF6kbTeN26cG4c1cgk,5,not available
47,Silence,57qGpleOUN8dJqBLHcUaSp,Jordane,53w2o1UZ53Pc5gir1VuAa1,Silence,2K9r66llU9ToZD2RJDKreZ,33,https://p.scdn.co/mp3-preview/815d5b89e906157263ae825db07080a771c9f450?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Hier und jetzt,0t9dprvMbyS8AlT6SsYimg,Benne,0eS2ZGOnJi5Cp4ASTy4aBc,Alles auf dem Weg,3ZeKcF7KMlN9Lf2IRXrmKY,4,not available
49,Jungla de Asfalto - Acústica,0L2rbBHxOiYkOmfab6ymPY,Au/Ra,1eMmoIprPDWeFdB1FxU6ZV,Jungla de Asfalto (Acústica),4PKNNrYVTrHJl1tvZsTjh4,4,not available
50,Dich Zu Lieben Ist Einfach,4XnHhhPJxHG7JznWZ0S0a7,Gisbert Zu Knyphausen,2tDVKS41XWT3vvy4A3ZbcV,Das Licht Dieser Welt,2hJye4UZnpAyo3FWIJdxKm,44,https://p.scdn.co/mp3-preview/721f84c1862f42f1841ae83e55344f9354aefc49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Pourquoi pas,5ZWFl0ajpIOKK91p3fV9Hc,Mathieu Boogaerts,0LlWS1VC17Bpd2RUd6enaQ,Promeneur,4F9D7C0ypc3LcKC9TnxUXk,4,not available
52,Que entre el frío,12OU5vEQio4792IRVMr2B6,Niña Tormenta,0KJEHAoNtPaopqOHD6UIkY,Loza,0RAoYFdwdNtRG19pGJK8Be,43,https://p.scdn.co/mp3-preview/757ed0e09772b6ee8c0da3da7b29b5c09db710e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Hexágonos,0ncTrqxAlEr9j0jQE3xlsa,The Bright,4hyy9Yw1ZxHW2WndWc92h8,Estados,1JFMr3qT3d1ZHJjmHucVor,4,not available
54,Sola,6UyBc9AcxUk9wQ5qJGGWOC,Lovely Luna,2oiZAAYFPCML72PNdfZqSL,Las Cosas Que Nadie Debe Ver,4zocu0hTsH7FSzlfQRF2Kl,3,not available
55,Half du temps,26hiwRwD9Kb0WMrHcAZgVu,Les Hay Babies,19MYB7a3GOTcbnZrl7juwx,La 4ième dimension (version longue),1OqUWoaoFmKN5MDhhUdAaf,19,https://p.scdn.co/mp3-preview/a3e0daec4ec02e9a8bc438bb3c0bed52c86077c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Si jamais j'oublie - Sur la route Live 2015,6uxiD8HSuayRqbKber9AsV,Zaz,1mbgj8ERPs8lWi7t5cYrdy,Sur la route,7a4iO4WRBANccDV4HHF0eg,44,https://p.scdn.co/mp3-preview/ab3a9d632cd21621130170357bb91430561b2f3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Luna Llena,0TWly1kFjXtCFSy85IICRO,Simon Grossmann,6t38N9HASTn9ca0PIxfReQ,Ciclo,0PdHrBTszQMv7M2nqhMy6z,5,not available
58,Ja må du leva - Akustisk version,1Bh4HmorrjRSTAMgyHTkL5,Darin,1rKFeRryEci6cxNkdvHzNr,Ja må du leva (Akustisk version),0frL0AdL5jK1RisL0nCObh,38,https://p.scdn.co/mp3-preview/71ba7e1290ef4ed4e8afc1e1cad08dc6aadfc049?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Vi lovar (Besvärjelse),7o3FCfwainpUiPMF4wyGdP,Eva Weel Skram,3u2Sz4K3PFfalhDU0vSHT3,Vi lovar (Besvärjelse),51wjspTv8Bw7qy3AmgljWI,4,not available
60,Je t'emmènerai,0e1tpQ8A7L2BTRpXXs8znZ,Willows,3GQOicT0GmhRlWvWuUKfoI,Willows,276kwfvHvCeNJYHGhcx7jj,32,https://p.scdn.co/mp3-preview/56fa00cc4dd2a8cc8fcad0aaedd08131b00c4061?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Les ombres,2OpcFQiaSGYZN0Mov85T56,Ian Kelly,7ojsy2hVaM5udoJQEVVLow,Innocent - Musique Originale du film,6PiK2uOiaeIiTFHXZywdCd,33,https://p.scdn.co/mp3-preview/bcd48e93a3ee4b9d5d93838aef388424717932f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Eden - Acoustic,2GzSCI6yilQwL5VEKsDrMH,Julien Doré,6jStlKLflTMUN6BajxrNlj,Eden (Acoustic),3O9yPvefEBy84BI6GnlmAK,35,https://p.scdn.co/mp3-preview/1eacea028ad5ecdfc76c5e65ac4e9ea014e24cee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Babi'r Eirlys - Live,7Ja0dJZ2rTAXAVpEevdeSs,9bach,2NIcUSfuUPORqM5CaXZlIO,The Mark Radcliffe Folk Sessions: 9bach,0h3GxYv2zEhNRYwKoA8goa,32,https://p.scdn.co/mp3-preview/78b9720da071e5fb09f69de77d1e4bd48bdc7947?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Voce piccolina,7jc8hEfxUGsxcXP5zm7mZs,Dente,7uGQOfydy4DpqrM8XhyIdt,L'amore non è bello,0aIgYf1IsWL4KOziCsApey,10,not available
65,Paistin Fionn,7pFgfFCjCnUBaXxRDXNp9x,Moya Brennan,3ZvmmlF8EMEpnnK90jfuJv,Timeless,6OgHHzJmrZUtZ6I6wT43sR,32,https://p.scdn.co/mp3-preview/2392ae34f7875e9aa508741071fbe835f35d5d6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,"Lei, lui, Firenze",0kzJFJECfl9zssMYCocW8X,Brunori Sas,2p2SZoUTvT4dbL2xXXJXwy,"Brunori Sas Poveri Cristi, Vol. 2",7J3rsjT9C4mU0A1A77AmEN,49,https://p.scdn.co/mp3-preview/cce4113aa96e98102861db7af0f8d911c6ecfb32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Me Quiero Enamorar,6NLRl5GwqFQ4JorXChVSZS,Jesse & Joy,1mX1TWKpNxDSAH16LgDfiR,¿Con Quién Se Queda El Perro? (Deluxe),6BVBG97h9uAFn1eOwckiwH,42,https://p.scdn.co/mp3-preview/51dd56a15f66ec8b210af2f9bfbd8376526bb5b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Togsang,5qRFboz2Q0mEoDq6ooDqFu,Moddi,65ltPnFGbTfv1sFjVOZBMM,Kæm va du?,2hQbpu7uDSdTXAnPf402lH,4,not available
69,Beni Vur - Akustik,3CPBzUohQI0fVoFFMSZouO,Deniz Tekin,4TdvNk4wmn5DgBFiLDeCj0,Kozakuluçka,4r9q5J7gI9GsX0Q4mukEIV,60,https://p.scdn.co/mp3-preview/9aad80e58191b3dbc42a612cacc99597d0a0a525?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Woyoyoye,2xHGMQ8hEQ0jD7jUaKQGSE,Daby Touré,6rbNtMkifOcNCq5aBa6L2O,Amonafi,2gf9G7bVlOTZOXCbSwYETN,34,https://p.scdn.co/mp3-preview/9debe4077e5d3990733add23923d01261dcc8bc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Opa,3j58iXPuXKjKMqzkykgHli,Jona Bird,2b6SFRAJT7aebTHmAEl9MW,Opa,5lGA0hsmixXDTcpbMigYlS,32,https://p.scdn.co/mp3-preview/d7ebfecf9a2abbc570e2e8f7f9bfeef6c705a234?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Grand-Maman,49Q77ydpqxHX4HkU7XFLyO,Amylie,1zUJUkYOBLMRNyot7fHae5,Les Éclats,5rTQvNiLk6EIUB1B2diOZ6,32,https://p.scdn.co/mp3-preview/8cb2ba3c48251738e5bf1c48bfdcd51f75d93687?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Hora Bruja,3KjUz9upExFV7dxsm9P45R,Cuchillo,4HUoMCRLwJTGvuzcevaLVT,Encanto,7ghVkkWsjzTFna6lR0Axt1,32,https://p.scdn.co/mp3-preview/f6ef240400ba8d6da2c771459e8af435e5b451c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Doremifarklı insanlarız (akustik),0eztsnxQ3UXNl5O6n55ZYo,Canozan,4MUb8ilmrxyePXwSkG31lC,Doremifarklı insanlarız (akustik),5X5RTIUP00WzRbGurJOoqZ,43,https://p.scdn.co/mp3-preview/7dacb2156b21a617974dd53b5e95741d22c68425?cid=fa83a2fec7c440b7a2795d600d6b2c7e
