momento. alternativo.,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
26,Carry You,0u4rkpmNtgcFxYHepnVF4v,Novo Amor,0rZp7G3gIH6WkyeXbrZnGi,Bathing Beach,4vGuMdwnxc6X8izbVS6MTN,66,https://p.scdn.co/mp3-preview/e00236fe911d71e6e61384100e5543ccebb829cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Esta Vez,4flevcNPaJa6UHzNrDLM1o,Surcos,2IW0xn9rXParsnatyDv2B7,Esta Vez,6nxrDzMCznqcfUovTbZg9T,21,https://p.scdn.co/mp3-preview/93bad6c0eec8cdd6a9f566b9a80bbffbe6377b80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Girl,0wcHV7AT77zzyH4ftt11vh,SYML,6AyATGg7mDgBlZ4N5uNog0,SYML,2Hz6tGm9vVbjYWgpANWp5E,60,https://p.scdn.co/mp3-preview/0efe78920da988dc549c2c94859c9c1c99aba597?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Help Me Lose My Mind,175cWIYsv1G8WSHjSV0vue,Disclosure,6nS5roXSAGhTGr34W6n7Et,Settle,1ZFGRj11NnZHos8DUbbpF1,12,not available
30,Slip,6Jz6K1LBGmYqirDbkk2y2K,Elliot Moss,2xGCGoulmU85qYdpb2Z4xx,Highspeeds,1UsfnwNcGRQN9CL5nsygXW,56,https://p.scdn.co/mp3-preview/6371b3113cdcbe309541cc2174c3b16a6b8ebb0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,The Barrel - Radio Edit,3HJGY8vPq6zI8mEDl6a6K4,Aldous Harding,3lmR0qMiGuoIF9UC54egcG,The Barrel,266my6GRmoIUzp0eSEJX6Q,35,https://p.scdn.co/mp3-preview/d462944b9be5beb66d5c783324b29a22aaf06409?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Vamala,0FhN1NFH7DyvvLlrxeNdh5,CHAMPS,5laHtB7O6FKKRzLQOKOMEE,VAMALA,3jNBqadCefa34pfxqWq8yy,36,https://p.scdn.co/mp3-preview/e8771de340b292fad8c96a857f3d7477c6a5453a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,All I Left,5lkWQFr0ooEyctwy4UIED3,The Riverman,2mh5dGS6AWdga9P6tTcwKe,All I Left,04UgH3h1k8Vg5s2OxBntlI,23,https://p.scdn.co/mp3-preview/e95af983b449dfbf101c35312f73b2e0a1e628b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Barco de Río,7KB9U2isHyY9ghnOtHOiVU,Planes (Estudios Universales),0NaSbSzRWdh3PZq0TVhgVR,Las Américas,5Bl0K7hg8AKrUzOfEBN0zt,20,https://p.scdn.co/mp3-preview/52cfff14e802395797ed196f95513170e91d4414?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,No One's Gonna Love You (Stockholm Version),371akJ9fYgSkrAFMyWoTdL,Band of Horses,0OdUWJ0sBjDrqHygGUXeCF,No One's Gonna Love You (Stockholm Version),5Dw1GPGxKN6LfNoiFj3LJY,64,https://p.scdn.co/mp3-preview/9e36001f7571590b396215fd4400307868f96b53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Corazón Negro,40MCJ7vMPvmENFf7yDBtmi,Aida Bossa,67pueAIehGjbKbuwPQ0Lyv,Corazón Negro,6jSPaMf0h8xKnp4kgRQnhU,29,https://p.scdn.co/mp3-preview/79c702989dbee92e9319cb1f0dacd0ca7794a4bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Arrow,2EPfx2mG5zHyZAbI5ADuFb,Grapell,5IBYTeurozN0bUDkK2W3HW,Arrow,5MsEsUOwtIoFMmaX27vIAp,0,not available
38,"Crush (It's Late, Just Stay)",32rtQtOYdjDQHi3C2igdIY,Yumi Zouma,4tPyCwWrsvZ8OKYl7QRavL,"Crush (It's Late, Just Stay)",13pl0U1N0SLUe5BUZ3qcyi,9,not available
39,Clara,1BBMICVra9XTh2TBglF93L,Nicolas Godin,313G7P4CxkVyQGNFfxNOpC,Contrepoint,4ybkibALy34MQGj8qFJmjA,26,https://p.scdn.co/mp3-preview/18bb1cdec8c52321dffa8322e31d09a8d8521729?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,I Tried,0EuZumOdw3uuOAPFXFd5xJ,Folded Like Fabric,2Gt8bzahH9RSMrH6heY2vF,I Tried,5PRv872BZculxCrAQfFOf2,35,https://p.scdn.co/mp3-preview/3a168bc43fdce0be5258816f88a2e63eba925631?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,The Last Day,2Hp1YqTUEHLfCFh0yzk0E6,Moby,3OsRAKCvk37zwYcnzRf5XF,The Last Day,0ASjlOOXJF6fCsvB6fzOrB,1,not available
42,Images of Love,6gkyMZZTAUm6zRjTxnFQx2,A.A. Bondy,4l8UbJGiXxbfyDJPvcVH23,Images of Love,4Ihfgiz1TM9io9orMugVR9,3,https://p.scdn.co/mp3-preview/d982d2b088409ca83d7d494fdfcc9745ad3478a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Sin Triangle,2fDdW9LPYBD5KwYXRYpWce,Sidney Gish,2orBKFyc84jo9AZH5jarhI,No Dogs Allowed,3jgktTCGathax8HKW4aGfg,47,https://p.scdn.co/mp3-preview/98adf52d6cadf2028b7c1b0bf0c050c75fb6ecdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Confirmation,5jema8R5imgDWvzmWOEG59,Westerman,09s6bLEw45wioK9ytf3nsA,Confirmation,1HimGXDS3893P1AWeUHw30,52,https://p.scdn.co/mp3-preview/6bf461a486bd667798409f4942d0186fbbed507f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Swim,4RWNQuesitteJfzWCyuSvY,Dizzy,0g3BS5QoR5r6pOAg1tvwXv,Swim,66gQTJ6BUMDwLpVK5zS42o,29,not available
46,You're Mine,4zlHIrYB5OaVPhjwstXXrB,Lola Marsh,56UIK6wmbbxuQ6VA20vrWD,You're Mine,3Ked6cTom6ZPldZaXZHM2f,0,not available
47,Alma mía,4zwnhH4aFWiXGzUBInMrK1,LaTorre,1jiEzyMQwfYcQtp19fwOTZ,Alma mía,74EbdS6zuGWYOSV1EVqYJZ,28,https://p.scdn.co/mp3-preview/12224fe7e05070f8e1d680cf0f4f90dda2bf42f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,You're The One That I Want,1dEHQktvcM8vCCyI1x7yVB,Lo-Fang,5EDkJDlRNcMs3ewliB24QA,Blue Film,66BEZ127VgaQbxxRJijFZg,57,https://p.scdn.co/mp3-preview/0bc3b40878bd3019e366710704998712001a9843?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,No Woman,1CLmFKW99S8eJrebO3GB04,Whitney,32aUoW94mJ7xTJI7fG0V1G,Light Upon the Lake,5yMCA6HdFAeL1aqUjxO3MO,66,https://p.scdn.co/mp3-preview/8a17974e9e7b565996055f4c6d0d0f9d45aee429?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Don't Trust The Rain,0A2WbCsNs7ysgwba8uw4JC,The Land Below,7lnvtlHoC0ff3Ce4bxnDfL,Don't Trust The Rain EP,0x9MDt3YI7JpKA28mwbBHo,0,not available
51,Slip Away - Recorded at Spotify Studios NYC,2QX2OeVkckAavMTJtbV7GX,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,Spotify Singles,4vucVTj5GjNV0MllVjsxo5,34,https://p.scdn.co/mp3-preview/9d1ca6db4fa7e51e10ac4868680af77ed50616b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Scorpio Rising,4NGfPPgXHRssaWpfbOj6rg,Soccer Mommy,4wXchxfTTggLtzkoUhO86Q,Clean,36NLDBi2kX7XRHnyLzLOS8,49,https://p.scdn.co/mp3-preview/74eb2657f9775567e64e60bf840b39bf1b0be6ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,#88,1jjwFHRnfgBTJ049RJz8CQ,Lo-Fang,5EDkJDlRNcMs3ewliB24QA,#88,762yasBf937Q3bBi2xBdhu,49,https://p.scdn.co/mp3-preview/3454e2f46f61df9c5535a6271cba7589827db152?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Now & Then,41oqThgUF4yiNz77TazXtl,Sjowgren,32Ko3nL0210QAt14S3Rs4Y,Now & Then,6uR4bPGGdQHDphbyubK9zc,55,https://p.scdn.co/mp3-preview/1eb6cc4d63058531cf850d0a7269c3a5e4991d6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,The Flowers Beneath Your Feet,7pr9KSYXUyN3Shqxe3pJOw,Laura Carbone,1B7rAbHP9XR1SV4k9WauCh,The Flowers Beneath Your Feet,7KRcMqkdiWhAFA4sx19YUo,2,not available
56,Lonely Press Play,5lEIBqvpZEGhjMg8rdVKeg,Damon Albarn,0O98jlCaPzvsoei6U5jfEL,Everyday Robots,5SzhltQSSi1HUMi5cveZIZ,45,https://p.scdn.co/mp3-preview/48b7dbbfd0bae6f749eaf6ec981d96e46ac01c0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Seashore,5pJ6NQJEubnWW7rkXvWnbI,Steven A. Clark,2EwZTE4cjewxoigHD5Y3UF,Late EP,5UZLlJch1J5xs0QAKyhW6o,25,https://p.scdn.co/mp3-preview/6edf31ddf866b93579b8ab9e202c8898791810bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Cuarenta Historias,1I3z9hrfutTB8dttGkSFn2,Pio Perilla,3mto9pTx9i31Xqr68CzgX8,Pio,3Id5ZcjHSNFj43zbCqWLKA,23,https://p.scdn.co/mp3-preview/105d349e74fd8b4486c101e206c438d7f42d21cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Evergreen,7Hx5WkGAmT5a1cfNgZKriP,Wye Oak,5SjNVG3L9mgWQPsfp1sFDB,Evergreen,3b0OR7EuJz01TQ9ljDj2Ke,36,https://p.scdn.co/mp3-preview/4f8b7d79fff571561e2b872c5d9fb31b49dd22a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Billie Holiday,6jOpA0UG23yw4MyXQKa6iz,Warpaint,3AmgGrYHXqgbmZ2yKoIVzO,Exquisite Corpse,6oRX4P7faDMJAk0Of2uh5i,59,https://p.scdn.co/mp3-preview/4ab3af93b65283c3c4b76cc8a88b79938e6ee6f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Warm Foothills,1YUcTZ0ehoHY6G6Prhcbj0,alt-J,3XHO7cRUPCLOr6jwp8vsx5,This Is All Yours,4oktVvRuO1In9B7Hz0xm0a,51,https://p.scdn.co/mp3-preview/2e6b862ff1f87000f6732568917b7582a4b3b472?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Addictive Personality,7GgrzgO0FaoeJLsAJWxz43,Graham Candy,71KlQX0q5wz5f9iytwPfou,Holding up Balloons,3mOeYPuzC4C7L1dAsVL7SH,0,not available
63,Keys,45sTkijy2RHYrfXHqENwD7,Strand of Oaks,0t4oHObO3FImWvIhMimaSL,Keys,0q3synOFtItpAHxvWFLBrL,26,https://p.scdn.co/mp3-preview/0846016b9c46324a89291e4f0362627ab6fb294a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,London x Paris,2XyD6iciT0mDmkKSHvFM6Z,Sofi de la Torre,45VGByxe5GLUyX1XQlcC8I,Mess,6aiCGulNSwPPm9xv6ZR5RS,0,not available
65,Skinny Love,5SCZSytkYZtDNxGvOJ8DfR,Juana,5uK5UNdzOWT47tcq2VLsek,Heartfelt Memories,1J3DVf8I0BX3PvBYIuzhDm,23,https://p.scdn.co/mp3-preview/049ca7995c9eeef50f0cd727df9ca76df928c504?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Friends Hurt,4u91TjLkfgcpyqDz8e85wy,We Are The City,1qY6zAJmnGvexoTLHtEJlN,Violent,3TTZ6zk8mPcT7dsELRoR16,12,https://p.scdn.co/mp3-preview/3c926f1dd4521be4c3b3a7de98a04f01abb76abf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,NYC,2Dm8DjKn9ue4dVdCTf2OTm,Brolin,5LoctxpMh3qfgcTjbtdR39,NYC,5G5r1SwPr4YrOOI37tlZwI,0,not available
68,Past Lives,6p0uoFeMF9JptwWV3asAdo,BØRNS,1KP6TWI40m7p3QBTU6u2xo,"Girls, Vol. 3 (Music From The HBO Original Series)",3QhaYn6tvViNZWgeBhkJ1t,0,not available
69,Warm on a Cold Night - Embody Remix,0uDDwP12CsJFydw7qIA8F1,HONNE,0Vw76uk7P8yVtTClWyOhac,Warm on a Cold Night,5ecItBcs0QAVbSrbeIOn5I,0,not available
70,1998 (feat. Banks),4dErCjGXGdptzDk0o1pRz1,Nick Murphy / Chet Faker,2Q0MyH5YMI5HPQjFjlq5g3,1998 (feat. Banks),2bp9klZX2xkXOA6DnDYY1n,2,not available
71,Walk Me Home - With Lontalius,2b4h9Y106pxTOsAlM0DKYx,Ryan Hemsworth,2CgysNw5B7rFNRtRjQbPZ9,Alone for the First Time,6c9ECxVpFroRhMmbG4u4Of,0,not available
72,Something Here,2GmyXvtaXmKLFrnMZOPpm9,Day Wave,4ptJIIR10UVlGjN0VntFaK,The Days We Had,3sCy5TccyaA81TwhdLW66l,5,not available
73,Frozen,3K6k9L8xXNFshhXrn15BeX,Tristen,136eH4t69aKT2UuS36z3Qo,Sneaker Waves,71CT8zlR3BC3W57Fpxnfp6,14,https://p.scdn.co/mp3-preview/a65a0eabf8d7ada5ee10f8f999e68173e4c6480f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Road to Carolina,3RpEnXd1ned5wvqu0Y1rKR,Night Shop,6RxUAOiYiv2dIpiAsYBPJu,In the Break,0wrbOwj7PZpE3kihkQXot7,21,https://p.scdn.co/mp3-preview/06016dfd5b6e500e343fee1fb6b4bb7eedc0f303?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Instinct,62WXjNnIqmHfcTIg6A2joZ,RITUAL,3RP50pmG8Wz1mhNCidQj68,From the City to the Wilderness EP,3160nEqCoQLb88ehD5ozBC,0,not available
76,Such Words,17vl40gMH9ae4X7pGW3Dfi,Ghostly Kisses,7EkzQPP0cgt2qCnXUg6PHj,Such Words,122YHz35mMOoP2vv6FbZ4f,0,not available
77,Airborne - Edit,1plhzuPY1AV9iLqzBgZdCD,Cut Copy,4EENT7N7rCBwrddM3s0vFS,Airborne (Edit),3bDGuZhniUh6UnSk5TFLBb,0,not available
78,Talk Is Cheap,0240T0gP9w6xEgIciBrfVF,Nick Murphy / Chet Faker,2Q0MyH5YMI5HPQjFjlq5g3,Built on Glass,2ytxqdwQ0Hn9JeQmcIWHuh,62,https://p.scdn.co/mp3-preview/a1629164ff81745f5e6d148fe82e6e87b3e5da99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,"Hideaway - from ""Wonder Park""",6IoQuFTjNbpl6572b9GryH,Grace VanderWaal,3YdT8QvV4QvY4DfVJhxdcZ,"Hideaway (from ""Wonder Park"")",2Tv7NyjiW3IhzoGHlIc7Nk,59,https://p.scdn.co/mp3-preview/9b79e7a89e32f20e2fcaef474600fe7e03c1d9e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,"Turn Into The Noise - From ""The Walking Dead""",3AJc431l1xqlwLkcft8v7T,Patrick Watson,7bPs6jf983f0bjRAt1yxDM,"Turn Into The Noise (From ""The Walking Dead"")",7ALidvTMZGGgpoM4IRqU2w,38,not available
81,Pirouette,0M0IkpL28r3qCgGYmagSJ2,Made in Heights,71zBpZsf6YDEBfWayKdAOA,Without My Enemy What Would I Do,7EfsMzyAr8PzI6xqnJhkIe,42,https://p.scdn.co/mp3-preview/97028fa42edd3f70083b1209965f258e2d174a71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Drive,67ecNoncFw0HaknR4X8VsM,Oh Wonder,5cIc3SBFuBLVxJz58W2tU9,Drive,7kjw9x3v8Cye9avNVsIilN,17,not available
83,Ice Storm,0jT1TMFwaGm5YVTyG8P7mZ,Small Feet,4nYweND2WyhBGOvZCNQucm,Ice Storm,5GwQKOloDjKOwEqq9Tsnjl,5,not available
84,Still,0XRPkhGLWfgufJNhl2nwHd,The Japanese House,3IunaFjvNKj98JW89JYv9u,Still,4yhrYoBsaB45LG9sY90YnI,0,not available
85,Tide Teeth,2UY1xaTj8DPs84HWjHJFJL,Night Beds,533wKOfkJylNSi6ntO1wXd,Tide Teeth,5NW926vYLZNQAXpuYrSsb5,26,https://p.scdn.co/mp3-preview/9fb94d7ce026dbac9f472409f86fe843142a713e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Where I Lay,35KC2FaGzZK4XlySsSEY46,Heather Woods Broderick,1hCqIsNERHGFKDQ754m47q,Invitation,3kkB2uwZh7WS7kbvOobvCo,24,https://p.scdn.co/mp3-preview/d37b598e2286d85bfc09e52d0f6ea3fcaada846e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Appointments,1odRNxEeolTEjFSDF6GY3s,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Appointments,1ZExlkzIzjd2FbcCvkTi0J,49,https://p.scdn.co/mp3-preview/ffe52a764e5f26aa5c4a547cc6e78d0c6d3b0048?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Marble Coast Ft. Brolin,4dAjQdKx2mUZIjBHFWxKco,"Saturday, Monday",4ChtTBF8lU2YYsuoTrquYn,Marble Coast Ft. Brolin,0U1q2DvvgDWkPh9hbWadaP,0,not available
89,Don't Wanna Be Your Girl,3JBB92odunFru2gOvI91x9,Wet,2i9uaNzfUtuApAjEf1omV8,Wet,6mmsKRts1C4XuRJChx0Pyx,60,https://p.scdn.co/mp3-preview/79319393f1b3e19873dafbc42bd85d776709d1ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,ILYSB,3zAJhkFegN8OWgvQCE4z2q,LANY,49tQo2QULno7gxHutgccqF,Acronyms,21wD1AhJKiO7Cl03ZRQxCQ,2,not available
