Momento Acústico,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Ven Que Te Quiero Ver,2u9aCJ3FVhcPPyfReGBeiG,Alex Ferreira,3COVuPWvshbsdm0kdMMTr7,Ven Que Te Quiero Ver,7xwK9QydmsBr3tfR32639J,45,https://p.scdn.co/mp3-preview/e0f76ae6e9db58bd51258bf9f6befa31a8e5aad5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Cempasúchil (Versión Acústica),2DTLApG32w3cg9sXZx9rPL,Los Choclok,2iEDalkx4bi0VkRuW0QkYD,Cempasúchil (Versión Acústica),0hRx0pdbGhnhWe3rJ18LIe,43,https://p.scdn.co/mp3-preview/61e8277ffd304bdb02ffe3d84f16787a55add322?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Siempre Tan Ron,23AlECRNyoiDwmx9o9E0tD,Vicente Cifuentes,3b06h05NjiPizwnTeGybfG,Siempre Tan Ron,5K9eNlOyKb4qjM7T25C3Ca,40,https://p.scdn.co/mp3-preview/d22167aed53b19ee36a7163fc6ad82f98335c59e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Mi Saco,2H8kcmrxRbaiFOPT2jO06g,Los Rumberos,05k3uSz8dyKtbllIY988Ip,Mi Saco,0lKMOABuJ35VsOVzqp4YA3,45,https://p.scdn.co/mp3-preview/b6a4b0761e5e40e5d9b868ea3048a0f570f5e893?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Solo Mía,46lKF7Q9AUWeQEHM9XuEGe,Alex Cuba,7gZRUp2WL6r11PXTv309P1,Sublime,7rdezKlUOq26Dypydp5p9y,43,https://p.scdn.co/mp3-preview/0d3439527fb086fbe3705aa9f90ab1e7ce3f6524?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Anhelos,1F51u77jFLv9pu8vzpsrxI,Dawn Avenue,3ZCvfZxGmkariKQgNYRD4P,Anhelos,1XDxJgWumrFQr4xybNPlDn,50,https://p.scdn.co/mp3-preview/908a53cbcd11bb03c43267f89c43579354b1249a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Juntos a La Par,2MgfD774UjkeSlIkgFzdD6,Joaco Terán,1cy3VfdlWVJIquPPSeJ81Z,Juntos a La Par,6zMcJYxg7ShVInOlnvLgOg,52,https://p.scdn.co/mp3-preview/c115cdfacc97d618d74245a9e7298092e981dfd9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Viento y Tiempo,1zRI8XRq0Np1JoTtQYRZ3D,Vicente Cifuentes,3b06h05NjiPizwnTeGybfG,Viento y Tiempo,5CpzQuOIcxVvn0IsP2GeL3,42,https://p.scdn.co/mp3-preview/cc1b00535e5d8f74ccf0132596f1900807637be9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Agua y Mezcal,5tMLIgw6yxobsAyIVvfHo5,Guitarricadelafuente,0oBiYchunKTMDesVICwrvL,Agua y Mezcal,73pVSGyUpVervpSru5En9G,62,https://p.scdn.co/mp3-preview/7d2f9175ab405225754401f5aba19160be54251c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Vámonos a Marte,2TzkIzgzIHhewMxyh1u4hh,Kevin Kaarl,6OBGbSaBUvQtk9wpQfDbOE,Hasta el Fin Del Mundo,7M4AeOUpTfAHk1Ch4xKUC7,63,https://p.scdn.co/mp3-preview/e2c3ba4caa2dbb4af1c475fb80b293b060fbd566?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Si Siempre,0uSzINRFQWXcSA07c24ffv,Fernando Milagros,73swvRHLV2DJfD57xx5CBN,Milagros,0aqITiHZWBsyLE08GNMotE,44,https://p.scdn.co/mp3-preview/f672da7ef70c6b9543dbff91e68f5f99ee99fa12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Luna Llena,0TWly1kFjXtCFSy85IICRO,Simon Grossmann,6t38N9HASTn9ca0PIxfReQ,Ciclo,0PdHrBTszQMv7M2nqhMy6z,5,not available
22,Abril,77pmlj5NnkVBdh0HtBBPG3,Carlos Siles,3sJJKX1BqYADl9YGEYOzEO,Todos Mis Caminos Han Terminado Contigo,5xSiyL2ZavYnuN6AtiU4AK,46,https://p.scdn.co/mp3-preview/26d4d80f262945aa5e4ab6ba4a206a98d38d0333?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,nana triste,7zH4rnKKGm5vACoSEXBEDe,Natalia Lacunza,3Zs59sqZJ6fWQqWbRC8bOP,nana triste,6piXewR2Si4LT96r9mUXl2,66,not available
24,El Plan,6sYfD5if57jFQTw2pbWgga,Pantoja,1sSMrejChoHWBnCe7w6fKc,El Plan,06PgQ5WJUiV16QaRZLjIFm,38,https://p.scdn.co/mp3-preview/1e154eaad20e6338e90133e2a1f5bcc17d9ccfd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Pongamos que hablo de Martínez,1Rtz5Wlj0KnHNtPbwqa6XV,Jorge Drexler,4ssUf5gLb1GBLxi1BhPrVt,Pongamos que hablo de Martínez,4oj7W1IRZAA009oTq6NvSL,5,not available
26,Siento,6ZlOpaCZ9sGQBBycGHoszP,Rehlaender,2KpV74J69UvGzJXfbGlAkC,Siento,7A8MYhzDaodMIj7ChCNW7l,36,https://p.scdn.co/mp3-preview/d54d0059e37915e420e66c3dc77e48768bb4a33d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Amor Papaya en Invierno,4TZ0kv6Elbb4cTsoNXxBZJ,Carlos Sadness,2LCcy9CZWwZ7Vvykt8IVVq,Amor Papaya,4SedZWefA0qnDU6mnDiXI6,57,https://p.scdn.co/mp3-preview/7244b2332963b262b5f668bc181833148e08532c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Ricocó,0VQr4Bv3aRRK2ybbN2n5xG,Ø Suave,01vBq5MohZmlTE7W9oavib,Ricocó,3HkYSwb1uewdVgpsKN2etL,46,https://p.scdn.co/mp3-preview/ee22c5a06cb80578c92e78fa77ded6c8b08f046c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Cómo Me Sientas Tú Tan Bien,0cGbeeDa9ptxOZcTwSRuUw,Pantoja,1sSMrejChoHWBnCe7w6fKc,Cómo Me Sientas Tú Tan Bien,77oDZjx7G3mhHleDEaweW0,46,https://p.scdn.co/mp3-preview/b4b5a6232dfc7d8295dfe7029e03eff7de3782ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Causa Perdida,0TPcVTyTk7dvSp3H8kzbMm,El David Aguilar,4exC9EVGcJb6F33htBWbkk,Causa Perdida,3SSlBDBeqNRnicOk5uw8n8,43,not available
31,Somos Amigos (Solo Te Quiero para Que Juegues Conmigo),1tQFaamJXTXAjsPaB6wIP8,Mi Sobrino Memo,2ae7hwWgesyGJVI2vebofH,Somos Amigos (Solo Te Quiero para Que Juegues Conmigo),2s8tr0rAreEYQ0Sll4wDU8,49,https://p.scdn.co/mp3-preview/aa83424944858847a535ab4d44c6b247dcc1611b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,La Caverna,0t3tlcVoZNol0f6PMdLX2j,Vicente Cifuentes,3b06h05NjiPizwnTeGybfG,La Caverna,0dfx414h3ukLsye99c2XnY,39,https://p.scdn.co/mp3-preview/f39a5c062122c29aba0a6ec01e5492371439f36e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,El Origen del Arcoiris,1towfaOJ1x8NlAjCQsgoTg,Camila Moreno,0SJy1J0FgP21lbvGBMKT8H,El Origen del Arcoiris,1mz4DG8vji8MQaNjTT4nvH,48,https://p.scdn.co/mp3-preview/e13b5a2767060fa129701e16e4df73a31e550ea8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,El Más Común De Los Sentidos,0Na5HcdpxSYG3yTAx05g0r,Gustavo Casas y Los Que Buscan,5kbjRV8TEU1m3brTrigqtp,El Más Común De Los Sentidos,0ROFDJzHEnjHLZPeUdVmq9,1,not available
35,Sola,0rmMciOccq9HDXeKOfkABd,Jessie Reyez,3KedxarmBCyFBevnqQHy3P,Sola,3PM9tAkyuSAwQscctOqWlA,2,not available
36,Extranjera,4a0okwUUMQIxWKAAYpx5oS,Claudia Prieto,3sjhqldeYK5lqWkyefb1jG,Extranjera,4jLqUVi7hUooAgpB5xJc2A,7,not available
37,Tomando Forma,3OGv1d1h1fK8NeFbH554gN,Tomás del Real,0LhgYcyninijD4GAKXPa3v,Tomando Forma,516bkbE6cH1JU39NGYHORG,10,not available
38,Ola Adiós,4Ko9JaLUvf54PmluMaDCqm,Vacación,0VDRX95OX96cR7q15oaXgd,Ola Adiós,2u4DIClRI7TDUbRY4mDZyr,49,not available
39,Aún Hay Más,3F8R2PU29MUX2Qf1MmBQou,José Madero,62nVRNDLaS8m1p31F6omGw,Alba,2CbSto4bH8Nn0Kusv7MXE2,49,not available
40,Pepe Maní,2Jy0Mi5iIh6MDbuINIc5Ou,Bebo San Juan,6R0hKSmcMzNVxPYCeojKw2,La Vuelta al Mundo,2QEil2mIQdn0L0Sydyp2z0,41,https://p.scdn.co/mp3-preview/08b5ee3f618f411159f7d65336b2b511b57f61ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Al Revés,4mXCDtcZEgBCG6Y9QNVZdo,Vicente Cifuentes,3b06h05NjiPizwnTeGybfG,Jajajajajá,6ES3DT1Dxl6UjfBEipFsdJ,37,https://p.scdn.co/mp3-preview/82c052c95fd99ace6c20593957a3f9bfb9839463?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Como Los Gatos en la Calle,2vYnrUzOT6b47WHQtlpZGJ,Sebastián .Otero,3L2dVGSHEWKWl2QyuXffwx,Como Los Gatos en la Calle,52aAI2VJTUFqf9KQTx356v,37,https://p.scdn.co/mp3-preview/d2a59c050e489c9d9ded0cd3ada17bc9cb51f2c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Apuesto,4urE4ykZ2LgciFhbsJdr7u,Alejandro Martinez,1IgpPqRhAyQNx8ZGntfcAI,Usted Está Aquí,6TSYn7YxQkBJqJIQta6qbj,35,https://p.scdn.co/mp3-preview/b73eed5e7c63f248513d1f7104a330f8f00aee1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Reflejo de Mi Ser,6QOuVLPjLsYdfuvJw8lssg,Daniel Dennis,1yq0pgJViwTeqUAr4IrSSK,Reflejo de Mi Ser,7KrqWTwwmWbsgcfm7oAcUf,37,https://p.scdn.co/mp3-preview/2c6334be5183b7144fa96733206548ff2eff288e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Bolero de Amor y Violencia,5LR6Jk9u1b3l6vcTnOGpRE,Tomi Lebrero,4f1rX5WJ5mDGq8vsAn5vBf,Bolero de Amor y Violencia,3XWX3vbqmPElyhpWKbdiCh,37,https://p.scdn.co/mp3-preview/3da14e3d7b99d3a5e59dd114747ba3f40c51223d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Gotas,0wELzsHOsEKWTuioQ96HsT,Tomás del Real,0LhgYcyninijD4GAKXPa3v,Tomando Forma,516bkbE6cH1JU39NGYHORG,13,not available
47,Cuando Tú Apareces,6Tnfm32OzigKk5vnc3ny3S,Miguel Dantart,1vFQssPxqAUPHmJpaHPqYZ,Cuando Tú Apareces,4KJWePBllfYtZaVUDQTdeg,37,https://p.scdn.co/mp3-preview/9f8de122a3df80ccec4ab1eb0a2309b25a148fba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Guantanamera,0OGwGIp2WLU3jOC2xRq3id,Guitarricadelafuente,0oBiYchunKTMDesVICwrvL,Guantanamera,7MWq5d6CmMfMcCNF0bBsFF,67,https://p.scdn.co/mp3-preview/fe553eb875f9185a2ea425317977ed36c00f537f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Espera,3MrXk4Ith7Syk480bdmezc,Joaquín Vitola,4GHo23JMbtceTkGJdnEaXd,Espera - Single,1Ob6bXmg7Xjmg30XKi1wpy,39,https://p.scdn.co/mp3-preview/a7c8306292a171c48040e3c1d2a2e71cd79a7844?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,El Dolor es un Momento,1rytrTNO2Eadka8ucjgneZ,( Me Llamo ) Sebastián,5PoJhiT21fXvZitg3guhiJ,El Dolor es un Momento. El Valor. Es la Fogata,4pEHbx1xZbdRRtfOrqcy2E,45,https://p.scdn.co/mp3-preview/26c5e4cbed3286e88d7d5e5458da7f8945bc885f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
