Flamenco pa ti,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
35,Aunque Es De Noche,6cKBsMw6APdnC6r8T5MyP6,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,Aunque Es De Noche,4u5mBh6s7H13mH6GouNkDr,1,not available
36,Morente Habichuela - Alegrias,1gugdb6z5gqgFrJF7BCLnB,Josemi Carmona,5sqVBfJ96nXdHOG7jiWvKh,De Cerca,2AaigSjWA8IIk1Gp9Ir0fi,1,not available
37,Entre Dos Aguas,7KKx4INB8LyGUeNXKiqQHK,Paco de Lucía,3h8OjAdgYXVRoMZ8jFd6Uw,Entre Dos Aguas,3pWmGwLDx5CRtha5fhPdOS,10,not available
38,Fuente Y Caudal,0yiB9I59XdaeZ78keHL9Z4,Paco de Lucía,3h8OjAdgYXVRoMZ8jFd6Uw,Integral,0LuEOgpfOw7alMC8fXCF3E,39,not available
39,Una Gitana Del Rastro,1kBatR53HRDHevRbuJx8w0,Parrita,64cr9UYTT8aMj85qRswiTt,Lo Mejor De Parrita,3jeDUNxoETFY3FylRRiEp4,39,not available
40,Buleria del Sabé,5iHiN8EUG9UpMPqRFeXHGp,Maria La Monica,2cg1ZlAVWL6snWfFqT3122,Carretera y Mantra,6D5OMD5BkzzUkmIO1oW64W,30,https://p.scdn.co/mp3-preview/3730f904ea74fe630caa7f7be2000c5491b814c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Bulería,6yte9JVprpUbYiTxwLrIHT,Kiki Morente,2cyGMEu14p4ITUF98O6ooR,Albayzín,0OoBQxAQ7hgplTALkQnExO,1,not available
42,Llamale Amor (Rumba),1eVnOimXaPos2ua7Rxb7vY,El Pele,6iLlXFjxRa3FdTOoFxx6oL,Canto,4bEtnswwkdpJ8ztBspY7H5,44,https://p.scdn.co/mp3-preview/db414c7a0d47b0c6ab503ed6b41b29624a12ab12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,No M´Arrecojo - 50 Años En Familia,0YjhD0FcaTqaG1ZoxMMDFN,Diego Carrasco,1CWfLlYFee5DaOvGAAbjNv,No M´Arrecojo (50 Años En Familia),3oN9nfXkvlMuS5Z8KhCgWV,0,not available
44,Amoralí,5lpOIzbl08NopnkBYMC2cq,Vicente Amigo,4uo8Bp99zyj8HQW1ynweoY,Memoria de los Sentidos,4NqDkTzI7IDEbO8cLcUg4W,42,https://p.scdn.co/mp3-preview/4a050015a816a039ccb431e796564ab3a85c9630?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Que Nadie Vaya A Llorar - En Directo En El Corral De La Morería / 2019,3cVySUbvhcAe5lLBpUTqhR,Alba Molina,3cQX4iryDhE8MpwGv9AqD1,Para Lole Y Manuel (En Directo),7wJufibGPSswFEwxKWcPgc,31,not available
46,Ojos de Luz (Farruca),7MDpF1zlKfmNDEBkKa4lnR,Oscar Herrero,2a74obI5ziVCQhQmKz2YeT,Salinas,2lNYIUVJyQPKgXHnzwNey7,31,https://p.scdn.co/mp3-preview/af49d4863abdf100640b29ab0d2b73075c19055d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,el aire llega,7f0xADRbd1YMJgucimOleb,Diego del Morao,0SJeISsEAcENQ8JU6w9FPw,Orate,5kXPleHDssHEaGTzRRuzBm,32,https://p.scdn.co/mp3-preview/ac23e44e03a68672e1051e7f5bce063128a3858a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Son De Negros En Cuba,5BmKZjDsyEzJu4q2H1fyxt,Miguel Poveda,0BwjxWHTct80Qp5Xk7pxZj,Son De Negros En Cuba,4VLRma1S7PHDqf2aYktfyt,0,not available
49,En un Sueño Viniste (Cancion),4xQ2KaAxmIBobPtsYiDvZo,Enrique Morente,4rJk8GmrNf1g07EsuoZSzJ,Aunque Es De Noche,0LdAck9lDEkkfoTnoi43ql,29,https://p.scdn.co/mp3-preview/4ae39b44d83e9d0d8930f00361b75cb189f18fc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Nana Del Mediterráneo,6jicMKyNx9WTQRX403WiXB,María José Llergo,70GBRlKEGjfueop2lfdQ4Q,Nana Del Mediterráneo,0YRDvSCfT6SSFRdn5fZYbh,40,https://p.scdn.co/mp3-preview/a98c7f3bfdcfd11eb8608aeb10f971db651679f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
