Radar Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
16,Adrenalina (con Delaporte),608HSYpMwIyXi5dtX6moT4,Delafé,0F3BteCqLenBeFqKMviDRy,Adrenalina (con Delaporte),5TtC70Zg8w09kTTaOcryB1,42,https://p.scdn.co/mp3-preview/5f3fb66410725cd44b5d0193f8089cf5252a00fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,La Bajona,1xzDfke1rOIhe3U8dLdIs0,Cariño,7fWD0BSDlixbj6YNQyHTLh,Movidas,1IQ36LcYlMTMsmUfA8ny5H,1,https://p.scdn.co/mp3-preview/0cdd721201b8284082b91918c20289b035899ad3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Algunos Tenemos Fe,5aKWjHEzSaYB7Cs3AGE8TV,Viva Suecia,57s0ep3eNSg81D7ZxiuHbC,Algunos Tenemos Fe,5mgJLYJ9UiiVcW29HnwaDF,48,https://p.scdn.co/mp3-preview/ee5ecc80bae35d75fef9b5375bcee7fec97cecec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,"Joder, No Sé",7kbbi5RoKaPJWaGmPr3mHh,Carolina Durante,2BVE7Pqd8kxv9xEsuvoJoE,"Joder, No Sé",3kyiGug5O5cRrpTAAuQk65,47,not available
20,Tres Venenos,7cb7BpEQ3aDDiMtMvDWxh3,Tulsa,2gtVnbrVpID8VrotZPOg2a,Tres Venenos,2hmPLZ5smZWeBObJ6iu7cA,35,https://p.scdn.co/mp3-preview/ec8cf78927bf635319fcb478ec4dee75dfff0ee0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Mixtape (feat. La Bien Querida),7HIwxHgRnpspTTioRvCgdM,Delafé,0F3BteCqLenBeFqKMviDRy,Mixtape (feat. La Bien Querida) / Si está bien,17Q9dD8s6NYTvAWxP4M2dm,43,https://p.scdn.co/mp3-preview/79fb2e4cce611e867eda2975b748050e5c8991f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Quimica Brutal,0IWi4J9nI9HWOKytcaRqci,Mon Band,42nB1CSVZPYkElCS6FFTob,Quimica Brutal,5lEye3bwfCMOPgQNcv0bgO,42,https://p.scdn.co/mp3-preview/0859647f2b67f3a0dd745d553c94bd678db60482?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Un Alud,2gYuASHMtye5Y7eIUJzqnX,Amatria,5aINmhPWfAHvZ5qaMdBezq,Un Alud,6jTcc7ipU706YOnz0Zq4YN,50,https://p.scdn.co/mp3-preview/07b22ae5a9b473b713e93d39a6b65d045300929e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Sola Con Mi Voz,2xF63qZjCPDeXIQDsMAiq4,Blanco Palamera,6SEgrMW4qNH72UAx4h9epk,Sola Con Mi Voz,6cSKae3SEE9xZCfTlU27k0,34,https://p.scdn.co/mp3-preview/036a46821d49b8a48b78414578b22fe05968e14e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Obsesionada,5unclBGXFnC5N7nRaDBZC6,Novedades Carminha,52la6ts4higk3sqyFC3aTg,Ultraligero,4U94USgBbCaRWQtwT4NzWo,50,https://p.scdn.co/mp3-preview/7a570448f45da75d4f9e4b3e1e3de9299e99a257?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Univers,0KNNbzTq8lpEeJRRRhhQzi,Ferran Palau,7h0Xj4rDQMndEq2JsZZVzM,Univers,3EQbDVk7oEz460ROZ8d8xw,42,https://p.scdn.co/mp3-preview/df5ae5714cb8c5009f54ea64ece116becaca912e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,La Típica Canción,6yGP9c0OkKZgdqBjec9HMu,Ginebras,5w3bs8jNvbb0QHf5Lo0sva,La Típica Canción,0ryHHMD4YYIG14d9qeyKGo,39,https://p.scdn.co/mp3-preview/d306678772ca707bd55962bd9941bf055f29a9af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Será Lo Que Tenga Que Ser,7bQDnbN1VS3jpZPuW5BxYZ,Fanáticos,4sZhiWLYA63NKsoJUuJz1B,Será Lo Que Tenga Que Ser,71WNRVD5EDqnvmul4IwVGA,37,https://p.scdn.co/mp3-preview/7d72d3dd2192416d7455b50e8b11b5ec7a6ecbdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Estrella de los Mares,01u91DHY7vYq14yMc2mDQb,Apartamentos Acapulco,5MJEbh71qd0GTKQdKko3TT,El Resto del Mundo,6o7hUkPNBcvp3tpTRwTQok,33,https://p.scdn.co/mp3-preview/f1541163b50880eb3edf0f89f63065706bd5e879?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Ya No Te Veo,7lOLQ52wY0FmqEKn7LKtQG,DELLAFUENTE,4bJh7sMPcVRiqe5jlnsWQV,Ya No Te Veo,6a0eIW3R7axID3uTFPfi9e,60,https://p.scdn.co/mp3-preview/2ea66797df6e1be810871e049512f2b1f892c008?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Quedará En Nuestra Mente,3wELIp6rfa3I5pm2cJEsAh,Amaia,1WLEfsQjvgtFSGkrHonzFX,Quedará En Nuestra Mente,5B7ireT8GzBAsjGO0gj1cB,58,not available
32,Mañana Nunca Llega,6GRZqffRsIYZvvYrDlHyzG,All La Glory,6Y5TIRrqEQHvmUs9MMiKxv,Disco Fantasma,1cfoLli3rTi43POaGxJohR,21,https://p.scdn.co/mp3-preview/f4ff9c591ae557afe67cb44231ece43cb2589f83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,En el Otro Extremo (feat. Dorian),75EL6xzmTxlU80VBXeozak,Shinova,6rRTrEHzGSDqhmFJQrNFMO,En el Otro Extremo (feat. Dorian),2FK5VA8UqAFd0fgAVbVlir,44,https://p.scdn.co/mp3-preview/2d20dfb4d5be7fdc778cf17263bb41e75d2dd621?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Mi gran virtud,3uGbZQQzAP0n7x3frvj24h,Nunatak,7wqxTrC9BtdVj2G6j9PP7z,Mi gran virtud,0nozEkOiQrzMLO1GGRn08h,36,https://p.scdn.co/mp3-preview/a1b6136ced4ae45df554d7bdd5166e58e8347e1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Hay un Sitio Pa Ti,55pG7x7OMhuokLDyqmgFBw,Novedades Carminha,52la6ts4higk3sqyFC3aTg,Hay un Sitio Pa Ti,7wiO3veYcoYvmSgplto0H2,42,https://p.scdn.co/mp3-preview/413fdee482f7ff98af8a90656038929acefb65f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,La Flecha,7HDU7PsyYbO8twWQc8vkNk,Beladrone,58WqEMuBUmJXIc7ubM91xI,La Flecha,58b8oI9RSZbyiLk9lcmhYV,24,https://p.scdn.co/mp3-preview/e70697fe4898e2e1d4927cb822fb48e70eb93c2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Amo,1wTov0ntO0e4frHIUF7ups,León Benavente,5wuBA4TiRM0CNjSXjsutn6,Amo,2zN0gtBTwQ3sgSHjwhnBN0,44,https://p.scdn.co/mp3-preview/05234e25c94b2e8578174da1914214715dec5974?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Ruido de Motor,4gwdCEeRPoaC558P6kVCB2,Parade,1peNOv8TAlb3Lu1IqaNf56,La Deriva Sentimental,4RWGYyiLa6Y9Wcuzfp4s7K,27,https://p.scdn.co/mp3-preview/5ae4f0ce05878a093b7fd11052be43a747737082?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Marina d'Or,5qfvPCFOSypitwMr5HDdW6,Colectivo Da Silva,7h2HIXXVcZ6UPkqlCa2QZY,Marina d'Or,32wy0CeS68xEqc4MjiVE9k,39,https://p.scdn.co/mp3-preview/fcd49553d755bbf0091906b00cf6c005e225666f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Sujétate Fuerte,4KwNPmQzGOTipeRmWkrcYi,Helena Goch,2JifS5JEJbv3GcQ4ZB2q9B,Motor y al Aire,3m9OJk26XlDsJgcGX8A27t,33,https://p.scdn.co/mp3-preview/89e96c52c72f34e352e0eb8d2f5f5c8a285ddb9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Vete a la Mierda,755zIC78f1QzAaaT9rvNlS,Joe Crepúsculo,34SgyDEDqVlahIQRDttgCn,Vete a la Mierda,2be5hC9ih4s8CdMTSIjGvZ,41,https://p.scdn.co/mp3-preview/470029dcb1b34c7732f42a926146f2f486cf8842?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,El Novio de la Muerte,2TSbnZSnGVdGzcF4brLFV5,Fuerza Nueva,6jTfHUMYOlGUcOrgsq1Rm6,El Novio de la Muerte,6MYsxSmJjBz1DbaMlod4c8,41,https://p.scdn.co/mp3-preview/3a6747795e161bcb75788c85b02dc8cca872f71c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Esa Música,4U8Rp9sge70EMwIdjAtJeS,Parade,1peNOv8TAlb3Lu1IqaNf56,Esa Música,1d1oaVUKSRwKvF4SITE32m,28,https://p.scdn.co/mp3-preview/30729abdad8f97bcc32b5c585b2078e84efd2bf5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Romance Romántico,3WgQ5zCRswGjxNGLm6kZGb,Mujeres,5vnfKgHNYLnKeuFA6c2jJO,Romance Romántico,5NJOd92izlMJ1ZgXDmEtPu,40,https://p.scdn.co/mp3-preview/9de75bef1dd7c7f74293cdcb07471f93c03cdb98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Melo,4AYcYJX9fSy5bPAxOG5X34,Arista Fiera,6Dj3duHi3860XUVgCuEXGs,Melo,2882DhkFTBNLEaIoJA9RQg,18,https://p.scdn.co/mp3-preview/e65ca698aefd8a34f929521355261db7eb625dda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Barakaldo,4mi5SJeZRXkrhEvIOiwdkb,Lisasinson,0bvq2O2MrIINNOJTVuqQ32,Barakaldo,3z88JcAkDYsljllYjdywsF,36,https://p.scdn.co/mp3-preview/bc0b3ad3152e4e07fbcf7b7ba51159c2041d8599?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Los Naranjos,4cTy2zeYhbfZPz3KT3l4KC,Vera Fauna,6A1ptzbr3ljSMF01esP6G4,Los Naranjos,7cJBQEUxOlhnvTSYoENUZU,35,https://p.scdn.co/mp3-preview/d9b971948c71a537ffee5a2c72f95ca6d84b8ca3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Quiero Que Vengas,2eucUeV1hvStstsZMXxJVV,Amaia,1WLEfsQjvgtFSGkrHonzFX,Pero No Pasa Nada,64hXEHSg8N1MsIEidDSIyy,60,not available
49,No Vuelvas,1vCYFvjL8Axz8QECRgcTsP,Soledad Vélez,4e7wEeokf7skRInd805EVH,No Vuelvas,3gd1kAdAAsjjG18Nb9i3Si,35,https://p.scdn.co/mp3-preview/3f7c5704a5f7a282451e82468ac1c33ce3771dcf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Gente como tú,0BCp1vrNXVxhaX2bdYDoJo,Cala Vento,6QpQ7WsYLIpTV3yRa0fJo1,Gente como tú,776YrWq92YNQ3Sj315344Q,36,https://p.scdn.co/mp3-preview/ed26f86673e5803558dc6fd1100a300afd473aa7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Arya / Eleven,4qJupgLDUKLaoeYamMWrv8,Floridablanca,3Ri7j4vT0iYvMjMv5I3iqp,Arya / Eleven,2I0WtRBJqxNkBMggKhRjtn,38,https://p.scdn.co/mp3-preview/b410c165f62251fa58f4babb2d696369088921ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Estamos Vivos,4o1txUCrHNZgqqClZGtm45,Villanueva,4qZ11Ptpqf6E77yYRT2qOq,Estamos Vivos,67zTfumGcCU09CPR4dSGjH,32,https://p.scdn.co/mp3-preview/379288e86743204cb4abeb39c70de6189f4bc797?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Misterio,24iVKrcnNO31wNxYvuaaCz,GLAS,4Z1zjj6iQYhxLY9zE9sJch,Misterio,2ttzOHQm7reqs0rhYKr3fo,26,https://p.scdn.co/mp3-preview/8bc3bd80c8559a3539fbb89d0a88f4fe78c4f6cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Mañana - Radio Edit,6cWyIfW0LKgqHgyncHhpOq,Jose Domingo,60XxN4jbU8CLJPAi1fAZPi,Mientras dios no mira,3RJjTh5fIfYrDfZmZtkjx5,26,https://p.scdn.co/mp3-preview/15a4de4dcba1f559bf2d3ff30c1d37c76912868f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,El Rumor de los Tiempos,1VJ4JOFl7YDjPHcsPcyEY1,Fabián,3NOAlABNpDcz4WxKSiBTh7,El Rumor de los Tiempos,2bOzWDjrv6huRw9BMzrtNN,34,https://p.scdn.co/mp3-preview/732d10fc0096e2d7e3f75541d7c3870d5e147a26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,El Miedo,0MPs3gvdEOyR48Ku299uct,Embusteros,6f7lvc6nLaTvShpNCJNveE,Pequeño Universo,68Cyv1bzUFuovs51UAmcfz,37,https://p.scdn.co/mp3-preview/176c7eeaa7ee89af87ded2a48d8d0fc89541f21d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Vas a encontrarte (feat. Guitarricadelafuente),0fs0rrKpjNipulHV1CtL57,Muerdo,3Tn4gmQQde9am94ntk2NBq,Vas a encontrarte (feat. Guitarricadelafuente),2tj9cT4X2ZZcOevz6limO7,56,https://p.scdn.co/mp3-preview/d49d5f8398a4cfb93d727c7342b997186866e8bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Aún Queda para Largo,5mIvXfgJcMeOBhlXThfAFm,Astropålido,3bS1xumJ5H49qsn3J7gya3,Aún Queda para Largo,7m5uBBfBDtPhFl47o8y1F5,32,https://p.scdn.co/mp3-preview/1ab33e6a76ed772fe1831ab106de65c5713f1a82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Ella Nunca Me Aceptó en Facebook,47v7mUvQymXR6Yddl8CXeL,Los Punsetes,1jr0mAgIhKtTeKTZwk0HjF,Aniquilación,2dXEXyzpTqZ3U2lrjKgw5l,32,https://p.scdn.co/mp3-preview/8cad53b4ff8224c93cdc6e7c831fdfa8e1712f4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,No hay miedo,0BCgd0ELbFC2vNzXBJFVKY,León Benavente,5wuBA4TiRM0CNjSXjsutn6,Vamos a volvernos locos,4jRMwulUkj2n8ZJGTLAjum,47,https://p.scdn.co/mp3-preview/8802ccdac8c3aebcc9c43f259c11a0c2bb6957d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
