Reggae en Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Caminando,65LwjsaIljMxRSB3frQZMH,Ganja,1BqQRFZhXGMUtOlGS1IvLt,Caminando,7edabrxvUHcMQMzO0NCIGg,54,https://p.scdn.co/mp3-preview/df586a43a637e2029eb9ff77bd9e5031597647a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Waitin (En Vivo),2wwp7vBI2TUGhIbwa3GBSH,Los Pericos,7FnZWGw9lwOr7WzieTKEPR,3000 Vivos (En Vivo),7G7RCFtdv9cTAmOijHn0j1,58,https://p.scdn.co/mp3-preview/67bc8eef091a20e640e143bcd34a383cfff16da1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Si el Amor Se Cae - Versión 25 Años [Live],2wdfWNH3xbpNvX8FpMyyZ0,Los Cafres,2ST5XwWB4uXGKk2NXP8DUI,25 Años de Música,6zhjig78tafXcTTZmjO752,61,https://p.scdn.co/mp3-preview/22b04e2b93e1bd6e7526b352947b3c4295a67b55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Ilegal,4lvnCzIL9RTUOkgriZ0qBN,Cultura Profética,65HuWBUC1d8ty1q6J42Nfi,15 Aniversario en el Luna Park,5L7x7Is0vVDYFKp3vsLR8d,34,not available
14,Con Vos,5CzQMJyFotsCo0ZHZeSRCR,Kameleba,2oSUm3Sv4yNsTLaYuROuST,Vibra Sound,7ddnRdS833NXAVvmi0ehKD,1,not available
15,High,2vg16RThWkdrrohdk4wq25,Rawayana,2AbQwU2cuEGfD465wCXlg2,Trippy Caribbean,3JwNymycAQq39DHeiqHUFm,64,https://p.scdn.co/mp3-preview/4a6db8892f9b500de2b6511f1232755754ee0ccf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,"Verde, amarillo y rojo",4Gu3btu3WVhofFBbSyrwBC,Gondwana,4nSgEvZncnC5oNPVrtwnLd,Gondwana en vivo en Buenos Aires,5gF3S3q98Noxe5ECtnUN9K,59,https://p.scdn.co/mp3-preview/15e2259f5f1c333370f300722081957cfaef299e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Aire,7MsqNFqu9xdp1HzFgLQ8bt,Golden Ganga,54P0u0BOmRdmtEVPgcoZy0,Éxitos,7HQmj6GfTT7137YwEdB4JW,56,https://p.scdn.co/mp3-preview/20e243d6ce5ce67247b8f1753f2fe42f6a641530?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Llevarte Allí,074ye336kK7KawpVUSnoBX,Cultura Profética,65HuWBUC1d8ty1q6J42Nfi,Llevarte Allí,1bZfFt0ECQ2dYBMGeWhJgp,60,https://p.scdn.co/mp3-preview/f5418bccece89c944bd2ae2ee37c5a52c5911de0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Orillas,7gP7A6Fz8easI7b0qxZPAw,Kameleba,2oSUm3Sv4yNsTLaYuROuST,Tiempos de Tribulacion,2nQvDkJgU47Ghb59zb0UVK,55,https://p.scdn.co/mp3-preview/7e95198a60df63eda804e1eff4d65b558effb32a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Cursi,5atBjF6n5UILcSUq4INTGZ,Timo Pacheco,1MKcc3IUoKOJFhoJ59wKWl,Cursi,3fpVKcBzq5MKgY4yrCwSqn,48,https://p.scdn.co/mp3-preview/58f2d1cc7e79355daef50a7066233989da4f300a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Antonia,5EHhnNnk7amaXgx9OnG2v0,Gondwana,4nSgEvZncnC5oNPVrtwnLd,Gondwana en vivo en Buenos Aires,5gF3S3q98Noxe5ECtnUN9K,50,https://p.scdn.co/mp3-preview/b1a73649bcd51948506cf47e253501ff734cc217?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Love Song,7dGY3JOczM9JLA4zUpSPMN,Nonpalidece,0W1EfnztQTHuv03MuMzWPe,Hagan Correr la Voz,0ko2Kez1pYo91ELqWFPISY,56,https://p.scdn.co/mp3-preview/a737dba96bf90327f20468b1ecba4f8970ce499b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,La Complicidad,5gHKusQmvb34THoxqd7m6X,Cultura Profética,65HuWBUC1d8ty1q6J42Nfi,15 Aniversario en el Luna Park,5Mz4QZogCrS5CCg2Zeul8i,47,https://p.scdn.co/mp3-preview/7c36cb2d6d9f953598da463875c8a816cc58bdeb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,La Suerte,2axmxXWKBu2zEa1d8hrQVD,Dread Mar I,1aw0Cdl1DIrtUrUA6fGbAR,La Suerte,33Em8sY4XNth18RQRlaeWL,55,https://p.scdn.co/mp3-preview/e5d4e178dd4f1516be1cfd61d2a60ec5ee188ada?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Mi Bendicion,1PSSezrGFOtnnd0j3AG9QU,El Duo los Tres,3TUa1SpqGNkPjywEs8xRcR,Mi Bendicion,4crjcuC1IDFVuOHDwlhf5h,51,https://p.scdn.co/mp3-preview/3cd8a879bcfa7f0da7148cf059cc12acb36142d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Bolita De Pan,5tEJ3qUipZpbnDqbRKYyhE,Caloncho,2z3KntXLyEF5Lvz1kpdBoA,PA,3qUPXm3AwtFM1FotnXVuuM,56,not available
27,En el Aire,7hvMIzFFtuHNJc1HiN4UmC,Nonpalidece,0W1EfnztQTHuv03MuMzWPe,Activistas,7HdBqIvlR6yFwN1a5q1QVI,59,https://p.scdn.co/mp3-preview/1609eff24769c4aa13c138571a91fbcd0ecf17ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Hasta la Noche (Ilegal) - Recorded at Spotify Studios NYC,0BzncqR8TyG5Jzy7NNk9pm,Cultura Profética,65HuWBUC1d8ty1q6J42Nfi,Spotify Singles,3DkpSX4WupAad9H3DgdVji,54,https://p.scdn.co/mp3-preview/38a04f4eef0149f435fca9bba3cd0cacd6027dc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Lo Quiero Todo,6gpLTvmHWj12Z03hFgixkH,Macaco,7mUBMaZW1MXGswaneb0JTT,Civilizado Como Los Animales,3XEUOUhNrKAGvx5X5jv1lW,65,https://p.scdn.co/mp3-preview/f059ef3b8344b53d43aeb98cb464b5c51c1daa7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Confianza,4chzKVwJz3Dt0ryO3Vd9ue,Micro Tdh,1aWJsBQa67l72j1VT3D6Ow,Inefable,5AcfM2EiLTrnFxQjpo7mxp,67,https://p.scdn.co/mp3-preview/7f2d156ae6ee708a190281fefdc12da36289ec12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Conexión,526O830Od2gPgcXRyRJOX0,Juan Pablo Vega,2PfyKA4qhjkxUVkerTCxz0,Conexión,58gzZSrrL0xaRWJlQ5C4w4,53,https://p.scdn.co/mp3-preview/f4cb4e449c175282feba076530fe0e5b02a28e1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Sal a Caminar,2dXRqnBkwkr44oKvvNdeaZ,Antidoping,3gNRdx3DyEnckHDCmVwwnY,Esfuerzo Universal,0Kw6qKktEcAe5gzLrFd9au,53,https://p.scdn.co/mp3-preview/bd503750115b4aaf9628460679917131002fc02c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Sigo Caminando,1Po5Jxjh5gHCFiKIt6AQZR,Los Cafres,2ST5XwWB4uXGKk2NXP8DUI,Alas Canciones,0hDvH4mW4hxL8lTQEd4uP8,61,https://p.scdn.co/mp3-preview/5dc64283d3d609120d6f79b1c15c9400e66b6309?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Keep the Fyah Burning,1MHI9kaLavQz85sCIiSiBL,Nonpalidece,0W1EfnztQTHuv03MuMzWPe,Keep the Fyah Burning,22eQg2AVJlNxrU2U2H2jjO,54,https://p.scdn.co/mp3-preview/c2c41b46f73ed135cbd2157bfa5219e1efdbcc2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Playa,5q3TnXWucHcIPlBZgbeZrl,Sabino,0zgFL90nGTrH2iOMD8Vysy,Yo Quería Hacer Rock,14qhWZrJJqIvMxOvDtn0ds,57,https://p.scdn.co/mp3-preview/9722229dbdde186b6909a31cd0c5e0ba95502dba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Lo importante,3evu6SqInKDGnhlwkjHn5q,Zona Ganjah,3yyWIPmsesks6c7uMnvNn2,La Búsqueda,4RTN98JbV9RIKv9tPO00vd,51,https://p.scdn.co/mp3-preview/6278d5dc082bfa04513e17bf16ffb57ca671b1ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Juego a Muerte,1WHzxJ7MJQbceBJs5J4M0u,Antidoping,3gNRdx3DyEnckHDCmVwwnY,Un Lustro Inyectando Ruido Positivo,0s4taGK6d9cAPwxPLpnj4N,52,https://p.scdn.co/mp3-preview/615ca8a1324ba22cff16f4a9dd89e428ba2e72f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Tu Belleza,2pdrSKGdxxq5U9oh3C4riF,Baquiné,0GLJbql5zlmjGOEl4J12WZ,Tu Belleza,1h5mYoztfbgl9rjqK3UMNS,42,https://p.scdn.co/mp3-preview/0b443b898ecacc62fa9d653912afabf0f22c8d2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Tu Presencia,58KaBE2fnHA8R0iesCbe8o,Nonpalidece,0W1EfnztQTHuv03MuMzWPe,Hagan Correr la Voz,0ko2Kez1pYo91ELqWFPISY,58,https://p.scdn.co/mp3-preview/5c789fb2d07d2f678360323e263d3e119a8caa97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Quemando Tu Pecho,5MRAyyeWEQvcsf9BdruIIY,Gondwana,4nSgEvZncnC5oNPVrtwnLd,Carpe Diem,0hjSy3tFI2uK4RcppyNASu,51,https://p.scdn.co/mp3-preview/307300e701eb09372fefc286fbf8691fb8e6e921?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Algo Mejor,68gpEjXas61xmdZin01DcQ,Zona Ganjah,3yyWIPmsesks6c7uMnvNn2,Algo Mejor,7xyf2OQgFuQnwbvaCi8QwX,52,https://p.scdn.co/mp3-preview/861da02dbc55e756fe32437302d8ba90c9bdbf58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Ramayama,6gokadtiVvFO0nuAoOLX98,Don Omar,33ScadVnbm2X8kkUqOkC6Z,Ramayama,4HtvEbNQ4esvgvSuBO6JnM,72,not available
43,Tan Distante,72t5gOSN80UxL23dyBelJ7,Rondamon,3rFiEktiHH0wicgmF2HEMP,Aguas Frescas De Jamaica,1svQZMx26EywFi49R1BMkX,47,https://p.scdn.co/mp3-preview/d6f624b98cea5033a231fe9d9f4a360b133921f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Véngase I,54Ep1O9PefiVc2Yw5aKIVL,Rawayana,2AbQwU2cuEGfD465wCXlg2,Trippy Caribbean,3JwNymycAQq39DHeiqHUFm,56,https://p.scdn.co/mp3-preview/64af9614f6a2692ed88166fac53b4c06de1beb6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Mi Balcon,05SZ279Bnz9Zst21BMoZWg,Vicente Garcia,2Otnykd696YidQYfEGVmNq,Melodrama,6Q5EvqV3Vj9wKee5N2fK6E,60,not available
46,Por Cultivar Marihuana,3hcGo9ePUX6CFqB1NpZE9L,Resistencia Suburbana,0LlH3BrcSkLqcQ1flElWNJ,Worrrrssss!!!!,4vwvC9kGtFHo17jY2KvnIb,54,https://p.scdn.co/mp3-preview/f81adb007ea1c9086551d3549e0951246ae28d71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Mi Sol,6yHfT8zwc1YOJ5FLNOiWzK,El Natty Combo,4fH7GgndN1PBmd6S3Ux5W9,El Sonido Real,0ny4vJH3LRvW8AjTotkY4A,51,https://p.scdn.co/mp3-preview/e20973b2b2ca37fb858c27ae09e559c5bacacebd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Perdón,5noZB6CRuCQuvfwVVCphDR,Los Cafres,2ST5XwWB4uXGKk2NXP8DUI,Alas Canciones,0hDvH4mW4hxL8lTQEd4uP8,51,https://p.scdn.co/mp3-preview/6a06884d1770d1f04f2c4f4a1bc86d67e5a312ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,A 80 Voy,1MVs17VUqFdrXcXZ9cemB1,Jadi Espinoza,47y6DYhbwUOGFTGFRROAVK,A 80 Voy,1GoOHBm7kJ2vbrucL9TgX8,48,https://p.scdn.co/mp3-preview/921157b3853137a82eb15841fc43380c17f5b9dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Besos Para Ti,0AM2PfqCT9Qj7B47Zld57W,Los Afro Brothers,7asyO9hw31DnRSekSfu9Bq,Dejando Huella,7EqfRs662QaBqWfpqYiWYa,47,https://p.scdn.co/mp3-preview/fb7502bcd7bcdf0d39e2ffc8a57fec9a9a321baa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Si Tú Me Quieres,1aGrwoxshC9Bfblm67C5oQ,La Garfield,4MT1vDqEKurI3ctpK6TqLt,Si Tú Me Quieres,6Dwm2KnliEQQuefTWJnBnm,52,https://p.scdn.co/mp3-preview/eb32d72a844352a1d100703c18fff96676ac4d7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Véngase Ii,3xQgqyqNHS3GI4Kw1daecs,Rawayana,2AbQwU2cuEGfD465wCXlg2,Trippy Caribbean,3JwNymycAQq39DHeiqHUFm,50,https://p.scdn.co/mp3-preview/836499712328f3b5eebbf58f7eaf5cf3cb9c5348?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Alas Canciones,4f1q6kRlO1qyw7pZIPG3Tp,Los Cafres,2ST5XwWB4uXGKk2NXP8DUI,Alas Canciones,0hDvH4mW4hxL8lTQEd4uP8,54,https://p.scdn.co/mp3-preview/4a54588e7fda3fd857360ced2160ff25c7cc8d1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Te Encontré,48RzB4fcOL8uxnpK4W3Lfr,Antidoping,3gNRdx3DyEnckHDCmVwwnY,Te Encontré,3fADfBP6PTbPhkRL4EoiYD,45,https://p.scdn.co/mp3-preview/7927940249b7ab0b3e524daf35a8b321090c912e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,El Rincón,4dUjQtr4yjUOv96JpZingL,Juan Pablo Vega,2PfyKA4qhjkxUVkerTCxz0,El Rincón,0mU0BTWcNqPZFYEvksIXr6,51,https://p.scdn.co/mp3-preview/473c66cf781f03d4d6a4b080680ff4f7333ab5cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Pensando En Ti,5XORpyys9dvyjJWpTYeame,Quique Neira,7BfDn0T1IbJiD0U8j27obe,Eleven,7fNhdRorm3P66FXPCa6GZt,53,not available
57,Vocabulario Básico,1bFbEZctiGZItamYIBlRAL,Rawayana,2AbQwU2cuEGfD465wCXlg2,RawayanaLand,1Kj9PBn932t5zoNc9E1W4p,54,https://p.scdn.co/mp3-preview/a1d4d779ca380cdabcf3f2e6651d06b9753c9d1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,La Flor,0nd81OJKHU8vUIMp27noMA,Los Cafres,2ST5XwWB4uXGKk2NXP8DUI,"HOY – 3Décadas, Vol. 1",4PSbFROuWr7Cny41folDLl,50,https://p.scdn.co/mp3-preview/d97bd07fcbe96dabedfee095eba74fd5f8c1ef61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Quinto Sol,4Appg2ESRHrO2D5NyuRc6X,BlackDali,6fQBCAmdaMg4d9WYOMW58B,Quinto Sol,57YgaaOC3wdVc6GaHYW5fJ,46,https://p.scdn.co/mp3-preview/c52c662ae5c73549a24c66e40ac68e1df3618ce1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Balu,7hcVEBWlQCwOnEv60dlR4a,Rastrillos,7oVQXVtyLC8b7pxGefZX50,Codigos Del Alma,3gpM7IpvTpE1ByLL1aR0lS,47,https://p.scdn.co/mp3-preview/f8d0e6fb11eb5767962e48672306181fd258c49e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Mi Niña,32dbDZjc45fBUUFaSU3DMg,Spiritual Reggae Band,1NsI01VINwVZh1Au2lfbAS,Ruge,05KcuSthgbWCRQkV8liSvJ,44,https://p.scdn.co/mp3-preview/0c0e391bd1b37ae72a19d2a374137bc777b56a36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Prende la Luz,0zJ3Kbuqq6cuhO4IF324o7,Fanko,7FTVF3GI4iIuxErFlgYS2n,Prende la Luz / Mondo Groovy,2kSIei5G2RCpTjvCDMm22o,45,https://p.scdn.co/mp3-preview/53650c2225aa9d8ec43ce6c70fc75c3e8b9aa096?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Momento,1eQU5ex4RcVjz55hWPeJzc,Los Cafres,2ST5XwWB4uXGKk2NXP8DUI,Barrilete,68CATT5x7h27zl3KKnLM3g,59,https://p.scdn.co/mp3-preview/f2fbd9ac91ce79dc11b536f6565e99081cd16ce4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Real (feat. Caloncho),0nIGISO07dANLwVttpjy1i,Juan Pablo Vega,2PfyKA4qhjkxUVkerTCxz0,Conexión,1erADxtp7O7pNvQVxIIFnU,50,https://p.scdn.co/mp3-preview/e579cbbbffbf016b7de6ae65ffe54293d8147278?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Sin Ti (feat. Quique Neira),6209QxIqPJxYsO64iVYRpi,Quique Neira,7BfDn0T1IbJiD0U8j27obe,MIL Canciones,6zjahAclu3UUidDuggIIMJ,50,https://p.scdn.co/mp3-preview/849f860f8a9603cbb93d69cd7240fc75bbea0004?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Palmera del Desierto,108d6iMDaST1gkMokkkcYp,Rawayana,2AbQwU2cuEGfD465wCXlg2,Palmera del Desierto,3TUdSIWhPV3l0aknqIHX0F,50,https://p.scdn.co/mp3-preview/5fa53af2f1f253a252b3401c2fd59369c046ad48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Puedo esperarte,21noFdEzJUoFq2apeT3mXh,Riddim,4nrP6H78NuKzQr9bQxAFVk,Buenas Noticias,4XtplkaYKyMzIiIekNBe2n,48,https://p.scdn.co/mp3-preview/530ea0382bbf4fa794638e2e81cff55675330e47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Secreto mío,5NHiMB5NKyNseGSdUAPqn3,Los Cafres,2ST5XwWB4uXGKk2NXP8DUI,El Paso Gigante,1kJD3mYufavAaI1IZwrP3i,53,https://p.scdn.co/mp3-preview/13cfe7972befc5b5b13414cbd0f24a6a9d0e2dd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,A Los Ojos,2ncDvyrfmKtzHzX1w7oDvQ,Bahiano,3FXD2eQcHOiacO9qXENLUN,Calamaro Querido!! Cantando Al Salmón Parte 1,1XLbuOuIevQOETqDpOD6cT,49,https://p.scdn.co/mp3-preview/4fcbf18c3afe4c99579cdeb07005779727cbdb00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Love And Happiness - Recorded at Spotify Studios NYC,1OgjvzxeljGaL4LrZmV1Qj,Cultura Profética,65HuWBUC1d8ty1q6J42Nfi,Spotify Singles,3DkpSX4WupAad9H3DgdVji,53,https://p.scdn.co/mp3-preview/b636bcff843efd99abffe5a0af0699e438f40a9f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Los Niños del Jah,5HLejuMi8DNmFU8Brh9mf2,Antidoping,3gNRdx3DyEnckHDCmVwwnY,Búscalo,0EEbgtjP5gTOpJgB93O9Ve,44,https://p.scdn.co/mp3-preview/01dd982083a2ceb6b20406207cc6ee8278674702?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Volverte a Ver (Evil Version),2us7nmIVMiAm3jKEEVoiYb,Fyahbwoy,6uFTGm4t8Z6tXyCm22sLQM,Volverte a Ver (Evil Version),4T66Kppofddp5Flsgc9mia,40,https://p.scdn.co/mp3-preview/adf088218e40d3cdb3e411d021b91558c69e6fb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Fishaman (feat. Elkin Robinson),3rMqitYF1U4IHqEQjWhmJP,Juan Pablo Vega,2PfyKA4qhjkxUVkerTCxz0,Fishaman (feat. Elkin Robinson),2ufI2W5j7rk3S3eCpjbZpV,51,https://p.scdn.co/mp3-preview/f2e616e9f445b7ad3bca3b9269a6ed2dd3fc0724?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Laba Laba Craven,3hd9TlZsdqhnzdndCbT1Kz,Hugo Lobo,50UQHipbWWMFQiT6DZYvHN,Neigborhood Rules,2JyFsrq6OkrfH0mBRRYAiu,45,https://p.scdn.co/mp3-preview/a8f771cb759fce11adecc3e344100d3e6efa440c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Misterio,3xKXKFjtT24Z6RDNXPF4au,Los Cafres,2ST5XwWB4uXGKk2NXP8DUI,Alas Canciones,0hDvH4mW4hxL8lTQEd4uP8,49,https://p.scdn.co/mp3-preview/5a7956885c32de4d744968bbd8e4c5438b5cd127?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Kultura Babylon,32DIxvqzBXDijvEP5ZTaKT,Laguna Pai,4NmvNRWDxYHYMKt4yiMljS,Kultura Babylon,00B4QdRvpRIdowHME57El2,49,https://p.scdn.co/mp3-preview/c986d35e30b14875e648d56c31b029025536fc3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Soy Latino,08W016xoCPlcEFCfcbZg1n,Ponto De Equilíbrio,6crUnfFtxFx7u9OGE1AHZo,Soy Latino,4vpU0mnMhhUpi4crJhWiFN,37,https://p.scdn.co/mp3-preview/e226d83a8eacca3fed4df65369c24a22f92d97d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,El Baile y El Salón,7CYUhmlh78j9u1rJPojNiL,Juan Pablo Vega,2PfyKA4qhjkxUVkerTCxz0,El Baile y El Salón,4qVBQAJ9QcTfwUtGAAZsAi,47,https://p.scdn.co/mp3-preview/53e4b206e4dd7472b63c7176c4d2043153d7b358?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Llena Mi Vida,1rSDWwJkMrxCChahQDnkfu,Bamboo,4Mp4FOTjHHQlFJki4p1lpZ,Llena Mi Vida,7xlXTMCcCDO7aapw0CRd7G,41,https://p.scdn.co/mp3-preview/1b95093de3a597407f2157ea12928225ecc1d035?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Mi Niña,15ebddPrc4HYVk9qM3trIi,Cañaman,04igWRFWpM5duyi0r95fUn,Fronteras,1QrRY5KwBMVGpxW3zak2zk,0,not available
81,Don't Tell Me No (feat. Freddie McGregor),7zjlKNA7yr7xjd0RuGS4ZO,Locos Por Juana,4AX0I32V6XRGh9aRv7wj2h,Don't Tell Me No (feat. Freddie McGregor),5wo1fwl9jvqsN4IqOMZb6S,35,https://p.scdn.co/mp3-preview/b1e73151bc592f757dc44d1ecdc5717ac0f0bf73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Yo Tampoco,5lIjO0wVA98cQLBvuz2kqI,Salomón Beda,76oqoGaknr9WGOegYTjxdh,Pa'lante,1IgfNMFIkkqSoZpjp1aEf9,46,https://p.scdn.co/mp3-preview/ffde88bad78fcfbbdac4378e906814d9701c4dd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Reggae Para Los Amigos,3rLMwqrvbr38wcud6FxB8i,Intoxicados,4VgvR7eu3k2T20mo6mXhXF,No Es Solo Rock And Roll,1KYkaepx3oUWJRDR8ypzxH,52,not available
84,Mucho Verso,1SJJQZSulwDnszRVrfZaQI,Gondwana,4nSgEvZncnC5oNPVrtwnLd,Reggae N Roll,0AvHjAk1L3COuFHHnexnTy,0,not available
85,Jah Live,15gJmbM0pjL1yjIASTyW0x,Mimi Maura,4VKHNaUBImLsxPOCdG5Mwl,Jah Live,2qymLzMxxrzzkHQXy9EwlE,46,https://p.scdn.co/mp3-preview/f07342b0fe39a389d6131bfe7f189507405b7028?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Feliz,2LsIPIq9oe9sCt5oKwGnpt,Sig Ragga,7hBKLnKOnLXNBwJ1l6p24J,Sig Ragga,6MzR1S3TxR1529UPnNtt4r,48,https://p.scdn.co/mp3-preview/32c2cfef5006bb555ed85547c345acf5da0cdd40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
