Fiesta,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,Lunay,47MpMsUfWtgyIIBEFOr4FE,Soltera (Remix),2m9Vuc9Q19qhSm6RQmBgsR,92,https://p.scdn.co/mp3-preview/dd6fc3e183f2643f0f4a3d650fa4f923c2a46040?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Reggaetón en lo Oscuro,7LLXLd0pisbEAdIVK502VM,Wisin & Yandel,1wZtkThiXbVNtj6hee6dz9,"Los Campeones del Pueblo ""The Big Leagues""",4zbMionGv9W33xjQfoMyuo,75,https://p.scdn.co/mp3-preview/4168c4ebed5bf4c3fa40b52fd5bcc19647e3b98f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Atrévete,3KekO5WUfJsh7kYU9o2w50,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,Atrévete,06HFdHnekZil7Rl5WdqAiK,86,https://p.scdn.co/mp3-preview/5920033084c8b49b80d96f47fabbaa747081af55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,In My Mind,3ZUALyBZfm4pRaMXMYRbbg,Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,In My Mind,3jtOeny1Xh5fp6aSOHahe2,64,not available
24,Solo Quiero (Somebody To Love) - From Songland,0eXEFvCwPFyGNo8SOSn0fB,Leona Lewis,5lKZWd6HiSCLfnDGrq9RAm,Solo Quiero (Somebody To Love) [From Songland],72jUFUDCBSH8NVGH9TyDp8,59,not available
25,"Yo x Ti, Tu x Mi",7BlBVFwvbWvcwNcUarQmjk,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,"Yo x Ti, Tu x Mi",3844bY26oeSkqd06th4EYp,93,https://p.scdn.co/mp3-preview/f8d270e551ebd663edbb22a6f2fb58a3f5d73edd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Loco Contigo (with J. Balvin & Tyga),1f38Gx6xQz6r4H1jGVNBJo,DJ Snake,540vIaP2JwjQb9dm3aArA4,Loco Contigo (with J. Balvin & Tyga),3HXHo0qkSUO4M9p6PEnA01,85,not available
27,La Gozadera,0OMRAvrtLWE2TvcXorRiB9,Gente De Zona,2cy1zPcrFcXAJTP0APWewL,Visualízate,2HXRjHb2nbLJa5r70FBtdT,74,https://p.scdn.co/mp3-preview/bd4c51e91109f9825044b452104c5b4d738a66a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,Black Panther The Album Music From And Inspired By,3pLdWdkj83EYfDN6H2N8MR,79,not available
29,What Do You Mean?,4B0JvthVoAAuygILe3n4Bs,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr,78,not available
30,Latch,1BltsyC5W3SAABdxyrDXwi,Disclosure,6nS5roXSAGhTGr34W6n7Et,Settle,1ZFGRj11NnZHos8DUbbpF1,25,not available
31,Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,21451j1KhjAiaYKflxBjr1,Motivan2,22lEQJ7khtB2yvsq84FDQb,75,https://p.scdn.co/mp3-preview/79c8c9edc4f1ced9dbc368f24374421ed0a33005?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Si Se Da - Remix,6K5BsR04ijf3FHNzjbaagD,Myke Towers,7iK8PXO48WeuP03g8YR51W,Si Se da Remix,75Y4sJ1vwZfEivbsKPzAx6,88,https://p.scdn.co/mp3-preview/7a73a1eb9342fbdb4dcd0e48b5fd92a9b659d246?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,La Boca - Remix,2EEmzqzM70CybVspgM7YRT,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,La Boca (Remix),5LiT3OZKgkgEeInFxUEObJ,86,https://p.scdn.co/mp3-preview/7bacd7276e4ed4741a3ac35ef6b0c846a1283aee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,bad guy (with Justin Bieber),3yNZ5r3LKfdmjoS3gkhUCT,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bad guy (with Justin Bieber),6lMlX68jJrx67hiCqdiDvW,88,not available
35,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,24K Magic,4PgleR09JVnm3zY1fW3XBA,83,https://p.scdn.co/mp3-preview/f09116ce18bd77f543e68a925e5a96509e79ac6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Ginza,2C2TGgFzrTRIOdQS1vUN5h,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Energía,4cGc9Eeb3Gjff2Aq5ILLEf,71,not available
37,Good As Hell,6uAm7pG66O1XesXS9bpHSF,Lizzo,56oDRnqbIiwx4mymNEv7dS,Good As Hell,5PMpdvn38HScK6IuLniRep,75,not available
38,Cheerleader - Felix Jaehn Remix Radio Edit,7vFoFDWqTX0mHzLfrF1Cfy,OMI,5MouCg6ta7zAxsfMEbc1uh,Me 4 U,7cVXH4slEYzGjDh498OFyL,75,https://p.scdn.co/mp3-preview/df00fe4f86cef1dbc93ffcbc83de7aea46cb9c38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",1ndyl3wJCFs872XZ3ztPk6,Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) [Remix]",71uU1JDWZ61OMDtW8h1Kp8,85,https://p.scdn.co/mp3-preview/662fa6450a8b90db980d3cdd27c9e3411da2c44e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Propuesta Indecente,5PycBIeabfvX3n9ILG7Vrv,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,"Fórmula, Vol. 2 (Deluxe Edition)",17HsiXfqKUPoTP6Y5ebs1L,76,https://p.scdn.co/mp3-preview/29469d9d9a4d762adaac833443e6c850b49a3540?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Felices los 4,1RouRzlg8OKFeqc6LvdxmB,Maluma,1r4hJ1h58CWwUQe3MxPuau,F.A.M.E.,6MoaDh76Fsg0ogW2l7HAFx,78,https://p.scdn.co/mp3-preview/ea9a6f1dd1f966628ffb51723ca2823e276517b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,04gDigrS5kc9YWfZHwBETP,Red Pill Blues (Deluxe),1Li4rADxSxjT2g4xqUcMYh,80,not available
43,Latina (feat. Maluma),00Ia46AgCNfnXjzgH8PIKH,Reykon,3PAwspMN27PDm81WwXDsMf,Latina (feat. Maluma),0S3696V7LiaqAJ3DKChAdL,81,https://p.scdn.co/mp3-preview/2b997bd18011b662bafd0f68b985602a00684a92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Vivir Mi Vida,3QHMxEOAGD51PDlbFPHLyJ,Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6,3.0,6vBpLg3T8bojcqzoKI6m0R,76,https://p.scdn.co/mp3-preview/8af6670450b5b016ad57e38e32a19d43fe4774d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,No Me Conoce - Remix,7rknFhrVDyxzTJkPSf7LoW,Jhay Cortez,0EFisYRi20PTADoJrifHrz,No Me Conoce (Remix),2t2aNgqXTXuCh9fqT05g9U,89,not available
46,Rebota - Remix,3dWpRjCmaHbroNahuSeX11,Guaynaa,0BqURncJM5B1BBu7UM51eq,Rebota (Remix),4HoYhLOpFgJECemzKIEhvM,85,not available
47,Con Altura,2qG5sZ7Si6sdK74qLxedYM,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,Con Altura,4bxHLppgdmaYJk0yfdcP0l,90,https://p.scdn.co/mp3-preview/db95e1fba1c9df7e2f6966ba91347df3c36a9630?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Sucker,4y3OI86AEP6PQoDE6olYhO,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,4W0r9HOcuCC6Vh7aze2hwi,88,not available
49,Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,Me Rehúso,4RrvIEhnaHKpFxsjXc4D7d,78,https://p.scdn.co/mp3-preview/e44589534ea9a8956c0305e1545977ae8a1a482c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Slow Hands,2cOUlop2ZakjOKe4WinesN,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,Flicker (Deluxe),7ahctQBwcSxDdP0fRAPo2p,78,not available
