Novedades Viernes España,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,Polaroid,4NLxVZHSFF7j7eJFrmfl0g,Rulo y la contrabanda,0ewtf5KcA50GVkF6FBXOcs,Polaroid,3IGAYqlAqcIPDIljIbTRbz,42,https://p.scdn.co/mp3-preview/f445787daf178a96f6322002d89d73b032c7bf57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Un boomerang,2n597etAGsvwqtouioU8cz,Fangoria,7CJiKj8TrQSms0WSCKbHm4,Un boomerang,2ojAfXqtWWZoKNLNockz8q,49,https://p.scdn.co/mp3-preview/ef8d504038a3ff73c7b64cc04c8acee849861681?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Beat Of My Heart,26RI9VHGAExG1BkHFK56qJ,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Alive And Feeling Fine,5SFhZPgyjG8dXUUvkCLess,36,https://p.scdn.co/mp3-preview/64702056e8b3733203d4c9c7ea9d320a140c4fdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Better Half of Me,114xcQz8sZ6fxRBTZmgmNE,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Better Half of Me,3qMdA1s9e4FiWOlVFViq20,64,https://p.scdn.co/mp3-preview/399031dc531b563a49779932cac87f9c9f161d85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,El Milagro,2albqnyCMNCZlhB7SMoBrk,Viva Suecia,57s0ep3eNSg81D7ZxiuHbC,El Milagro,7qyNn1jGhxpIGd6jrRWGt3,46,https://p.scdn.co/mp3-preview/2afb2e2651acc0d53f5c2630a8a2a3277a005cd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,Nice To Meet Ya,3KrYBAbfxlssMirZLs6HzZ,75,not available
25,Far Away,12H6iTEgiX4HPnCPphYSMk,Jessie Reyez,3KedxarmBCyFBevnqQHy3P,Far Away,6oSnvw7yQpDFFTZIZA4Rxx,63,not available
26,Bienvenida,4driImsLedrbT1KerzNZMQ,Quique González,0uCwhAtvXQlTGZJWDJQykZ,Bienvenida,3wWB2Gibnzb0h6MAaNI6Zr,40,https://p.scdn.co/mp3-preview/97a76435c31a6badc333e6da69eb43c4e89ee00d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Del Recuerdo,4m814ldnwzVo5I7LV1jlyx,Sharif,5pIapcAHb6WV4fUjfQchMf,Del Recuerdo,5dxYUGE4rUr5Kxc1eLjnKg,52,https://p.scdn.co/mp3-preview/2d4c5c7b35fd01758bd4e2cba2e1d5a9c55d6027?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2uDTi1PlpSpvAv7IRAoAEU,91,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Used to You,55OUCSy92BYCmhjOuzFQcf,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,Used to You,6DY36Etteqk1q32tl8ACPv,70,https://p.scdn.co/mp3-preview/754ecd2aab10c4028d196d080af9a49b8d22e82a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Nadie Lo Sabe,0xkUr72eFk4GjSRoEHOyfD,J Alvarez,6XFITTl7cFTdopDY3lUdlY,Nadie Lo Sabe,6aKlzq1B3HRJYOkEbi5kwG,56,https://p.scdn.co/mp3-preview/74b0ab30313c1cd5a2896afcc0215f91c209e52f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Don't Speak - Recorded at Electric Lady Studios NYC,0gzMEfErGPaCFbQJdb2HQb,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Spotify Singles,0tUnCfqBLeZlivAkbxvbib,57,not available
32,Atraco Perfecto,6kC25eQpF2CR68EKMeWQxO,Los Punsetes,1jr0mAgIhKtTeKTZwk0HjF,Aniquilación,2dXEXyzpTqZ3U2lrjKgw5l,38,https://p.scdn.co/mp3-preview/61caf16d958effaf29f89aa09adb006db0ec950e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Overtime,1flJa1SvgmYzlLSa0AXgJ9,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Indigo (Extended),2rICHwivbZlmMnzEDmGNXX,67,https://p.scdn.co/mp3-preview/836d4b8526deefee6686146b889f4bbe3bc790bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,LUZ DELITO,13VEtVCYfLTVsq5STs3SlW,WOS,5YCc6xS5Gpj3EkaYGdjyNK,CARAVANA,7L6gLnSJBTU0tOneX0Ol91,66,https://p.scdn.co/mp3-preview/70c4827e2b2e2284c4a6caefa2d7ea47eaa93377?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Locos de amor (feat. La Pegatina),0Yj5PMGYSTtD4GLD1XLkMr,Tu Otra Bonita,4dGKPIQgs3bhGLPaPXLl3a,Locos de amor (feat. La Pegatina),0sN4N13PLodsYSlOOccalK,39,https://p.scdn.co/mp3-preview/6d03ec50f3a5c11c39b3628ac7bd6ab4e0aaccae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Hit the Back,7ww6gTkfd21QU9CD8PG39m,King Princess,6beUvFUlKliUYJdLOXNj9C,Hit the Back,6QgNrl3BSgNmnhDBAeMTpf,63,https://p.scdn.co/mp3-preview/5a9e6a2d79203e7652f664751f50bdbaa11fb708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Trompas de Eustaquio,1DR0JYAXWnIkgyfBHO88Iu,Rubén Pozo,65mqRAn8AEZjc4M2lZvtSz,Trompas de Eustaquio,0yIlj3HjQNWDN7rWfOaTGs,36,https://p.scdn.co/mp3-preview/f4df748ee395ee9f9c14834f0bd6093af2c57c36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Alas para Volar,3stmmDWvDfmCBSJDHtuVof,Colectivo Da Silva,7h2HIXXVcZ6UPkqlCa2QZY,Alas para Volar,4ktF7doFQYvx4KCDMP70j7,32,https://p.scdn.co/mp3-preview/617bed19a715f5a4dbd60c2ad54b9454e4084135?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Caballero,5DL6BDuqhnQw8HfIvUYkm9,Alejandro Fernandez,6sq1yF0OZEWA4xoXVKW1L9,Caballero,0hfscUH57noj17kB2Aun2C,61,not available
40,All My Friends,70pP6E6VvznsfrSsznnQnk,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Without Fear,7jGNAMzrW5HMXdxl9XyBMG,68,not available
41,I Could Get Used To This,5BDmCfpzQeXT4AuxyO5ATs,Martin Jensen,4ehtJnVumNf6xzSCDk8aLB,I Could Get Used To This,6u7I12iNeaPAXdvOgxsaZ7,56,not available
42,Adore You,3CQqY9BxLZE6HmieR7fvNM,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,"It's Your Bed Babe, It's Your Funeral",1sbCW0I7rP05Zyru3gSyiH,58,https://p.scdn.co/mp3-preview/bee9946703d334a01d9d4025733dce0c1c12d92b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Come Thru (with Usher),3TTMUI5dFcbeNSDTTDY9M8,Summer Walker,57LYzLEk2LcFghVwuWbcuS,Over It,1qgJNWnPIeK9rx7hF8JCPK,75,not available
44,Lost My Mind,3CTr7gEOXRI2Jhe6bVVZUd,FINNEAS,37M5pPGs6V1fchFJSgCguX,Blood Harmony,51V8Fme8o9GthQ3O1RNMtE,61,https://p.scdn.co/mp3-preview/791ef5fba33525dfa9fbf25d04e2f9e740a51e7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Rumors (feat. ZAYN),6XjNLIoUiU2XKdbNp7PvHl,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,Truth Is,4vfE56g4oK4p8VVx7pThrU,65,https://p.scdn.co/mp3-preview/c75161034667556dfb6c4868a6f312ec812578fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Good Day,7iTwzSe2fg5xYwCgXXFkEe,Surfaces,4ETSs924pXMzjIeD6E9b4u,Good Day,1HPmeTZ2Mgx0NvynTKpWOj,60,not available
47,Formigues,0Q7ADzQ5jmIWNviwfBAF0e,Manel,40tHhop0T30DwienQBmTxb,Per la bona gent,0PJgdLOhB6MUxABKi4i8uK,48,https://p.scdn.co/mp3-preview/335da4ef9996b66b93eadd94ff90d62c20492dfe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Muy Bien,0I0mkNbnD4ai5zW4Sm1N4Y,Cecilio G.,2Q2fYVYxFSmodq53BFyD6p,Muy Bien,1bBrOy4EpfvV8OHqdYRxiy,37,https://p.scdn.co/mp3-preview/2d135fcf7ff033796f4ac914af4bf4c3b59717fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Comancheria,6nSmBTQCy2yZLj8NjNnqcL,Los Chikos del Maiz,2mjC7Pmu2NA6dZ1ZIYoLLu,Comancheria,5HAzBAmrDW7SkuzYVq9XKm,50,https://p.scdn.co/mp3-preview/9dd82d30aa5cf30ee5993388f2d8f93949d58f51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Mono de Ti,59ccJGFiNPNnhe05zlCzuP,Jorge Cremades,303EAVentkjceS2AuXtZgG,Mono de Ti,58L7ZgHUcEYGeE1WQdZwtx,41,https://p.scdn.co/mp3-preview/7418b7f0d189064a910f96e9109bcdfdc3ac4de2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
