Feel Good Blend,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
50,Blow My Mind,4vDbKYzjBJL6qXS5ydXSQ8,Sabina Ddumba,2Mp409M6EpFr3kGdQ1mwjS,Blow My Mind,6MjU9BYUyh5Ne6wm30OnJN,55,https://p.scdn.co/mp3-preview/c9e2fa9babd1070e8a04e44528f285434409bee7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Paradise,6nek1Nin9q48AVZcWs9e9D,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Mylo Xyloto,2R7iJz5uaHjLEVnMkloO18,79,https://p.scdn.co/mp3-preview/99475c9d11e4df26ca9d1460fbe0654e687d79e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Dizzy,62j59W5pMDRFGxy4bq7S1i,LIVVIA,1syVE7WNhBm2aXgvZ4HaLZ,Dizzy,4fvloZ6X5GT5Zy6xWI6O35,38,https://p.scdn.co/mp3-preview/575bb5e67854452e97d82de6a12408d02a0dc43b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Titanium (feat. Sia),0TDLuuLlV54CkRRUOahJb4,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Nothing but the Beat (Ultimate Edition),4bTjdxhRRUiWfwj200f9Kl,80,https://p.scdn.co/mp3-preview/06392eaab5975806f18d8411f5b58f50b1899198?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,All Your Fault: Pt. 2,6t5D6LEgHxqUVOxJItkzfb,83,https://p.scdn.co/mp3-preview/8965aca26c5af239f57cb6ec1570db1fd8be00f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Same (Alternate Version),6fxBOlJyQVtgz0JZjWENmc,Josie Dunne,2KgFtUjEtayfuximKppSAq,Same (Alternate Version),3TnRhUHAVhKAK64bxBgVfd,43,https://p.scdn.co/mp3-preview/780a42a11891e385772924fdf80d460fbf5b4adf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Boom Clap,094RugjgLW6CdPLOJctBZ3,Charli XCX,25uiPmTg16RbhZWAqwLBy5,SUCKER,2fGpw56D35My0c82eNfKJF,64,https://p.scdn.co/mp3-preview/3c17b0de047485e5d4193225490738e29c9c34ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,American Boy,22UDw8rSfLbUsaAGTXQ4Z8,Estelle,5T0MSzX9RC5NA6gAI6irSn,Shine,5y4Ikuc4sLtNOpanoKKqwo,79,https://p.scdn.co/mp3-preview/c5ee61bf5c6c01d923aec35b6f52df76ac651bfb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,We Are Young (feat. Janelle Monáe),5rgy6ghBq1eRApCkeUdJXf,fun.,5nCi3BB41mBaMH9gfr6Su0,Some Nights,7m7F7SQ3BXvIpvOgjW51Gp,75,https://p.scdn.co/mp3-preview/af96d9b11588ea7d7754ccf2a8cefa7ead23a7d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,One Call Away,37R0bQOQj5a7DOqh1TGzvB,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Nine Track Mind,5Nwsra93UQYJ6xxcjcE10x,72,https://p.scdn.co/mp3-preview/0c4bed645d246486c6b16fe0ac48d418259edecf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Strong,1P75eSyKtKY2ZFk9bhDzol,Christian Paul,1Bfi1Jw2HGVbOEjOdtApOe,Strong,2xBjte0BcbTMBh9RNw7pK2,36,https://p.scdn.co/mp3-preview/c05236e4c18e818147994477ad5fbd421b40940f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,64KEffDW9EtZ1y2vBYgq8T,FRIENDS,1BmxOYHjQv1dKZRr13YRZM,85,https://p.scdn.co/mp3-preview/99b833cf96a8b56040859443d8688a2e322c6667?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Lay It On Me,7oekneJCJO74ycdLzdk16v,Vance Joy,10exVja0key0uqUkk6LJRT,Nation Of Two,5f6Eu9QtujgGggq5qbbycV,66,https://p.scdn.co/mp3-preview/7e9452cfb88b5036657679b7e0462c4d2500fcac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Pretty Girl - Cheat Codes X CADE Remix,39IsH7B5byx8NRlEKlZVg9,Maggie Lindemann,0uGk2czvcpWQA383Im6ajf,Pretty Girl (Cheat Codes X CADE Remix),6jO7hs4GsF6924w10xQTyA,73,https://p.scdn.co/mp3-preview/58cb4a89b49f1b0f0a4e3eae532df7c47bc2a0b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Good Old Days (feat. Kesha),2Za1AlJNvksouPPWbXpR2X,Macklemore,3JhNCzhSMTxs9WLGJJxWOY,GEMINI,72qA6s4fjF8Y2VX1UDMfp2,74,https://p.scdn.co/mp3-preview/382e98fe869bf3ce35acf0f01b09cc199a3292be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,24K Magic,4PgleR09JVnm3zY1fW3XBA,83,https://p.scdn.co/mp3-preview/f09116ce18bd77f543e68a925e5a96509e79ac6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Marvin Gaye,3rKYiySCDMUKTw5kGVVhaa,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Nine Track Mind,5Nwsra93UQYJ6xxcjcE10x,64,https://p.scdn.co/mp3-preview/e6a5d5e2cd75bce08b7cf483d15b72b5e4bf3226?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,87,https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,A Head Full of Dreams,6f49kbOuQSOsStBpyGvQfA,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,A Head Full of Dreams,3cfAM8b8KqJRoIzt3zLKqw,69,https://p.scdn.co/mp3-preview/a05bd081296b317e2872717f1f9f2f997491799d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,My House,6Knv6wdA0luoMUuuoYi2i1,Flo Rida,0jnsk9HBra6NMjO2oANoPY,My House,5lkNnHVlnCCCV304t89wOH,77,https://p.scdn.co/mp3-preview/afa94edef4dec2eda16e99153ccd513ef4306d06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Be the One,7FCfMXYTIiQ9b4hDYs4Iol,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa (Deluxe),01sfgrNbnnPUEyz6GZYlt9,68,https://p.scdn.co/mp3-preview/1eb421afdfa6d7eec592423070f2f6c1e3dfe466?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,A Million Dreams,0oagwWkGlBoACUuKvTmqZV,P!nk,1KCSPY1glIKqW2TotWuXOR,A Million Dreams,6MtlLy42YdFaJNOgDA0NZW,71,https://p.scdn.co/mp3-preview/10dfe3049db13b3466fd5c957bb0dfcac9283327?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,A Star Is Born Soundtrack,4sLtOBOzn4s3GDUv3c5oJD,90,not available
73,High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,Pray for the Wicked,6ApYSpXF8GxZAgBTHDzYge,88,https://p.scdn.co/mp3-preview/f6404b1b3199442271c17d9e1461c3f2a52018f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Rewrite The Stars (with James Arthur & Anne-Marie),6mQLN3zRtAp6ovjusyYKrV,James Arthur,4IWBUUAFIplrNtaOHcJPRM,Rewrite The Stars (with James Arthur & Anne-Marie),4i7GEsKuuCtECD5l0VUctL,77,https://p.scdn.co/mp3-preview/d3b9071d04ca78ce322c3f8e2304dd13c9cae5f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Semi-Charmed Life,42et6fnHCw1HIPSrdPprMl,Third Eye Blind,6TcnmlCSxihzWOQJ8k0rNS,Third Eye Blind,2gToC0XAblE9h3UZD6aAaQ,76,https://p.scdn.co/mp3-preview/14a7c5f918d8665cf88466ba52ada3481c2d164f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,7 rings,14msK75pk3pA33pzPVNtBF,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,03D36t8ODrA8ATvoTStU9P,48,not available
