US Top 40,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
31,Walk Me Home,7DHApOHsIFo7EyfieArYGE,P!nk,1KCSPY1glIKqW2TotWuXOR,Walk Me Home,2KKdF2S0u36Ug2jm2qTXlZ,79,https://p.scdn.co/mp3-preview/44e8764f6028b38a76a48e98d6d2f6019e60d14e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,I Love You 3000,3znQ9i61vfe2E7URHlOiyc,Stephanie Poetri,0HS00NN7MAfF59aJnfcxSO,I Love You 3000,0vaFqzSwOjHv4QhK6BizL5,80,https://p.scdn.co/mp3-preview/29607e071fe504db1425ee48b5707c7e9f34eb44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Time - Edit,1gZFRYcPz3wKevEaNYRwfW,NF,6fOMl44jA4Sp5b9PpYCkzz,The Search,46xdC4Qcvscfs3Ai2RIHcv,78,not available
34,Sorry,6y1UtRcHQU07aUs3oxZ8Yn,Joel Corry,6DgP9otnZw5z6daOntINxp,Sorry,1PvEp0qeU6o2rm0i2qUC2N,83,https://p.scdn.co/mp3-preview/7821cae529a3cfafd1919b05a1c154e9cb5fc53d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Sucker,4y3OI86AEP6PQoDE6olYhO,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,4W0r9HOcuCC6Vh7aze2hwi,88,not available
36,Truth Hurts,4HFpIAtiojlAuYNmITpYGn,Lizzo,56oDRnqbIiwx4mymNEv7dS,Truth Hurts,6VShAGgB6UigYcp2hNcyHh,24,not available
37,Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Señorita,2ZaX1FdZCwchXl1QZiD4O4,100,not available
38,Boys,3R9RSIkgkZXrIgmBHGemlV,Lizzo,56oDRnqbIiwx4mymNEv7dS,Boys (Remixes),1OhlGc0ktAKbD1GqlfvpcK,69,https://p.scdn.co/mp3-preview/a2db1ef85045a88632b9e8d4a5651721d2afeffa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,What You Did (feat. Ella Mai),2B7UWqNqKgPVGQQ6FXn2PP,Mahalia,16rCzZOMQX7P8Kmn5YKexI,LOVE AND COMPROMISE,6tbaSZ6Q72kofaJtscUwFA,68,https://p.scdn.co/mp3-preview/66fd92a5d15e2ea822e7990639f4ada5ca9a0a25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Beautiful People (feat. Khalid),3E12WU80fDMyu7GyIAx7wJ,95,https://p.scdn.co/mp3-preview/f94d8d0c1b37773ff493e7d83930545e3425ccd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
