Dance Nation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,Trouble,5oxq2hf8u0S8RVypWZgjLf,VASSY,7HqEmV7FeCi16bQyHMpIrF,Trouble,1DYa72NoLlc7n6NB2a0MA7,46,https://p.scdn.co/mp3-preview/2857234199244325dee146fd9439aca3542f95e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,One Thirty,1DP4D6hnxTRKAUKctHE8mr,Anna Lunoe,7d96RW5Vix23AiCHr3mf3D,One Thirty,2UMWoDlJzoVjTw5MsvCgZl,43,https://p.scdn.co/mp3-preview/cc9d960a7bf02f3d5c43c8d5088ce61f4b3f2c43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Rather Be Alone,6L32iYnvUR3JrHjxShOESf,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Rather Be Alone,2hedSL1FfNMZFUJDhyQAwt,66,https://p.scdn.co/mp3-preview/962f05539a25ef628e21f9156a9244f8ac405ad9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Stuck Together,7EfWQCzNFLYUCJKG1DOlvI,RIBB[]N,5OIPyNChETp1tZW4s2Sc0R,Stuck Together,3D0RcYiqzKdX8heuNpfaVR,36,https://p.scdn.co/mp3-preview/a2f3e71ac92efbd5ac0322dd8532ce5e2c64cb3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Something About You (with Rudimental),3hYdai5p5sQ3vAmHQ6uaK6,Elderbrook,2vf4pRsEY6LpL5tKmqWb64,Something About You (with Rudimental),0yFCgpwcC2AMcbEkRTgl31,73,https://p.scdn.co/mp3-preview/75705ae7c893e0c6af8a3c27694aa23637286f77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Thing For You (With Martin Solveig),0IhTEIjFaRt3B2NQYf9azQ,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Thing For You (With Martin Solveig),1cbCgek1ORPGZFKlBIhBmH,74,https://p.scdn.co/mp3-preview/11bbbafe92be26d8764f2f033249589881949599?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,You And I - R3HAB Remix,091v7TIPqq4LeZFFEQapev,LÉON,4SqTiwOEdYrNayaGMkc7ia,You And I (R3HAB Remix),1KH0acT0Qh5SUEZysIxH71,58,https://p.scdn.co/mp3-preview/6c46e17c366166b303360c1675edddff448cb9fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Figure It Out,48KfwivFZS0R49l8dm2dno,Paige Cavell,6K3xqGQiS7BLYG6llkAF24,Figure It Out,2e3kQ0h9PNsqYmccYSdvT0,30,https://p.scdn.co/mp3-preview/16528cf645cf5ef11ace5a796da679f09f7f18cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,House Music,3RrcOMmsZn9Rg2802QmQHR,HUGEL,5PlfkPxwCpRRWQJBxCa0By,House Music,73dxP0NG3oKAAiwSIqLe9v,47,https://p.scdn.co/mp3-preview/6739b83acbdb3b3438ef101e506fa851f279cee5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Truth Hurts - CID Remix,3gOLLo0zS2GJPkLRoSaZjA,Lizzo,56oDRnqbIiwx4mymNEv7dS,Truth Hurts (CID Remix),7crLDwbXRNbsWQM9K0YBiW,64,https://p.scdn.co/mp3-preview/ba9b8b2b1227b9b3dfd42a934020474323779cc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,New Vibe Who Dis (feat. Little League),3TjE3A8tLih7KBwKJ03Htl,Madison Mars,4gJCFxvqKc43Ifk0UIBB42,New Vibe Who Dis (feat. Little League),2ToTe3g0Cjvz9zhgHWwbyJ,59,https://p.scdn.co/mp3-preview/93677a7b145eaad7ec91d616ca4c3fdc2dc1d6e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Illusion (feat. KARRA),1oRunfVqS4eeN5faOFGxSQ,NERVO,4j5KBTO4tk7up54ZirNGvK,Illusion (feat. KARRA),0OOW0KIsK3nnenb2r2xvrk,53,https://p.scdn.co/mp3-preview/2ca181dbb95afaa9e6bb23f08c6eaeac43261f45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,All Of Your Heart - Wh0's Night Remix,2ftq1DK1Q83ltdKRJEv9UI,Odd Mob,4qLwtWhlhyAoQ4S9mSrDW9,All Of Your Heart (Wh0's Night Remix),0MxpvPmHRNWpFH3kWYeL4o,37,https://p.scdn.co/mp3-preview/68bf0df9437e8ff3fd0e6fca3a69bbe940fef349?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,The Upside (feat. Elle King),6mPstbtzhyqKmwefY4eVWD,Lindsey Stirling,378dH6EszOLFShpRzAQkVM,The Upside (feat. Elle King) / The Upside / Underground,1B9rsSz0Prc3R2NtDrs5nN,52,not available
26,Same Man,5Mo54X45LqtAxV10dLmoHB,Rockefeller,4QgLZ8nDYxhOWOAYYypKd9,Same Man,3WKDuCuO9HHF9Wuyp9HmCz,40,https://p.scdn.co/mp3-preview/bd1ab41cb0ba616305abd03a5e078bd215527dba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Faster,6g8kvzwhKoNEn8DsNM5hFj,Leon Lour,0nNnD1oc02hebmFdcJkyXw,Faster,5Rh6oL3RNjXcINp6w789qx,32,https://p.scdn.co/mp3-preview/f9e24e788bd412a360e7298d7a75dfb1065ff5c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Go Somewhere,71rHHK9L22rVdmofJTjuSd,KREAM,0DdDnziut7wOo6cAYWVZC5,Go Somewhere,3VjndwWZzzLROe05SLqG5I,66,https://p.scdn.co/mp3-preview/673b3e64f3e5f9f263d02512f19e343e7cdcad8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Choosy (feat. Dantae The Kid),31F6r4J0qRBpXOUELOiybQ,Robin M,2XOzTjiQuB1TeW6JQKU3j7,Choosy (feat. Dantae The Kid),5IeFlI8T3riBG5jT0rsm1q,55,https://p.scdn.co/mp3-preview/50b1c362722a602bb90f5c7fc4c0e8ae49c0f27f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Post Malone (feat. RANI) - Joe Stone Remix,43XVdVydjpHCCGMrsjc785,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Post Malone (feat. RANI) [Joe Stone Remix],45nsubB5EsRVWWqx0ED1ET,60,https://p.scdn.co/mp3-preview/3889c3377451e0a426314f5a73992559f0d9bee7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Louder,2wacWRRZpQmDE9prT1uzJa,CVBZ,0pt7PX4Hftlg8mV1ySU84Q,Louder,3pCK0kIb9awbUEO6AZJ2PS,51,not available
32,Do It For Love (feat. Sander Nijbroek),5cMQn9HPBl1wtQvt6i2V1y,Mr. Belt & Wezol,19VDJ9IKyBSUMDJxLsasP6,Do It For Love (feat. Sander Nijbroek),7GFeCeiAppAALd6BIetEV3,47,https://p.scdn.co/mp3-preview/5200d03cf784e2891aab25700e38366460498f3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Mind Sensation,2u0TviVLWt5iai9jT2VVPc,Dillon Nathaniel,0Ut5FcDeEgaM9PM3LvnH6j,Mind Sensation,2Iw1mr6Jpeuw5CKvTbb8FY,27,https://p.scdn.co/mp3-preview/5d70651ec9658e3a7b3263216f825d843672ba04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,7 Billion (Dave Audé Remix),4VvyNdp4D0mj8Pak84tv23,OBB,2j8Rhj6E5iiRJFh6DO7e5t,7 Billion (Dave Audé Remix),13Wn8MCHPK4iGUFYP4TXom,49,https://p.scdn.co/mp3-preview/c1980369ffbdd1a8317d5a8069a2a37eedb68f96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Pretty Hot And Tasty (feat. Lardi B & Jiggly Caliente),7H7kg5Go82IuVVQEZGC2tB,Eureka O'Hara,465fhpnTeViYXxF1eaMdzW,Pretty Hot And Tasty (feat. Lardi B & Jiggly Caliente),4Py3gv91QAWnpdrlAhZb2R,27,https://p.scdn.co/mp3-preview/44159fab7ef3524697fa58e2f7318835a598173d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Hand of God,6XXNno2uNgLTt6YeM6hBBc,Jaded,6tCJN1fQNdFCEaOa8Da9Wf,Hand of God,63WsedQ1Bfa2NZg1LVxjUI,47,https://p.scdn.co/mp3-preview/9836610803d6959dc793dda552b57c217bd93486?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Need You,0EQeui6OBMzqJ3Z3wCOzZh,Faustix,6jPriOYMyUL9kNonBI1CNd,Need You,1IqpPKPKVpu1VWZ67VnHPB,67,https://p.scdn.co/mp3-preview/2213038829b148787d500fe43db7750ea298eebd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Paradise - Bazzi vs. Black Caviar Remix,5Vwgf4MVO0vLv8fbxaGGiW,Bazzi vs.,0Z0T7qMFlcb0NfmrJ0Vu02,Paradise (Bazzi vs. Black Caviar Remix),0TLVzJLOGaY5j7UdKskpMx,55,https://p.scdn.co/mp3-preview/560f30f292c0df6d6383d0263b3e9b730476906b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Never Be Alone (feat. Aloe Blacc),3GT2CBmJWIEdCpHiB31WYK,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Never Be Alone (feat. Aloe Blacc),2bSuTiPTy8EhtwWbbmiPdK,74,https://p.scdn.co/mp3-preview/731cea22023a0298bbd39ccf70b7168c4dbbeb67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Magnets (feat. Sophie Simmons),0jlpHhGUFn4aAWLsRRnwep,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Magnets (feat. Sophie Simmons),6IUzDCyxwQG7OpLtR7b1Kq,63,https://p.scdn.co/mp3-preview/12782a2c9f99b3d593f1675ab4fe9ba3491d261e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Treat You Better - Cassian Remix,3haIVEYCzkPb5pwTzbEFDE,RÜFÜS DU SOL,5Pb27ujIyYb33zBqVysBkj,SOLACE REMIXES VOL. 5,7zyRD8UilxWxScbRVrWIzP,46,https://p.scdn.co/mp3-preview/2b718d6b700b5bc917cf8b4f8e75af274f4a61c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,IM GONE,1SYNgyiVRZEBhV0P4YFBk8,JOYRYDE,24neLwyYRyj4ItaGnFeIT0,IM GONE,6jB6Ja81mc68nDB5zypsOm,64,https://p.scdn.co/mp3-preview/b3123c5fdee68162927a9fd4534fd4977a9dd663?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Candy On The Dancefloor,41RSRxdVqnSWlL9Glx95fG,Tujamo,2vVNxGBvKRQMWwI5c8KmYh,Candy On The Dancefloor,4aKSciNw4kZGWZVGHKmMEO,63,https://p.scdn.co/mp3-preview/72b605c541b151d1188f12a0fe182b53939dd3d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Sweat 19,2OW7zb6zcTMCC2Pxokfr0z,Superlover,4OxEbB5MV7rDnbYtWUL1UO,Sweat 19,2yGcuW4UBUeRJOvj9Q42Ke,24,https://p.scdn.co/mp3-preview/8860ad696c6298fed40602cc514cd66703f0601a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Trophy Girl,5BwQVHACx52qf7rLE1Ec6c,Namaste,6l4aHMAID8jbextVZAo5NJ,Trophy Girl,1LNMTeWa51Ra2egsVJHZYy,12,https://p.scdn.co/mp3-preview/428e92b744bfb28c2dff65fed3589e292c313802?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,I Know,59jHH3RyODRyVPCgpM106o,DallasK,7uas0F5EhsZg6KDJ7yy7rW,I Know,4aV2pC92HD6Dw1WTEihept,56,https://p.scdn.co/mp3-preview/847f8492c6b7d77980d0ce833cc9bd1aa4bce93d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Torn - KREAM Remix,7AasLZ4TYgh7dbJXZxcZVE,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Torn (KREAM Remix),6gKLNSKPll9DAG5xiygMxD,59,https://p.scdn.co/mp3-preview/d3159dd0c5660fb6a767cf9c9e0165266f05fdf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Exit Sign (feat. Gallant),320WwExOiFQ1BXvdtp7xsc,The Knocks,2x7EATekOPhFGRx3syMGEC,Exit Sign (feat. Gallant),6poGB37O7AqGjKZ9Pr3Vdf,54,https://p.scdn.co/mp3-preview/0ee581754994c1980182db3ca003d3fff5e0e5d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Don't Lose Love (feat. Cher Lloyd),4yEsEB05tq9BTspf862q7R,Quintino,1V3VTM7VspiQjcmRhC010n,Don't Lose Love (feat. Cher Lloyd),0gd3fmbKmvMMBlM257VGPk,55,https://p.scdn.co/mp3-preview/69e833e8676d110abd951c27e6bd6400e9f53808?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Fury's Laughter,2VQyevzyJkEUd6yF0peezQ,S.A.M.,5NvOXHyejl7e4KQnuFed5O,Fury's Laughter,7B7WzROWvMXA1DZVjBv76j,48,https://p.scdn.co/mp3-preview/18d28cb03dfc76e85338bc129ebf59decde20d67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Jump,7yEM9hYRsw9R3pJB5W0gxb,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Jump,1y8yeYpcaqJB0DWN9KWUlb,68,https://p.scdn.co/mp3-preview/702b54763fd2a3c7d429ed3b2d626bb69a0f9492?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Nothing Else (When I Think Of You),3hHcL95Pqlj93e8YCAkkys,Joe Stone,4kwEd1P9j15ZqUVP5zK7Pv,Nothing Else (When I Think Of You),28RD2BPGDTlPvnz8kR6i1e,57,https://p.scdn.co/mp3-preview/6e82f9a5b550234601d8a1fb548cf104451c1249?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,You Got The Love,03m9WRVBzoxyTeKblvLvpR,Keanu Silva,1zLMhO4zzzxt5PMV4wMS3y,You Got The Love,14B4NCJRvKpfyQBAGBCJT4,49,https://p.scdn.co/mp3-preview/3cc84385d256a0d7bb26435f3b2424ac0554ed33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Baianá - Jack Back Remix,69yJsOLPFJXRoBkJxrsDRJ,Barbatuques,5xnMjuPp1eDXa8du0SKIHD,Baianá (Jack Back Remix),1dKPOW4dPo3mc7cKHSSoSx,44,https://p.scdn.co/mp3-preview/d046dab07dae1858de26af9a577d9942edfb4d2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,I'm Not Alright - Frank Walker Remix,5TWB865zj8LZD9d4SySEif,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,I'm Not Alright (Frank Walker Remix),49G9b4ze5xi4OBA8NChGNO,41,https://p.scdn.co/mp3-preview/db7135e53cdba70a64722f4ceeda51e035c24263?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,3vQhEd4lOg4mAV6CHCgoHW,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,South of the Border (feat. Camila Cabello & Cardi B) [Sam Feldt Remix],05Bru0ZVTxp4orAyrZIA77,70,https://p.scdn.co/mp3-preview/fd0d81ed7967389cc4c050907fed99aa09ec36b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,BLIND FOR LOVE,4bUkJxCgAY9e9Tb0r4vOoy,AB6IX,4y0wFJ5jmCUNRLZfsw1I7g,6IXENSE,0hyCfY4t7eGbYwjDqmQDO8,60,https://p.scdn.co/mp3-preview/5dcf8220e79a14c25b420f06e5e61426dcc20b28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,My Boy - Edit,0WguORZMIHRuKEyXnzOioL,R Plus,0lnAZ68xKGysVy084bTQmh,My Boy,6QTWDp9lo8zn2iTVRO9iAd,38,https://p.scdn.co/mp3-preview/ba5eecffbc0b26b01ac36ec7a4e7d90744232ffc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Red Is The Way (Xenomania Presents Paige Cavell),0yCqQx3h7x6U8cUB7Lv0yb,Paige Cavell,6K3xqGQiS7BLYG6llkAF24,Red Is The Way (Xenomania Presents Paige Cavell),5oEuYM2E5scJzXTGQuPbZy,28,https://p.scdn.co/mp3-preview/66fc6eef344bd0517375ae869cb9f68a77c3c1e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Loser - FTampa Remix,4ZCc2zsD3cV7XVF48cELpX,Jagwar Twin,4luZExkmgn39Kj5XsYWria,Loser (FTampa Remix),2N2GoxQUumxkeEtwCSFdyC,30,https://p.scdn.co/mp3-preview/0a6b175e00e52c00723c0245e4cec422a57fe113?cid=fa83a2fec7c440b7a2795d600d6b2c7e
