Urban Throwback,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,I Wanna Sex You Up - Single Mix,3lsse1FoSHnNXc6y0jHxvd,Color Me Badd,1QtIfAa6y7w2JhxYJhYeUG,New Jack City (Music from the Motion Picture),3N1GCkG6Z5Rs4Qy1iwnIEB,59,https://p.scdn.co/mp3-preview/621ad25d996d7f4142eac6a00f07a882982d9b75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Superstar,39GVxN9q7OqFSCO8LtcaDf,Jamelia,3f5W9NEwkc1SAIPFuumcaf,Jamelia - The Collection,7J2vbGPE3ozC6RJkAoj4N0,13,not available
21,Freak Like Me,6Vas6h9lB5mmeVDXdFqlQA,Adina Howard,266SmBZTt4zRzaKEANWbfQ,Do You Wanna Ride?,0Tcn0XVUiS6eXoD8vZdQSk,58,https://p.scdn.co/mp3-preview/4109e2654f907e8b9bcf2541fdf0c2445080b632?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Pony,6mz1fBdKATx6qP4oP1I65G,Ginuwine,7r8RF1tN2A4CiGEplkp1oP,R&B: From Doo-Wop To Hip-Hop,4he7R24eqd1EbF9kegiAK8,74,https://p.scdn.co/mp3-preview/3ea8fa99dbd05e210739f960065718fb9ca0bdfd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Love Like This - 2016 Remaster,3pYkhCA97OPAwO6rkWLRcQ,Faith Evans,5NDMothbpdpq2xHqSjrrWn,Bad Boy 20th Anniversary Box Set Edition,52TqKxbJkOBsbjKxlKgLwu,44,https://p.scdn.co/mp3-preview/3f886136deffea8ce478de973bebbe0c751d14c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Live Your Life (feat. Rihanna),3jlbL2OTD5YmIunYzgQTAN,T.I.,4OBJLual30L7gRl5UkeRcT,Paper Trail,5PfepkNWgRR2DI02Y8AawC,76,https://p.scdn.co/mp3-preview/58db452df6a351cc652e065ac8c6c0febef793cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,No Scrubs,1KGi9sZVMeszgZOWivFpxs,TLC,0TImkz4nPqjegtVSMZnMRq,Fanmail,1CvjjpvqVMoyprsf74bpYW,81,https://p.scdn.co/mp3-preview/69daa711bddd8fe7aa9acf17106ca85cf1ccfa14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Return of the Mack,3jDdpx9PMlfMBS5tOBHFm9,Mark Morrison,6V3F8MZrOKdT9fU686ybE9,Return Of The Mack,6plavTFCGXv5vpy0jZVtOV,73,https://p.scdn.co/mp3-preview/77bbf1e3bc27bfe6339579f71fc0b612391aa5e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Let Me Love You,3ibKnFDaa3GhpPGlOUj7ff,Mario,20s0P9QLxGqKuCsGwFsp7w,Let Me Love You,7EXstuWka51pNFzEAidEol,79,https://p.scdn.co/mp3-preview/cf789f03af0823c236804eac219c0589da733bd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Into You,0nMy2qZ3UXvV1WCosahGTW,Fabolous,0YWxKQj2Go9CGHCp77UOyy,Mr Loverman,0mmK5IUb5y2q3EkR5iYnDz,52,https://p.scdn.co/mp3-preview/8aa1a83786cd4605e0752659e73447b495108260?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Closer,2XbfY2O2v3xwedUJ0J2kkr,Ne-Yo,21E3waRsmPlU7jZsS13rcj,Year Of The Gentleman (Bonus Track Edition),6dTn9vJSxVTIGm4Cu5dH4x,60,not available
30,I Wanna Be the Only One (feat. Bebe Winans),0XvOoNb9zZOwFIOM0mwbiq,Eternal,7zYGAXxAaq15C9eM29M8Fj,Before The Rain,0FkXp8n7cMtnLBo1l77W20,58,https://p.scdn.co/mp3-preview/a6e132ec00c2739db8e9bba59c70f9fa4d23a6ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,In Da Club,7iL6o9tox1zgHpKUfh9vuC,50 Cent,3q7HBObVc0L8jNeTe5Gofh,Get Rich Or Die Tryin',5G5rgQHzdQnw32SI0WjIo5,77,not available
32,Work It,3jagJCUbdqhDSPuxP8cAqF,Missy Elliott,2wIVse2owClT7go1WT98tk,Under Construction,6DeU398qrJ1bLuryetSmup,72,https://p.scdn.co/mp3-preview/a007b4cabe8441d6d878da45bc3b71471848101e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,"Shake Ya Tailfeather - Nelly, P. Diddy, Murphy Lee",6EtkH6EfTfNLjUHKDylEym,Diddy,59wfkuBoNyhDMQGCljbUbA,The Soundtrack,4DXLSy0XusV4o9ZhDfY0Ow,4,not available
34,Let Me Blow Ya Mind,4YA5g2UpNLmdql8fdrhlwY,Eve,4d3yvTptO48nOYTPBcPFZC,Scorpion,2epkTConsXtPOHY9QhvqeR,57,not available
35,Leave (Get Out) - 2018,6nIcGJK6Pj1ThzC6r8O8hA,JoJo,5xuNBZoM7z1Vv8IQ6uM0p6,JoJo (2018),1kBeLaqLbXDFFnkYWH1ayn,65,https://p.scdn.co/mp3-preview/bbc58790505b7fb418b95cd8a903ce534e1623f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,The Boy Is Mine,78Pk752gf2W9ART8MulVCh,Brandy,05oH07COxkXKIMt6mIPRee,Loving You,7Gp7eiCTuNktum0QvGTWqj,2,not available
37,They Want EFX,3HCzj965m8Fz2E8wZkir6q,Das EFX,0auu2itHTxEdAMRHvx7CyG,Dead Serious,5L6ETkYF4PeD1pSrAGKuNf,58,https://p.scdn.co/mp3-preview/b97f2b8c9f0d048bebcb1ddd81f02b271a59045d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Gangsta's Paradise,7lQWRAjyhTpCWFC0jmclT4,Coolio,3y24n3XhZ96wgwRXjvS17T,Gangsta's Paradise,0fYctMs4EvoEqzDh8Kmg5g,81,https://p.scdn.co/mp3-preview/5299497db5ba226f388f3a064064cc44b2b51568?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Big Poppa - 2005 Remaster,2g8HN35AnVGIk7B8yMucww,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Ready to Die (The Remaster),2HTbQ0RHwukKVXAlTmCZP2,76,https://p.scdn.co/mp3-preview/7ca5bf638f4ba523d2769c4f63c1edf4988a4d98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,I Got Love,52riputZ4Vo5PG9MOSy6r5,Nate Dogg,1Oa0bMld0A3u5OTYfMzp5h,Music And Me,1MCA50GzswxscAouRWnrES,61,https://p.scdn.co/mp3-preview/514f93cea76cd51efeb108c12d2e7aa7e0459d1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Can't You See,1poK64Wt7p7VwrAbFgD5hS,Total,1urjDGTd4iBze91Z1W1gu7,Bad Boy's 10th Anniversary- The Hits,46JQVqJpOg8opDLUl1qHT1,9,not available
42,Lighters Up - Nationwide Version,17q0RuKX7EcMaEkTAmCThy,Lil' Kim,5tth2a3v0sWwV1C7bApBdX,The Naked Truth,0f0p5YbL8yy5aFtCNGlmvg,43,https://p.scdn.co/mp3-preview/e6ae16bb03862471f5b15bacac1bba1f694d0a0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Turn Me On,0RmXtDH1cBMGImRrmn5xL6,Kevin Lyttle,1GaBsp1ICIp1e6udgE7fba,Turn Me On (Online Music),4SxJ71noA4wcd03JfJVkKT,68,https://p.scdn.co/mp3-preview/25983983d1f5c1da2bee20e2e828789859f532b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Airplanes (feat. Hayley Williams),1QnvpPFP4Q3FHbDchqWiWy,B.o.B,5ndkK3dpZLKtBklKjxNQwT,B.o.B Presents: The Adventures of Bobby Ray,6f06neONZ0xqqftlgtVP74,68,https://p.scdn.co/mp3-preview/8c83787fff0b72fd657d43c15e98bc24860ea061?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Grind with Me,3B7i9OKRRmIsSBHEbJz58Y,Pretty Ricky,6XwcepfAsPhrvwziGxhwju,Bluestars,5Kexjw3aLUrvDNAGrUMAmE,67,https://p.scdn.co/mp3-preview/c7176fb6cf2dda7f72dc5e7c7d4d97896a4204ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,No Letting Go,5dWfl2PBpKHpBVdz95wxK1,Wayne Wonder,3kc5AFnL1TQQdNaMdSW2UO,No Holding Back,3WH8Q7LS2p143e5PrKGLeA,63,https://p.scdn.co/mp3-preview/6dbbbdd3ef30c2292246d582ec64c41060ffab26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Don't Let Go (Love),6zmRoCPjIZA9ysAVBYiU9Z,En Vogue,5fikk4h5qbEebqK2Fc6e48,The Very Best Of En Vogue (Digital),6ABqEktNUuYULXWUubkHKg,52,https://p.scdn.co/mp3-preview/be0773bbd19f63da1907b08f38baacec0f25578c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,I Don't Wanna Know (feat. Enya And P. Diddy),3pYcGuasNwouukvgQcgo9a,Mario Winans,4rhq9myoBjElSDOpaFZiaV,Hurt No More,25NUOR31mPuHfkB93smr6I,16,not available
49,Promiscuous,2gam98EZKrF9XuOkU13ApN,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,Loose (International Version),2yboV2QBcVGEhcRlYuPpDT,72,not available
50,Drop It Like It's Hot,70ludZZEUJy1aFVkPI0Kpi,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,R&G (Rhythm & Gangsta): The Masterpiece,6cpp6a0RDlZhHUa2C1ArN3,70,not available
51,Temperature,0k2GOhqsrxDTAbFFSdNJjT,Sean Paul,3Isy6kedDrgPYoTS1dazA9,The Trinity,32Bu3ETQhR1PFCj3ndDlYf,77,https://p.scdn.co/mp3-preview/c1ee0ed6fce41fc3ab320cbacdbfcffd197af3a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Right Round,3GpbwCm3YxiWDvy29Uo3vP,Flo Rida,0jnsk9HBra6NMjO2oANoPY,R.O.O.T.S. (Route of Overcoming the Struggle),2vBLKFrI1rZqB7VtGxcsR5,74,https://p.scdn.co/mp3-preview/03ef1692505cecd8365373d11679d35af3880eee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Shimmy Shimmy Ya,3ABG1UQTk0eLYUAeWkmfMi,Ol' Dirty Bastard,50NoVNy9GU1lCrDV8iGpyu,Return To The 36 Chambers: The Dirty Version,4tI4WJdTN5MzDMRMl2i7VR,68,https://p.scdn.co/mp3-preview/b395f63d0ee72d9b63a5da17564d56828c22cc19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Yeah! (feat. Lil Jon & Ludacris),5rb9QrpfcKFHM1EUbSIurX,Usher,23zg3TcAtWQy7J6upgbUnj,Confessions (Expanded Edition),1RM6MGv6bcl6NrAG8PGoZk,81,https://p.scdn.co/mp3-preview/8a5e4f8dce6b1a957e235185a4677841fcaafe90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Numb / Encore,5sNESr6pQfIhL3krM8CtZn,JAY Z,3nFkdlSjzX9mRTtwJOzDYB,Numb/Encore: MTV Ultimate Mash-Ups Presents Collision Course,4lhyg7YGQagE8FT8cZBqyw,76,https://p.scdn.co/mp3-preview/0db4038760aa7b37213a9cb7497aaa808cab960f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Blinded by the Lights,6DoenX36UcAKSp6wR9UKxM,The Streets,4GvOygVQquMaPm8oAc0vXi,A Grand Don't Come For Free,365ETCJBUmEWroc4UGBS1u,57,https://p.scdn.co/mp3-preview/4449bc63f491d811e0a3437d2bd8d50dd54eb6f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Slow Jamz (feat. Kanye West & Jamie Foxx),1boHm9rjmvzxpJASd9dnGK,Twista,6vbY3hOaCAhC7VjucswgdS,Kamikaze,6Xu470gdLgDOnFDj5qND1N,60,https://p.scdn.co/mp3-preview/9ccecf7a017fa6a3ee53926ae2b6b931b9b3e775?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Twisted,69QIVIjPMnI1ABLBqh9P1b,Keith Sweat,2r09Inibex3C4ZNTUVSG3m,Keith Sweat,0BzXvdpUKDEk612hLc6rZV,65,https://p.scdn.co/mp3-preview/d7373f83c11623d3b2952fe06cd19b6d31534f30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,No One,0JEqGkvUiMTQmFY6sgL9kg,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,As I Am,0neqylYFL6s6Ikdf3UFmUo,24,not available
60,You Might Need Somebody,24IFYP3J99HK3aB6xG5jtP,Shola Ama,1XCorAp4vtEceWjPgyiiw6,Much Love,6DhCo5DZPHqFAW8QoapQPz,49,https://p.scdn.co/mp3-preview/eddb92ca1633a91082ff705dc046f2cccaab66f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,I'll Be Missing You (feat. Faith Evans & 112) - Remastered,1yy2DlSDtEt90d54rPDPXz,Diddy,59wfkuBoNyhDMQGCljbUbA,No Way Out (Remastered Edition),33hEDxsIVGf7R6wRdZBQOw,68,https://p.scdn.co/mp3-preview/af96792ff706c7b87a5f192b2d82b54317543a06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,"Flava in Ya Ear Remix (feat. Notorious B.I.G., L.L. Cool J, Busta Rhymes, Rampage)",5PbFD3AIyunz5HxocduA9e,Craig Mack,4akj4uteQQrrGxhX9Rjuyf,Bad Boy's 10th Anniversary- The Hits,46JQVqJpOg8opDLUl1qHT1,63,https://p.scdn.co/mp3-preview/c797368e2e1d8cae83495331d7f3facfff3b9430?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,"One, Two Step",7uKcScNXuO3MWw6LowBjW1,Ciara,2NdeV5rLm47xAvogXrYhJX,Goodies,71gUhKYZIWmmjqAHlY4Br3,76,https://p.scdn.co/mp3-preview/ebc79c6e835bd18a744307d51c942a749e3ad2ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,The Jump Off,6UZS3KgNc0NF13bbtQTzD6,Lil' Kim,5tth2a3v0sWwV1C7bApBdX,La Bella Mafia,6UlNLXBFLqRDiKnyrF4oDE,58,https://p.scdn.co/mp3-preview/933d54d4e3a98dd52db264deb1334ca7dbe06817?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Superstar (feat. Matthew Santos),7dltD9eEX7X1zk8JJ9BS0e,Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco's The Cool,0MihD70HInk2rDaChdAdEy,67,https://p.scdn.co/mp3-preview/8b4626a280794b4558350934eeab4ea0c5bef927?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Ride Wit Me,3Gf5nttwcX9aaSQXRWidEZ,Nelly,2gBjLmx6zQnFGQJCAQpRgw,Country Grammar,5v7Icroz1sQsK2sQyLrWzE,75,not available
67,Billionaire (feat. Bruno Mars),2qPUnoasNe4Ep43emVXEig,Travie McCoy,7o9Nl7K1Al6NNAHX6jn6iG,Lazarus,7kOivwbxDlUcVa4dCBCsWg,69,https://p.scdn.co/mp3-preview/bb1c32e7c8466d3cbbf01e268f3a572f4d3b0fb9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Too Little Too Late - 2018,3hc7PLcmuZbJGPjhIore1i,JoJo,5xuNBZoM7z1Vv8IQ6uM0p6,The High Road (2018),2U7Vdbcizw7WqeMAnNbX8P,69,https://p.scdn.co/mp3-preview/9e203255987d33c1d9c12045738fbbfdd9864901?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Get Busy,7C86DVl6REN8VPeGEMOf9q,Sean Paul,3Isy6kedDrgPYoTS1dazA9,Dutty Rock,3UdSdz4TjW3tjmTZE03Ehv,64,https://p.scdn.co/mp3-preview/9852d037d90d8059d97546917af1ead2f7393321?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Bad Boy for Life,2eOuL8KesslTLQERQPu11D,Diddy,59wfkuBoNyhDMQGCljbUbA,The Saga Continues...,28BrFxsnBMjN689hOuf1jv,66,https://p.scdn.co/mp3-preview/2ea53992ae2baea5905296c6e42174fabccfc176?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,The Rain (Supa Dupa Fly),2WRzpLD8qDRrxMXc63E5WJ,Missy Elliott,2wIVse2owClT7go1WT98tk,Supa Dupa Fly,6UkdyvPElK6JDkyeRClbI2,62,https://p.scdn.co/mp3-preview/dd17a9032afd28d262c39df600881108c214fa97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,I Wanna Be Down,6N9uyMZf9pbNOuomveWscp,Brandy,05oH07COxkXKIMt6mIPRee,Brandy,2yHJoGH0mIqYVAHUFKJcZ6,62,https://p.scdn.co/mp3-preview/2dbcf81b91b4879e58fe6c67d3e1691a31235931?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Just a Step from Heaven,6UG4ArmwcY41Zjtk06jYMx,Eternal,7zYGAXxAaq15C9eM29M8Fj,Always And Forever,0wOzlOLMnOSs8iqbJscgnX,37,https://p.scdn.co/mp3-preview/428ef07e4661b2a7b2ae52610efaaa52608666ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Mo Money Mo Problems - 2014 Remaster,4INDiWSKvqSKDEu7mh8HFz,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Life After Death (2014 Remastered Edition),7dRdaGSxgcBdJnrOviQRuB,74,https://p.scdn.co/mp3-preview/0260fcbb89863c7da1358ce217fe20dc5b8416e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Nothin' on You (feat. Bruno Mars),4X5xWMINgGA6l0GoyYkMcr,B.o.B,5ndkK3dpZLKtBklKjxNQwT,B.o.B Presents: The Adventures of Bobby Ray,6f06neONZ0xqqftlgtVP74,60,https://p.scdn.co/mp3-preview/cb93cd5770a3ff6824d8cfcb7e743c9be99c0246?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Wreckonize - Remix Vocal,22Yq5tkMN8JE7h1Bq3pWHS,Smif-N-Wessun,2p0Hf0MF8Nw8lwAXokczf0,Wreckonize bw Sound Bwoy Bureill,1LHqpSFkhdATygnTESRofL,61,https://p.scdn.co/mp3-preview/ed69b846892b81441a85d7a4036c743527e0789f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,End Of The Road,3l3xTXsUXeWlkPqzMs7mPD,Boyz II Men,6O74knDqdv3XaWtkII7Xjp,Cooleyhighharmony (Bonus Tracks Version),3jknvlUSe6D9Oyn2E3JBLO,73,not available
78,Dead And Gone - feat. Justin Timberlake,1k2NovMHKHhgGsHxg0aYAS,T.I.,4OBJLual30L7gRl5UkeRcT,Paper Trail,68E0atuSszPQYckBQ6cQnv,5,not available
79,Hypnotized (feat. Akon),3LN41NUdHkyNqQhi9gExMm,Plies,3jksrX4oBklxR78ft8gv3j,The Real Testament,3NoUdjYUcUuRMpOzyapnYW,66,https://p.scdn.co/mp3-preview/b25783600d3e8543d40b0fc8f0022ce11fe57939?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Long Way 2 Go,4v5kAh2wWyCSuKuhMJK8u6,Cassie,27FGXRNruFoOdf1vP8dqcH,Cassie (U.S. Version),0j1qzjaJmsF1FkcICf3hRu,61,https://p.scdn.co/mp3-preview/6bab26c34cafb31563e69a24c8eb25cc52334c00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
