Mujeres del Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Veneno,4pCe10FbydPpDaWPWVtSv2,Monsieur Periné,36KsCCwgI0Dep97yVJWmkK,Encanto Tropical,65dDJHiGH66LQPEiLHKDma,51,https://p.scdn.co/mp3-preview/67f6581c76e9a6b35f6e5f144d92fb33fb521b6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,El Origen del Arcoiris,1towfaOJ1x8NlAjCQsgoTg,Camila Moreno,0SJy1J0FgP21lbvGBMKT8H,El Origen del Arcoiris,1mz4DG8vji8MQaNjTT4nvH,49,https://p.scdn.co/mp3-preview/e13b5a2767060fa129701e16e4df73a31e550ea8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Creo Que No Soy Yo,7qbxZmrxS6ffyMsAP2YUKc,Maria Rodés,2uCphK8yRHj9DHJmmE5Isf,Creo Que No Soy Yo,6C2WuAzDG9RmmI9LecePOD,25,https://p.scdn.co/mp3-preview/d3ff5807c47790566e3abf695dd811f93cc48d20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Hacia el Fondo,4PjdRJ5qKarmZkExU7X1BY,Rubio,79YjWaAoD88XGLETIsnnQV,I,0paC09xWlXqfwWhcIdCpB9,0,not available
14,Quiero Que Me Quieras,69I8H6hOjJtysbOQIdRZCO,Marissa Mur,5kt4v3JNtP8svtTI8PDFOT,Quiero Que Me Quieras,2SywNh8zslIfAVJnWzXBkv,36,not available
15,Carta,2TiTcWEs1CldfTx7fOGfS4,Silvana Estrada,72VywtXEoONiBLNu3ibGI7,Carta,1ebHnnX7boUGSAD0YSAJyX,50,https://p.scdn.co/mp3-preview/65ea93cfa597050fdb558a09a2ba597ae8a6142e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Son de la Vida,4z3dFFqNYEMqpvpJ03yQ2u,Pascuala Ilabaca y Fauna,6nf17XGXCx2PSgkhPYjSIA,Son de la Vida,3NMQ11UoQHhOvV88Gv674w,31,https://p.scdn.co/mp3-preview/180dc62de220844a9c3a83213dd1e87b4626e028?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,A Lo Que Vinimos,0hNjrvEpHe4LMWQ2ARc9Hh,Paola Navarrete,45nJ2GweSs0s4gWVGHLhYu,Verde Fugaz,0GpMfBHm18jWYpxCoj3Obo,32,https://p.scdn.co/mp3-preview/8f2151a6d4103ae9fd589b72810350e39fba7885?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Luciérnagas,3FEMiGiscMnKUqtCA8hmqI,Tessa Ia,2Bo0gW1bqWSjD27xOcVtjg,Luciérnagas,0vVYd2IzehgtHKH0PB5gaQ,38,https://p.scdn.co/mp3-preview/7f18648f3acff40571252416c57d0d88eb76b878?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Kintsugi,2kJSKfA6jrrXxqmDZoWLvt,Pamela Rodriguez,0xSlY9GBehjuViqWE1KrMC,Kintsugi,6CBtxsXQQKQO5jiCpysjMw,27,https://p.scdn.co/mp3-preview/e5890d9d2616ed63f5e3fd0d92da0a860c98876c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Volcán,0oK7fjbrgLMBz3cDq4Xdt1,Micca Mont,3Mcs80YyahnlFronaLHtqv,Volcán,50TExdCivApyDJ32ehVtND,31,https://p.scdn.co/mp3-preview/3de5a5431493403bfeb0b8cf8a6a74e1b7ce486b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,MALAMENTE - Cap.1: Augurio,5zOAudPQIs5U8zP6LQGHmH,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,MALAMENTE (Cap.1: Augurio),2O7Zu2OPZzqehwh1wiO764,69,https://p.scdn.co/mp3-preview/e144483031e39b729519d4b229baf62f33d61ca0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,¿Qué Tiene?,2vNDq5XAoF4Gl4hfY7aacS,Ximena Sariñana,7plUpXSFcSJUZSiZAoXqr1,¿Qué Tiene?,3TF5YZurXL6aE9cbkWEbUu,60,https://p.scdn.co/mp3-preview/172eeb768d378828ba2ac163cbae93f42ce18136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Olga,4d3iFjV5XBQ6u9meTBcWly,Fer Casillas,1zl3p4VBfqqHGikw3Ad46R,Olga,68D3DfF2krx0XOhfDxwjuL,23,https://p.scdn.co/mp3-preview/938270123c8614ae658a532a01f7d2ade9d942ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Aquiles,2y2qqW1F0SqIpdXy9lV2Xy,Mercedes Nasta,0eHEhyv8iCI5pLiD5Eh3vH,Aquiles,4aM9vvvIr65K0m1C9PPKai,34,https://p.scdn.co/mp3-preview/d21e8b8d042e6a4b01d9c5599fe92e47dd40bb22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Nagano,5qTnlwbe18VRvDJQYAreGW,CLUBZ,6MoZZABXeQwEmzmcwICxwK,Destellos,2X4swA3UkpqAS8bbXYgP9k,56,https://p.scdn.co/mp3-preview/1fc849c88122f70060c4a0791ff5351471fce1bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Hasta Que Salga el Sol,0hkDnlpvolvTx9iXSbw2g9,Soy Emilia,09MCzRiOuz48BY0imXgFFM,Hasta Que Salga el Sol,24s5SaA03A7g5WPzgb7BtC,0,not available
27,Lluvia,4QNit6Cf3cE6ATCkMf9DPi,Natalie Perez,1Y99HOeRzRc27my6NJE3rE,Lluvia,1qv9qjBCJ2DvydLugns2tM,1,not available
28,Verano,5fTKiJokIclOR01jHlY1Pi,Naïa Valdez,1WE5kYBn5jgJyzXroKVktA,Verano,2cQhvgpHd9QBsspyVpU5vc,25,https://p.scdn.co/mp3-preview/63ba576aebbc59b2c90caeea0eb2a0871d3658ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,¿Qué?,25bwcWBGh9ox4CR1ttJeHU,La Bien Querida,0Wn7tfH4rhaWTn8aMqSgh6,¿Qué?,5DoubGLMbpvAYcd6DDz5Nz,55,https://p.scdn.co/mp3-preview/43da84952e69d79d1b875dc31d9ae0a2f94156e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,A la Mar Fui Por Naranjas,4gs3JU7JF0UkF7R8kP1tU2,Niña Tormenta,0KJEHAoNtPaopqOHD6UIkY,Loza,0RAoYFdwdNtRG19pGJK8Be,30,https://p.scdn.co/mp3-preview/996d49ffca98f1b86737cead9d7e495cf3e018a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Arma Letal,20IkGu2iw44zKM7COEGbCE,Fer Casillas,1zl3p4VBfqqHGikw3Ad46R,Imágenes de Olga (Lado A),3IbsxCzaqRc3js4Zuyatmc,24,https://p.scdn.co/mp3-preview/dc7d136d3762d5688fb074095cfbf1656142d560?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Gritan Fuerte,37bh1EbB0oJQRqxhvJ92nG,Lucia Tacchetti,374jlNpaJvanFJrslZYHBJ,Gritan Fuerte,69CyCtEbufErhbo60ck42J,34,https://p.scdn.co/mp3-preview/00b5bdc28fc66c69066c05220ebbdabbdd11e522?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Desilusión,6eDn4Ayeaau15f25SF4En3,Sofia Macchi,4gtaTXIhBK1iyVUAkB2YZu,Desilusión,1NINKjfyPRdTjMD8bN1NeY,39,https://p.scdn.co/mp3-preview/3b96834efba695df961871256c336e4319dfca60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Café De Las Ocho,6XpmMP3AzxZjI81e9apesl,Covi Quintana,2sSqkk6j5gRa7MzeQqMfIN,Café De Las Ocho,77KVG02WxFMY9I3KI10dag,50,https://p.scdn.co/mp3-preview/12c1d014771d95a1e821c2c6a59c92069973c517?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Antireversa,2c3hdQPHkDWOdBGV5uYhVG,Sol Pereyra,6nmZ0P2weepXhXvox51G1A,Antireversa,75eUZcvovZsHwteLtzZnmj,26,https://p.scdn.co/mp3-preview/caf3ad2fc3d9219c03c06a2a43694464a463ad68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Tus Ojos,0q68rJlUXGSJPT2wM38EpI,Claudia Prieto,3sjhqldeYK5lqWkyefb1jG,Compositores,2eEcFRSz8C3bFWu6A53Y9B,29,https://p.scdn.co/mp3-preview/f51b17dab45ce41a20e549a1cd21b50bd4e088e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Siempre,0jhpgdVgrt3HKVGmQQvGAc,Noa Sainz,3kN2uYBnEM2IqRxa69sxkr,Siempre,4E3phZHUQITTJUOe9piDe2,25,https://p.scdn.co/mp3-preview/2f390e236855165794e489c4fb9ac5434a0ece2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Hasta Que el Tiempo No Nos Separe,73YkM28HQnUPAGv8fyw1TH,Celest,2tpIEJakXfrYv4CwlUL1Fl,Hasta Que el Tiempo No Nos Separe,4ZL8atWiJfWMlfx5Pd4vtT,35,https://p.scdn.co/mp3-preview/03f30a7d336f47fcb09c9355bf18617db72c0cb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Corazón de Árbol,1em0YqtsLvSN3E4tdBQc90,Loïca,2kCK9NogDIDEhWggoJRla7,A la Sombra de Su Árbol,1tDUlhub6MtH0eOa2Gx6eF,21,https://p.scdn.co/mp3-preview/c72ce41d2ff14210835ed5906b6153c81e9119aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Sirena,63CFs2oSfqalDwQjmAQOPq,Mula,7bWZkUZ5drGDoGAFhGoYGE,Sirena,0zQ1dS6uygwEcnNAAzo2LQ,0,not available
41,La Verdad,75uWDZMliAGnAq5wyoaqwS,The Chamanas,4QUnWR26plj0oHiQgRyhvk,La Verdad,55Xfg9PHthlLoShZSCTQ4X,27,https://p.scdn.co/mp3-preview/6141848ebcb92414ef9393b6b6990da0f2b7fc41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,No Me Encuentras,6oSYFdzNQE4xcMHZSsLSyG,Tatiana Hazel,5NvrRBcK6hRuboOL0CtZXU,No Me Encuentras,4w5wqZhyYXb0fvMuINF0kR,38,https://p.scdn.co/mp3-preview/90021be9a040b836684d93faa553d325409b8841?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Casa,4mEpYGrEDFek0JJznKZ7Hv,Fer Casillas,1zl3p4VBfqqHGikw3Ad46R,Imágenes de Olga,1TZeaHikj2S5KfKEoWdcDA,27,https://p.scdn.co/mp3-preview/23432130acc072ae0fe00f3e235a1ab6af1e478d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,¡Cuántas Veces!,1VOctrAPWBD54MY4WHYmU2,Katie James,22CvgjvwICkeXjcYWLykD3,Respirar,0Drx3BVtsnApCkXvLgLlZz,30,https://p.scdn.co/mp3-preview/6ba98fc4bd74367991d43ef4095b922a5c2254fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Corazón Negro,40MCJ7vMPvmENFf7yDBtmi,Aida Bossa,67pueAIehGjbKbuwPQ0Lyv,Corazón Negro,6jSPaMf0h8xKnp4kgRQnhU,30,https://p.scdn.co/mp3-preview/79c702989dbee92e9319cb1f0dacd0ca7794a4bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Cortemos,27yn2ODiJLkrN41zDvmEw9,Pamela Rodriguez,0xSlY9GBehjuViqWE1KrMC,Pamela Rodríguez y FFAA,3Sddgopqc6s6y6iSrKyVGS,39,https://p.scdn.co/mp3-preview/96c33006961f098c7d242444003abe4c0fc67f8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Una Noche Más,17mBlcd9xfl2XjvX1hyruA,Tania Barbará,18zlMHVUNwCW1CmnG4pgFP,Una Noche Más,3KmkLbNxIV73IhgFVgd2yd,26,https://p.scdn.co/mp3-preview/c7aa6bdc89d2375afec2c3486c5c4d7c0752b1a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Sanar,2wq42fveBWE7qzqjEP2PQR,Fer Casillas,1zl3p4VBfqqHGikw3Ad46R,Sanar,07CaFRzg1lb3H26MnMUI4f,28,https://p.scdn.co/mp3-preview/a85c98e991282ebfaf9ee4fc6bf25cdd4c3868fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Lost on You,2LIh4uzqq9cXMPzzmcToHl,LP,0J7U24vlOOIeMpuaO6Q85A,Lost on You,0dYi4VGov4Dl4AED2eVwPw,79,https://p.scdn.co/mp3-preview/313cff9d964dd65fa29e7a07e9146f9d183a809c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Junkie,0G6eF5BCXoJz2XpND1cxRH,Ditilenko,3g6ynjZ0WgIC0epZI7cuuJ,Junkie,1ZwKys49t13n7sa6Iz6FJb,21,https://p.scdn.co/mp3-preview/fff5243a0fcd2edfcd8c6276754ce4ab6abe4c52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Ay tentación,36aqyvgi0LDv23pZNYTbFH,Chicarica,6FCUGgR9Bf7zx8q7Sog9dN,Ay tentación,4WClPjVnjq3q5FwHpX8cg9,36,https://p.scdn.co/mp3-preview/222ab6665144782abf155c6b508a995667d89ba8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,qué bueno!,5oxWWmZLJIH0y6v2isD7Lt,Noa Sainz,3kN2uYBnEM2IqRxa69sxkr,qué bueno!,5NF8Q7vFhmT1RJ15czoEL7,42,https://p.scdn.co/mp3-preview/4260e3e8abfb9f2aa4636919aaf7bf09bddd0819?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,De la Mano,78VB4C1vIPviFW9i0jLjdC,Las Ligas Menores,3MNvKeLzGSvOPtXJAjCOzf,De la Mano,0d7PFbxLheCq7BGaIOuDb6,38,https://p.scdn.co/mp3-preview/ff5cb0a003c6c46622911eaade980787835ffe02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Navegante,3mqoqtfwUhBwuecIWXILFs,Miss Garrison,6KW0KNqfkuSKryF7e7hONY,Navegante,21ummsID3hUAfxd434vR8g,23,https://p.scdn.co/mp3-preview/f42ab29ae52ad6563c99463870fc2875c8fd18b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Balas Negras,2eJafxdBVxN59Bl9zdP5J2,MexFutura,16yvPTKPf2gSF9p2B7GlwF,Balas Negras,5bkCR9Cpq7ZrNnDHltjc6S,34,https://p.scdn.co/mp3-preview/8d8d7bceb8ea27718f043fb85f9006c352629380?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Para Dos,4O1wTxFcSAsvE0blEbsIkY,Cocó Cecé,4MAPWlyF0tOgw8djPFLU9V,Para Dos,2dT87pA1XEnnuQaC8uB88G,30,https://p.scdn.co/mp3-preview/771bdce9fdf4e2e5fadada401ad8f70cde573088?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Amor Analgésico,4OHYGMbh6ui7TSj5UeZStH,Claudia Prieto,3sjhqldeYK5lqWkyefb1jG,Amor Analgésico,61Y5BY5q4mQWEgbp0Yk1XA,23,https://p.scdn.co/mp3-preview/01a0561900f2c577714eada0fcd2a0591c23dae3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Si Me Voy,0D7JJDCDTiVMuLnXpoAW9h,Stefania Kirnbauer,7205IkuyK4VQwBI5IbIKq8,A Veces la Lluvia Solo Es Agua,2VrhtmdUYcPliiJVMCJxfR,29,https://p.scdn.co/mp3-preview/bdadaf870081b8e2c919bd8802bafca32057395e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Helado de Mango,3h3L1IArPewYKXLgb6YLX1,Naïa Valdez,1WE5kYBn5jgJyzXroKVktA,Helado de Mango,5fd7vj3legWUCGUdEhM6S8,47,https://p.scdn.co/mp3-preview/8cd5b624546d479c6b8c41b2e5324657bd7cd0f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,La Perra Soledad,1s7y3gBwzBpucREn0Pgwxr,Arroba Nat,4Srl3qf5e1RfnXi5wBlIL4,La Perra Soledad,4KxzEIFakAHj2O5jClpLbX,46,https://p.scdn.co/mp3-preview/85f6b8b0128f692191884c572c382586d314af13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
