Radar Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
44,Todo,4IYm5Jc4y4omwv4bXQYlZv,Fanáticos,4sZhiWLYA63NKsoJUuJz1B,Todo,0EhoyTdfKUstXyjqFIrEeS,36,https://p.scdn.co/mp3-preview/f38c4a2bd29c30e46b6f498260626654e9fdb770?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,El Novio de la Muerte,2TSbnZSnGVdGzcF4brLFV5,Fuerza Nueva,6jTfHUMYOlGUcOrgsq1Rm6,El Novio de la Muerte,6MYsxSmJjBz1DbaMlod4c8,42,https://p.scdn.co/mp3-preview/3a6747795e161bcb75788c85b02dc8cca872f71c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Aún Queda para Largo,5mIvXfgJcMeOBhlXThfAFm,Astropålido,3bS1xumJ5H49qsn3J7gya3,Aún Queda para Largo,7m5uBBfBDtPhFl47o8y1F5,32,https://p.scdn.co/mp3-preview/1ab33e6a76ed772fe1831ab106de65c5713f1a82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Créeme,2xSkiO6yedGCvRPEi2WzOy,Nunatak,7wqxTrC9BtdVj2G6j9PP7z,Créeme,3kPkWhAA7tvxazLmshO0LF,37,https://p.scdn.co/mp3-preview/e97ce7beb5296b4ab9360685167d5538b278beca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Esa Música,4U8Rp9sge70EMwIdjAtJeS,Parade,1peNOv8TAlb3Lu1IqaNf56,Esa Música,1d1oaVUKSRwKvF4SITE32m,29,https://p.scdn.co/mp3-preview/30729abdad8f97bcc32b5c585b2078e84efd2bf5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,En el Otro Extremo (feat. Dorian),75EL6xzmTxlU80VBXeozak,Shinova,6rRTrEHzGSDqhmFJQrNFMO,En el Otro Extremo (feat. Dorian),2FK5VA8UqAFd0fgAVbVlir,44,https://p.scdn.co/mp3-preview/2d20dfb4d5be7fdc778cf17263bb41e75d2dd621?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Tres Venenos,7cb7BpEQ3aDDiMtMvDWxh3,Tulsa,2gtVnbrVpID8VrotZPOg2a,Tres Venenos,2hmPLZ5smZWeBObJ6iu7cA,36,https://p.scdn.co/mp3-preview/ec8cf78927bf635319fcb478ec4dee75dfff0ee0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Estrella de los Mares,01u91DHY7vYq14yMc2mDQb,Apartamentos Acapulco,5MJEbh71qd0GTKQdKko3TT,El Resto del Mundo,6o7hUkPNBcvp3tpTRwTQok,33,https://p.scdn.co/mp3-preview/f1541163b50880eb3edf0f89f63065706bd5e879?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Quiero que arda,1niPLrVPv42yZeRrNRFlZz,Nunatak,7wqxTrC9BtdVj2G6j9PP7z,Quiero que arda,1icjasMX8gjm1Ib4Tvchep,26,https://p.scdn.co/mp3-preview/ebb1f569030cfd451f83a268795912ef5dc1a695?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Mañana - Radio Edit,6cWyIfW0LKgqHgyncHhpOq,Jose Domingo,60XxN4jbU8CLJPAi1fAZPi,Mientras dios no mira,3RJjTh5fIfYrDfZmZtkjx5,27,https://p.scdn.co/mp3-preview/15a4de4dcba1f559bf2d3ff30c1d37c76912868f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,El Rumor de los Tiempos,1VJ4JOFl7YDjPHcsPcyEY1,Fabián,3NOAlABNpDcz4WxKSiBTh7,El Rumor de los Tiempos,2bOzWDjrv6huRw9BMzrtNN,34,https://p.scdn.co/mp3-preview/732d10fc0096e2d7e3f75541d7c3870d5e147a26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Lo Quiero Todo,3l4zq4LVqtDKSyoluPSCK7,Las Odio,7fpWlfolzAkqmxhUeAoyab,Lo Quiero Todo,2jfBASeEqZeoxzQtVIa6Tb,30,https://p.scdn.co/mp3-preview/1e1876f01e8c54d03af9444004bd1cbd3062a0a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Dinero 2,7JTWtEr0eZp9Sy4ZSvr0Lt,Los Punsetes,1jr0mAgIhKtTeKTZwk0HjF,Aniquilación,2dXEXyzpTqZ3U2lrjKgw5l,35,https://p.scdn.co/mp3-preview/4d03bc9a73a60e9d1d059f394c3a2e9537519882?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Mi gran virtud,3uGbZQQzAP0n7x3frvj24h,Nunatak,7wqxTrC9BtdVj2G6j9PP7z,Mi gran virtud,0nozEkOiQrzMLO1GGRn08h,37,https://p.scdn.co/mp3-preview/a1b6136ced4ae45df554d7bdd5166e58e8347e1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,La Partida,4rgFcUHqjpX6oNpwhENVTw,Cómo vivir en el campo,0tiHDVtZN924sEDRTC3d2J,La Partida,1F6ueUbKs7K3cXZwLh8x31,32,https://p.scdn.co/mp3-preview/0f17a435001ed12aa79119ce45b3655493899a7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,No Vuelvas,1vCYFvjL8Axz8QECRgcTsP,Soledad Vélez,4e7wEeokf7skRInd805EVH,No Vuelvas,3gd1kAdAAsjjG18Nb9i3Si,36,https://p.scdn.co/mp3-preview/3f7c5704a5f7a282451e82468ac1c33ce3771dcf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Los Naranjos,4cTy2zeYhbfZPz3KT3l4KC,Vera Fauna,6A1ptzbr3ljSMF01esP6G4,Los Naranjos,7cJBQEUxOlhnvTSYoENUZU,36,https://p.scdn.co/mp3-preview/d9b971948c71a537ffee5a2c72f95ca6d84b8ca3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Barakaldo,4mi5SJeZRXkrhEvIOiwdkb,Lisasinson,0bvq2O2MrIINNOJTVuqQ32,Barakaldo,3z88JcAkDYsljllYjdywsF,37,https://p.scdn.co/mp3-preview/bc0b3ad3152e4e07fbcf7b7ba51159c2041d8599?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Estamos Vivos,4o1txUCrHNZgqqClZGtm45,Villanueva,4qZ11Ptpqf6E77yYRT2qOq,Estamos Vivos,67zTfumGcCU09CPR4dSGjH,34,https://p.scdn.co/mp3-preview/379288e86743204cb4abeb39c70de6189f4bc797?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Boy Band,7vC0TdfNXSziI1igUP696i,Manel,40tHhop0T30DwienQBmTxb,Boy Band,6JBq0REEozWQTpbvYQtHDO,46,https://p.scdn.co/mp3-preview/30d7c8c3b9bf076f9a12c33418c48c5f3af4172e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Ella Nunca Me Aceptó en Facebook,47v7mUvQymXR6Yddl8CXeL,Los Punsetes,1jr0mAgIhKtTeKTZwk0HjF,Aniquilación,2dXEXyzpTqZ3U2lrjKgw5l,34,https://p.scdn.co/mp3-preview/8cad53b4ff8224c93cdc6e7c831fdfa8e1712f4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Alas para Volar,3stmmDWvDfmCBSJDHtuVof,Colectivo Da Silva,7h2HIXXVcZ6UPkqlCa2QZY,Alas para Volar,4ktF7doFQYvx4KCDMP70j7,35,https://p.scdn.co/mp3-preview/617bed19a715f5a4dbd60c2ad54b9454e4084135?cid=fa83a2fec7c440b7a2795d600d6b2c7e
