Turning The Tables: Celia Cruz,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
14,Fever,1DF9XPespiTUJKh5MRRStG,La Lupe,5YR49Hzg7h990JxfXuxm3a,Reina de la Canción Latina,2xx0ruNjs5BECoQRRVvOTu,41,not available
15,Eso Se Baila Así,5djBCjBElPxxciLwN5OSXk,Willie Colón,7x5Slu7yTE5icZjNsc3OzW,OG: Original Gangster,1qixO7wcV8yfii33bZj46T,12,not available
16,Mi Tierra,41LiGcvaTkXHyPjfsxKvWv,Gloria Estefan,5IFCkqu9J6xdWeYMk5I889,Mi Tierra,2K2yvhTFeRBZdDboSQzFAJ,55,https://p.scdn.co/mp3-preview/e8e0a40a8e9cae113c8b7fa9f095d76ec07e5c2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Soy Guajiro,7Kt97nNVgWN3gfnrpBUxVO,Willy Chirino,4dvonCK12HCv1UUryzRppO,Cuba Libre,3yTCL7oS0zhEVPwEodBR7l,14,https://p.scdn.co/mp3-preview/d8d710da9c3fd11847d1ddfb83d6eddbad95e3d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Que Culpa Tengo Yo,1IZ4lXgZt1Xgoq10ALKL9r,A. Rodriguez,23oXsN9AgPB7qi0fRypwn6,No Se Parece A Nada,724ttjrEJHTvJZvrNXixox,14,https://p.scdn.co/mp3-preview/d9bdefefcfbf08cb86801816384828a3d2441ccb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Vivir Lo Nuestro,4qAknKWl2aMvWn4r1nzWAa,INDIA,3NIZFmehJM8YiGpCdihlck,Dicen Que Soy,5Bj8dRzPK5F1ozrV5IPb4u,51,not available
20,Bemba Colorá,2x2FpMpHK1l5nS6aglXT2o,Aymee Nuviola,7caiLUNvOLW4Hs2Cb78JeY,El Regreso a la Habana,3vUzucTzN0q4RLfvrsRDNA,13,https://p.scdn.co/mp3-preview/67803269c37f481f705a6e5cab6f4ece70382ef9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Guantanamera,6g5ov3aSDUvvDkQKIcmZQI,Wyclef Jean,7aBzpmFXB4WWpPl2F7RjBe,Wyclef Jean presents The Carnival featuring Refugee Allstars,0JMmTZJ26G0QekIeSpcplU,56,https://p.scdn.co/mp3-preview/05555fbda6af9885cb381766ac018f833cd41b03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,What a Bam Bam,0l6REfKf0k4aX5UsLIXEhe,Amara La Negra,6cdcTRFv0nFBQZPmTLWhRh,What a Bam Bam,2ZkUOPatBkSSJRDKUBbwaz,46,https://p.scdn.co/mp3-preview/c8a8b5dd84661b7f1afc4dcc72e271ff3882ca15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Donde Estabas Anoche,0kzqgsoT2YtoV8IhnqJpI7,Aymee Nuviola,7caiLUNvOLW4Hs2Cb78JeY,A Journey Through Cuban Music,7d8UEJCLIgNyu4Bg8mhflm,30,https://p.scdn.co/mp3-preview/bdc868c1f04c986dc9aa0557aef29b5cdd4ea183?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,La Negra Tiene Tumbao,2uzCfFYh6tSNFdz14ZIf3N,Celia Cruz,2weA6hhVqTIN2gSn9PUB9U,La Negra Tiene Tumbao,1206SPHFIi9EoXIEiqtHr9,56,https://p.scdn.co/mp3-preview/04b7fa0249e5e43f5733458a2b1dd667fd58de4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,La Rumba Me Llamo Yo,5PCGbxp4wBxxvO4TT8eFCj,Daymé Arocena,6LcWO77VeIUPqNY22N3fI0,Cubafonía,7lf5gCQbSA8LoHwFcxLr95,24,https://p.scdn.co/mp3-preview/f71d0c0b5823ed0838ddebb5a48033ff6ebab6d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Oya Diosa,5W5xwZtuu2pUbBnTSJyTgR,Angelique Kidjo,51qUDJb5AtQX6jIL4VJx6M,Celia,0RV0acsVSRtBj0ngVHfzDD,22,not available
27,I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,4kYSro6naA4h99UJvo89HB,Invasion of Privacy,4KdtEKjY3Gi0mKiSdy96ML,85,https://p.scdn.co/mp3-preview/0f8734f51bb0a419959fdad3a0852621f9e6bc89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,La Vida Es Un Carnaval,1BwrMGGhPA6GarWIYaFrW8,Celia Cruz,2weA6hhVqTIN2gSn9PUB9U,Para La Eternidad,2MSP1JG7KflqYqAHtk7wlB,67,not available
29,Yo Viviré - I Will Survive,43jxl35fHZRXYyJ9yzDvMy,Celia Cruz,2weA6hhVqTIN2gSn9PUB9U,La Reina Y Sus Amigos,0FLIEL0LI4A6lIYqRekRWH,45,https://p.scdn.co/mp3-preview/af35909a9658206f706f1285cb748d6d8f0e0d07?cid=fa83a2fec7c440b7a2795d600d6b2c7e
