Turning The Tables: 21st Century Edition,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
53,Powa,1NjmSXMzvwoM3lHmDRcUfs,Tune-Yards,0asVlqTLu3TimnYVyY5Jxi,W H O K I L L,7rBLvpL7ZWi1YCSXSLUZKF,52,https://p.scdn.co/mp3-preview/b11fc4f1e72171c243511238a81df814a141ebab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,I'm Like A Bird,2tP7ZekzXfduShx8C6cbll,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,"Whoa, Nelly!",1Tm4dxG0SLeX7VgeHZO9Ix,72,not available
55,Born This Way,6r2BECwMgEoRb5yLfp0Hca,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Born This Way (Special Edition),5maeycU97NHBgwRr2h2A4O,66,not available
56,Someone Like You,4kflIGfjdZJW4ot2ioixTB,Adele,4dpARuHxo51G3z768sgnrY,21,1azUkThwd2HfUDdeNeT147,78,https://p.scdn.co/mp3-preview/d808ccb1a59c5f21a14cf8da9974558f84366933?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Girl Crush,11qh54D0PKkBwelpDxxiEU,Little Big Town,3CygdxquGHurS7f9LjNLkv,Pain Killer,49lwR8y1i51wrQRnhw5C3H,68,not available
58,Quiero Bailar,7mY1dIaY9vY6Jrlrjg3dRn,Ivy Queen,6p2442ymrT9lZEuCZJdYcH,DIVA- Platinum Edition,0Sv18KP8WCk1eHGnhJqTrb,64,https://p.scdn.co/mp3-preview/0648f05708c8b44fff55fda08ba7cf2b9c0df3c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Anthems For A Seventeen Year-Old Girl,0VXp4zDspR993l2hIKW17g,Broken Social Scene,7lOJ7WXyopaxri0dbOiZkd,You Forgot It In People,6nL0U84JsEJ0cRsGCnsDnJ,59,not available
60,Bad Girls,6nzXkCBOhb2mxctNihOqbb,M.I.A.,0QJIPDAEDILuo8AIq3pMuU,Matangi,3dAxXNscIj0p53lBMEziYR,69,not available
61,Teenage Dream,5jzKL4BDMClWqRguW5qZvh,Katy Perry,6jJ0s89eD6GaHleKKya26X,Teenage Dream,2eQMC9nJE3f3hCNKlYYHL1,62,not available
62,Bathtub,4crCko56CJItXgYUWWDlT3,Waxahatchee,5IWCU0V9evBlW4gIeGY4zF,American Weekend,15TcsGgKqhrrAaGCarVdwV,24,not available
63,Hips Don't Lie,3ZFTkvIE7kyPt6Nu3PEa7V,Shakira,0EmeFodog0BfCgMzAIvKQp,"Oral Fixation, Vol. 2 (Expanded Edition)",5ppnlEoj4HdRRdRihnY3jU,81,https://p.scdn.co/mp3-preview/3859547944f57cfb7b996f6551148c9467889d4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Chandelier,2s1sdSqGcKxpPr5lCl7jAV,Sia,5WUlDfRSoLAfcVSX1WnrxN,1000 Forms Of Fear (Deluxe Version),6FdNvoO5sF4EKwCX9je1MH,70,https://p.scdn.co/mp3-preview/f1898cf5fd5640d4f0d7faafa6c572fc29db3db6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Heavy Water/I'd Rather Be Sleeping,6IUwiHsyKAZtfBy37Wu4ij,Grouper,31uyAcnY0kjjKKIQZMKX4i,Dragging a Dead Deer Up a Hill,0r1ffFQRFvtthTdLV2ZPWL,49,https://p.scdn.co/mp3-preview/67059ae4e8736aaec053d94f5d1803619709f08e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Feeling Myself,5fyIGoaaKelzdyW8ELhYJZ,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,The Pinkprint (Deluxe),5ooCuPIk58IwSo6DRr1JCu,66,not available
67,Mexican Chef,563rsNbDbYottIHTGmDjrL,Xenia Rubinos,17UUkxLWmRP5P47W5kwVVb,Black Terry Cat,7hpaJ75FV7MYcKER1px2Uv,26,https://p.scdn.co/mp3-preview/7a71698280511cc4fe71b420c49398220601d1f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Hit 'Em up Style (Oops!),3flAV51ACbtIcEixb0QeZv,Blu Cantrell,6vytZ677lz4LzCrUDcDokM,Bittersweet,3UviDOQkc4WbXkNi6DIBZu,50,https://p.scdn.co/mp3-preview/b45731b31c5ad4490f954e42954f593d3ed4bb54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Video,4oiAlcisfimXQc1wyAtX9a,India.Arie,7Gf3LSwa5hh8Cjo60WhVjC,Acoustic Soul,6ApdnTHD5zXzmZqxf0TA9Z,62,not available
70,Us,6zJms3MX11Qu1IKF44LoRW,Regina Spektor,3z6Gk257P9jNcZbBXJNX5i,Soviet Kitsch (U.S. Version),0HeAK5QnrTRrksc2WuTYgy,53,https://p.scdn.co/mp3-preview/1c66e0a11bce058db4e92a22e223c606ab821021?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,I Love It (feat. Charli XCX) - Original Version,3VZQshi4COChhXaz7cLP02,Icona Pop,1VBflYyxBhnDc9uVib98rw,I Love It,5hf74KpfuwSJXVs85k3dVI,67,https://p.scdn.co/mp3-preview/53d0fca6eb2c0180aeed0d6db7703d3f3d2c1c77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Every Time the Sun Comes Up,38ydcsbayM4oX21Hhu84DT,Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,Are We There,0F1pMhF8Vy74nKkQeLBfrd,62,https://p.scdn.co/mp3-preview/10bc946d23c8137b05a38013f01a7c28d9f08814?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Golden,0bHs3ly4Bv5BlzE3KrePfX,Jill Scott,6AVLthptCPhfrxlHadOBJD,Beautifully Human: Words and Sounds Vol. 2,21JbNB7qmJoOr03sM9dMeR,53,not available
74,Bitch Better Have My Money,0NTMtAO2BV4tnGvw9EgBVq,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Bitch Better Have My Money,4S8F794ucXJcAtycwOZgR9,76,not available
75,Drone Bomb Me,4Fe5RBekhh4irEhWZrGsCw,ANOHNI,6VJZYivuYJGCrPuOAnI7Qo,HOPELESSNESS,3dAx4u7AJy72a6M1ms6uYF,35,https://p.scdn.co/mp3-preview/40a386df08e89a7a503df673c33bb49606a4916a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Hasta la Raíz,3lGMtkONrZdJ8kTCg6KIFf,Natalia Lafourcade,1hcdI2N1023RvSwLzTtdsp,Hasta la Raíz (Edición Especial),0Kww7Dpo0uSxtOiiFTvyCv,72,https://p.scdn.co/mp3-preview/b7ec2fdea3d98587d8f45fb19c1085e54ef4fcdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Redneck Woman,26bL4gSULWDgdIMX0pRFrG,Gretchen Wilson,0IdYRFTswLdsGwSnzOaGNF,Here For The Party,5OYkhSnpSoztkCKind5tap,57,https://p.scdn.co/mp3-preview/ad66fb50ac360c1e91fd053e5ec0add7fcffc724?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Just One of the Guys,5YdrHBh16li6d7U5mdTwUb,Jenny Lewis,5cMVRrisBpDkXCVG48epED,The Voyager,5sCsfubNchaI9RCpP7K7aB,49,https://p.scdn.co/mp3-preview/8491d81b57ac962aedc7df033327b5f3b0b6bd09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
