Roséwave: Juice Up Your Summer,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
44,Our Lips Are Sealed - 2011 Remaster,2TVpUxoEaRH4GzndwGJyLY,The Go-Go's,2mG8HHQ9S9kcbjcrb5N1FE,Beauty And The Beat (30th Anniversary Deluxe Edition),1nkB6F63xkKusB4M8I5zR6,37,not available
45,Rainbow Shiner,3FQJho4JTLjaL2bfsvD9ti,Ex Hex,2LdMozrLZExZ27oOAnUgkb,It's Real,2Dpp8c1HZwOcPvirEjHFQf,33,https://p.scdn.co/mp3-preview/17397649f9c76cdb25b33f0764bae713156def46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,All Night,32gddWNCK7qBbKEe39YxPe,Pure Bathing Culture,4WrK3qZXMjfwl0dQj09QSD,Night Pass,4g9YJpn0GnBJaWvW2I6a4y,30,https://p.scdn.co/mp3-preview/73c728b01e839a63c4026b41e5e5d626d7c3fce2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Bad Boy,5GKwq4sO5ZHKuWaDmdwMQc,Red Velvet,1z4g3DjTBBZKhvAroFlhOM,The Perfect Red Velvet - The 2nd Album Repackage,0OkJThJls8FO1lutMzMDJ0,74,https://p.scdn.co/mp3-preview/75695ae808ca4fcca34903d567e1c980d5b436ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Ella Sabe,4B511bYGqTsJorwIhCg0xI,Mula,7bWZkUZ5drGDoGAFhGoYGE,Ella Sabe,7vCffEAVmcdPSO1phZqtuO,24,https://p.scdn.co/mp3-preview/886f71a17dc87bb59f0c9bcd4a46f2747c4a8a35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Baby I'm Missing You,0nVGpVmjPq7itKQYGKVbzC,Bunny Maloney,5RpmhARcz1kEdyHgEo9wEv,Joe Frasier Presents,0a8PnmxjOq5oKwJnwzqqYE,13,https://p.scdn.co/mp3-preview/97044f07c396d734b4218ef72ed19604c5db509b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Low,16PlSKMa2N4Xu7jT7ia0wg,Larry Gaaga,62s0EsXQNJEwy8fKZ386VU,Low,4ywXjv2Pckcu6WwGcsgo6j,59,https://p.scdn.co/mp3-preview/f50be11b6a04c4f15e9ade8b0bc454dd79181341?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Everything Here,2LHgnNuKroIOKGTxads9wk,The Suffers,73ncl3RMnT90eLFhZdO2WU,Everything Here,0lrV38SzkCEcdz3jZ1AF6f,42,https://p.scdn.co/mp3-preview/87e6ab0b3753064d413f9c69d3a1d8e7ff61d1cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Y Dime (feat. Tomasa del Real),23tOd7fgSTzYqxC8yrIfF0,Ms Nina,43Hr2FjhVehkROIIEb7EfQ,Y Dime,5w88lPeWBJx9DB6z1hJqAv,53,https://p.scdn.co/mp3-preview/1f77b3b95252f8ff29cb9087eef7cbf9f7f76a93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Mirror In The Sky,4UMkCP1R5LKLX8J7gUQOvv,Peaking Lights,54ECAJjvSyZGTWUgyt5tqc,Mirror In The Sky,2pqhFJUXpc9Iv2mv4yLNM2,22,not available
