Halloween Hits For Kids,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,"Men In Black - From ""Men In Black"" Soundtrack",2FK7fxjzQEXD7Z32HSF0Hl,Will Smith,41qil2VaGbD194gaEcmmyx,Big Willie Style,2esWeP8Ln1sXA0jbDmi3Zq,63,https://p.scdn.co/mp3-preview/08f73d1a0548a7f24bd02114a0dd35b04e578a88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Shakin' All Over,4595hMhe6IcedXBNTFiEV0,Johnny Kidd & The Pirates,52y1cRHUkI0kQqIXCg6JuZ,Halloween,6Te4ci35xv4zn0YyON1kKg,5,https://p.scdn.co/mp3-preview/3bff9210e74f2edbf28dff5a24164c93befa2f75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,The Monster Mash - Remastered,316vhtohFptl7iLcZgyS4e,The Bonzo Dog Band,6Q7D1oEccgTc8MAYdMgtIx,Halloween,6Te4ci35xv4zn0YyON1kKg,2,https://p.scdn.co/mp3-preview/a248b9a5a012782779db4d781ef81b2e60e65f7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Horror Movie,7gCP5GDA75b5NmM34afz8v,Skyhooks,1vdU5KvV0nDAjPRfpRKjRL,Halloween,6Te4ci35xv4zn0YyON1kKg,1,https://p.scdn.co/mp3-preview/5438e8f3794eb7b1c265eb4b7659eb9cd1efa0f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,A Tribute to Dracula,7KjopESvxeRul0WKTrr60s,Streaplers,3MjqsvJtWHZFbk4bEAaskX,Halloween,6Te4ci35xv4zn0YyON1kKg,0,https://p.scdn.co/mp3-preview/0f3e39000df5590663d69dd9bed9b62963ee470e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Monster Mash,3MU7yMstWbFkRE8Ydm41QH,The Happy Racers,16W82BsAi9twBb2dPWKZRt,A Scary Very Halloween,7JhfiWlYRO2H0dz2q6apKy,0,https://p.scdn.co/mp3-preview/7ff400308b54324c4607f1458805163207fce635?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,People Are Strange - Acoustic Version,6Tkw7RrfH8vz17bzWoYO9B,Tiny Tim,0Nc79lkTxXLSIIHDB8mqJC,Halloween,6Te4ci35xv4zn0YyON1kKg,1,https://p.scdn.co/mp3-preview/eb00ef3c0452b45be6dfcbcedfbf78bad1ed74b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,The Pumpkin Patch,73AsXWSFVmYBGIkKyDgz8v,The Happy Racers,16W82BsAi9twBb2dPWKZRt,A Scary Very Halloween,7JhfiWlYRO2H0dz2q6apKy,1,https://p.scdn.co/mp3-preview/b8f296c230a2c7c5d3f36dd9bfe52333e4be70e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Welcome to My Nightmare,0mtUvL8w3vQiMm93AfnRpO,Alice Cooper,3EhbVgyfGd7HkpsagwL9GS,Welcome To My Nightmare,4QhvqS4OQ4Lxe78Bafn8VH,50,https://p.scdn.co/mp3-preview/33ff0790fb35b583623c7db622f9158774ae41b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Candy,229b88RZ0ZcNOhFbxWDK3H,The Happy Racers,16W82BsAi9twBb2dPWKZRt,A Scary Very Halloween,7JhfiWlYRO2H0dz2q6apKy,1,https://p.scdn.co/mp3-preview/52094115a366308ae28ae4d453e125c8e0e3cda9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Knock Knock Ding Dong,0XlwKWcbhfMDjNY6JnDrSU,The Happy Racers,16W82BsAi9twBb2dPWKZRt,A Scary Very Halloween,7JhfiWlYRO2H0dz2q6apKy,2,https://p.scdn.co/mp3-preview/11c691a2abfe7b00c1b47efc8e9af38d34b1d945?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Stirring the Brew,2ONDFts9UjU4NFISEZIftu,The Happy Racers,16W82BsAi9twBb2dPWKZRt,A Scary Very Halloween,7JhfiWlYRO2H0dz2q6apKy,1,https://p.scdn.co/mp3-preview/6c50e113e49c7c2d51ef077bf1364385cad74ae9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Dia De Los Muertos (Day of the Dead),6ly4t9q0zlWqUxPefHz55B,The Happy Racers,16W82BsAi9twBb2dPWKZRt,A Scary Very Halloween,7JhfiWlYRO2H0dz2q6apKy,1,https://p.scdn.co/mp3-preview/a7c5a1fecc3f18b2f1e4ae80a29eb140a00e73dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Dracula's Dragster,05xeE0kuafy2sNaBjwDpXk,The Happy Racers,16W82BsAi9twBb2dPWKZRt,A Scary Very Halloween,7JhfiWlYRO2H0dz2q6apKy,1,https://p.scdn.co/mp3-preview/c21fdaaab8ed23157b70963420a1d0ea5594eea4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Ghostbusters,3P7NdfSrT7xbo9wtPtQrQQ,The Happy Racers,16W82BsAi9twBb2dPWKZRt,A Scary Very Halloween,7JhfiWlYRO2H0dz2q6apKy,0,https://p.scdn.co/mp3-preview/69d193d7bafb91614a024ac2eed722d8d3444896?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Spiders Get Lonely Too,0oMSrGy6t8SQHvbudQFdSz,The Happy Racers,16W82BsAi9twBb2dPWKZRt,A Scary Very Halloween,7JhfiWlYRO2H0dz2q6apKy,0,https://p.scdn.co/mp3-preview/767cf275f7057220f8c843f37d255bd8cd9bd6e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
