Chilled Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
30,Cold - Acoustic,2qOPUroMgACLG8NG9BbS6V,James Blunt,7KMqksf0UMdyA0UCf4R3ux,Cold (Acoustic),6e9Ar30mwAel1xmbKFfUOp,51,https://p.scdn.co/mp3-preview/e7f13f994bb3ed7c43ebb2c1dd9de6d61d274220?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Narrated For You,6jKZplJpy21R5lHaYHHjmZ,88,https://p.scdn.co/mp3-preview/a784e71dbc6c31f02d4ab06d36b472ecbddbaaf9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Charlie,5Z69nqYhcktzSRDIBA9JvS,Mallrat,4OSArit7O2Jaj4mgf3YN7A,Charlie,2sf7N2WKAzMKlpPn0JuYbj,60,not available
33,Being Without You,5tn0SiCShhDPWtIeCjSYz4,Carmody,4wdK3zLMWPQK6CD0dpHh8F,Being Without You,1PYMX6nqK7NI673o3rgrED,39,https://p.scdn.co/mp3-preview/ecf9b986d171d9175e3a06f9e19fa1b317bc9c54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Sour Milk,2KvgzXMeNKU7xonFyzIjCr,Dylan,4LOM7NzyrZvlGSYPFDsnTk,Sour Milk,0TnMKbMlfRA1w86GH8lSFh,37,https://p.scdn.co/mp3-preview/5e9bdcaafcbc82891a398d768321c8f574ee231d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Nothing Breaks Like A Heart,2tq2RCMj3wHAP8zmF9bPoY,Áine,3pTb88yNTcIsydqTaUE0fE,Dislocated EP,2LXtF7ZZQrS9IjHlYaEtE3,23,https://p.scdn.co/mp3-preview/8e522957b6127886ec6453ebc2913413d55657e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Sunday Morning,0CxVnKu6PG6tYTGVtSD8UU,Hamzaa,3TXjnAw0sg1VVdnR9fGdBs,Phases EP,67yZd1xUTES5qFQT9XNwZG,58,https://p.scdn.co/mp3-preview/61c6c4ea9d74ef14fa559cb8c1e081684e9e92d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Loved You Once,3LbwR2WcofkDBp4LSgGJh1,Clara Mae,6RHKEd9dpzQ4c09x8Zdaxu,Loved You Once,01iLv3vWw6HJNlpkpazU8G,60,https://p.scdn.co/mp3-preview/8a33b0bd192882d630b0fcd116ff772be573a3b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,woozy,2OJpoFLYK2ZZdxbZX7t7ul,kwassa,7hu7hjmIPOtU1S3D8zfBlw,fka kyko EP,08Uz0ACnlwb9o4cdy6ylyN,46,https://p.scdn.co/mp3-preview/c87c1c271a7391d66d225c10ea27d9dbe5766870?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Jackie and Wilson,33fSF0kurOyuu8TqrKMhrf,Jazz Morley,3oRBiqxwxW8BYQdWYtktZo,Jackie and Wilson,4XfWWoFXtKfspGwTCcRMaq,37,https://p.scdn.co/mp3-preview/0da6bd510c49fa15d4da6f156414e854c92045b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Feels Like This,53Wsf11ElpPr1WAGtRQlcx,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,Dressed Too Nice For A Jacket,1ziE8y7wGzDY0PDgoDXKwF,69,https://p.scdn.co/mp3-preview/9efcda13ed65c89faf84d4d812576d2b089b098e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Always Been You,0YP8tdeaJ7eN30swg2SVPL,ZAYA,6t9N97yJsB4XgTZ8suKcR8,Always Been You,5B2zD5UZARycOTjDvN63cZ,32,https://p.scdn.co/mp3-preview/858c8ce6c4aa0e6fe29b6c9216d91a834efbc7e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,The Game,0c1Luu0yAEaKT4ZCa8N0fu,Milky Chance,1hzfo8twXdOegF3xireCYs,The Game,2PPAoP2PfrksSrs7GnNOeQ,60,https://p.scdn.co/mp3-preview/e0eb50588b5b016720950be4d2553630d95a656a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Ooh La La,6RMMUeYPFoOSL7lMTnMURk,Josie Dunne,2KgFtUjEtayfuximKppSAq,Ooh La La,0oMiT1tUJV6BhnE22Vg5ht,54,https://p.scdn.co/mp3-preview/bd1208d4a1b9a3480b3104353d129009aa428a84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,On The Bus,1c4dSupkZuIpr6YiEHZss4,Ellen Krauss,1hY6WSJRQy3FPTnmprOBVh,On The Bus,6LvYOELLILL2LXUPm36JJu,52,https://p.scdn.co/mp3-preview/3e51cfa53b34fd3670ce7688ac2449600ad1e4ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Pursuit of Happiness,2GT98qZyIz7tIDcjJG72q0,Sara Diamond,4azg4dtpH6PiewGHFzQEj0,Pursuit of Happiness,0eVTj25mHNsrsTKk1AWzxz,22,https://p.scdn.co/mp3-preview/8d2cd0b4f2a2ec87df73502a50578a8b520a9fb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Masochistic,56o8wi8BFSpeW1m8TRcQUJ,Blithe,604wNNLUmrAmNOSEU8GfK4,Masochistic,4gqoXId2ShFtzrx2YUUmA8,55,https://p.scdn.co/mp3-preview/b169bac19cc9cbb54449a23a0c6aa1d4cee95c49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,What Do I Do?,00JPP5NHQdG92enZujK5Ha,Georgia Ku,5mYakBbBzPMQTfkVMIgiDM,What Do I Do?,1bUKv3t5KvdnrdCBZDM245,57,https://p.scdn.co/mp3-preview/478d00a3b82ae70fb8a94a8968f3b745afca3830?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Lost Without You,3QlF2ExmrRP0RM7ffv7y0Q,Freya Ridings,5pDjmC5mRl7vDJhsjVwNfk,Lost Without You,0GNvEDf1HoEeYk6RBXxpn7,63,https://p.scdn.co/mp3-preview/c4b7d57e96a627927c909572da60c295010382c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Truth Is,26h7ux2txHZ70RsWPpFasT,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,"""Truth Is"" - The Short Collection",3boDP5dWDe5JsnF3KvRZSL,66,https://p.scdn.co/mp3-preview/d17d48da44f3375268a801baff2b629c213f52d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Indigo Sky,0Dc3ekzrL3SQqTiqYkRDvc,EVER,7f3i7KtcsMEyZO6jWYFPmI,Indigo Sky,0br3jm1VLVJOENWozhEpX6,31,https://p.scdn.co/mp3-preview/c8738cfa06e618d3742009727e0f433e6fe96ece?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,lowkey,5TTXEcfsYLh6fTarLaevTi,NIKI,2kxP07DLgs4xlWz8YHlvfh,lowkey,6a1p03zluxNwXTVdm9IStw,77,https://p.scdn.co/mp3-preview/583956b7bb69367e326dd396783414bf8dbe5b1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,We're Not Friends,5w3gBMZcPO4thck2h4Sjkt,Ingrid Andress,0jPnVIasXzBYjrlpO5irii,We're Not Friends,0XVRzpspqPNTvUomEniLRl,52,https://p.scdn.co/mp3-preview/2821345bb2c4b36b1efe38e0d0720858ce3535b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,I Don't Care - Acoustic,1m84zLz4WizjR4mCDoXReg,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (Acoustic),34hxmcDX91rZtwckrSlq1X,76,https://p.scdn.co/mp3-preview/92be55693f9002286062f6fcf4e07cdd2b859c32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,loyal,3xYCHCokOiH0OjtkCZaEAq,Jasmine Thompson,2TL8gYTNgD6nXkyuUdDrMg,loyal,6Qaf5nkqCOuOcs2ao4kLHM,49,https://p.scdn.co/mp3-preview/269a46473b82aaf0698d1e019db3d4d4c5bc3329?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,My Town,4byXfN1jpa3c0Zsf6caGUa,Emily Burns,6Gi8ZaXGx8MK79HwzXpuVZ,My Town,0L89zjByU70tf0cxK7rv20,53,not available
56,Favourite Ex,1a1SQeSqUKzH5OUVTEx4ae,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,Favourite Ex,0hIIlNhG6PZoQxCmSA24Uz,74,https://p.scdn.co/mp3-preview/57c84d691c92ed70eec76175eb2c67eb1bacb924?cid=fa83a2fec7c440b7a2795d600d6b2c7e
