What's Up In K-Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Egotistic,1JlZyCE3I7DWW28CBZEWuw,AOA,54gWVQFHf8IIqbjxAoOarN,"Queendom, Pt. 1",6KEK9ix3xkhj7yqB3vZFtX,66,https://p.scdn.co/mp3-preview/aec95457735ee68ad44d4e6b915f587cf7e91ef2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Jopping,5WrEilrRI5cIW0DxMvQYPZ,SuperM,5BHFSMEjfLVx1JwRWjAOsE,SuperM - The 1st Mini Album,1C1qYeSC9RdgbrKXpZCTSJ,73,not available
12,LIT,5UX7u7znDeHnDa3iynEhcm,ONEUS,3CVYSpM7nfHFG5qCTW7Ht9,FLY WITH US,4E1nBUhsXon5tMtyq3l3CB,61,https://p.scdn.co/mp3-preview/8a791134b4cdbd004cf1e89a75b28a688aa866b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,WHO DO U LOVE?,6YKCEtfZXXyionWJPtT5jb,Monsta X,4TnGh5PKbSjpYqpIdlW5nz,WHO DO U LOVE?,68nS7mAzImPMJt94b0ZQza,73,https://p.scdn.co/mp3-preview/d91f100879fa668bd3eadace9946accf1324aadb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Firework,3NnU2qo9tkMrcYZWzdNDCm,LABOUM,4iO5uKMUphLqQ20TfrdZx3,Two Of Us,6axpzJHjCfb1fYFyORvNIF,52,https://p.scdn.co/mp3-preview/e40e8ffb0c9ee5b63df762916e623810c5d4f160?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,PARALLEL,3O9IkVwJuq1cOZDtOezHWw,VIXX,5BkB3rXc0qIdUtuEnhbK0A,PARALLEL,7L3tjtUJCskQ8sFoWWZyYA,53,https://p.scdn.co/mp3-preview/27327b3150632f40a7a835e3f63817e9e0b78edd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,FLASH,1q3C6brbmRrULTyo2mseKF,X1,6C4irZ60X8G7UimMRQiCcg,QUANTUM LEAP,09sGMSeeP4bZQOCTpgKGX8,75,https://p.scdn.co/mp3-preview/c0a1e405e9e247b0d88e76082c41c8a8fed717ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Devil,3aG0gbuvZ1VeVm68d4J6Yq,CLC,6QyO41KctzGc70mVaVnXQO,Devil,1HpLXN8RRy1lHO3jckCTkN,71,not available
18,Dumb Litty,00emjlCv9azBN0fzuuyLqy,KARD,2JhAlkmukNvarUpGhTFXUQ,KARD 2nd Digital Single ‘Dumb Litty’,7h5X3xhh3peIK9Y0qI5hbK,68,https://p.scdn.co/mp3-preview/a252c4035e02f69b5fd661baf1cc4fe8a6dbcb29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Umpah Umpah,5qSoW3ewNlhRN3FNZPmVns,Red Velvet,1z4g3DjTBBZKhvAroFlhOM,‘The ReVe Festival’ Day 2,3DXz6ItR9DzIw9S0h3Cxfc,70,https://p.scdn.co/mp3-preview/fe452df123da0fa878722651b5926675f9fe0cd9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,LALALAY 날라리,6sWd8ZAH5bWWyjwb7ZV2Zb,SUNMI,6MoXcK2GyGg7FIyxPU5yW6,LALALAY 날라리,1hgIt7Jq6m1zVfT1TzUQzs,76,https://p.scdn.co/mp3-preview/c0af4ce720fa6600801b72e16f72fbf57d49b551?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Roller Coaster,4xTqgN4ej7EHMd0gWXJdrI,CHUNG HA,2PSJ6YriU7JsFucxACpU7Y,Offset,4FO6zeenyyhew9sB4ErG9z,67,https://p.scdn.co/mp3-preview/60c45f825a60332ea56a9a6777a604910628ea31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Deja Vu,7uvW1F97LfVbOF6bzHs3nO,DREAMCATCHER,5V1qsQHdXNm4ZEZHWvFnqQ,Raid of Dream,4Y5YucmQPgaCJOkmRshYGs,66,https://p.scdn.co/mp3-preview/a73947b1e4913ee80fdd46903bb06128913c3f2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Your Gravity,1LOoxeIqzQqLZZq2YAHeIh,UP10TION,2LjaeuGS0ubYXZfNihGp9y,The Moment of Illusion,38Bq14a95pBq0lRix3X6cA,52,https://p.scdn.co/mp3-preview/8d658dadbf0f708f1283b52462453f16692c2cef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,D.D.D,4knqZHNHlEBBEmfETcpTyr,THE BOYZ,0CmvFWTX9zmMNCUi6fHtAx,DREAMLIKE,4T7BOMEuEfIMsDfomppwtW,60,https://p.scdn.co/mp3-preview/7afebe82048f705a8a68454278dc7137f4bedc2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Wave,28xjm4FnnGI4Xnds7VoNSl,ATEEZ,68KmkJeZGfwe1OUaivBa2L,TREASURE EP.3: One To All,4Y8cigF15iNUSV1dhlQqRg,70,https://p.scdn.co/mp3-preview/bbab7a7f2f9b2d6065aba798bd74b33c5b85cad9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Picky Picky,2RwHcRK2KfIAUGNq4Nlfv5,Weki Meki,5LWkv2hDbDwZL3zNwZYNPx,LOCK END LOL,1JrQT5pcTgC9HfVe5f2SL6,62,https://p.scdn.co/mp3-preview/aa8c2c3d62d1ff693d10c4f5ac420473612d258b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Workaholic,2WVpI9Og8Z7p8CGQK9CNX3,Bolbbalgan4,4k5fFEYgkWYrYvtOK3zVBl,Two Five,0UJsvx1tZnZRmcpzaG3wRH,63,https://p.scdn.co/mp3-preview/3dafc4359b9a2657fbc07c3a8193f0df995935b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Adios,5uHl2eYaITSX6xEX8bmaXy,EVERGLOW,3ZZzT0naD25RhY2uZvIKkJ,HUSH,7tMpbKXDLlHPSCoPdF2OBv,79,https://p.scdn.co/mp3-preview/0bfc8c876c5d4ef820828b5a631eaa7460771af2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Good bye,2HtfUqxjCYNa5xT1YmoAuj,WheeIn,0BqRGrwqndrtNkojXiqIzL,soar,7zhSn5lo1BsHmvumiZS3qu,56,https://p.scdn.co/mp3-preview/c5897d3b27b02f7d51d5b9db30d8e977e774090a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Quit,1I93XtmS4DmzLKCGL5cKVq,FTISLAND,6KhH771vq2X2Aom91nNzpZ,ZAPPING,4xv6FYRffJs7z2dIVleFBk,45,https://p.scdn.co/mp3-preview/b8308ee03587b36b689131ecbd699ebfcd44390f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,NAPPA 나빠,6uinpqa2nfwWmlj0lOgAf0,Crush,6aLdhHUqgdKE86xbtNmY8g,NAPPA 나빠,7jpFBDXV2iuM58UEwYaWdL,60,https://p.scdn.co/mp3-preview/a9af1586ead3d775fb3c7b6532c23303ae59635b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,gogobebe,6E7jAJN2e3znSHyPCdQqx8,Mamamoo,0XATRDCYuuGhk0oE7C0o5G,White Wind,60m09rutmwj5ewOJoFIAVY,71,https://p.scdn.co/mp3-preview/969e2311f0c4c0133d45b2637f5d595d86def7e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Movie Star,65pVi11JqwSZqUuYAqLP36,CIX,1lHfzEkKmmvdVDDDLKkcsd,"HELLO Chapter 1: Hello, Stranger",73Jw9dKwFV1kF62JFUls3V,66,https://p.scdn.co/mp3-preview/be8409c8259c7881dd422c95524344fdaabbde55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,HIT,0xHgclG2TeqIzB8N3Wb5rP,SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,HIT,36HsGgJsOHL4cHqR4J2GEU,72,https://p.scdn.co/mp3-preview/9a23cf6edccef6828015f4cd5ba8353a860a30ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Carpool,5hBUsxIkIDPkBoJ7J3JuIh,Red Velvet,1z4g3DjTBBZKhvAroFlhOM,‘The ReVe Festival’ Day 2,3DXz6ItR9DzIw9S0h3Cxfc,56,https://p.scdn.co/mp3-preview/dab71dc564c31d9b025842bedefedb598ba53b14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,FANCY,60zxdAqWtdDu0vYsbXViA7,TWICE,7n2Ycct7Beij7Dj7meI4X0,FANCY YOU,759BaVI4pjAh6l16xqm56V,81,https://p.scdn.co/mp3-preview/8396dd381cd01facaa81952db1d78ea24fc8e7cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,BTS,3Nrfpe0tUJi4K4DXYWgMUX,MAP OF THE SOUL : PERSONA,1AvXa8xFEXtR3hb4bgihIK,87,https://p.scdn.co/mp3-preview/d16797fb391fb909f3c46454d7cf89a2718f8171?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,BUNGEE (Fall in Love),0QQe9wGk7aZFa5gOAwAJ0w,OH MY GIRL,2019zR22qK2RBvCqtudBaI,OH MY GIRL SUMMER PACKAGE [FALL IN LOVE],6Bqnwz3nM8RcHNTSKQ0DYU,56,https://p.scdn.co/mp3-preview/dfc44b16dc560d00ae5c3f945827a45ea1578f9f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,36.5,4jAdC1wuRgCLLFJVHeV1rV,SHAUN,72nLe76yBFSlP6VBzME358,36.5,3wZtpqg44tzmRFtObM3AZT,48,https://p.scdn.co/mp3-preview/b5fd0126b1da9def27854a3c535127c73a7c9f83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
