UK Top 50,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,Wish You Well,1yAPglN5AGf7UoLK062ZYq,Sigala,1IueXOQyABrMOprrzwQJWN,Wish You Well,1yZZdubJ2rovC4QIBP8riQ,80,https://p.scdn.co/mp3-preview/1c29b0343d57dfe089932f87ce5e70f2ce103c74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Professor X,5wfyoR8XOkw45QRtFOoxyi,Dave,6Ip8FS7vWT1uKkJSweANQK,Professor X,5IHJygOAlKSo0ESGxsEhgB,73,https://p.scdn.co/mp3-preview/b5b9a38563fd1b4320159765f6d6033a24ba4107?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Harder (with Bebe Rexha),5RgBnDtHKFHgtVdqabjGE3,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,Snacks,16H9XbDP9IxeyOohsXkKXb,82,not available
26,Vossi Bop,44ZJ4hLD5onikKsVLQaILr,Stormzy,2SrSdSvpminqmStGELCSNd,Vossi Bop,1feZ7dUgDquoQRddxlI5BH,82,https://p.scdn.co/mp3-preview/b3836168720465c84df242690ea49f6a855a6cde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Strike a Pose (feat. Aitch),23GvTfcGK454ppLsts3W44,Young T & Bugsey,6M6XXCcO5gI68XpIlrUL3Z,Strike a Pose (feat. Aitch),4VHqJxJ3wZ9znAPhgcwYwa,82,https://p.scdn.co/mp3-preview/ada040f0a6a1af4d93b0a7de2a46d755497b260d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Mad Love,79JBjIq90BrQ8Ws0pUhlzD,Mabel,1MIVXf74SZHmTIp4V4paH4,Mad Love,6fwNMnwzVoclK4zOwl3ou0,84,not available
29,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1i3z3GR1JtLswOSJNO0BQw,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1uuGNc2B7c5tEfCuIy3dDT,74,https://p.scdn.co/mp3-preview/1a42a795794298a01897c682495534a8e1b7b20a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Outnumbered,6UjZ2Yx2g2a52XxiA8ONxZ,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Outnumbered,4BQVnx1yJrDa1tcky9D9N6,85,not available
31,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,84,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,One Touch,5EKiBMhzRLALeGDPdoAKkQ,Jess Glynne,4ScCswdRlyA23odg9thgIO,One Touch,73JUDiyiu0OXCzzM2jjVkL,75,https://p.scdn.co/mp3-preview/ead38ad10d9ab85f99be5fd1e3eabee11c6633c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Mother,6rVNnvyNeibts1uOqdSNIw,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Mother,5OrSjlgjIvI3GmTnTt6wnT,77,https://p.scdn.co/mp3-preview/5792f5b46d7747a02eae853dc1dda8393274df34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",322tcqPhma7F6hfCeLisx0,Lauv,5JZ7CnR6gTvEMKX4g70Amv,"fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",60sI3iRfHfu7YpcTpZ29W1,92,https://p.scdn.co/mp3-preview/f516b7ef3c83e390a1c965c5b3730ebe4a6c667d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,About You,0h9E5yHd7mn3d7tvWh12pn,Papa Zeus,34Q1USAO0pv4gNxcnOKNav,About You,1oHdDyyC4fWdKXh3edie7d,61,https://p.scdn.co/mp3-preview/d8970aab74413bd8433fbab419383ed7fd0c1042?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Cold,2Dpe4Wnm8lQ07nk2SfzvEz,James Blunt,7KMqksf0UMdyA0UCf4R3ux,Cold,1me5RBEL0qMKL70q8WVdfA,71,https://p.scdn.co/mp3-preview/0d377937ac3d1e2808f62a184a3bddb4bd3b2d6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Castles,5tZWtGT65sMrDVPB5H444n,Freya Ridings,5pDjmC5mRl7vDJhsjVwNfk,Freya Ridings,3dcenoRctm8OAnqoCrQrLd,71,not available
38,One of Us,7CMxksycvvl7dg12SJXVaO,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,One of Us,0MhkVEeQASqX4Vg0AUOitn,65,https://p.scdn.co/mp3-preview/7294d4a9c09f7f901f22b9c0e288a168dbfee845?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Naked Alone,2C1V8JFnm2OqZVkHhNu4qe,L Devine,5dhyUSoGhz79WTzP39vKs4,Naked Alone,5YYlJXLIbOfWlwYBH7upuC,58,https://p.scdn.co/mp3-preview/b5ab3e70d57feb11259d9c41377bceb4d53c2d04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Motivation,0rIAC4PXANcKmitJfoqmVm,Normani,2cWZOOzeOm4WmBJRnD5R7I,Motivation,2r6BEK0wzXbL8JHyCkeJkG,90,https://p.scdn.co/mp3-preview/f6877dfe11a1c9ea4731947219a956cd18c6a7ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Cat Pack,1i3UvjbQS0OoBoKkILthR2,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,Cat Pack,0H346vuauoKWvLPXuYGRDb,61,https://p.scdn.co/mp3-preview/5907237d06e26b373e332f33def6b813cf7ecb43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,So High (feat. Fredo),5aubXDnDNVKA5pS7EnR0mp,MIST,63X1WKthLQidtqxxO2sgeq,So High (feat. Fredo),7lzPfE5rJUzW1OL1ZEVvJe,79,https://p.scdn.co/mp3-preview/67e3f4b22edcd274f2c33c710d6862fc4054d6af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,I Feel It,5FzuDFYmUFcvjraadJXv28,Leftwing : Kody,7eYXtOjJGhrM16cK2hRmnR,I Feel It,45DCBEkvzjYfjpZNaphhg3,69,https://p.scdn.co/mp3-preview/aaca1f62d5bce8416ebc2236dc67d48f0691f3c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Wiley Flow,1Iv4wC88uxeAF7SmQQGx3X,Stormzy,2SrSdSvpminqmStGELCSNd,Wiley Flow,6GnPOzkkAlFUmxrwnp1yjf,77,https://p.scdn.co/mp3-preview/8aaf9a7c021af85a4c3a7c817c1f30bc52ddd2ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Waste Your Time,5YwxSa50wbOB8bw5jIllgk,Conor Maynard,6mU8ucezzms5I2kNH6HNlu,Waste Your Time,0rKVn3UEXnBe4tEDlNvI8K,57,https://p.scdn.co/mp3-preview/8ec2b3b713daec0a1191db214ac23467ca1b21bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Maximum,0eTUh4JHjK4zHTEEB3gxcl,Yxng Bane,5AbLpsnTQVNB3OEadYiVrK,Maximum,7cLNt4D7pBZ344vsTQbiLc,52,https://p.scdn.co/mp3-preview/0ce59efe93c612fa5d21f6fce2e598633617880d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,This Is The Place,60xAKj50Mj54Sveqc8onRO,Noel Gallagher's High Flying Birds,7sjttK1WcZeyLPn3IsQ62L,This Is The Place,0xPh1sqDmLSRVydzNw2wkf,37,https://p.scdn.co/mp3-preview/362e0feae137b704c20a7adcfcee072cc1e4c0fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Location (feat. Burna Boy),3z4CGd63tpUn9a6oQSG0CI,Dave,6Ip8FS7vWT1uKkJSweANQK,PSYCHODRAMA,4GrFuXwRmEBJec22p58fsD,81,not available
49,Torn,2GdxQw8NwoeH8tKySg6nym,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Torn,6a6Dy4LaFvh43Ed5lomDEd,79,https://p.scdn.co/mp3-preview/1ff3cfa3fc477d266958ba7a0dbbdd0e287f9b93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,I Was Lovin' You (feat. Dots Per Inch & Ayak),5fOJe6vJ3vJXMrN6v362WJ,James Hype,43BxCL6t4c73BQnIJtry5v,I Was Lovin' You (feat. Dots Per Inch & Ayak),4ezQbrx5XOoMMfx7Ux7TAC,65,https://p.scdn.co/mp3-preview/91d2ab4c9070c7fc3bcbd089cb0f51b90f24acaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
