The Road to Punk Rock,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
13,Alone Again Or - 2015 Remastered Version,1XuccRABkfUVB4FjSVhjL1,Love,3Q6OOkfssqoMSTtl11J5Uk,Forever Changes (2015 Remastered Version),2amHBpP8C0EUy6yBNy6nN6,62,https://p.scdn.co/mp3-preview/0de610796881eaceb1f03aaeb04393b3d79decf3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Trash,2iZHbEXfRYmvZ3op4WgkTW,New York Dolls,0WhGV9lzljq2QKJ8ipw6jx,New York Dolls,7brYayd20fiMrCiVwlidRI,1,not available
15,Gloria - Stereo Version,1DKyFVzIh1oa1fFnEmTkIl,Them,5BaHqGtf6UAZnHfqdPaTDA,The Essential Van Morrison,0RXzDyBEGd2EGQTmv8cxQa,64,https://p.scdn.co/mp3-preview/89956cc26107e250858e6bf8c4240366f0a962ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Blank Generation,1UhYpKwdFiAefEXB6GJs60,Richard Hell,121Q6oslYCMBYZHhOFL1RB,The Old Grey Whistle Test: Punk and New Wave,7uMmVZLYGRsaYg0BHEJPQF,16,https://p.scdn.co/mp3-preview/3dcae4b14d723a07606fe7a43b998038853b6f85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Nightclubbing,6WPGAupim73K9XQL4iIefZ,Iggy Pop,33EUXrFKGjpUSGacqEHhU4,The Idiot,78UazygH85UAB0qXqQpzg6,52,not available
18,Vicious,4A48NL57P16zSRaq3yoYry,Lou Reed,42TFhl7WlMRXiNqzSrnzPL,Transformer,5SqbMEyAt8332ISGiLX0St,57,https://p.scdn.co/mp3-preview/51f20d854b29579b88e854ee69935b35bfe1a0b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Dancing Barefoot,4kPSjEg8u1U4pg2dHHMmtf,Patti Smith,0vYkHhJ48Bs3jWcvZXvOrP,Wave,5Azni9In90zMkWAFgWh6RE,58,https://p.scdn.co/mp3-preview/4854669ea67278727354d454d65a4fdb826534bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,I'm Waiting For The Man - Album Version (Stereo),2J9GLqNATExevUPvpLU1Sl,The Velvet Underground,1nJvji2KIlWSseXRSlNYsC,The Velvet Underground & Nico 45th Anniversary (Super Deluxe Edition),02O0Ea7JGwlLq8faAiv1MN,7,not available
21,Paranoid,3L8WgDYS5TtwbyxOPSAiFf,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,Paranoid,714ndVxSx8lIWhQxdbcXIs,10,not available
22,Rebel Rebel - 1999 Remaster,66lOpKgTyFjOrac4S1s94g,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Diamond Dogs (30th Anniversary),6JxxRxzjsOTtKVie29FTt2,24,not available
23,Last Caress,0S8LgLoseDB6W2HWd1ym6P,Misfits,1cXi8ALPQCBHZbf0EgP4Ey,Collection 2,7dUrduNuWHYQ8pdDKtBedD,59,not available
24,Hero,7o8wSWLWRykiHad3c6wTsH,NEU!,2CqEOngQOOMstJupNn6Hmf,NEU! 75,62YsjwC3eodgWmuQNCqjbs,22,https://p.scdn.co/mp3-preview/736a897a3e92c15bd87f0d778d1e673105ec2cff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Nadir's Big Chance - 2006 Digital Remaster,4tu0NNBNeVMIjMznKBHjtn,Peter Hammill,7uBH52YnXUbJ0ssoyNqQTB,Nadir's Big Chance,0BDKAyEOyGkWLNkXIf53S3,32,not available
26,Blitzkrieg Bop - 2001 Remastered Version,33iQW2OneB0oNh2NfrAzqW,Ramones,1co4F2pPNH8JjTutZkmgSm,Ramones (Expanded),4X44NrhroDDaWXheAhcvYY,11,not available
27,Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version,0bHm2wFL0m7qZIlhO7PQu5,Buzzcocks,2DxlS3lTLFIq70S7ap5H3y,Love Bites (Special Edition),7p6Nh183RUdsEM5wltdv9Q,10,not available
28,Keys to Your Heart,0cF4mPq0ySXYCH7m46jAEj,The 101ers,75s7RfViwIXirjnRYkZWPe,The Chiswick Story,5ujiykFQtkqxvrWuxUGF7j,30,https://p.scdn.co/mp3-preview/f9e524703fb3f8b590efaf40e3848aebccb82f89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Complication,4Sb3TdqgOi35RoL78Y1LtC,The Monks,3VTNuQRp2wjrWzZX6CXxiy,Black Monk Time,0YEmNXaNDq03tfgFmG4MOj,36,https://p.scdn.co/mp3-preview/29e8d08705ac6aa2b66b9c6fec5a3dd4bb4ae820?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Have Love Will Travel,2uXkW8uJcOIhlbUatEPLPs,The Sonics,2g3PKH7Z1Ofn5oGR6oDjLy,Here Are the Sonics,4vqaqoTEbNyeeSHJA6KpdM,58,https://p.scdn.co/mp3-preview/066e91ee997d19b0f1b8e6e7a022f6a4ecab1c00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Wild Thing (Re-Recorded),695D3IeuIXeUHX2RUlnfQp,The Troggs,57xdnSVt4ahJCIXYLieQ25,60s Classics,3w6MFLPPc56ilMeY4zwoim,5,not available
32,"Paint It, Black",1Kvjmr2oqZjzhryoEKzqij,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,GRRR! (Deluxe Version),3LcLR5Mpdj6C5jiaReLvDt,16,not available
33,Rip It Up,2YPkxN780ffjJFXGIPdROg,Little Richard,4xls23Ye9WR9yy3yYMpAMm,The Essential Little Richard (Remastered),4IxwByzyIrvhcy8VxG2zF0,1,not available
34,Eight Miles High,5v3utF8InHZKd8JZJK5rCx,The Byrds,1PCZpxHJz7WAMF8EEq8bfc,Fifth Dimension,1MpYGjBsBZm2wW8fvf10OO,8,not available
35,Making Time,5TysIim10uxdcYtUqftQlZ,The Creation,2hgCDEv4mfDuEkr9M3wLaV,Our Music Is Red - With Purple Flashes,0UTT9ebEZOiheAxyQrOUlS,37,https://p.scdn.co/mp3-preview/edf14403980187a9b4be17d218b0ab5aef1deb93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,The Pill,0eBCRXGMo7lsPcseRTxL5x,Loretta Lynn,1FE0rls8gfQT3laAeRYNgl,Coal Miner's Daughter: The Very Best of Loretta Lynn,5fHWi65QmTZFS66edSONos,0,not available
37,Psychotic Reaction,2SFV0zV02esGa8ZsqCy3u6,Count Five,57WXdjUf5Vlq3klNZegeTP,Psychotic Reaction (Digitally Remastered),7EEAkhDXM32FW4yCxY0L8v,0,not available
38,I'm A Man - Remastered 2010,4tTDkb24puZu7XEAi352ea,The Spencer Davis Group,3i9hP422d2KMjaupTzBNVS,Revolutions: The Very Best Of Steve Winwood (Deluxe),15WGSWBIZeuuhHwL3jZRB1,50,not available
39,All Day and All of the Night,3okPiJwW5nCLpug12sCL4p,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,Kinks (Deluxe Edition),3hbGLP1XTH7lNFJ3oHtswQ,16,not available
40,Out of Our Tree,6oU7sWzgcAXQuSHj0mZHKV,The Wailers,0jHCJWgwdcqysvbKWjXSI6,The Wailers - Out of Our Tree,77JrED2mqtlAUarGODZBIo,33,https://p.scdn.co/mp3-preview/b202751fb794024afcc75220fc5aa8f166031ed3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,99th Floor,0BlgrTepmp7SvbMBSmYy6X,The Moving Sidewalks,1mVnnp85GXJce62susfwac,The Complete Moving Sidewalks,2XdFGCDDa2qZ5luxPjpfVv,0,not available
42,Psychotic Reaction - Rarities Version,77oq56JTlEBzAH7KNZHvx1,Count Five,57WXdjUf5Vlq3klNZegeTP,Rarities - The Double Shot Years,4pWByRQD3cnZRLBFZmbiPU,39,not available
43,Slip Inside This House - Stereo LP Version,4GVRHAwABAV0v63YX9Go0p,The 13th Floor Elevators,7xYxgSJaIf7yOFLmknYX38,Easter Everywhere,5RQNjPQbqY82MBTwaQp3ik,44,https://p.scdn.co/mp3-preview/587f4279bf0d48a8d2ff3446459afba255e18b1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Holiday In Cambodia,0uzyN8QWbPGpOQLAXh27El,Dead Kennedys,30U8fYtiNpeA5KH6H87QUV,OMFG! That’s Punk,3ep27mtxMyke8ihg82tRB0,3,not available
45,"You, I",0ykxLvBK8dKITVgz8jlST6,The Rugbys,59GyfaB3VI1MgsGxuX4MMf,Hot Cargo,5RpVoSspITLRt2aotNxaae,0,not available
46,I Had Too Much to Dream (Last Night),7Fz4uqfZNhhtqItTVGibiZ,The Electric Prunes,1kkpNi8Ii5MhBMxmUhN5g9,Rhino Hi-Five: The Electric Prunes,3Lj0VAmFIsaKBlgvNqlTrE,28,https://p.scdn.co/mp3-preview/f60e58a277ff58c4dcffabc41e2b64e79fc78657?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Love Buzz,3kH1ziuJCIV1m3JZ8VKmaM,Shocking Blue,5WimOFbBnCU5wI6t5PPpEk,At Home,2vbAImlNuDjPBMdU6T1oRQ,45,https://p.scdn.co/mp3-preview/6bba4ba07ed59dafe010ce5cba3a31340ca3f966?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Try Me on for Size,5qD3pTJqLmu2jH7gbXYQIO,The Electric Prunes,1kkpNi8Ii5MhBMxmUhN5g9,I Had Too Much To Dream (Last Night),1k3ldWSHD1BwUVHGiFMhyw,30,https://p.scdn.co/mp3-preview/416a8889acb04065f9bbee02dd81748a53db6fbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,She Lied,1FIMA2TNS2poopXXrpL5hh,Rockin' Ramrods,1sSFqRg1plYYDDID9UURcc,Rockin' Ramrods - Best,3qXKOQgebyUeOxWfmrCNjA,29,https://p.scdn.co/mp3-preview/ebf318329de413902b1b504002864aca45816eae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Always See Your Face,6OojY4NdPiEGWHV2EUSwHz,Love,3Q6OOkfssqoMSTtl11J5Uk,Four Sail [w/bonus tracks],7kH6Bp3j5cN4GNNkZdnavs,59,https://p.scdn.co/mp3-preview/77c2f32edefb66a3a5282c282298939e3910cad7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Outside Chance,16vpy0qZfJdorlcPWTRNQv,The Turtles,2VIoWte1HPDbZ2WqHd2La7,Save the Turtles: the Turtles Greatest Hits,4cOmonGdWQvqlspEm5M2Ry,31,https://p.scdn.co/mp3-preview/d968e0e151a85db6d5ff5e4b6ca9a15f3d47fbb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Master Race Rock,3vFk6NHuQUphZWGT898pEO,The Dictators,2Ohpu0UE5PFDgfhUxEi0Fy,Every Day Is Saturday,1j8Px7Mo5PJI2cOteLcMJj,0,not available
53,Pushin' Too Hard,4yQRczx7diWEf7Yvps3kmC,The Seeds,5mcarhiatlvfCghqcn73rC,The Seeds,6VSc96KWdejRIgMrmo4v8N,43,https://p.scdn.co/mp3-preview/fc50f85cff54fe74b2aa9132bcd6da5fa86234f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,White Light/White Heat,3EN2eZgSBLW2f5YRLryKyK,The Velvet Underground,1nJvji2KIlWSseXRSlNYsC,The Velvet Underground / Rock Legends,5ZGMTbrxJ266RkUYjjZOoP,0,not available
55,You're Gonna Miss Me (2008 Remastered Original Mono LP Version),34miSNKQ0xN7EG8zzzaFzI,The 13th Floor Elevators,7xYxgSJaIf7yOFLmknYX38,The Psychedelic Sounds of the 13th Floor Elevators - 2008 Remaster,2afQ7u8n1CzNBAHjl6OQCG,52,https://p.scdn.co/mp3-preview/61412e5fce2e3d398d1025d3e9685321cb0ea6b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Evil Hoodoo,4flhEzNprMkUR0NxsKdOgw,The Seeds,5mcarhiatlvfCghqcn73rC,The Seeds,6VSc96KWdejRIgMrmo4v8N,36,https://p.scdn.co/mp3-preview/91ab681f041191fbf6ad7219f2abed8cb517030e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Hidden Charms,6JWHh27jYOnwFXMe8LpQlF,Link Wray,2vQavlZtDA660mnZotYIto,The Best of Link Wray,66Blu13998BwD4QTdJVl6s,24,https://p.scdn.co/mp3-preview/b5b5a083267a8c184a2fa40ad1f5a59bbb3ae583?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,I'm Eighteen - Remastered Version,1iNzWnJ8wbRxaCJoQz7E2r,Alice Cooper,3EhbVgyfGd7HkpsagwL9GS,Mascara & Monsters: The Best Of Alice Cooper,1d4QbAGdK7t9IgKQ7fI6SP,37,not available
59,Crosstown Traffic,1ntxpzIUbSsizvuAy6lTYY,Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,Electric Ladyland,5z090LQztiqh13wYspQvKQ,60,https://p.scdn.co/mp3-preview/1497a8c3e9977b13b43f41a83ac33b3884b3ce82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,I'm a Bug,5g9utKqn0nJQr1MVvGbVCy,Urinals,0fWJsXOUH83NNlUuVcszVK,Negative Capability...Check it Out!,1UN3YfkaEQN2b5qqis1J0H,28,https://p.scdn.co/mp3-preview/d6154d254cb537263ba0092d20744c86a7503a5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Search And Destory,14JJisJPl27K4OE2zeRqgX,The Stooges,4BFMTELQyWJU1SwqcXMBm3,The Life Aquatic With Steve Zissou,05mpXOy7NNlc3oGqNathD6,31,not available
62,Dirty Water,4z17FY23Bi8bt3n0TXA6SS,The Standells,4BM6qze88exQPVILQpcYpj,Fever Pitch (Original Motion Picture Soundtrack),3Ztl5FTTZoyafzQihqAx7N,4,not available
63,Needles In The Camel's Eye - 2004 Digital Remaster,79oH2M0vWq9bRYpNTCrlHu,Brian Eno,7MSUfLeTdDEoZiJPDSBXgi,Here Come The Warm Jets,74jn28Kr29iyh8eZXSvnwi,43,not available
64,We're Pretty Quick,0hoVOqZJefCa82xfC91Kr7,The Chob,6ob2BuDopHhOgjLascXxLH,"Sixties Archives, Vol. 4: Florida & New Mexico Punk",1n0FH0bBSkSu6kDElKCeNa,25,https://p.scdn.co/mp3-preview/286b09d36de0432f8bea17db64f2fa76ce99a889?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Sorry,31imY3UpHna3fB9fQ2PAgp,The Easybeats,1pJEZXU2hJApJW3rM7LmMu,The Definitive Anthology,047Y4MlAooCoP0gfPd5AuC,0,not available
66,Do It - Single Edit,3iqThNHO7K5LzFhuxi9N7p,The Pink Fairies,45BIdHR6MPeNr1aNT10GJE,Neverneverland,2vEiDamgUlwzFPYfNL1diQ,24,not available
67,Silver Machine - Original Single Version,2xTF1DGbD8uQzsjaTZgcRq,Hawkwind,2jK54ZlZhTF1TxygsVeR05,Pure Rock,2bDWdWdMlGXttmm6MP6CP6,29,https://p.scdn.co/mp3-preview/bddcfde21e003641892e34b0679cd10f4d5e41c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,The Girl Can't Dance,3upmYFn6LkTOrXc9w44V98,Bunker Hill,3nIGepMX8QBQDhmX14yOka,I Hate CD's: Norton Records 45 RPM Singles Collection Vol. 1,7xNAOiT1fDKmTHH8AjiCRF,0,not available
69,When the Night Falls,2sezHFJfyN51QjcG7gRecN,The Eyes,6gghzQ4VOE8JBLDvSjp02f,Perfumed Garden II,1uuHgXe6qcfYswbATubIB1,0,not available
70,A Cutie Named Judy,4mdWwNjlhU5Z32WUBCFy8B,Jerry McCain and His Upstarts,0HVuTBDV7k9ptOpLMnyuzq,I Hate CD's: Norton Records 45 RPM Singles Collection Vol. 1,7xNAOiT1fDKmTHH8AjiCRF,0,not available
71,You Really Got Me,69irC9BlLtB2T6Sk8FrKl7,The Hammersmith Gorilla's,5xPLMmVHaxCqiPLkSaxICH,Oh No It's More From Raw,02hsZHOkplBWU23aAGABB0,28,https://p.scdn.co/mp3-preview/6dabf4c9c1ec49f795abf4727892ed5b0c99aadf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,I Hate You,3XrPNRdFbGZESTGPte23dD,The Monks,3VTNuQRp2wjrWzZX6CXxiy,Black Monk Time,0YEmNXaNDq03tfgFmG4MOj,44,https://p.scdn.co/mp3-preview/e8b0076995a08decefceff7c5afc5fce86590989?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Don't Look Back,0hL3Yg54S7C4lVjzQQeDGg,The Remains,0q27BsP1o3MkfCQwZj8yPC,The Remains,4NngXhLNs7VUJ5mAr2nus7,44,https://p.scdn.co/mp3-preview/5acb1c59fa28acd6bbb8ce5b805457ea041000f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Crash Street Kids,65lVNwkJ1cbfGbeLFhj7Os,Mott The Hoople,6ysQi6NI88X627t2srsWz6,Original Album Classics,2W6CYtke7aesUBR8D8gWt6,0,not available
75,Who Do You Love,615QoDLpyIODGVvHEPP4pt,The Woolies,0LunUqJo6K99sNFMHbML69,Psychotic Moose & The Soul Searchers (Wild 60s Punk Classics) [Remastered],06SrHcvDeSeZsoOl2uGTmz,33,https://p.scdn.co/mp3-preview/d6b86506598546345e081a3ff3b8ba74bb1c6799?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Born Bad,2UezcqV7qEgc03UOfI81oH,Jack Starr,3EGblpPEuyQzWOaShcMVPI,Born Petrified,42ZzobzpMQDGyZal5F235s,25,https://p.scdn.co/mp3-preview/ef8faaa1ee0a2077fb1f6b53181370a1b74ea66c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Out Demons Out - 2001 Remaster,2N0bUYn3p2m5zOYTMi4lFv,Edgar Broughton Band,3vq20FWRCImmgoatehNMmg,Out Demons Out - The Best Of,6ZTXIed7DiVf4dpXvHNGeG,27,https://p.scdn.co/mp3-preview/0c12fde3b9a0987e8601e4ac1bf27edf9ef10c1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,T.V. Eye - Remastered,5z79Fpw4FEEkSzt8Lbwr46,The Stooges,4BFMTELQyWJU1SwqcXMBm3,Funhouse [Deluxe Edition],3FTcomSFg2zWSqWLRgBYpv,40,https://p.scdn.co/mp3-preview/bc0838e95ceebc66705689d791b44614b537f09e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,She Said,5SGaKs4lgCZxOdKgl2vE0e,Hasil Adkins,5PXHQdsE6wKNW3hNpFDAyR,Out To Hunch,6OKqyMn9x0hbafkKKlr1hX,33,https://p.scdn.co/mp3-preview/c68f3e310e18ff10024a2663f8fa82f1c2567ce4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Let's Get Rid Of NY,3Ldz1pcrj30VCRoOXVC9re,The Randoms,6aLIWRGgvsrm94qX115y7A,"Dangerhouse, Vol. 1",5iNbRI5RdubaBpYX2cOWTT,0,not available
81,The Train Kept A-Rollin`,4OQbh4qOenQK4gp4e65FZ0,Johnny Burnette & The Rock 'N' Roll Trio,1neKWNZP74NEuvHZmvMS58,Train Kept A-Rollin',6Wg8DpAq69AfI8ZjtG6mFv,23,https://p.scdn.co/mp3-preview/159220b6ef9081c8cf9335d83674c0552fdbc2ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Archangel Thunderbird,7fOpF1rmcD4wpenamuNdp5,Amon Düül II,1TUNPwZWJyhaNZpLZzhOUj,Yeti,5R7yVKn7rnv3LmifNqO8j6,0,not available
83,Up Against the Wall,6t5Kk1gcaFoq7uHJpruvD0,David Peel and The Lower East Side,2krGuMNUbsvItpJBjvgMFp,And The Rest Is History: The Elektra Recordings,18HJZA1FVpVUgK0V6XVIaz,29,https://p.scdn.co/mp3-preview/78594ef5a7b9cbd247c248886f64cc74661d5f4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Slow Death,44JvhqeLaMatXiA2VAtw25,Flamin' Groovies,3yesh1QeNXucaDFw8ZPKxd,Groovies Greatest Grooves,1hSEfZ3n3kCisvO9RDerhg,45,https://p.scdn.co/mp3-preview/896b77969ca5db83a2b6b1b15934096479834a55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Cherry Red - 1996 Remastered Version,2efJem1z78jWQnuV63ZijF,The Groundhogs,0c3RL3vVEgfxD6VBv7CGak,4 Groundhogs Originals,3g1NviD5bsxgf9RyOuA5SN,0,not available
86,Do The Strand,7aT34NLHqsLlAuOTRKy9EO,Roxy Music,3fhOTtm0LBJ3Ojn4hIljLo,Roxy Music Collection,6VQZ6NNyt8E6Nj93mkoi0y,29,not available
87,(The Original) Neutron Bomb,7vWZnOGMyilKXVgopNHxRP,The Controllers,4vdsZfLw82uxPQRhmlGDNf,The Controllers,2a3MwTOunb6sAQ6utroeZ9,0,not available
88,N-ER-GEE (Crisis Blues),6M8T5kQb4vyVzncxF3HoHa,The Residents,0X7nkgtJrvXcn1W8lN9Mtm,Meet The Residents,2hk3L6QimRLFY1zqgrDsqL,0,not available
89,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,57J2znxukXsXzS3XPuZ1TG,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones Singles Collection: The London Years (Remastered),1YYEC5hLwDbQPtErSBD223,10,not available
90,Fear Is A Man's Best Friend,7MwS3c5ON45nPKSXhkHmiL,John Cale,5MWBg16f5UYiaSlyVhzlIW,Fear,7svnpn58q7L0luZtfESIct,0,not available
91,Velvet Cave,2VO948OpEuSy2qbEHdLtSw,Silver Apples,6dP7OHshDvGHaNNSwunol4,Silver Apples,5A97TajaqQcTwiuFw3mZKt,0,not available
92,Garbage,2F4xuLgJ5QNKrKqzDbFY6k,The Deviants,6gFbwCDrKMQJpxSPclIUnu,Ptooff!,51w2m2WttlPC4KH3fQsJQv,0,not available
93,"The Hot City Symphony, Pt. 1: Vambo",1SHENw0H7rT1Xc5kPqXvcC,The Sensational Alex Harvey Band,7wug9iQ1abMCrKk87LlJce,The Impossible Dream / Tomorrow Belongs To Me,1F1atxLAR6PgOwazJuQBw5,0,not available
94,Rough Kids,5jRDGBWqxIQJ3jTE5kxwWO,Kilburn & The High Roads,3I97dteSoWkFBMy7C2TGSH,Handsome (Bonus Track Edition),1IFkPHKS3pUgGJYPfzzqLv,0,not available
95,Shake Some Action,3GqP6bUY1XHVlThBoQQk0z,Flamin' Groovies,3yesh1QeNXucaDFw8ZPKxd,Groovies Greatest Grooves,1hSEfZ3n3kCisvO9RDerhg,39,https://p.scdn.co/mp3-preview/03066edeea78e1c8ea318e437db197fcaade13d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,At Home At Work At Play,73dZMcYjAYEYets1sLxFru,Sparks,7pwjGKaqnfkvS7eQbHaqyH,Propaganda,0X9oDUDUZEAEkdtIPHXTAY,0,not available
97,Creature Feature,5Olq7KLWS7dNBDa43rgQmt,Suicide,6uVeWolwyRDrT84lLsaZyW,The Second Album + the First Rehearsal Tapes,2oR4YRVmnxVTiRGbR8k5G7,0,not available
98,30 Seconds Over Tokyo,6TfLCx9HqVgzt0MrA47kzu,Rocket From The Tombs,5gjODPcOiAmqb2iPzt4cbo,The Day the Earth Met the Rocket From the Tombs,6bP6a4AC6r7zWm0yjxvwzp,0,not available
99,Little Johnny Jewel - Parts 1 & 2,3K4B7jg72g1mwltdOljDU3,Television,0S7Zur2g8YhqlzqtlYStli,Marquee Moon/Adventure/Live At The Waldorf [The Complete Elektra Recordings Plus Liner Notes],2tdeBxBeTVOl95UqS5vV9P,40,https://p.scdn.co/mp3-preview/ad2e41606e7f725f5dd29d5df7e0e54166bbb914?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Judy Is a Punk - 2001 Remastered Version,6tPbPginayIN9JdF3r7hB1,Ramones,1co4F2pPNH8JjTutZkmgSm,Ramones (Expanded),4X44NrhroDDaWXheAhcvYY,2,not available
