New Dance Revolution,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Tell Me Why,36C0Gw2RmYWy5aEpMPaQ0e,Alok,0NGAZxHanS9e0iNHpR8f2W,Tell Me Why,1R2C7EG1sDRGnKSxGmLU4o,66,https://p.scdn.co/mp3-preview/a5f8538b3fcbc2e9e5542025cd5bdd964b5adebd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,One Thirty,1DP4D6hnxTRKAUKctHE8mr,Anna Lunoe,7d96RW5Vix23AiCHr3mf3D,One Thirty,2UMWoDlJzoVjTw5MsvCgZl,43,https://p.scdn.co/mp3-preview/cc9d960a7bf02f3d5c43c8d5088ce61f4b3f2c43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Grind & Hustle,2PI0Nlt5YFC1Zs8wt3epX3,DROELOE,0u18Cq5stIQLUoIaULzDmA,Grind & Hustle,24a7MtSD19HGYSjgQfpOrB,55,https://p.scdn.co/mp3-preview/20857e214ee11e1c3e332c0a5739ad172c2ce725?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Shake It,2MPFdZU4chLoyrUqYNR033,SOULS,2mkSfdbk3EkKfh45pd2CWH,Shake It,5QljY5ZZFoZwkC5yQH5zzH,31,https://p.scdn.co/mp3-preview/0038cd99813ed62a37657a19aa01fc7d7834cd63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Home,0AhyPq3FOWAjZtl22KjeT9,Basshunter,37DdwREpvvQHmGLFEZ4h0Q,Home,432stS7KpR0XH0HYa5Wi5q,52,https://p.scdn.co/mp3-preview/5893477e9854349dba2462a06361623ed22b3e26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Catch The Spirit,3ODOQfdKXTdLrMWQv21vVA,Jack Beats,5dUIQXIt7WeBKpETFZyTFW,Catch The Spirit EP,0U6I23JmyhZVRrOR3vWRsY,37,https://p.scdn.co/mp3-preview/c0bd5d903cd9e45af3ef6e004d18910a49b77e9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Put A Record On - Shorter Edit,6hwAWntAVbgyohFJTqDPkf,Matt Sassari,21dVknSLCsK37cWozWDZZS,Put A Record On (Shorter Edit),5m7OQoQrSJ9F9faPBey6T4,28,https://p.scdn.co/mp3-preview/3a58d4f5db3e850bac5435c8e73a2f45d11d04e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,If You Want To - Remix,6kLaJwG8unMHMv6JuxVbsE,Dimension,1QMgre3BHX161ZHtWMUu6S,If You Want To (Dimension Remix),4hgFcznJFMY4IQLZqMR4H6,43,https://p.scdn.co/mp3-preview/28ea0daa9cc631d189f5488a22644b3b1c78fb98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Right Here Forever,4VjKfvfiHHhLiF6nBXBB5o,Alex Metric,6RDNTAgm2s6ae71nXWGnJD,Right Here Forever,0wFCn0l7UZ0I7Uu2noJpcI,33,https://p.scdn.co/mp3-preview/600466e163ec0e3445c501b17c9b22c9a27b57e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Bad Behaviour,6hN8uK3SRMPsWevDLXgo3W,AC Slater,6EqFMCnVGBRNmwPlk2f3Uc,Hi8,6mZ49FCEebP09rg5TIgwCg,29,https://p.scdn.co/mp3-preview/01c58a089eeb6966afac48958c45c39c669bdca3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Baggage (with AlunaGeorge),214h7kR7uNssAoU5AbcaIS,Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,Baggage (with AlunaGeorge),6HkVLOM8m07Du0cz7SsnwR,71,not available
31,Messiah (feat. HÆLOS),6lZwegV6oPqgNtvGDXWrt6,Joris Voorn,4jGpKAmwvU263l0tUh4xKU,Messiah (feat. HÆLOS),647lwUKMFcnoSBr68LyDwj,51,https://p.scdn.co/mp3-preview/66d5f3e474a6320762a2ccfb98dcbcae4173f64b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Song for Olivia,3G69N93wUnXpTOuoo2pJT1,Skream,2jbP92oFLWqPqogflK1wlW,Song for Olivia,4MIjicDhZsgyfrSxkau6eN,58,https://p.scdn.co/mp3-preview/77a42952e0498433fd7595a7480afb24e8f5185c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,The Stand Off (I Want You!) [feat. Hayley May],1KMhHimZZdUqsgDeZCyRa5,Tobtok,6pcxIOhQCNb7DX2iuEXgxL,The Stand Off (I Want You!) [feat. Hayley May],6Tqq5RFxYpc4CqjYz0hMRX,57,https://p.scdn.co/mp3-preview/923bf6c71e9f93e646c92f9fe67d244ea395a4e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,It Could Be,23gzGRBeEOwbUHGFjoJAhD,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,It Could Be,71uBAeBLnEKR3sPJ9waFrb,61,https://p.scdn.co/mp3-preview/6308b7ba4e6eea459353cd172b0aca3bb24eaf57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Moving Too Fast (feat. Paloma Faith),1flaDTNzA2EKknCBbowb0Z,DJ Spoony,6tDESlsE9MXHHGHASpXukv,Moving Too Fast (feat. Paloma Faith),6QmRN9TIPbGeHs4CsrUOwQ,50,https://p.scdn.co/mp3-preview/7798680e4fb24dc176cefeab30aa47085d8e6e9f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Burn Me Up (The System),3ySgPEVjbKeXCgjNr8VszL,Low Steppa,5OImcY3khBn9UFjzgaapob,Burn Me Up (The System),5JVPVwNZpb9kQfZLXVo5NB,43,https://p.scdn.co/mp3-preview/adaac89ed29278bb9b3b84fb233f03efb2a85ae6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,All I Want,0RpsN5i29wzKUXUBRX0AVO,Cyantific,1fAFVmxFjwB872XsEUomIK,All I Want,09r1GsCovwrSLiMvkoc3e8,42,https://p.scdn.co/mp3-preview/e86db4fcb2d6e6b3603675f7e1948d429848173f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Jacques,2Eld7kejX6FH9OptVyKQak,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,Jacques,4ka7Gqb1T5lWqbtPUxiLsC,49,https://p.scdn.co/mp3-preview/754bc6e38734a4b09228617f5d44dfb424f89bc5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Fried Eggs,0vmsFIAzQxauYf7aMo02tV,Redlight,4ly0VtIYiDYVA4q6ry0NUk,Fried Eggs,1IBigy8zrSFRm1jJjhXLMY,51,https://p.scdn.co/mp3-preview/1e0f942c003d30a01bdf6770d157388212218b63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,San Frandisco,4KrATQEoEbKAAY7j0kMDBl,Dom Dolla,205i7E8fNVfojowcQSfK9m,San Frandisco,66IfXKLEgsVPqwElkk8aeP,58,https://p.scdn.co/mp3-preview/b34a5288b3708e975f507aa3958495f6d50f8a21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Gravity,3DEOsCKFcseZtobrpOH2J7,Metrik,2NCEtX40i9lLNpTg2X5583,Gravity,59oNG70vYOhucgQvVV4EG7,57,https://p.scdn.co/mp3-preview/f8f7d349c1ecaf5b1ecc045732762425db0640fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,All Of Us,5cQscm1d6XOrBTnm32NXRE,PNAU,6n28c9qs9hNGriNa72b26u,All Of Us,1D0ZMABP9fW1ujVbWQNwKu,64,https://p.scdn.co/mp3-preview/d6123cc1444128f136d95964584026cb552c3f10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Don't Take It Personal,5tkcXrKUD07rj2mWAT13nX,Punctual,1ocnIbhFWM9bSPrd7Hu4zF,Don't Take It Personal,2aarIN5uqQblQnzBKh2Yq0,38,https://p.scdn.co/mp3-preview/e6ec754fc157b100183cc7e6f1495abd8c7defc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,I Know,59jHH3RyODRyVPCgpM106o,DallasK,7uas0F5EhsZg6KDJ7yy7rW,I Know,4aV2pC92HD6Dw1WTEihept,56,https://p.scdn.co/mp3-preview/847f8492c6b7d77980d0ce833cc9bd1aa4bce93d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Somebody Else,3QOv4MH65IXlrw98rVZHw4,Camden Cox,5mNpMP01Co4vXZ3U0fWP3C,Somebody Else,276AswSHix7ze74ZIambhl,40,https://p.scdn.co/mp3-preview/0b9075db1b7fd21383a28e0095fb36ca7450adcf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Never Change,1SG6r7daFfpzPcU15luVqB,Don Diablo,1l2ekx5skC4gJH8djERwh1,Never Change,3YlCbpHzM8GyLYE43TXijW,72,https://p.scdn.co/mp3-preview/66faba393fe9a352998f3d5ada5f1b397ce9f49a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Bad,3VxUO4SY8oIneNmOWCFSi6,Tough Love,16KSSLMXOdKQ2MHt9bOHTG,Bad,7JBl88J3uk6W46x4M9KWU4,43,https://p.scdn.co/mp3-preview/c45ce3ce7651b4a4d0de4ea32e03929a3566d0f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Sea Breeze,08ReIMgSa0axzw5dJdVMGe,Kidnap,3PvqCbhNlq96JXxPszCMZT,Sea Breeze,0K96UlkLaSRQjTnx1dLPEC,39,https://p.scdn.co/mp3-preview/8c3f70ab9f240efa8e7eb41e3117c0961794a517?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Summer Fade (feat. Anna of the North),3UIGE2FXaUUcYWA31Og0XO,Snakehips,2FwJwEswyIUAljqgjNSHgP,Summer Fade (feat. Anna of the North),5bB44dDIsNlLs2vRUMsrWd,68,https://p.scdn.co/mp3-preview/aa73365beb97f4c0bfe456834ec4cedc2788975e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,All Around The World (feat. Bryn Christopher),1oW9LQ9KyFZ6rihgDbn14z,Matoma,4YXycRbyyAE0wozTk7QMEq,All Around The World (feat. Bryn Christopher),2ALCG7YyutXUzcbzRPBX0A,66,https://p.scdn.co/mp3-preview/59c2d2e79221fad527e956baed965f9808ca3d49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Alone (feat. Syon),28lXtrGjjjb5RlDjtpUNyT,Kisch,5geAjOsxhftVd39yemf4r8,Alone (feat. Syon),0E0ILBqKfFZfXdmT76ISWy,47,https://p.scdn.co/mp3-preview/af674d9a60e6154a3f90b483738273a5e3dded56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,"Rimbaud, Come and Sit For a While - AlunaGeorge Remix",1fEQPm2rqMOpTkbXfWY5Yq,No Rome,6auWB5YAlcKaHyrbTH66nd,"Rimbaud, Come and Sit For a While (AlunaGeorge Remix)",1UJi4rST4RBsECjewUKrRF,38,https://p.scdn.co/mp3-preview/b0edd635d31f7ff10c9595e1af682cda49151bdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Like I Love You - Rowen Reecks Remix,3m2Bsp7otjIddiGoTaiSKO,Theresa Rex,6t9tbRO9Lv6Oq6xtVwfdrn,Like I Love You (Rowen Reecks Remix),27aElwIVbeSvYmEeAUeYGK,41,https://p.scdn.co/mp3-preview/6672995f546d7774fadedc86acad2ed97b2b193a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,No More,1GbeJwHvcWOELjFFesFvYe,The Prince Karma,6ew7qRw24oov125Oly8pFD,No More,3FKKvVxJEnOI9Y9GxrUzsq,41,not available
55,Everything's Live,4vZj7kVypLU0OK1eFvZiL2,Realz,4j4g1iGu0mtrYCEj093GfW,Everything's Live,6DIEx1Zdq6xI4mNuOFEsdM,33,https://p.scdn.co/mp3-preview/d7bf155c883481c35b52dcc366ed595a79cbf92b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Retrograde,1TxOJErR8b3SsCDdiVkYsx,Hardwell,6BrvowZBreEkXzJQMpL174,Retrograde,7ygmx5PY4EF86hkkXLazAf,62,https://p.scdn.co/mp3-preview/d22ec344eb915fe6c2e1ae344c23d1c6cdca5957?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Feel It (feat. Theophilus London) - Prospa Remix,7FIR1bxBZ5Va0LTDe5B4SJ,Octavian,5zfEatKLDdRkgbw6sdLBAQ,Feel It (feat. Theophilus London) [Prospa Remix],4UrTKdvbTm9ltdpLAjrlSA,42,https://p.scdn.co/mp3-preview/c5fc90a1252c803274d9e3d9528a83da1558a7a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Let Me Take You There (feat. Laura White),5tuOGRYPjh5lV6M5zbNRNH,Max Styler,3NKKngINK1tP6BFy0WOyWk,Let Me Take You There (feat. Laura White),32DjFgVCtLPRz3HNJCEH9S,60,https://p.scdn.co/mp3-preview/83309409cca1f6b89b2874bf5e72aed35a523044?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Symmetry (feat. Tiggi Hawke),4hQPDJmWN7sf0RkLjTpoKK,BLR,6eZxwKfQWK4d5sLOlauR1Y,Symmetry (feat. Tiggi Hawke),35HGVvbC5IOzc2WVIfmHs5,36,https://p.scdn.co/mp3-preview/f1fd3196d2dcdcb5fa799b3fb6a46363f70a0284?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Trust You,4zGReDJNtrZkxxNUxgLu3Y,MistaJam,3qi5fhSI6aUecvRN0XqIJ2,Trust You,2NRC0r4haaa3qR4lSfgTXU,51,https://p.scdn.co/mp3-preview/a5c2918818c507f02812777a86e53601542fdd4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
