Sweet Soul Sunday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
32,Lights On,0vpBmYdeqltCcOpufZCLcx,Izzy Bizu,6b5YOgXIliAozdo49vUCJQ,Lights On,36VDrxmWufPuIHVDCPbc5G,53,https://p.scdn.co/mp3-preview/695549c0e1face0ea3dbfe1246e28f83726ebb04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Lately,32NYAJbqdosamESI9uotLe,Miller Blue,2soHr8jGZ0ATxc6X6BgmbA,Cotton,0L5UjNm5Pv2eKa3K7uskPS,47,https://p.scdn.co/mp3-preview/5e3391be2b2dcc507c54166d17d5d121745fecd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,How Does It Feel?,7nnz5nWr6iHtiEhH3a22HH,Samm Henshaw,1Q2mS59tFYLm2KGFoCgWN4,How Does It Feel?,2A3eHBDREs2rP4G7u9Gd9V,59,https://p.scdn.co/mp3-preview/469716bc2b65dee12b9596d8b45d1a2a32168599?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Only The River,0OpuLpm4RWwZ4cZi3nz5cP,Alex Abbuehl,1gEjnEOtdOQE8OnnxlFRaM,Only The River,3B27QZhpGZsDnbZHIdonpC,50,https://p.scdn.co/mp3-preview/81775b48404e995e43a4868be5359825e8e4ea44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,String On Me,1uwSWf42TQ3ZvBAioIvGzG,MAX RAD,2Igm79AVp3dCbQhfF6I60Z,String On Me,7BjFCzQ4hmf1S7yvwUd7pd,42,https://p.scdn.co/mp3-preview/5aa1be8fd08bf8e25f2ffed4ac4442a5ef66e5cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Salt,3kZQJmj3P21J3ozco0LaUC,Sophie Faith,4LR3BRvTeWCiS1l16TqXVh,Salt,6YvZk4M6cF4GDHj42h871G,42,https://p.scdn.co/mp3-preview/52612abc4edf14498961276b537f363c5b405020?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Never With It,1WmqVEXa1qiqyb2JbYb2Nh,Izzy Bizu,6b5YOgXIliAozdo49vUCJQ,GLITA - EP,4IXfPOkwd4JbnuNadooK7x,40,https://p.scdn.co/mp3-preview/7d452bcbc76ba97c7e8c4935f4205a7fe51d9d2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Make It Better (feat. Smokey Robinson),0BhvzFxq3FHiMdGcLiTphr,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Make It Better (feat. Smokey Robinson),2uiF3HvWDxAMupxCZ8t1VY,21,not available
40,Pretty Insane,4qiMxocFymeATNBYItzHcP,JGrrey,66rDbD3tWR3M1uNuIaDAGx,Pretty Insane,35JxRBAsRb3mcXIxie3nfs,47,https://p.scdn.co/mp3-preview/2c5202fd6741967ac518efa32113bb760872aeb6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Hot Water,4jHXc04Viw5h8QXWkGP7mu,Talulah Ruby,2TNbAqw8Vycd0xtFz7RWzZ,Hot Water,5LcIHgfQOHIr61bAueX6MG,38,https://p.scdn.co/mp3-preview/9ac6a6273d71558434b6ba4531b6a9aaf847f244?cid=fa83a2fec7c440b7a2795d600d6b2c7e
