Rap UK,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,SKRR (feat. OFB),0eoBz79KtUGtpS3Tm8Zqst,Yxng Bane,5AbLpsnTQVNB3OEadYiVrK,SKRR (feat. OFB),4ijkb0K98NK0nOcXxtVvIz,63,https://p.scdn.co/mp3-preview/98eae58fb90d48b73149e27e297dafe8c8fc64e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Gang Gang,0cG8mp3Pc1CIre9sspGMcg,Cadet,1Gm0kKaDx4GH6pQF88rjSK,Gang Gang,5P2zkIFGFWKoj1t1eBVtOU,61,https://p.scdn.co/mp3-preview/730ae0c960f8e8ffbc32ff9501167d010e2468fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,not available,not available,not available,not available,not available,not available,0,not available
13,Taste (Make It Shake),1xPpYbCaJWonL7IFXPDjON,Aitch,2PJEagPIxaBugeMjIyKVXF,AitcH2O,4lyOYAUAPXImW4OCQT2wiP,75,https://p.scdn.co/mp3-preview/61a03a46e1f2d223d93e2e180c555af06d0d04d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Nookie,141GIDaZBy7Bn3I2NAFR31,D-Block Europe,5VadK1havLhK1OpKYsXv9y,Nookie,3FCj339Jn0Bcsu3Emnrkv7,73,not available
15,NO RESPECT (feat. LD),1S4bilMrCP4onPZDgdHS1d,Ocean Wisdom,0D9N9NxMbXKjmoRI1JVdz8,Big Talk Vol. 1,1sZtB2VSS5sZewLUqFOxi8,40,https://p.scdn.co/mp3-preview/022d746e88a9e6043fab544e4a9ac6a2b688d327?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,No Cap,28Cgp4iuGoZW9yPImL9J22,SD Muni,0YFd71npsQwuqBCezSIBfA,No Cap,7muVR4tGRfVH9N05Bitiak,54,https://p.scdn.co/mp3-preview/502bb811201c292dfa33f5985c58fdefd82631a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Twix,1qriMZJihPr3r5dIIuwVmw,Kwengface,5O1YiYFy3CEWD2lkOmoerV,Twix,2F1cu6Kgd1laHNT8CI9LOC,56,https://p.scdn.co/mp3-preview/00be0fe86900e21e7d177114ccb7ebcdddf1d572?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Get the Bag,6ShKkwCVsCpjB3udKVrB2R,Double S,2hs495y9Yso0hfotMuVaHC,The Biggest,0CZnw8y31QGEEfdYVvMiLr,40,https://p.scdn.co/mp3-preview/55216469a39a420c3d4646a8c8ddd1979aac8ae4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Opp Thot,4VRE2Ler8le7DUymvKepY1,Poundz,2jItxZsB8PA3vday7b0RLT,Opp Thot,5BO7N59P3g4mGAdik4ivd5,55,https://p.scdn.co/mp3-preview/2020ce35d5da697a3b3fc7bd312ec10be9c257b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Xpensive Habits,3lo6d7DEg5HJ4qbx1EQ2Nl,One Acen,16plk1BhihSieDutGFbLt8,Xpensive Habits,0Iw87aaJAypyQsAHM0w6Ax,64,https://p.scdn.co/mp3-preview/64dca6e9b406e138ea596af58b983b2b6f6e6389?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,BREATHIN' (feat. P Money),70LeqauDNJr4NPaspitiDj,Ocean Wisdom,0D9N9NxMbXKjmoRI1JVdz8,BREATHIN' (feat. P Money),6wuZzTlArRh1EurnBM4XIw,54,https://p.scdn.co/mp3-preview/f256b44093773d080485ce6e0a3b6418e41872de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Ladbroke Grove (Remix) [feat. General Levy & Novelist],5mdD6Tg12VwPfcl2loqASV,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,Ladbroke Grove (Remix) [feat. General Levy & Novelist],32xsR9bCqBIYfsDZmQE8Rm,66,https://p.scdn.co/mp3-preview/e678396ecc6d7b45e432c0a035b7e7c068370b2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,100 Thoughts,6eyxts39VJKDfxv5QHOlRB,SL,0wY1K9SgxbaRfoFRmSR5x5,Top Boy (A Selection of Music Inspired by the Series),334X6XoNKUzpAQbm5FPsMh,65,https://p.scdn.co/mp3-preview/8106390968eed3d75e7d32beaf010890595a9cf3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Out the Mud,536xmcfzX4S6qY4F9hUkCR,K-Trap,39XT9gMoNmMCOlvTTR273m,Out the Mud,1nLoD3DnKJCQzvBOa8fBOW,56,https://p.scdn.co/mp3-preview/6c27db1ecfa5c3efa82c2d4116a046342c9d3c51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Disaster (feat. J Hus),3rqmxZNh2BRgJ3BiCPFTSG,Dave,6Ip8FS7vWT1uKkJSweANQK,PSYCHODRAMA,4GrFuXwRmEBJec22p58fsD,72,not available
26,Jerk Man,390SDZW2PPrFMYp6bfHLBe,S O Large,5wUWJullIwzFc4VZl9WSEK,Jerk Man,6G32IMBKTyuApqDEKpElJ0,46,https://p.scdn.co/mp3-preview/45eecb680554773643cfee1098215fcbd3dc5361?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Do Me Wrong,54KSoJDZbiJN6Bb2q8dY2r,Cillian,3Aj4ZOoyFnCouXSUbA53Ur,Do Me Wrong,67Yr34mnNjgk5lT3xx8kef,48,https://p.scdn.co/mp3-preview/df25973c961b4188c55d5b353a5ed17097447d6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,On the Roads,1lz7Ycf4eKXHdjFMk1wHJW,Double S,2hs495y9Yso0hfotMuVaHC,On the Roads,6rBMx1rdw4JkT8Ev0xezIh,46,https://p.scdn.co/mp3-preview/c964e56366436af504902d8872958ecb07206250?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Get The Bag,5CETk1I0nUR0tJyF91sx5q,Trinity Square,4MgNVofIJ4D44trLqywfNu,Get The Bag,3POi8I2wDKTQ0fN8zSc2JB,38,https://p.scdn.co/mp3-preview/4d4e68dbd609ad45db92911cd7f935976700d703?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,U Know,7C31gZLtoqdBniFeoXIeeo,Izzie Gibbs,3BdNGqMrOUmUQRSh6u6GHo,U Know,4EcLqodWnTHTHKJNx9pIEr,50,https://p.scdn.co/mp3-preview/10f0dca410c020789487f36b0ae23a21295274c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,DIFFERENT CLASS,5m75wN6BT6wqNDf8S1okpb,Smuggzy Ace,3p9GCSnsgsbTht8knXyh5G,DIFFERENT CLASS,1Awb0AfveQSR2pYOBjdf2a,49,https://p.scdn.co/mp3-preview/02628238a52bdbc7049f7959a493300a3fcb422d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Gangland,5Eb2zQ11A8gRvUp1bb3HD8,Lowkey OFB,3JShg3WRiDTNoQe9Soeay9,Gangland,25dmWMsPUDw0MXkRhPg6cQ,52,https://p.scdn.co/mp3-preview/b3d34634e5c2f0f187ab0729892a936f3bce1f8e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Pushin',4MDLeTRI77vOecug6HIhb9,Splurgeboys,5ybO9LJlZ1H2d0zBMhdjVa,New Problems EP,6OpHPcAzEs2olqwArYZ0wB,48,https://p.scdn.co/mp3-preview/1a2bddd3f829ba824e4f7fc2b2bf65d254d5e6f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Hard To Believe,2pQvgkGz5RTvdZN6pwPnDY,Headie One,6UCQYrcJ6wab6gnQ89OJFh,Top Boy (A Selection of Music Inspired by the Series),334X6XoNKUzpAQbm5FPsMh,65,https://p.scdn.co/mp3-preview/53459c7f24df26945311b4b6f6952c062d09b6aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Friday (feat. DigDat),707G2An6l0OKGioSWZx3f2,Kenny Allstar,2abTBfFq5PSoASI2PSysLV,Friday (feat. DigDat),2ACuBGFYwnbuIIBvnp7rxV,66,https://p.scdn.co/mp3-preview/7094f954e108b39890c204e0ce6820ff0d3dce22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Head Spin,6dn6zhx1GUwO2gqMMeqddr,Chris Cash,1kD6jFU7bXAP1G4VBawHk9,Penny For My Thoughts,7ESUYAs9l0v7Quo9jlHQST,44,not available
37,Sir,2UlQFy9bkR1dp8aAZqUUUQ,Akheim Allen,39Wc6H2Du0lz6Ckliaobq3,Sir,5pxeEUkdZXxGCfrVJjJcWM,45,https://p.scdn.co/mp3-preview/2da695b8e5a32328ee317f74817459561c1e2769?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Hustle Hard,2BsUJ40UacCTB6sShajQpB,Yizzy,4uCUBeUgVSrYFwLDeklA7g,Hustle Hard,58JdtUSZdI14m97Prqj8Fv,48,https://p.scdn.co/mp3-preview/3a94bd135e480ff46867e102a435365af3bb89b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Teardrops,4quLFynhSUFOO3em1GOMvO,Kano,50nN8IFD4xA67fI4jYbLV4,Hoodies All Summer,0N6HQ1sWJTf4QJxipeEazS,61,https://p.scdn.co/mp3-preview/66085265556a5be01e5b2c4cf3affbb8d7ebf7ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Already (feat. Tyreezy),4y90aFUvxkibo5m3XUzaBd,Aitch,2PJEagPIxaBugeMjIyKVXF,AitcH2O,4lyOYAUAPXImW4OCQT2wiP,66,https://p.scdn.co/mp3-preview/632f18e0d312965093d84df5b128d774519c7186?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,That's What I Bring (feat. Wombat & ChillinIt),2IV8Z84UaSpOuUIbbPEUM0,Eyez,3lbE4VUYGYUusBmdfPbtJV,That's What I Bring (feat. Wombat & ChillinIt),11z4GqskzhfWOw2N38CnlA,51,https://p.scdn.co/mp3-preview/eb1eaf0e123fd863a60f961523801c813aadb913?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Trapping & Stacking,07q4W26bRgy1OqHWMGx7LC,Skengdo,3LmkRGuUav9Un8TDMjwKSg,Trapping & Stacking,2ZDcM1WNw6ip3V9VXnSMVx,59,https://p.scdn.co/mp3-preview/199c8cd1dcf4ad8b7d9a126b002771ec361b88aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Both,15nKLSvslk7jntDkxIdYmq,Headie One,6UCQYrcJ6wab6gnQ89OJFh,Both,3FuJaKGB7K7TVU5vdNXMbQ,76,https://p.scdn.co/mp3-preview/b29a54252d425b73b59c117dd65a1d722e477e62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Flute,6MDdCYUPUdCkLqR8B81tly,808INK,1eSFjbv86usit5ZF5ywtLf,Noisy Neighbours,29meQXtN2qFiDGHJDgEawG,42,https://p.scdn.co/mp3-preview/5723ba4022b5c1d8a66374e2bd963748e1520f2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Menace II Society - Original,2WHbUmx0JEwbq694gBoJWu,Corleone,39ruRxrA8sCKDTozbbmo7o,Menace II Society,13784eftzvRoAUUxh3qF5Q,48,https://p.scdn.co/mp3-preview/ed60fa9fffaef6da77c46f5559d45b480a195767?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Tugg,5d9X9RJiMfC7QsOzaYecQ9,Skengdo,3LmkRGuUav9Un8TDMjwKSg,Tugg,5ZDylPtB2tdERRgTv8fgZf,55,https://p.scdn.co/mp3-preview/db772746acca4a25adc639a3ce62d3fbb4176df0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,2AM (feat. Eyez & Lily McKenzie),3QHMUi9ACGaYASf3HxkXYP,Isaiah Dreads,3UZMgpkKd6JUdvxQa0M0PK,2AM (feat. Eyez & Lily McKenzie),5PluJwWcIZEiGznG1X5alP,36,not available
48,Patterned,2QVV5GuwyXMgx5dzDlRGVK,Big Tobz,5mJzAPLj72Ifm4MdYS08uK,Patterned,27pMZXXPScP62nIV5qn6eX,53,https://p.scdn.co/mp3-preview/336ea6d69ac7d189f6bc894fc437c5a06cef8fc9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Been On (feat. Presi Pros),6kb0V4DMsH52eKjk81sCmy,Ambush Buzzworl,7fpQ6NCdteN7GLIpdFXaKV,Been On (feat. Presi Pros),6UiR1ePfgMNsAjobzoPkVA,55,https://p.scdn.co/mp3-preview/10456fbbb94ea7f792795f93763ad83c5c93a87b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Khabib Style,7cEfg8sYX3g05ADSNwjEYu,Bonkaz,7JxnnwPLTjVyHHruCMpcJQ,Khabib Style,3RHwZRcGr29UktS5nBfQEb,49,https://p.scdn.co/mp3-preview/f92c81f48a76117ee65e749bb32c3dd59eb90414?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Free Years Later,7oGNNZfDVgw39xwkupZEpU,Kano,50nN8IFD4xA67fI4jYbLV4,Hoodies All Summer,0N6HQ1sWJTf4QJxipeEazS,59,https://p.scdn.co/mp3-preview/85b9b5a95bde4966b7151fd9a74a5a6ef49fc732?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Can’t Find Me,3ywShPrzmQpHtYkyizUm0m,D'One,1GJ03RP8m15KzoFVsvRKSx,Can’t Find Me,74mcMjqBYmEAw14Lr2XAZx,49,https://p.scdn.co/mp3-preview/1b8b5f81df0360af56de3664dbbe92c25f5a73d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Lebron,4xAy3nxEEmdMykHQ7yjTZM,Aystar,4HpnjNnqIjwItltmZJliMy,Lebron,2MjYrtcUvLzthj9Q8juUSh,52,https://p.scdn.co/mp3-preview/f6e6897a93336863b69cb9c8ddd846a204faa1b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Home P*ssy,4QEMi9FXOolfFFlLFUIolw,D-Block Europe,5VadK1havLhK1OpKYsXv9y,Home P*ssy,1znn7QlElfcu5CdyuUOawh,73,not available
55,Triple Threat (feat. Youngs Teflon & Mental K),6SQVEl5FNrJltdcbC8G7uq,Blade Brown,4E0mDf341TLViBbNefSrsK,Bags and Boxes 4,5pAvOdUwa9xzmVxSl4k6DN,52,https://p.scdn.co/mp3-preview/11120c91205dbc399fae939a830ea6a301524b34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Mighty Moe,47wHoANBCmIiMDbm88QlEM,Snowy,3opizXFB4I7D4926tpYMUP,Mighty Moe,4O8Qn0t5AY3GZ0esW7L4Fv,42,https://p.scdn.co/mp3-preview/e7a5a5e5720ff87878eb0d16e95c8f7200fb7b9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Life of Mine,3e0mnYkL3HdW8i9ixwgpl8,Dizzle_AP,6QaM8ycMEyGjVl5pcbm8SG,Silver Lining,4JsbPMOMumK8SGrKObl6xL,47,https://p.scdn.co/mp3-preview/0a6e6a49859d3e3fc00ccb83ca33c7d3528b8d1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Let's Go (feat. Rv & Krept & Konan),1GGetsB4xUWR6FQxYaOkTa,Headie One,6UCQYrcJ6wab6gnQ89OJFh,Music x Road,6J41exElcUa6rK5SJmjV6S,59,https://p.scdn.co/mp3-preview/529a3dc41d8c3bb0d892f014017dcbaff3323270?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Cartier,64uoVmmhw2CUhFAOhDW1Zb,Gino J,4cAltlzViWaH9SL0RKlrED,Cartier,4cIh5X2VC4bpmJm15UT6Sy,48,https://p.scdn.co/mp3-preview/7083a111bc265b0d32d1dd64cb61198addef3646?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,PANIC,5kqR2UqSDwTL6hzV3xsubE,Romzy,3QIdLPSchRrlrCtj3qJlG1,PANIC,3r0FLBfiEkObwI1p0lk8j7,45,https://p.scdn.co/mp3-preview/ed80adc76be20009ad02957d5cab7f67d1972987?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Salomon Rondon,770yqA3PVuE46NDJhBpdIH,Blanco,5FxsPS1K61fHEVB3FNZw6Y,Salomon Rondon,3uVRxGPycv2v58hWV9dSmz,55,not available
62,Chat Dem A Chat,6OwwSshCze84PHyhxQdfOb,Cassie Rytz,2Xt5NipES01OaNcbgav274,Starts Here,4pyjXtaduFlTc3sLLkAekz,42,https://p.scdn.co/mp3-preview/33b94aff475cea3ff93285914e7fd7d7c07efdf4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Never Ever,5uqBOWVXyby2i9qTa6YHIo,Bouncer,3DTFr5hfJBjyxnTeU4l7ka,Never Ever,3vgc7jZPkypgwPaEIhkP33,51,not available
64,Gangland (feat. SOB X RBE),3WTZvqLnejR6qirV4iWsw1,WSTRN,5nSAh3wlH7VaqpnkiMjzDs,"WSTRN Season, Vol. 2",2WCm5J9l6jLoEYArfVxOsZ,51,https://p.scdn.co/mp3-preview/746739f5e52c3966c6ecbf233cba80bccf329e58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,French Drill,1yXKFsR1dGA8vmHYjB1MmK,BGody,4CjlwinQyT99elEHV73zZf,French Drill,2TSsqEqFuPUKqVma3foDMX,47,https://p.scdn.co/mp3-preview/89d45f71107e7d5461e77382ab2f36691af1feb2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Cash Machine,1Np3ssWyRHtiynINYvtI6q,Dizzle_AP,6QaM8ycMEyGjVl5pcbm8SG,Cash Machine,4umZGyUd6Y9cO3RQiikP48,45,https://p.scdn.co/mp3-preview/d260694fa8351d993f0e810923ac296abe4643b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Living Proof,2HzxOEh4lmyoCJMAevYGkO,Zeph The Spirit,5jYOfvbysvR9kgmwyyIuhA,Living Proof,29bt0wqrAbWUm5WvZDWRZv,44,https://p.scdn.co/mp3-preview/b56837befd71e5590c82983c186ff17052502c63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Leave Dat Trap,5vR65o6UhwcmQqaNtLzNOX,Unknown T,3iAhNz3e31lBuXYOsqGsf3,Leave Dat Trap,0b175Yqe97hNfvJh5IzKeR,64,not available
69,Smoke Boys,2FuRfnAQeFDlk9QYHgwbiF,Big Jest,5PVHdwqQpVUUcQmsWAI781,Smoke Boys,2CSaY1sTcF8pRHSveCidGG,44,https://p.scdn.co/mp3-preview/35135cc669c459be7828c5968a9a18669f1ff28f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Day Onez,2coDOcxc26JtZqHD9aglhI,Confz,0rDKqHGVAr2uveD7FEyVCE,Day Onez,5eSnmWWxRonrBkK0nv8ucW,42,https://p.scdn.co/mp3-preview/cc4a99f351027f5ae5df64ce2ab45f37a89ace65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
